Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Christian McCaffrey (43725072),Christian McCaffrey,43725072,RB/FLEX,9100,CIN@SF 08/03/2026 12:00PM ET,SF,21.9,
RB,Kenneth Walker III (43725074),Kenneth Walker III,43725074,RB/FLEX,8500,SEA@NYJ 08/03/2026 02:00PM ET,SEA,20.4,
RB,Breece Hall (43725076),Breece Hall,43725076,RB/FLEX,8200,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,18.2,
RB,Chase Brown (43725078),Chase Brown,43725078,RB/FLEX,7500,CIN@SF 08/03/2026 12:00PM ET,CIN,19.3,
RB,D'Andre Swift (43725080),D'Andre Swift,43725080,RB/FLEX,7200,NE@CHI 08/03/2026 04:00PM ET,CHI,16,
WR,Ja'Marr Chase (43725116),Ja'Marr Chase,43725116,WR/FLEX,7100,CIN@SF 08/03/2026 12:00PM ET,CIN,20,
QB,Joe Burrow (43725060),Joe Burrow,43725060,QB,7000,CIN@SF 08/03/2026 12:00PM ET,CIN,25.7,
WR,Garrett Wilson (43725118),Garrett Wilson,43725118,WR/FLEX,6400,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,14.9,
QB,Caleb Williams (43725061),Caleb Williams,43725061,QB,6200,NE@CHI 08/03/2026 04:00PM ET,CHI,23.1,
WR,Stefon Diggs (43725120),Stefon Diggs,43725120,WR/FLEX,6100,NE@CHI 08/03/2026 04:00PM ET,NE,14.7,
QB,Justin Fields (43725062),Justin Fields,43725062,QB,6000,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,24.2,
TE,Hunter Henry (43725186),Hunter Henry,43725186,TE/FLEX,5900,NE@CHI 08/03/2026 04:00PM ET,NE,15.3,
QB,Sam Darnold (43725063),Sam Darnold,43725063,QB,5800,SEA@NYJ 08/03/2026 02:00PM ET,SEA,22.4,
QB,Drake Maye (43725064),Drake Maye,43725064,QB,5600,NE@CHI 08/03/2026 04:00PM ET,NE,22.5,
QB,Brock Purdy (43725065),Brock Purdy,43725065,QB,5300,CIN@SF 08/03/2026 12:00PM ET,SF,20.3,
RB,TreVeyon Henderson (43725082),TreVeyon Henderson,43725082,RB/FLEX,5300,NE@CHI 08/03/2026 04:00PM ET,NE,13.1,
WR,Tee Higgins (43725122),Tee Higgins,43725122,WR/FLEX,5300,CIN@SF 08/03/2026 12:00PM ET,CIN,15,
QB,Tyrod Taylor (43725066),Tyrod Taylor,43725066,QB,5000,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,0,
QB,Mac Jones (43725067),Mac Jones,43725067,QB,5000,CIN@SF 08/03/2026 12:00PM ET,SF,0,
QB,Joshua Dobbs (43725068),Joshua Dobbs,43725068,QB,5000,NE@CHI 08/03/2026 04:00PM ET,NE,0,
QB,Jake Browning (43725069),Jake Browning,43725069,QB,5000,CIN@SF 08/03/2026 12:00PM ET,CIN,0,
QB,Jalen Milroe (43725070),Jalen Milroe,43725070,QB,5000,SEA@NYJ 08/03/2026 02:00PM ET,SEA,0,
QB,Case Keenum (43725071),Case Keenum,43725071,QB,5000,NE@CHI 08/03/2026 04:00PM ET,CHI,0,
WR,Brandon Aiyuk (43725124),Brandon Aiyuk,43725124,WR/FLEX,5000,CIN@SF 08/03/2026 12:00PM ET,SF,12.2,
WR,Jaxon Smith-Njigba (43725126),Jaxon Smith-Njigba,43725126,WR/FLEX,4700,SEA@NYJ 08/03/2026 02:00PM ET,SEA,10.4,
WR,Rome Odunze (43725128),Rome Odunze,43725128,WR/FLEX,4600,NE@CHI 08/03/2026 04:00PM ET,CHI,11,
TE,Mike Gesicki (43725188),Mike Gesicki,43725188,TE/FLEX,4600,CIN@SF 08/03/2026 12:00PM ET,CIN,14,
TE,George Kittle (43725190),George Kittle,43725190,TE/FLEX,4500,CIN@SF 08/03/2026 12:00PM ET,SF,10.9,
WR,Luther Burden III (43725130),Luther Burden III,43725130,WR/FLEX,4400,NE@CHI 08/03/2026 04:00PM ET,CHI,10.8,
WR,Jauan Jennings (43725132),Jauan Jennings,43725132,WR/FLEX,4300,CIN@SF 08/03/2026 12:00PM ET,SF,10.9,
WR,Allen Lazard (43725134),Allen Lazard,43725134,WR/FLEX,4200,SEA@NYJ 08/03/2026 02:00PM ET,NYJ,11.1,
TE,Elijah Arroyo (43725192),Elijah Arroyo,43725192,TE/FLEX,4200,SEA@NYJ 08/03/2026 02:00PM ET,SEA,10.4,
WR,DJ Moore (43725136),DJ Moore,43725136,WR/FLEX,4100,NE@CHI 08/03/2026 04:00PM ET,CHI,11.6,
WR,Cooper Kupp (43725138),Cooper Kupp,43725138,WR/FLEX,4000,SEA@NYJ 08/03/2026 02:00PM ET,SEA,10.7,
WR,Ricky Pearsall (43725140),Ricky Pearsall,43725140,WR/FLEX,3900,CIN@SF 08/03/2026 12:00PM ET,SF,10.9,
