team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
LA,rush,0.9913,recent,9.49,23.94,2.5235,14.45
NYG,recv,0.9948,recent,15.29,33.81,2.2121,18.53
PIT,pass,1.0,exclusive,15.41,33.12,2.1495,17.71
NYG,rush,0.9115,recent,11.23,20.79,1.8509,9.56
WAS,rush,1.0,recent,15.66,27.14,1.7329,11.48
PIT,rush,1.0,recent,16.59,24.4,1.4708,7.81
WAS,pass,1.0,exclusive,23.72,33.29,1.4032,9.57
CAR,pass,1.0,exclusive,25.27,35.16,1.3915,9.89
MIA,rush,1.0,recent,17.76,24.55,1.3827,6.8
NO,pass,1.0,exclusive,24.7,33.49,1.3559,8.79
NYJ,pass,1.0,exclusive,24.56,32.25,1.313,7.69
ATL,pass,1.0,exclusive,54.89,39.46,0.7189,15.43
SF,rush,0.987,recent,39.96,29.03,0.7265,10.93
BAL,recv,1.0,recent,27.59,33.86,1.2275,6.27
NYG,pass,1.0,exclusive,29.19,34.93,1.1968,5.74
NE,rush,0.9858,recent,24.66,29.45,1.1942,4.79
PIT,recv,1.0,recent,27.01,32.17,1.1911,5.16
SF,pass,1.0,exclusive,28.68,34.04,1.1866,5.35
LA,pass,1.0,exclusive,48.23,39.64,0.8219,8.59
MIN,pass,1.0,exclusive,27.29,32.14,1.1778,4.85
SEA,rush,0.9935,recent,34.43,28.42,0.8253,6.01
LA,recv,1.0,recent,47.22,39.39,0.8343,7.82
MIN,rush,1.0,recent,32.59,27.29,0.8373,5.3
GB,recv,0.9939,recent,29.52,34.14,1.1565,4.62
DEN,rush,0.9925,recent,31.88,26.93,0.8447,4.95
CAR,rush,1.0,recent,30.77,26.01,0.8455,4.75
HOU,recv,1.0,recent,30.7,35.4,1.1531,4.7
ATL,recv,1.0,recent,45.25,38.53,0.8515,6.72
DAL,recv,1.0,recent,29.35,33.51,1.1418,4.16
DET,rush,1.0,recent,31.62,27.14,0.8584,4.48
LAC,rush,0.9735,recent,23.62,26.91,1.1393,3.29
MIA,pass,1.0,exclusive,38.3,33.31,0.8697,4.99
CLE,pass,1.0,exclusive,29.64,33.49,1.13,3.85
LAC,recv,0.9738,recent,39.09,34.09,0.8721,5.0
BAL,rush,0.9944,recent,35.32,30.89,0.8745,4.43
HOU,pass,1.0,exclusive,32.48,36.43,1.1215,3.95
LAC,pass,1.0,exclusive,40.54,35.68,0.8801,4.86
WAS,recv,1.0,recent,29.0,32.46,1.1195,3.47
PHI,pass,1.0,exclusive,38.06,33.82,0.8888,4.23
NO,rush,0.9344,recent,27.33,24.52,0.8972,2.81
ATL,rush,1.0,recent,22.13,24.37,1.1011,2.24
TEN,recv,0.9924,recent,27.08,29.8,1.1006,2.72
HOU,rush,1.0,recent,28.77,25.98,0.903,2.79
CLE,recv,1.0,recent,29.43,32.28,1.0968,2.85
CIN,rush,1.0,recent,20.54,22.52,1.0966,1.98
NE,pass,1.0,exclusive,39.09,35.57,0.91,3.52
SEA,pass,1.0,exclusive,30.85,33.58,1.0884,2.73
NO,recv,0.9877,recent,35.0,32.01,0.9147,2.99
SF,recv,0.9286,recent,28.19,30.59,1.0852,2.4
TB,recv,1.0,recent,31.4,33.93,1.0807,2.53
CLE,rush,1.0,recent,23.1,24.86,1.0761,1.76
DEN,recv,0.9877,recent,33.38,30.91,0.9259,2.47
TEN,rush,0.9928,recent,29.18,27.09,0.9281,2.1
PHI,recv,1.0,recent,30.85,33.01,1.07,2.16
MIN,recv,0.9217,recent,26.5,28.23,1.0655,1.74
CIN,pass,1.0,exclusive,38.87,36.33,0.9347,2.54
JAX,rush,1.0,recent,29.21,27.32,0.9353,1.89
TB,pass,1.0,exclusive,32.98,34.97,1.0602,1.99
NE,recv,1.0,recent,32.49,34.4,1.0586,1.9
ARI,rush,1.0,recent,27.39,25.82,0.9427,1.57
ARI,recv,1.0,recent,34.06,35.96,1.0558,1.9
DAL,rush,1.0,recent,26.2,27.64,1.0547,1.43
CAR,recv,1.0,recent,35.84,33.89,0.9455,1.95
DEN,pass,1.0,exclusive,30.78,32.4,1.0527,1.62
BAL,pass,1.0,exclusive,32.94,34.66,1.0523,1.72
TB,rush,1.0,recent,27.4,26.18,0.9555,1.22
DAL,pass,1.0,exclusive,36.21,34.6,0.9555,1.61
PHI,rush,1.0,recent,27.91,26.69,0.9564,1.22
NYJ,rush,1.0,recent,23.17,24.16,1.0427,0.99
GB,pass,1.0,exclusive,37.43,35.86,0.958,1.57
DET,recv,1.0,recent,35.17,33.8,0.9611,1.37
TEN,pass,1.0,exclusive,32.67,31.52,0.9648,1.15
JAX,pass,1.0,exclusive,35.61,34.37,0.9652,1.24
KC,pass,1.0,exclusive,39.47,38.39,0.9725,1.08
DET,pass,1.0,exclusive,34.02,34.89,1.0256,0.87
KC,recv,0.9894,recent,37.72,36.81,0.976,0.9
MIA,recv,1.0,recent,33.46,32.66,0.9762,0.8
NYJ,recv,1.0,recent,30.56,31.22,1.0215,0.66
JAX,recv,1.0,recent,34.05,33.34,0.979,0.71
CIN,recv,1.0,recent,36.05,35.4,0.9819,0.65
KC,rush,0.9911,recent,23.44,23.77,1.0142,0.33
GB,rush,1.0,recent,26.84,26.61,0.9914,0.23
ARI,pass,1.0,exclusive,36.92,37.14,1.0058,0.22
SEA,recv,0.9664,recent,31.3,31.27,0.999,0.03
