team,opponent,commence_time,spread,over_under,implied_total
LV,LAC,2019-11-07,1.0,49.0,24.0
LAC,LV,2019-11-07,-1.0,49.0,25.0
CHI,DET,2019-11-10,-6.0,38.0,22.0
DET,CHI,2019-11-10,6.0,38.0,16.0
CIN,BAL,2019-11-10,10.5,44.0,16.75
BAL,CIN,2019-11-10,-10.5,44.0,27.25
CLE,BUF,2019-11-10,-3.0,42.0,22.5
BUF,CLE,2019-11-10,3.0,42.0,19.5
NO,ATL,2019-11-10,-14.0,51.5,32.75
ATL,NO,2019-11-10,14.0,51.5,18.75
NYJ,NYG,2019-11-10,3.0,43.0,20.0
NYG,NYJ,2019-11-10,-3.0,43.0,23.0
TB,ARI,2019-11-10,-5.5,51.0,28.25
ARI,TB,2019-11-10,5.5,51.0,22.75
TEN,KC,2019-11-10,5.0,49.0,22.0
KC,TEN,2019-11-10,-5.0,49.0,27.0
IND,MIA,2019-11-10,-11.0,44.5,27.75
MIA,IND,2019-11-10,11.0,44.5,16.75
GB,CAR,2019-11-10,-5.0,49.0,27.0
CAR,GB,2019-11-10,5.0,49.0,22.0
PIT,LA,2019-11-10,4.0,43.0,19.5
LA,PIT,2019-11-10,-4.0,43.0,23.5
DAL,MIN,2019-11-10,-3.5,48.5,26.0
MIN,DAL,2019-11-10,3.5,48.5,22.5
SF,SEA,2019-11-11,-6.5,47.0,26.75
SEA,SF,2019-11-11,6.5,47.0,20.25
