slate,n_requested,n_generated,hits,hit_rate,mean_pct,max_pct
wk1_main,10,10,5,0.5,0.5961591914087176,0.8963992419456728
wk1_main,100,100,34,0.34,0.5392558433354391,0.9819962097283639
wk1_early,10,10,0,0.0,0.48780134130868225,0.7426137393510965
wk1_early,100,100,15,0.15,0.44827623708537245,0.9235091535254667
wk1_afternoon,10,10,3,0.3,0.536325237592397,0.9807814149947202
wk1_afternoon,100,100,36,0.36,0.569805702217529,0.9985216473072862
wk2_main,10,10,3,0.3,0.5620406616997096,0.9646420002525571
wk2_main,100,100,27,0.27,0.5164004293471398,0.996969314307362
wk2_early,10,10,2,0.2,0.439413130673422,0.8116951657166983
wk2_early,100,100,10,0.1,0.3835127717964956,0.9818450496094575
wk2_afternoon,10,10,4,0.4,0.57083685545224,0.9957734573119188
wk2_afternoon,100,100,41,0.41,0.584427303465765,0.9974640743871513
