feature,rho_w1,p_w1,rho_w2,p_w2,rho_pool,p_pool,n,p_bonf,same_sign
top_gap,0.4821,0.0,0.2155,0.0036,0.3632,0.0,367,0.0,True
pub_minus_ours,0.1636,0.0269,0.2771,0.0002,0.2085,0.0001,367,0.0013,True
rank_gap,-0.425,0.0,0.1071,0.1485,-0.2078,0.0001,367,0.0014,False
our_val,-0.2233,0.0025,-0.0915,0.2169,-0.1791,0.0006,367,0.0122,True
qb_mid,,,,,0.1722,0.001,367,0.0198,False
cheap_te,,,,,0.1712,0.0011,367,0.0211,False
prev_fpts_minus_sal,0.0246,0.7395,0.2433,0.001,0.1377,0.0084,367,0.1682,True
pub_val,0.0351,0.6348,0.2473,0.0008,0.1376,0.0085,367,0.1695,True
prev_opps,,,-0.1436,0.0747,-0.1436,0.0747,155,1.0,False
vacated,0.0679,0.3582,0.0838,0.2581,0.078,0.1354,367,1.0,True
sal_chg,,,0.1779,0.0164,0.0754,0.1491,367,1.0,False
proj_vs_salfit,-0.3039,0.0,0.2006,0.0068,-0.0693,0.1848,367,1.0,False
game_total,0.0856,0.247,0.0253,0.7331,0.061,0.2429,367,1.0,True
is_q,,,,,-0.0601,0.2502,367,1.0,False
prev_fpts_f,-0.0151,0.838,0.1297,0.0802,0.0529,0.3118,367,1.0,False
pub_val_rank,0.081,0.273,-0.1742,0.0188,-0.0381,0.466,367,1.0,False
dk_avg,-0.0151,0.838,0.079,0.2867,0.0275,0.5988,367,1.0,False
imp,0.0766,0.2999,-0.1569,0.0342,-0.0191,0.7145,367,1.0,False
imp_rank,-0.0772,0.2962,0.1471,0.0472,0.0182,0.7276,367,1.0,False
pos_n,-0.0169,0.8188,0.0007,0.993,-0.0053,0.9185,367,1.0,False
