player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available
00-0034796,Lamar Jackson,QB,BAL,7300,44157228,19.879,19.879,0.9877181088314004,1.2171313252111517,23.89814347340387,NO,27.14,45.67,1.0,1.0,8.277,statline_mc+recal_10_4b,8.601078987982156,41.06089975049792,32.01375,363.8252711579227,1.69,4.14425,22.433933040277,0.23625,0.0,0.0,0.0,0.0,25.837654150344605,-1.9395106769407349,29.0,6.7,96.52573529411764,16.956656324897683,16.95496832657735,,classic,True
00-0038542,Bijan Robinson,RB,ATL,8200,44157285,20.5657,20.5657,1.2546212834656263,0.9193512220644292,23.721224832464365,CAR,20.5,43.5,1.0,1.0,10.0512,statline_mc+recal_10_4b,5.618335457190828,47.92793533680384,0.0,0.0,0.0,14.8905,70.54859215570185,0.4365,7.81725,5.948,59.99124867652182,0.3095,24.521234083222367,-0.8000092507580021,31.3,91.2,77.08946078431373,53.143553082972105,7.9326109855332065,,classic,True
00-0039918,Caleb Williams,QB,CHI,6800,44157229,18.4837,18.4837,1.02242997323818,1.1660064279841542,22.035533297484257,MIN,26.0,47.5,1.0,1.0,8.256,statline_mc+recal_10_4b,7.212012175305196,38.89711671427443,33.37175,306.13522220133876,1.859,4.83875,26.826873189567383,0.31025,0.0,0.0,0.0,0.0,24.639096207010287,-2.6035629095260298,37.3,6.0,95.82075593395253,16.939835774727342,16.122329537753686,,classic,True
00-0036442,Joe Burrow,QB,CIN,6600,44157231,17.214,17.214,1.207179304192685,0.9641976231407429,20.036419769015218,HOU,21.5,45.5,1.0,1.0,8.0993,statline_mc+recal_10_4b,6.907593005958654,35.28120237258619,34.81325,297.1515569616074,1.71775,3.0445,14.80899069174065,0.136,0.0,0.0,0.0,0.0,21.32746134763836,-1.2910415786231404,15.2,4.6,79.88841589267285,5.147357154765324,5.166424949744938,,classic,True
00-0032764,Derrick Henry,RB,BAL,7200,44157287,14.6437,14.6437,1.113413157540697,1.2171313252111517,19.844742179758278,NO,27.14,45.67,1.0,1.0,10.2042,statline_mc+recal_10_4b,2.5068076206914904,44.67476752516468,0.0,0.0,0.0,15.2895,101.89793748937508,0.929,2.14725,1.636,17.89678211052035,0.0885,20.700721959989544,-0.8559797802312659,38.3,30.5,96.0905530690537,44.497778176504156,44.62767853561541,,classic,True
00-0036322,Justin Jefferson,WR,MIN,7800,44157465,18.8325,18.8325,1.0880130028443722,0.9641976231407429,19.75638381495724,CHI,21.5,47.5,1.0,1.0,9.1966,statline_mc+recal_10_4b,7.20522902312044,39.52461541656111,0.0,0.0,0.0,0.06475,0.42401185544748693,0.0015,8.6665,5.7615,71.17061266639429,0.52825,16.70096245218418,3.0554213627730604,31.2,16.1,89.23376960784314,38.83590681468011,12.274102162416392,,classic,True
00-0036389,Jalen Hurts,QB,PHI,6700,44157230,19.8604,19.8604,0.9061909009812666,1.0462665371103967,18.830000039336625,TEN,23.33,39.5,1.0,1.0,8.0228,statline_mc+recal_10_4b,7.4559989077710584,32.70631983996055,30.347,218.6781804623585,1.66575,4.418,19.001369216006676,0.1655,0.0,0.0,0.0,0.0,18.00126414009501,0.8287358992416145,24.7,11.6,71.58023735810113,9.058701311427239,2.8540516786727674,,classic,True
00-0036264,Jordan Love,QB,GB,5900,44157233,17.3559,17.3559,0.9335950044603032,1.0686897376485536,17.316417902366098,NYJ,23.83,44.39,1.0,1.0,8.0383,statline_mc+recal_10_4b,5.339808342788036,31.624785440111626,36.66975,294.0929525372103,1.65625,1.1395,4.717843588243027,0.0435,0.0,0.0,0.0,0.0,19.395752460312718,-2.07933455794662,24.5,13.0,80.91718266253869,8.23984151706674,5.560367987903267,,classic,True
00-0037239,Chris Olave,WR,NO,7200,44157469,21.3757,21.3757,0.9625355546525804,0.8310038119440915,17.097811979084923,BAL,18.53,45.67,1.0,1.0,8.6799,statline_mc+recal_10_4b,6.812491788030653,32.4069914177516,0.0,0.0,0.0,0.06175,0.35495522437440585,0.00225,8.51175,5.54325,63.54382614992479,0.30375,14.29212813742992,2.8056838416550036,31.2,14.4,79.99436274509804,26.103492633636858,7.12775990383363,,classic,True
00-0039064,Zay Flowers,WR,BAL,6700,44157475,13.3418,13.3418,1.0418529053230394,1.2171313252111517,16.918379283457895,NO,27.14,45.67,1.0,1.0,9.6329,statline_mc+recal_10_4b,3.6562005065725387,37.59582187850274,0.0,0.0,0.0,0.076,0.7298273317577783,0.00425,6.44575,4.152,86.32148823816169,0.4495,16.313881556991944,0.6044977264659508,29.0,,94.85906862745098,12.266608129041792,17.08825644096291,,classic,True
