arm,pop,train,test,pos,score,w,n,cells,spearman,topN,hit,bias,MAE,RMSE,pearson,dsp,dtn,dMAE,weeks
baseline,played,2020,2021,skill,ours,,4505,64,0.5867414768082752,15.62814670138889,0.583767361111111,0.008783880374560796,4.827814441966274,6.5553096227997205,0.6461224737946599,,,,
baseline,played,2020,2021,QB,ours,,469,16,0.48282570359675026,21.414479166666666,0.6145833333333333,0.07992089357494737,6.378965841558538,8.033193370811917,0.5070696584867721,,,,
baseline,played,2020,2021,RB,ours,,1244,16,0.661058630944031,15.12203125,0.6197916666666667,-0.16137470753372365,4.952869825417454,6.750338687069114,0.6204053287154863,,,,
baseline,played,2020,2021,WR,ours,,1875,16,0.6327161753800923,14.255243055555557,0.5902777777777778,0.12729506344462255,4.913978529017083,6.621064351427575,0.5940630621349018,,,,
baseline,played,2020,2021,TE,ours,,917,16,0.5703653973122271,11.720833333333333,0.5104166666666667,-0.03908356138055525,3.6886469756169764,5.162678230309265,0.5658740685166,,,,
baseline,played,2020,2021,skill,ecr_only,,4505,64,0.5918300831235086,15.700277777777778,0.5965711805555556,,,,,"+0.005 [-0.005,+0.014]","+0.072 [-0.057,+0.199]",,16.0
baseline,played,2020,2021,QB,ecr_only,,469,16,0.46009466901901974,21.163333333333334,0.6145833333333333,,,,,"-0.023 [-0.046,-0.001]","-0.251 [-0.520,+0.011]",,16.0
baseline,played,2020,2021,RB,ecr_only,,1244,16,0.6768243329383214,15.6728125,0.6588541666666666,,,,,"+0.016 [+0.002,+0.031]","+0.551 [+0.217,+0.851]",,16.0
baseline,played,2020,2021,WR,ecr_only,,1875,16,0.6402549114952732,14.158715277777777,0.5920138888888888,,,,,"+0.008 [-0.004,+0.018]","-0.097 [-0.242,+0.026]",,16.0
baseline,played,2020,2021,TE,ecr_only,,917,16,0.5901464190414201,11.80625,0.5208333333333334,,,,,"+0.020 [+0.005,+0.035]","+0.085 [-0.403,+0.532]",,16.0
baseline,played,2020,2021,skill,ecr_pts_only,,4505,64,0.5888782232517823,15.768736979166668,0.6006944444444444,0.24657314570809022,4.868175507682461,6.6578607134138315,0.6351005046633631,"+0.002 [-0.009,+0.011]","+0.141 [+0.037,+0.247]","+0.040 [-0.039,+0.125]",16.0
baseline,played,2020,2021,QB,ecr_pts_only,,469,16,0.4609991355490144,21.368333333333332,0.625,1.03180865402427,6.624611143221567,8.244555158508087,0.48347198947987263,"-0.022 [-0.049,+0.003]","-0.046 [-0.321,+0.206]","+0.246 [-0.065,+0.570]",16.0
baseline,played,2020,2021,RB,ecr_pts_only,,1244,16,0.6725193373945554,15.498072916666665,0.65625,-0.31181502753675666,4.832724870528816,6.769902300564149,0.6182692877250754,"+0.011 [-0.004,+0.027]","+0.376 [+0.125,+0.644]","-0.120 [-0.236,+0.017]",16.0
baseline,played,2020,2021,WR,ecr_pts_only,,1875,16,0.6377220257531933,14.194479166666667,0.5902777777777778,0.4310753722161095,4.9986790709796365,6.6926846202488575,0.5880535772096416,"+0.005 [-0.006,+0.016]","-0.061 [-0.178,+0.059]","+0.085 [-0.009,+0.184]",16.0
baseline,played,2020,2021,TE,ecr_pts_only,,917,16,0.584272394310366,12.0140625,0.53125,0.22521846676999366,3.751096007539702,5.40758609217035,0.5165451879318251,"+0.014 [-0.001,+0.031]","+0.293 [+0.003,+0.628]","+0.062 [-0.048,+0.176]",16.0
baseline,played,2020,2021,skill,rank,0.4,4505,64,0.5952207077094316,15.716462673611112,0.5887586805555556,,,,,"+0.008 [+0.005,+0.011]","+0.088 [+0.036,+0.141]",,16.0
baseline,played,2020,2021,QB,rank,0.4,469,16,0.4765825184095637,21.381979166666667,0.609375,,,,,"-0.006 [-0.014,+0.002]","-0.032 [-0.232,+0.150]",,16.0
baseline,played,2020,2021,RB,rank,0.4,1244,16,0.6776654064516182,15.57203125,0.6484375,,,,,"+0.017 [+0.012,+0.022]","+0.450 [+0.186,+0.695]",,16.0
baseline,played,2020,2021,WR,rank,0.4,1875,16,0.6418992191210837,14.214444444444442,0.5920138888888888,,,,,"+0.009 [+0.006,+0.013]","-0.041 [-0.128,+0.053]",,16.0
baseline,played,2020,2021,TE,rank,0.4,917,16,0.5847356868554607,11.697395833333335,0.5052083333333333,,,,,"+0.014 [+0.009,+0.021]","-0.023 [-0.103,+0.051]",,16.0
baseline,played,2020,2021,skill,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",4505,64,0.5994005936684325,15.772482638888889,0.5954861111111112,,,,,"+0.013 [+0.007,+0.017]","+0.144 [+0.062,+0.233]",,16.0
baseline,played,2020,2021,QB,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",469,16,0.48282570359675026,21.414479166666666,0.6145833333333333,,,,,"+0.000 [+0.000,+0.000]","+0.000 [+0.000,+0.000]",,16.0
baseline,played,2020,2021,RB,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",1244,16,0.6811524624686369,15.611874999999998,0.65625,,,,,"+0.020 [+0.009,+0.032]","+0.490 [+0.163,+0.800]",,16.0
baseline,played,2020,2021,WR,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",1875,16,0.6431622950590463,14.212534722222221,0.5902777777777778,,,,,"+0.010 [+0.006,+0.015]","-0.043 [-0.135,+0.051]",,16.0
baseline,played,2020,2021,TE,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",917,16,0.5904619135492963,11.851041666666667,0.5208333333333334,,,,,"+0.020 [+0.008,+0.032]","+0.130 [-0.151,+0.439]",,16.0
baseline,played,2020,2021,skill,pts,0.7,4505,64,0.596877246849504,15.733763020833333,0.5989583333333334,0.17523636610803142,4.806373417497976,6.563527428124657,0.645735896936501,"+0.010 [+0.002,+0.017]","+0.106 [+0.007,+0.213]","-0.021 [-0.077,+0.036]",16.0
baseline,played,2020,2021,QB,pts,0.7,469,16,0.47262009454373,21.4534375,0.6302083333333333,0.7462423258894731,6.45077391728791,8.060889529743138,0.5035908709558973,"-0.010 [-0.030,+0.007]","+0.039 [-0.192,+0.265]","+0.072 [-0.135,+0.293]",16.0
baseline,played,2020,2021,RB,pts,0.7,1244,16,0.6792774060843545,15.498072916666668,0.65625,-0.2666829315358467,4.815292342007214,6.697130365886706,0.628950010818776,"+0.018 [+0.008,+0.028]","+0.376 [+0.125,+0.644]","-0.138 [-0.219,-0.045]",16.0
baseline,played,2020,2021,WR,pts,0.7,1875,16,0.6420373024934358,14.135104166666666,0.5885416666666667,0.33994127958466336,4.933807299473789,6.627857211762394,0.5953289772704872,"+0.009 [+0.001,+0.016]","-0.120 [-0.211,-0.022]","+0.020 [-0.046,+0.090]",16.0
baseline,played,2020,2021,TE,pts,0.7,917,16,0.5935741842764954,11.8484375,0.5208333333333334,0.14592785832482894,3.6926793005998104,5.267025187576672,0.5436245739859039,"+0.023 [+0.013,+0.034]","+0.128 [-0.063,+0.358]","+0.004 [-0.082,+0.093]",16.0
baseline,played,2020,2021,skill,pts_pp,"{'QB': 0.2, 'RB': 1.0, 'WR': 0.7, 'TE': 1.0}",4505,64,0.5949873302302635,15.7728515625,0.5989583333333334,0.12936455272150937,4.812224669321203,6.5973848887757685,0.6408834208395198,"+0.008 [+0.000,+0.015]","+0.145 [+0.040,+0.257]","-0.016 [-0.075,+0.052]",16.0
baseline,played,2020,2021,QB,pts_pp,"{'QB': 0.2, 'RB': 1.0, 'WR': 0.7, 'TE': 1.0}",469,16,0.4811202867226964,21.444166666666668,0.6197916666666666,0.27029844566481315,6.346521686411336,7.982792686636208,0.5123082290135145,"-0.002 [-0.014,+0.009]","+0.030 [+0.000,+0.089]","-0.032 [-0.084,+0.023]",16.0
baseline,played,2020,2021,RB,pts_pp,"{'QB': 0.2, 'RB': 1.0, 'WR': 0.7, 'TE': 1.0}",1244,16,0.6725193373945554,15.498072916666665,0.65625,-0.31181502753675666,4.832724870528816,6.769902300564149,0.6182692877250754,"+0.011 [-0.004,+0.027]","+0.376 [+0.125,+0.644]","-0.120 [-0.236,+0.017]",16.0
baseline,played,2020,2021,WR,pts_pp,"{'QB': 0.2, 'RB': 1.0, 'WR': 0.7, 'TE': 1.0}",1875,16,0.6420373024934358,14.135104166666666,0.5885416666666667,0.33994127958466336,4.933807299473789,6.627857211762394,0.5953289772704872,"+0.009 [+0.001,+0.016]","-0.120 [-0.211,-0.022]","+0.020 [-0.046,+0.090]",16.0
baseline,played,2020,2021,TE,pts_pp,"{'QB': 0.2, 'RB': 1.0, 'WR': 0.7, 'TE': 1.0}",917,16,0.584272394310366,12.0140625,0.53125,0.22521846676999366,3.751096007539702,5.40758609217035,0.5165451879318251,"+0.014 [-0.001,+0.031]","+0.293 [+0.003,+0.628]","+0.062 [-0.048,+0.176]",16.0
baseline,played,2020,2021,skill,z,0.3,4505,64,0.5957394863069434,15.711193576388887,0.58984375,,,,,"+0.009 [+0.005,+0.013]","+0.083 [+0.002,+0.163]",,16.0
baseline,played,2020,2021,QB,z,0.3,469,16,0.47749564154972685,21.46333333333333,0.6197916666666667,,,,,"-0.005 [-0.015,+0.004]","+0.049 [-0.185,+0.277]",,16.0
baseline,played,2020,2021,RB,z,0.3,1244,16,0.6756799143792154,15.385572916666666,0.6354166666666667,,,,,"+0.015 [+0.009,+0.021]","+0.264 [+0.048,+0.503]",,16.0
baseline,played,2020,2021,WR,z,0.3,1875,16,0.6420702246585659,14.206284722222222,0.5885416666666667,,,,,"+0.009 [+0.006,+0.013]","-0.049 [-0.150,+0.057]",,16.0
