team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
ARI,rush,1.0,recent,11.77,22.85,1.9414,11.08
NO,rush,0.855,recent,12.13,20.86,1.72,8.73
BAL,pass,1.0,exclusive,18.15,30.95,1.7058,12.81
CLE,pass,1.0,exclusive,18.49,31.11,1.6829,12.63
MIA,pass,1.0,exclusive,19.49,30.66,1.5733,11.17
IND,pass,1.0,exclusive,24.05,34.98,1.4544,10.93
MIA,rush,0.9857,recent,47.81,26.85,0.5616,20.96
WAS,pass,1.0,exclusive,22.06,30.75,1.3939,8.69
JAX,rush,1.0,recent,20.65,28.77,1.3931,8.12
WAS,recv,1.0,recent,21.0,28.81,1.3719,7.81
TEN,pass,1.0,exclusive,23.86,32.56,1.3648,8.7
BUF,rush,1.0,recent,44.92,29.02,0.646,15.9
BAL,rush,0.9944,recent,42.83,29.11,0.6798,13.71
DET,rush,1.0,recent,20.01,26.36,1.3176,6.35
MIN,rush,0.9803,recent,40.09,28.24,0.7046,11.84
CLE,rush,0.9828,recent,34.37,24.34,0.708,10.04
LV,rush,0.9904,recent,37.18,26.81,0.721,10.37
GB,pass,1.0,exclusive,24.3,31.06,1.2779,6.75
IND,rush,0.9921,recent,33.66,24.65,0.7324,9.01
CIN,rush,1.0,recent,35.4,26.15,0.7386,9.25
PHI,rush,1.0,recent,38.01,28.44,0.7481,9.58
CIN,recv,0.9943,recent,46.2,35.15,0.7607,11.06
LAC,rush,1.0,recent,37.53,28.59,0.7617,8.95
NYJ,recv,0.9671,recent,38.84,29.7,0.7647,9.14
PHI,pass,1.0,exclusive,28.08,33.58,1.1958,5.5
NYJ,pass,1.0,exclusive,26.53,31.7,1.1948,5.17
CHI,recv,1.0,recent,40.89,33.29,0.8141,7.6
JAX,recv,1.0,recent,39.57,32.25,0.8149,7.33
LAC,pass,1.0,exclusive,29.75,35.1,1.1799,5.35
HOU,pass,1.0,exclusive,28.4,33.41,1.1764,5.01
ATL,pass,1.0,exclusive,27.6,32.4,1.174,4.8
BUF,pass,1.0,exclusive,27.8,32.57,1.1717,4.77
DET,recv,1.0,recent,43.12,35.97,0.8341,7.15
CLE,recv,1.0,recent,35.29,29.73,0.8422,5.57
CAR,pass,1.0,exclusive,29.05,33.45,1.1514,4.4
WAS,rush,1.0,recent,32.17,27.43,0.8527,4.74
TB,pass,1.0,exclusive,30.3,34.71,1.1456,4.41
BUF,recv,1.0,recent,27.62,31.34,1.1346,3.72
PIT,pass,1.0,exclusive,40.25,35.11,0.8723,5.14
NO,recv,1.0,recent,39.69,34.67,0.8735,5.02
ATL,rush,1.0,recent,23.58,26.47,1.1228,2.9
TB,rush,1.0,recent,29.61,25.98,0.8773,3.63
NYJ,rush,0.9917,recent,29.64,26.05,0.8789,3.59
CAR,rush,0.9924,recent,22.63,25.29,1.1174,2.66
PHI,recv,1.0,recent,28.76,31.74,1.1036,2.98
CHI,rush,0.9924,recent,29.75,27.01,0.9078,2.74
BAL,recv,1.0,recent,27.29,29.66,1.0867,2.37
HOU,recv,1.0,recent,34.37,31.8,0.9252,2.57
DET,pass,1.0,exclusive,40.28,37.43,0.9292,2.85
GB,recv,1.0,recent,31.73,29.69,0.9355,2.05
GB,rush,1.0,recent,29.28,27.65,0.9444,1.63
IND,recv,1.0,recent,35.73,33.84,0.947,1.89
TEN,recv,0.9932,recent,29.66,31.16,1.0507,1.5
NO,pass,1.0,exclusive,34.2,35.78,1.0463,1.58
PIT,recv,0.9888,recent,32.36,33.7,1.0415,1.34
CAR,recv,1.0,recent,30.42,31.59,1.0386,1.17
ARI,recv,1.0,recent,35.06,33.73,0.962,1.33
LAC,recv,0.9795,recent,33.96,32.81,0.9661,1.15
CIN,pass,1.0,exclusive,35.48,36.56,1.0303,1.08
LV,pass,1.0,exclusive,30.19,31.07,1.029,0.88
MIA,recv,0.959,recent,27.64,28.35,1.0254,0.7
MIN,recv,0.9912,recent,31.02,30.27,0.9758,0.75
LV,recv,1.0,recent,30.67,29.97,0.977,0.7
ARI,pass,1.0,exclusive,34.58,35.23,1.0188,0.65
ATL,recv,0.9935,recent,31.5,31.05,0.9856,0.45
PIT,rush,0.871,recent,23.57,23.85,1.0118,0.28
HOU,rush,1.0,recent,27.79,27.55,0.9916,0.23
MIN,pass,1.0,exclusive,31.97,31.76,0.9936,0.21
CHI,pass,1.0,exclusive,34.92,35.14,1.0064,0.22
TEN,rush,1.0,recent,28.91,28.77,0.9951,0.14
JAX,pass,1.0,exclusive,33.22,33.08,0.9958,0.14
TB,recv,1.0,recent,33.57,33.66,1.0029,0.1
