team,team_attempts,team_carries,team_targets,hist_attempts,hist_carries,hist_targets,recent_attempts,recent_carries,recent_targets,team_attempts_history,team_carries_history,team_targets_history
ARI,35.23144773999999,22.852090320000002,33.727253579999996,649.0,366.0,617.0,184.0,86.0,174.0,34.97,16.740000000000002,32.43
ATL,32.40433917,26.47494847,31.25105324,545.0,477.0,519.0,161.0,147.0,153.0,30.879999999999995,29.4,29.46
BAL,30.95206562,29.277123250000002,29.65757066,422.0,507.0,407.0,105.0,177.0,102.0,19.540000000000003,35.38,19.03
BUF,32.57445189,29.01986961,31.335486340000003,495.0,547.0,479.0,139.0,171.0,132.0,28.299999999999997,35.86,26.93
CAR,33.45088061,25.48413905,31.589990739999998,515.0,461.0,480.0,135.0,131.0,122.0,29.13,22.319999999999997,25.95
CHI,35.14013111,27.21608936,33.29304304,574.0,505.0,532.0,172.0,131.0,152.0,35.01,23.52,31.18
CIN,36.55571185,26.14543764,35.35063674,640.0,381.0,608.0,183.0,134.0,174.0,36.81,27.7,34.949999999999996
CLE,31.113141499999998,24.76481769,29.725892039999998,558.0,421.0,522.0,152.0,116.0,140.0,27.009999999999998,24.369999999999997,25.259999999999998
DAL,32.37,31.5,31.409999999999997,624.0,465.0,607.0,178.0,150.0,173.0,32.37,31.5,31.409999999999997
DEN,34.06999999999999,28.45,33.22,613.0,456.0,584.0,180.0,142.0,174.0,34.06999999999999,28.45,33.22
DET,37.42997106,26.36273637,35.968430420000004,582.0,442.0,550.0,200.0,111.0,186.0,40.39,23.51,37.29
GB,31.0557739,27.653728250000004,29.68502506,489.0,492.0,460.0,125.0,142.0,118.0,21.7,29.78,20.71
HOU,33.41059431,27.55190144,31.79571644,582.0,475.0,553.0,155.0,156.0,141.0,31.16,31.34,28.38
IND,34.98162989,24.85145514,33.8381436,547.0,442.0,530.0,165.0,126.0,160.0,33.32,24.979999999999997,31.999999999999996
JAX,33.07733183,28.765149339999997,32.247903519999994,563.0,489.0,547.0,168.0,139.0,162.0,33.97,26.849999999999994,32.94
KC,27.750000000000004,20.64,25.82,584.0,430.0,549.0,143.0,107.0,131.0,27.750000000000004,20.64,25.82
LA,40.339999999999996,30.009999999999998,38.589999999999996,598.0,465.0,581.0,196.0,155.0,190.0,40.339999999999996,30.009999999999998,38.589999999999996
LAC,35.09917499,28.58686622,33.496287699999996,569.0,466.0,544.0,160.0,143.0,146.0,34.76,25.97,31.61
LV,31.066488370000002,27.071028630000004,29.96974196,515.0,369.0,494.0,136.0,104.0,129.0,26.76,24.12,25.740000000000002
MIA,30.66165022,27.241644200000003,29.557382840000002,479.0,432.0,462.0,126.0,140.0,122.0,25.29,27.050000000000004,24.5
MIN,31.7624809,28.81258984,30.535454879999996,484.0,410.0,468.0,117.0,152.0,114.0,24.169999999999998,30.13,23.32
NE,27.99,30.82,26.689999999999998,502.0,494.0,482.0,145.0,147.0,139.0,27.99,30.82,26.689999999999998
NO,35.78104188,24.40206821,34.66955054,591.0,435.0,565.0,165.0,131.0,159.0,34.56,25.41,33.37
NYG,28.009999999999998,30.59,27.29,526.0,511.0,503.0,137.0,149.0,134.0,28.009999999999998,30.59,27.29
NYJ,31.69685047,26.27018997,30.71081316,494.0,456.0,472.0,158.0,120.0,152.0,29.88,24.249999999999996,28.9
PHI,33.578644680000004,28.43946819,31.738959440000002,497.0,478.0,464.0,155.0,151.0,141.0,32.11,27.59,28.4
PIT,35.11470917,27.381086630000002,34.08011026,550.0,407.0,522.0,188.0,124.0,179.0,40.36,24.999999999999996,38.13
SEA,29.369999999999997,32.37,28.16,481.0,507.0,455.0,153.0,148.0,146.0,29.369999999999997,32.37,28.16
SF,30.5,26.099999999999998,29.5,574.0,481.0,550.0,154.0,148.0,144.0,30.5,26.099999999999998,29.5
TB,34.71196355,25.977279600000003,33.6642782,558.0,472.0,541.0,156.0,152.0,151.0,30.379999999999995,31.060000000000002,29.78
TEN,32.56050767,28.765518680000003,31.37414504,570.0,378.0,530.0,158.0,142.0,147.0,32.87,26.849999999999998,30.939999999999994
WAS,30.75339633,27.42802739,28.811653839999998,469.0,484.0,432.0,111.0,143.0,96.0,22.25,29.830000000000002,19.42
