player_id,player_name,team,hist_team,position,salary,games_played,_no_usage_history,rush_mu,recv_mu,pass_mu,rush_price_share,recv_price_share,volume_prior_weight,absent_player_factor
00-0038543,Jaxon Smith-Njigba,SEA,SEA,WR,8100,1,False,0.06644249662098864,9.23281295206349,0.0,0.003462156812938014,0.14594008821244955,0.6000000000000001,1.0
00-0033280,Christian McCaffrey,SF,SF,RB,8000,1,False,11.504315667646212,5.393165706470927,0.0,0.3084098838237843,0.06519901032278613,0.6000000000000001,1.0
00-0036358,CeeDee Lamb,DAL,DAL,WR,7300,1,False,0.5611767780189079,7.188354771812309,0.0,0.004565142311550957,0.1398364734994601,0.6000000000000001,1.0
00-0037744,Trey McBride,ARI,ARI,TE,6900,1,False,0.0,8.83964378443102,0.0,0.0,0.12995376199163555,0.6000000000000001,1.0
00-0040122,Ashton Jeanty,LV,LV,RB,6800,1,False,14.080881807947028,3.9329116398844706,0.0,0.2668604201779062,0.05727050738549413,0.6000000000000001,1.0
00-0039040,De'Von Achane,MIA,MIA,RB,6700,1,False,11.244504963007845,4.535519153205258,0.0,0.29837345697633666,0.07185944201826636,0.6000000000000001,1.0
00-0040666,Omarion Hampton,LAC,LAC,RB,6600,1,False,11.344405230999563,1.3749873344685262,0.0,0.24400526248464893,0.056892380178819674,0.6000000000000001,1.0
00-0031408,Mike Evans,SF,SF,WR,6600,1,False,0.08546618391502038,5.968631565935307,0.0,0.0038954948604405324,0.10875462690152686,0.6000000000000001,1.0
00-0039338,Brock Bowers,LV,,TE,6600,0,False,0.0,4.0567169422056715,0.0,0.0,0.11341961782926804,1.0,1.0
00-0036613,Jaylen Waddle,DEN,DEN,WR,6500,1,False,0.075723837499793,4.13784742721634,0.0,0.004022083717436236,0.11336712568744667,0.6000000000000001,1.0
00-0033077,Dak Prescott,DAL,DAL,QB,6400,1,False,2.1330676013838423,0.0,35.845652470000005,0.06686879100732473,0.0,0.6000000000000001,1.0
00-0036997,Javonte Williams,DAL,DAL,RB,6400,1,False,11.24134362565782,3.831066091211152,0.0,0.31226332099186693,0.06002498595328131,0.6000000000000001,1.0
