team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
ATL,pass,1.0,exclusive,18.12,30.5,1.6829,12.38
CLE,pass,1.0,exclusive,18.05,30.01,1.6627,11.96
MIN,pass,1.0,exclusive,19.61,32.11,1.6372,12.5
NYJ,pass,1.0,exclusive,21.52,31.31,1.4552,9.79
TEN,pass,1.0,exclusive,25.14,32.41,1.2894,7.27
NYJ,rush,0.9744,recent,39.35,29.46,0.7486,9.89
NO,recv,1.0,recent,51.62,39.7,0.7691,11.92
CHI,rush,1.0,recent,37.51,29.33,0.7819,8.18
MIN,rush,1.0,recent,33.77,26.88,0.7961,6.89
HOU,rush,1.0,recent,33.92,27.45,0.8091,6.48
ATL,rush,1.0,recent,35.5,29.17,0.8215,6.34
GB,recv,1.0,recent,42.92,35.54,0.8281,7.38
NO,rush,1.0,recent,29.02,24.04,0.8285,4.97
NE,rush,1.0,recent,35.55,29.57,0.8316,5.99
PIT,recv,1.0,recent,40.72,33.86,0.8316,6.86
BAL,rush,1.0,recent,37.47,31.26,0.8341,6.22
HOU,recv,1.0,recent,41.5,34.83,0.8394,6.66
TEN,recv,1.0,recent,35.08,30.47,0.8686,4.61
CIN,rush,1.0,recent,29.45,25.6,0.8695,3.84
NE,recv,1.0,recent,36.52,31.95,0.8746,4.58
CAR,recv,1.0,recent,37.74,33.38,0.8847,4.35
GB,rush,1.0,full_season,27.4,24.25,0.8851,3.15
CIN,recv,1.0,recent,38.15,33.85,0.8875,4.29
CLE,rush,1.0,full_season,27.91,24.79,0.8882,3.12
BAL,pass,1.0,exclusive,28.7,31.88,1.1109,3.18
TB,recv,1.0,recent,34.03,30.66,0.9008,3.38
PIT,rush,1.0,full_season,26.95,24.35,0.9035,2.6
NO,pass,1.0,exclusive,45.15,40.97,0.9075,4.18
PHI,pass,1.0,exclusive,27.78,30.31,1.0912,2.53
TB,pass,1.0,exclusive,29.13,31.69,1.088,2.56
CAR,rush,1.0,full_season,27.52,25.4,0.9228,2.13
PHI,rush,1.0,recent,32.09,29.68,0.925,2.41
CHI,pass,1.0,exclusive,31.26,33.53,1.0724,2.26
PHI,recv,1.0,full_season,30.58,28.56,0.9339,2.02
CHI,recv,1.0,recent,33.69,31.75,0.9424,1.94
MIN,recv,1.0,full_season,32.45,30.77,0.948,1.69
TEN,rush,1.0,full_season,25.01,23.92,0.9565,1.09
GB,pass,1.0,exclusive,38.03,36.52,0.9604,1.51
NYJ,recv,1.0,full_season,31.27,30.03,0.9604,1.24
CLE,recv,1.0,full_season,30.16,29.0,0.9617,1.16
CAR,pass,1.0,exclusive,34.31,35.14,1.0241,0.83
NE,pass,1.0,exclusive,32.48,33.16,1.021,0.68
HOU,pass,1.0,exclusive,35.12,35.65,1.0151,0.53
ATL,recv,1.0,full_season,28.91,28.52,0.9865,0.39
CIN,pass,1.0,exclusive,34.4,34.79,1.0112,0.39
BAL,recv,1.0,full_season,30.37,30.68,1.01,0.3
TB,rush,1.0,full_season,27.39,27.47,1.0031,0.08
PIT,pass,1.0,exclusive,35.49,35.53,1.0011,0.04
