player_id,player_name,team,position,salary,depth_rank_h,excluded,guarded
00-0034837,Calvin Ridley,TEN,WR,4100,3.0,False,True
00-0041104,Demond Claiborne,MIN,RB,4000,3.0,True,False
00-0039405,Jawhar Jordan,HOU,RB,4000,,True,False
00-0039165,Zach Charbonnet,SEA,RB,4000,4.0,True,False
00-0040644,Trevor Etienne,CAR,RB,4000,4.0,True,False
00-0039798,Isaiah Davis,NYJ,RB,4000,3.0,True,False
00-0040198,Ollie Gordon II,MIA,RB,4000,3.0,True,False
00-0037563,Malik Davis,DAL,RB,4000,4.0,True,False
00-0033955,Jeremy McNichols,WAS,RB,4000,4.0,True,False
00-0039921,Trey Benson,ARI,RB,4000,5.0,True,False
00-0033553,James Conner,ARI,RB,4000,4.0,True,False
00-0040177,Jordan James,SF,RB,4000,3.0,True,False
00-0041081,Max Bredeson,MIN,RB,4000,,True,False
00-0037329,Brittain Brown,CHI,RB,4000,4.0,True,False
00-0038440,Zavier Scott,CHI,RB,4000,,True,False
00-0036020,Salvon Ahmed,CHI,RB,4000,,True,False
00-0039363,Isaac Guerendo,SF,RB,4000,4.0,True,False
00-0037509,Sincere McCormick,SF,RB,4000,,True,False
00-0029892,Kyle Juszczyk,SF,RB,4000,,True,False
00-0041436,DJ Herman,MIA,RB,4000,,True,False
00-0040692,Jarquez Hunter,MIA,RB,4000,,True,False
00-0038930,Carlos Washington Jr.,MIA,RB,4000,,True,False
00-0040067,Jacardia Wright,SEA,RB,4000,,True,False
00-0040649,Robbie Ouzts,SEA,RB,4000,,True,False
00-0037745,Velus Jones Jr.,SEA,RB,4000,,True,False
00-0037157,Bam Knight,ARI,RB,4000,3.0,True,False
00-0038397,Evan Hull,ARI,RB,4000,,True,False
00-0035125,Alec Ingold,LAC,RB,4000,,True,False
00-0041376,Gregory Desrosiers,LAC,RB,4000,,True,False
00-0038614,Scott Matlock,LAC,RB,4000,,True,False
00-0040039,Amar Johnson,LAC,RB,4000,,True,False
00-0039244,Chris Collier,LV,RB,4000,4.0,True,False
00-0033854,Dare Ogunbowale,LV,RB,4000,,True,False
00-0037304,Connor Heyward,LV,RB,4000,,True,False
00-0040238,LeQuint Allen Jr.,JAX,RB,4000,3.0,True,False
00-0041217,J'Mari Taylor,JAX,RB,4000,,True,False
00-0037085,Tyler Badie,DEN,RB,4000,4.0,True,False
00-0039703,Cody Schrader,DEN,RB,4000,,True,False
00-0036727,Adam Prentice,DEN,RB,4000,,True,False
00-0040888,Adam Randall,BAL,RB,4000,4.0,True,False
00-0035924,Jonathan Ward,BAL,RB,4000,,True,False
00-0037276,Ty Chandler,NO,RB,4000,5.0,True,False
00-0038040,Zamir White,NO,RB,4000,,True,False
00-0040586,Jaydon Blue,PHI,RB,4000,,True,False
00-0037258,Dameon Pierce,PHI,RB,4000,,True,False
00-0039325,Carson Steele,PHI,RB,4000,,True,False
00-0037594,Julius Chestnut,TEN,RB,4000,3.0,True,False
00-0036924,Michael Carter,TEN,RB,4000,,True,False
00-0040205,Kalel Mullings,TEN,RB,4000,,True,False
00-0040394,Anthony Tyus III,CAR,RB,4000,,True,False
00-0040260,Ahmani Marshall,CAR,RB,4000,,True,False
00-0036984,Trey Sermon,ATL,RB,4000,3.0,True,False
00-0041191,Cash Jones,ATL,RB,4000,,True,False
00-0037120,Tyler Goodson,ATL,RB,4000,3.0,True,False
00-0036842,Kene Nwangwu,NYJ,RB,4000,4.0,True,False
00-0041239,Chip Trayanum,NYJ,RB,4000,5.0,True,False
00-0034959,Andrew Beck,NYJ,RB,4000,4.0,True,False
00-0038098,Pierre Strong Jr.,GB,RB,4000,,True,False
00-0041139,Damon Bankston,GB,RB,4000,,True,False
00-0038409,Lew Nichols,PIT,RB,4000,,True,False
00-0035594,Travis Homer,PIT,RB,4000,,True,False
00-0041398,Riley Nowakowski,PIT,RB,4000,,True,False
00-0041323,Myles Montgomery,NE,RB,4000,4.0,True,False
00-0036187,Reggie Gilliam,NE,RB,4000,,True,False
