player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available
00-0034857,Josh Allen,QB,BUF,8000,44220217,22.8099,22.8099,1.0,1.292883916162453,29.49060245391837,LAC,28.78,50.28,2.0,1.0,8.5681,statline_mc+recal_10_4b,10.056617568662348,50.88089738127004,34.62225,384.17632104911576,2.54,7.4495,41.03265941359593,0.61075,0.0,0.0,0.0,0.0,34.25656878332422,-4.765966329405849,39.7,7.7,97.9787234042553,21.19590532403506,14.655860451156592,,classic,True
00-0034796,Lamar Jackson,QB,BAL,7500,44220218,20.0126,20.0126,1.0,1.2564962868333498,25.14580389219459,DAL,27.97,52.56,2.0,1.0,8.2903,statline_mc+recal_10_4b,9.473441101641159,42.37807377099796,34.71775,383.84085335178753,1.8225,3.9865,23.58310458755778,0.25075,0.0,0.0,0.0,0.0,27.452194592827283,-2.3063907006326936,22.4,,94.94122116931878,3.425910921154433,11.797360746632723,,classic,True
00-0039139,Jahmyr Gibbs,RB,DET,8800,44220302,19.9442,19.9442,1.0,1.2142686676119216,24.217666179814607,NYJ,27.03,47.5,2.0,1.0,10.0782,statline_mc+recal_10_4b,5.998638645843027,48.25407060801835,0.0,0.0,0.0,17.51725,93.41563720756183,0.7075,5.57325,4.3295,41.288315262199816,0.22625,24.538645246976163,-0.3209790671615558,30.5,55.4,93.33878434352464,39.305750541533065,21.57213632055237,,classic,True
00-0038543,Jaxon Smith-Njigba,WR,SEA,8600,44220610,21.463,21.463,1.0,1.0583858604860108,22.716132780436862,WAS,23.56,40.17,2.0,1.0,10.2361,statline_mc+recal_10_4b,5.9048163828824505,47.29877194091806,0.0,0.0,0.0,0.025,0.16799632509038315,0.0015,10.242,6.8445,100.33311138534513,0.731,22.175110771043553,0.5410220093933091,37.4,20.0,80.80322533010103,27.782104551600554,5.478633234179443,,classic,True
00-0037834,Brock Purdy,QB,SF,6500,44220221,17.6885,17.6885,1.0,1.267727036626283,22.42415713905239,ARI,28.22,47.83,2.0,1.0,8.3457,statline_mc+recal_10_4b,6.255274301592523,40.930645729948274,33.08175,339.7578038293857,2.486,3.2155,19.130041479513892,0.1975,0.0,0.0,0.0,0.0,27.321566301126815,-4.897409162074425,25.3,24.6,92.63212944752368,12.700232111978496,10.003556881777866,,classic,True
00-0038134,Kenneth Walker III,RB,KC,7400,44220310,17.2823,17.2823,1.0,1.291536226187301,22.32075356479553,MIA,28.75,46.11,2.0,1.0,10.5267,statline_mc+recal_10_4b,2.2571611907379827,49.96045384209519,0.0,0.0,0.0,16.73425,113.7907869370612,0.6,6.23075,4.3325,45.29363443396361,0.27275,26.81219213710248,-4.491438572306947,32.0,23.2,92.92843733237977,34.94530387145036,20.782228512075744,,classic,True
00-0036963,Amon-Ra St. Brown,WR,DET,7900,44220614,17.7758,17.7758,1.0,1.2142686676119216,21.58458222117066,NYJ,27.03,47.5,2.0,1.0,10.4253,statline_mc+recal_10_4b,4.23748381511469,46.880818485512734,0.0,0.0,0.0,0.0305,0.2874267975000763,0.002,10.80575,7.0415,102.26816232703408,0.873,23.457558912453415,-1.872976691282755,33.5,36.5,93.0416902526365,30.717155580925635,11.254469755650733,,classic,True
00-0033873,Patrick Mahomes,QB,KC,6200,44220223,16.6557,16.6557,1.0,1.291536226187301,21.511449936915724,MIA,28.75,46.11,2.0,1.0,8.3214,statline_mc+recal_10_4b,5.7898726458608785,39.524180551550145,35.6495,341.81837335003144,2.45725,2.98025,17.143534146481013,0.191,0.0,0.0,0.0,0.0,27.065088348649358,-5.553638411733633,27.3,28.4,92.1391717325228,14.60269435000334,9.657448207104322,,classic,True
00-0033077,Dak Prescott,QB,DAL,6700,44220219,19.1674,19.1674,1.0,1.1042073196411777,21.164798093914797,BAL,24.58,52.56,2.0,1.0,8.1883,statline_mc+recal_10_4b,7.008756602008214,37.34223092638588,35.79775,278.1038877253261,2.45175,2.92275,14.815560604760664,0.12275,0.0,0.0,0.0,0.0,23.274211569489115,-2.1094134755743177,22.6,,91.39500268192381,2.196149918942841,9.157511947945556,,classic,True
00-0033106,Jared Goff,QB,DET,6300,44220222,17.0955,17.0955,1.0,1.2142686676119216,20.75856340083927,NYJ,27.03,47.5,2.0,1.0,8.2477,statline_mc+recal_10_4b,6.198928421857994,38.0945031469375,35.94475,308.59462867937236,2.533,2.2605,11.073730317847836,0.11225,0.0,0.0,0.0,0.0,24.76315817895968,-4.00459477812041,24.6,10.9,88.2780708027892,9.686753054751831,7.329714231752134,,classic,True
00-0032764,Derrick Henry,RB,BAL,7700,44220306,16.3955,16.3955,1.0,1.2564962868333498,20.60084379764163,DAL,27.97,52.56,2.0,1.0,10.0438,statline_mc+recal_10_4b,3.8812933025744045,43.51685305726315,0.0,0.0,0.0,15.1375,90.5486667144447,0.91425,2.5725,2.013,21.438719343051908,0.10575,20.198238605749662,0.4026051918919684,28.0,6.7,96.09415787591632,26.157686394253716,27.712705760137233,,classic,True
00-0033280,Christian McCaffrey,RB,SF,8300,44220304,15.1126,15.1126,1.0,1.267727036626283,19.158657807088,ARI,28.22,47.83,2.0,1.0,8.9166,statline_mc+recal_10_4b,6.101060429914086,37.128002192642285,0.0,0.0,0.0,10.09575,53.63498000653345,0.47425,5.29475,3.98475,38.05890192742391,0.1585,17.608638193395738,1.550019613692264,18.2,14.0,92.90010330373283,14.403958792978989,20.72876610024861,,classic,True
00-0036223,Jonathan Taylor,RB,IND,7600,44220308,21.2751,21.2751,1.0,0.8921707635506017,18.9810651681342,HOU,19.86,42.56,2.0,1.0,9.2204,statline_mc+recal_10_4b,5.259451793155937,38.91789926388381,0.0,0.0,0.0,17.44675,68.45625314167745,0.729,3.5775,2.7575,20.246765353142937,0.0945,17.199801849482036,1.7812633186521651,27.7,18.6,76.64191871784173,15.310291340363415,4.728015799194125,,classic,True
00-0036322,Justin Jefferson,WR,MIN,7500,44220618,18.8549,18.8549,1.0,0.9856106018278047,18.583591870587327,TB,21.94,42.5,2.0,1.0,8.802,statline_mc+recal_10_4b,7.284535939742053,35.03977453694316,0.0,0.0,0.0,0.03525,0.21907153452586176,0.00125,7.697,4.9765,64.22591584528344,0.44075,14.62499873798093,3.9585931326063974,19.9,,81.741271242755,4.344441412785472,5.7894357328149715,,classic,True
00-0036442,Joe Burrow,QB,CIN,6600,44220220,17.7777,17.7777,1.0,1.0345766709249928,18.39241965697893,PIT,23.03,42.5,2.0,1.0,7.9234,statline_mc+recal_10_4b,7.526699508854108,31.764516184359607,33.47025,245.73596384475627,1.5755,2.34375,10.079351256449117,0.095,0.0,0.0,0.0,0.0,17.614623679435166,0.7777959775437644,15.7,,75.63637582692651,1.1030284879731984,2.971177433353014,,classic,True
00-0036358,CeeDee Lamb,WR,DAL,7800,44220616,16.2673,16.2673,1.0,1.1042073196411777,17.962501392274294,BAL,24.58,52.56,2.0,1.0,9.7983,statline_mc+recal_10_4b,3.990641014519732,37.66774006448411,0.0,0.0,0.0,0.3495,2.4128049028192224,0.014,8.19125,5.398,83.25480285522572,0.5775,18.258260775804498,-0.2957593835302035,26.9,4.2,93.03039206034727,15.35276594427307,11.2469925251131,,classic,True
00-0037239,Chris Olave,WR,NO,7200,44220620,17.0052,17.0052,1.0,1.0556904805357068,17.952219788277645,LV,23.5,43.89,2.0,1.0,9.5206,statline_mc+recal_10_4b,4.864524125015408,37.69145872498113,0.0,0.0,0.0,0.034,0.2894920793108878,0.00175,8.575,5.7805,83.77358924240957,0.41425,17.413058132172047,0.5391616561055983,26.9,12.3,84.76572979092575,17.615256345243022,6.916737215074753,,classic,True
00-0040122,Ashton Jeanty,RB,LV,7100,44220312,19.5155,19.5155,1.0,0.9159799531116197,17.87576334904386,NO,20.39,43.89,2.0,1.0,8.4736,statline_mc+recal_10_4b,6.658779492883157,33.90139498267582,0.0,0.0,0.0,15.54225,51.60857958671435,0.295,5.1235,3.90825,26.54492034814071,0.19775,15.172599993485507,2.7031633555583543,23.0,,76.11821324274389,4.759667779082309,4.508191309597921,,classic,True
00-0039150,Bryce Young,QB,CAR,5600,44220229,17.1151,17.1151,1.0,1.0044782614799321,17.19176049210688,CLE,22.36,41.94,2.0,1.0,8.1053,statline_mc+recal_10_4b,4.719716898223641,32.758016411117694,34.266,283.8308430244903,2.0305,1.6905,7.240357700103074,0.07825,0.0,0.0,0.0,0.0,20.91901949098992,-3.727258998883041,29.8,,70.68961201501877,2.894885831359373,2.086771310898641,,classic,True
00-0037744,Trey McBride,TE,ARI,6700,44221104,19.4551,19.4551,1.0,0.8809400137576686,17.138742958415744,SF,19.61,47.83,2.0,1.0,7.4561,statline_mc+recal_10_4b,6.317327285925762,32.37109667483403,0.0,0.0,0.0,0.0,0.0,0.0,9.5145,6.59125,57.364832913487916,0.492,15.721233291348792,1.4175096670669518,21.3,8.4,80.838399189463,14.272776577440451,3.4013291460032007,,classic,True
00-0040743,Tyler Shough,QB,NO,5400,44220232,16.1917,16.1917,1.0,1.0556904805357068,17.093389282748596,LV,23.5,43.89,2.0,1.0,8.1698,statline_mc+recal_10_4b,3.9700759943353017,32.770375872834464,36.6325,284.1578459440077,1.751,5.21975,20.522394063927518,0.24975,0.0,0.0,0.0,0.0,21.90005324415306,-4.806663961404464,25.8,12.3,77.45279814053279,10.368454180959805,3.382796612142749,,classic,True
00-0036971,Trevor Lawrence,QB,JAX,5700,44220228,15.5897,15.5897,1.0,1.0857888899807675,16.927117225954554,NE,24.17,45.39,2.0,1.0,8.0528,statline_mc+recal_10_4b,4.8657663023305044,31.77267579420766,32.248,271.4500971530839,1.861,1.776,7.804922966631537,0.077,0.0,0.0,0.0,0.0,19.719746182786512,-2.792628956831958,16.6,,80.08027892007867,1.3088915675953299,4.081154711788762,,classic,True
00-0037248,James Cook III,RB,BUF,6900,44220314,13.0746,13.0746,1.0,1.292883916162453,16.903954122693175,LAC,28.78,50.28,2.0,1.0,9.5177,statline_mc+recal_10_4b,1.9617165924523885,38.058339038692594,0.0,0.0,0.0,13.85725,88.6529085697892,0.55475,3.40475,2.47175,24.568205898806912,0.12975,18.831861446859612,-1.927907324166437,16.9,,94.84146850229452,6.117528846801901,24.72982852394561,,classic,True
