player_id,player_name,team,hist_team,position,salary,games_played,_no_usage_history,rush_mu,recv_mu,pass_mu,rush_price_share,recv_price_share,volume_prior_weight,absent_player_factor
00-0039139,Jahmyr Gibbs,DET,DET,RB,8000,17,False,22.478011679660234,6.120508379454825,0.0,0.37387191514133655,0.09781721880614108,0.0,1.0
00-0036900,Ja'Marr Chase,CIN,CIN,WR,7800,16,False,0.06741460559407934,10.457259644502182,0.0,0.004612732261743838,0.2136044831712913,0.0,1.0
00-0038542,Bijan Robinson,ATL,ATL,RB,7700,17,False,23.108608051524975,8.342617503255086,0.0,0.36546598626483595,0.10144275068107513,0.0,1.0
00-0036963,Amon-Ra St. Brown,DET,DET,WR,7500,17,False,0.0,12.770667558418866,0.0,0.004722339329203488,0.1760419859672212,0.0,1.0
00-0036223,Jonathan Taylor,IND,IND,RB,7300,17,False,14.561497579723579,3.8134910321322653,0.0,0.3909400481468939,0.07478221786228213,0.0,1.0
00-0037248,James Cook III,BUF,BUF,RB,7200,17,False,11.14370556766544,2.9374787050741156,0.0,0.38961442667851254,0.08458626817974542,0.0,1.0
00-0038597,Chase Brown,CIN,CIN,RB,7100,17,False,12.698610730989733,4.661103074365872,0.0,0.3370503610921806,0.09833522596348625,0.0,1.0
00-0034857,Josh Allen,BUF,BUF,QB,7000,16,False,5.903043283348895,0.0,32.57445189,0.0894555466865405,0.0,0.0,1.0
00-0036554,Nico Collins,HOU,HOU,WR,7000,15,False,0.08577334448500162,7.628307704678346,0.0,0.004509921061920384,0.16066939182997278,0.0,1.0
00-0036442,Joe Burrow,CIN,CIN,QB,6900,8,False,1.8552752407169906,0.0,36.55571185,0.07717126639862369,0.0,0.0,1.0
00-0034796,Lamar Jackson,BAL,BAL,QB,6800,13,False,3.3222701540488435,0.0,30.95206562,0.087952374748447,0.0,0.0,1.0
00-0032764,Derrick Henry,BAL,BAL,RB,6700,17,False,20.62824303100386,1.682376355945649,0.0,0.38168300899587826,0.10660702326699052,0.0,1.0
00-0037239,Chris Olave,NO,NO,WR,6700,16,False,0.0,11.55807373512931,0.0,0.004518964310287277,0.14369698343760684,0.0,1.0
00-0037238,Drake London,ATL,ATL,WR,6500,12,False,0.0,9.092813431090148,0.0,0.004737873681656479,0.176649065490788,0.0,1.0
00-0039064,Zay Flowers,BAL,BAL,WR,6400,17,False,0.2569711721363747,11.905815763822883,0.0,0.005422436076761604,0.22027867857406147,0.0,1.0
00-0039918,Caleb Williams,CHI,CHI,QB,6300,17,False,2.854628183514122,0.0,35.14013111,0.06524533479542295,0.0,0.0,1.0
00-0036410,Tee Higgins,CIN,CIN,WR,6300,15,False,0.0,5.566628389447215,0.0,0.004600865163373088,0.18779533631071213,0.0,1.0
00-0038120,Breece Hall,NYJ,NYJ,RB,6200,16,False,14.890041269682536,2.3256423248654707,0.0,0.33366211685039504,0.08666045084854833,0.0,1.0
00-0040129,Emeka Egbuka,TB,TB,WR,6200,17,False,0.0,6.73290613261251,0.0,0.00455096750589933,0.16599327948741613,0.0,1.0
00-0036275,D'Andre Swift,CHI,CHI,RB,6100,16,False,12.000348020290058,2.5114836348696405,0.0,0.2960773811504752,0.07460227530301396,0.0,1.0
00-0040124,Tetairoa McMillan,CAR,CAR,WR,6100,17,False,0.0,7.072398645454627,0.0,0.0047573822447655205,0.1377739640409422,0.0,1.0
00-0033106,Jared Goff,DET,DET,QB,6000,17,False,2.366752940695637,0.0,37.42997106,0.06891572525406378,0.0,0.0,1.0
00-0035685,David Montgomery,HOU,DET,RB,6000,17,False,13.922085976721824,1.6861145494528422,0.0,0.2937522645219722,0.06587126844733765,0.0,1.0
00-0037240,Jameson Williams,DET,DET,WR,6000,17,False,0.12327618241604177,7.37044909426257,0.0,0.0046225766699829664,0.15190406490996644,0.0,1.0
00-0034855,Baker Mayfield,TB,TB,QB,5900,17,False,3.169906718177343,0.0,34.71196355,0.06700153449869012,0.0,0.0,1.0
00-0036973,Travis Etienne Jr.,NO,JAX,RB,5900,17,False,65.86556311900932,2.9814361782355894,0.0,0.2890617044768838,0.0589251520146758,0.0,1.0
00-0036971,Trevor Lawrence,JAX,JAX,QB,5800,17,False,7.110828965174295,0.0,33.07733183,0.065286485653989,0.0,0.0,1.0
00-0040719,Bhayshul Tuten,JAX,JAX,RB,5800,15,False,10.818224094457415,0.5137230703127993,0.0,0.28093656063822103,0.07398811412162004,0.0,1.0
00-0037740,Garrett Wilson,NYJ,NYJ,WR,5800,7,False,0.0,6.602347193022968,0.0,0.004807607127375873,0.1771966022401055,0.0,1.0
00-0039361,Bucky Irving,TB,TB,RB,5700,10,False,16.47340779656066,3.724834826570388,0.0,0.2829526960578049,0.06802478131816637,0.0,1.0
00-0037664,Alec Pierce,IND,IND,WR,5700,15,False,0.0,7.1328444564647615,0.0,0.005019466714953844,0.1260481137666865,0.0,1.0
00-0040743,Tyler Shough,NO,NO,QB,5600,11,False,16.277767254744948,0.0,35.78104188,0.0659477604488888,0.0,0.0,1.0
00-0035261,Tony Pollard,TEN,TEN,RB,5600,17,False,17.580375598104528,2.7203555531579084,0.0,0.27749844968664755,0.05958327891352326,0.0,1.0
00-0038606,Parker Washington,JAX,JAX,WR,5600,16,False,0.3942501492149204,9.271550383432148,0.0,0.004226213880792621,0.16158905617315988,0.0,1.0
00-0034827,DJ Moore,BUF,CHI,WR,5600,17,False,0.1584206302024942,7.165075747126629,0.0,0.004990879311948339,0.1434633373050561,0.0,1.0
00-0036555,Chuba Hubbard,CAR,CAR,RB,5500,15,False,9.598554921424276,2.3983160809938817,0.0,0.2801890681749602,0.055406353917290097,0.0,1.0
00-0040784,Quinshon Judkins,CLE,CLE,RB,5500,14,False,10.620121919892085,3.807093867020467,0.0,0.3002916738103163,0.06601906428567869,0.0,1.0
00-0040735,Luther Burden III,CHI,CHI,WR,5500,15,False,0.4471508594991531,5.334269647123861,0.0,0.004169886352751647,0.14929044326280877,0.0,1.0
00-0039893,Brian Thomas Jr.,JAX,JAX,WR,5500,14,False,0.18924007162316178,6.398756488374,0.0,0.004177479302663345,0.1594855543150601,0.0,1.0
00-0035710,Daniel Jones,IND,IND,QB,5400,13,False,1.9382330792282887,0.0,34.98162989,0.0749989550110523,0.0,0.0,1.0
00-0037228,Jaylen Warren,PIT,PIT,RB,5400,16,False,16.669979106856218,4.979922719814668,0.0,0.2864562754943652,0.0813605059701953,0.0,1.0
00-0039919,Rome Odunze,CHI,CHI,WR,5400,12,False,0.0,7.570503802493284,0.0,0.004121240354166134,0.14732140772132332,0.0,1.0
00-0035640,DK Metcalf,PIT,PIT,WR,5400,15,False,0.2054974860009504,13.714100681219008,0.0,0.00472146791186344,0.18615386481208177,0.0,1.0
00-0023459,Aaron Rodgers,PIT,PIT,QB,5300,16,False,1.759175807732217,0.0,35.11470917,0.0698410848014459,0.0,0.0,1.0
00-0041438,Carnell Tate,TEN,,WR,5300,0,False,0.12568779335781402,5.399137660173383,0.0,0.004215407254311902,0.13093543516053224,1.0,1.0
00-0040126,Colston Loveland,CHI,CHI,TE,5300,16,False,0.0,9.186447824989617,0.0,0.0,0.1398132520216082,0.0,1.0
00-0039150,Bryce Young,CAR,CAR,QB,5200,16,False,6.095193977213087,0.0,33.45088061,0.05909157252036739,0.0,0.0,1.0
00-0039163,C.J. Stroud,HOU,HOU,QB,5200,14,False,3.5960426188426533,0.0,33.41059431,0.055180868110782974,0.0,0.0,1.0
00-0036139,Rico Dowdle,PIT,CAR,RB,5200,17,False,12.819248007048389,5.953800845100751,0.0,0.26776397060900065,0.07919400898110698,0.0,1.0
00-0036919,Kenny Gainwell,TB,PIT,RB,5200,17,False,6.621468984761363,6.198507377018816,0.0,0.24030045141620154,0.06318247089695428,0.0,1.0
00-0038997,Josh Downs,IND,IND,WR,5200,16,False,0.4592208832410933,6.687360665466372,0.0,0.004790635476646289,0.11823030573992195,0.0,1.0
00-0033921,Chris Godwin Jr.,TB,TB,WR,5200,9,False,0.0,7.104366695826241,0.0,0.004187240332091019,0.14489137271595112,0.0,1.0
00-0040676,Cam Ward,TEN,TEN,QB,5100,17,False,2.4359301670684683,0.0,32.56050767,0.05655289569167896,0.0,0.0,1.0
00-0040236,Kyle Monangai,CHI,CHI,RB,5100,17,False,8.124489711400935,2.7227096490526446,0.0,0.22886701235928708,0.061894226362572774,0.0,1.0
00-0039032,Tyjae Spears,TEN,TEN,RB,5100,13,False,6.489989976034196,4.722892053311438,0.0,0.2368898191660631,0.05575504765163542,0.0,1.0
00-0038611,Chris Rodriguez Jr.,JAX,WAS,RB,5100,12,False,9.162146880665382,0.8305597990719188,0.0,0.22928375651351024,0.06612101072645046,0.0,1.0
00-0041029,Jordyn Tyson,NO,,WR,5100,0,False,0.4348697707097586,4.580120254475883,0.0,0.00412138504630909,0.11786498057286167,1.0,1.0
00-0039344,Jonathon Brooks,CAR,,RB,5000,0,False,8.209351854760028,2.0149497290019394,0.0,0.2422711114280836,0.05188199105189987,1.0,1.0
00-0037197,Isiah Pacheco,DET,KC,RB,5000,13,False,8.435082522660828,1.6291033634166574,0.0,0.2368933464612627,0.058049089984391664,0.0,1.0
00-0040583,Woody Marks,HOU,HOU,RB,5000,16,False,9.042728848935381,2.1213185856577272,0.0,0.22623751030077968,0.05528211849249921,0.0,1.0
00-0034960,Jakobi Meyers,JAX,JAX,WR,5000,16,False,0.69388026261826,7.139879331174284,0.0,0.004080058880982925,0.1500620220610169,0.0,1.0
00-0039164,Anthony Richardson Sr.,IND,IND,QB,4900,2,False,0.3902710299608285,0.0,0.0,0.05331534672446977,0.0,0.3333333333333333,1.0
00-0033906,Alvin Kamara,NO,NO,RB,4900,11,False,0.0,0.0,0.0,0.22174567014406557,0.050051001855541136,0.0,1.0
00-0036252,Michael Pittman Jr.,PIT,IND,WR,4900,17,False,0.0,8.979681628783503,0.0,0.0046657927215997255,0.17543874921588973,0.0,1.0
00-0040128,Tyler Warren,IND,IND,TE,4900,17,False,0.0,8.18398111409351,0.0,0.0,0.10868136373783667,0.0,1.0
00-0036212,Tua Tagovailoa,ATL,MIA,QB,4800,14,False,2.173905568935564,0.0,26.47252953246145,0.048089124320258005,0.0,0.0,1.0
00-0039917,Michael Penix Jr.,ATL,ATL,QB,4800,9,False,2.1495104921741657,0.0,32.40433917,0.048089124320258005,0.0,0.0,1.0
00-0038117,Wan'Dale Robinson,TEN,NYG,WR,4800,16,False,0.2736435907260586,10.24802008130601,0.0,0.004137984531481617,0.1226667827084436,0.0,1.0
00-0037261,Khalil Shakir,BUF,BUF,WR,4800,16,False,0.0,6.302584329987888,0.0,0.004729784468271107,0.12915500843768876,0.0,1.0
00-0033537,Deshaun Watson,CLE,,QB,4700,0,False,1.0789030928984684,0.0,31.113141499999998,0.05253653842808154,0.0,1.0,1.0
00-0040668,Shedeur Sanders,CLE,CLE,QB,4700,8,False,2.576672681746514,0.0,0.0,0.05253653842808154,0.0,0.0,1.0
00-0037746,Brian Robinson Jr.,ATL,SF,RB,4700,17,False,6.4030716960641705,0.6182007597554128,0.0,0.21818171011406,0.06175114045748439,0.0,1.0
00-0039794,Braelon Allen,NYJ,NYJ,RB,4700,4,False,0.0,0.0,0.0,0.2290720678260843,0.06797800630938645,0.0,1.0
00-0040162,Dylan Sampson,CLE,CLE,RB,4700,15,False,3.4275505333523895,1.4942327628522145,0.0,0.23835975305716198,0.06022531491668941,0.0,1.0
00-0038951,Sean Tucker,TB,TB,RB,4700,17,False,3.497588109054166,0.3640507604434039,0.0,0.21142603860437997,0.06002171061207022,0.0,1.0
00-0030279,Keenan Allen,IND,LAC,WR,4700,17,False,0.0,7.307822914297836,0.0,0.004614571975323263,0.10982296361790063,0.0,1.0
00-0036970,Kyle Pitts Sr.,ATL,ATL,TE,4700,17,False,0.0,10.298399808966236,0.0,0.0,0.1329027888081398,0.0,1.0
00-0030565,Geno Smith,NYJ,LV,QB,4600,15,False,1.29213818659795,0.0,31.69685047,0.050489452769566776,0.0,0.0,1.0
00-0039875,Ray Davis,BUF,BUF,RB,4600,17,False,6.6145957661127035,2.4020804385373884,0.0,0.2343130421574853,0.05488603527261275,0.0,1.0
00-0033526,Samaje Perine,CIN,CIN,RB,4600,15,False,5.991473072173801,2.556163805103781,0.0,0.20458178482862216,0.0650659345148036,0.0,1.0
00-0039491,Jalen Coker,CAR,CAR,WR,4600,11,False,0.0,5.995702979315321,0.0,0.004161781462289169,0.11107022828673471,0.0,1.0
00-0041547,KC Concepcion,CLE,,WR,4600,0,False,0.09159934307723698,3.990744337699317,0.0,0.004460375022779877,0.13234497531516304,1.0,1.0
00-0038933,Dalton Kincaid,BUF,BUF,TE,4600,12,False,0.0,4.7838764157629425,0.0,0.0,0.1196504765109794,0.0,1.0
00-0040644,Trevor Etienne,CAR,CAR,RB,4500,17,False,0.0,0.09835310369004399,0.0,0.20503308497115486,0.046578983161221776,0.0,1.0
00-0039405,Jawhar Jordan,HOU,HOU,RB,4500,4,False,7.971327123334389,1.3194329691546516,0.0,0.19146391164731036,0.04963157377292856,0.0,1.0
00-0034837,Calvin Ridley,TEN,TEN,WR,4500,7,False,0.0,0.0,0.0,0.003980581578460288,0.11519170836181174,0.0,1.0
00-0038608,Kayshon Boutte,HOU,NE,WR,4500,14,False,0.0,3.0712621786192704,0.0,0.003884008845148285,0.11567156263323494,0.0,1.0
00-0040130,Jayden Higgins,HOU,HOU,WR,4500,17,False,0.0,4.273988630303734,0.0,0.003884008845148285,0.11567156263323494,0.0,1.0
00-0040206,Riley Leonard,IND,IND,QB,4400,5,False,0.8442158514301675,0.0,0.0,0.05091232891969621,0.0,0.0,1.0
00-0026158,Joe Flacco,CIN,CIN,QB,4400,13,False,0.8251766940900008,0.0,0.0,0.04470873319889965,0.0,0.0,1.0
00-0041037,Denzel Boston,CLE,,WR,4400,0,False,0.09154409102239477,3.809872950224185,0.0,0.0044576845571379165,0.1263467410798886,1.0,1.0
00-0039855,Jalen McMillan,TB,TB,WR,4400,4,False,0.15777242837235247,4.294593395416981,0.0,0.003953983737504427,0.12591959943033382,0.0,1.0
00-0039065,Sam LaPorta,DET,DET,TE,4400,9,False,0.0,5.805482114533867,0.0,0.0,0.11588746739778068,0.0,1.0
00-0035993,Tyler Huntley,BAL,BAL,QB,4300,5,False,2.44095911156403,0.0,0.0,0.04862548365754499,0.0,0.0,1.0
00-0040238,LeQuint Allen Jr.,JAX,JAX,RB,4300,16,False,3.8040723898206816,0.502307002083626,0.0,0.17018745913212627,0.0555663061535948,0.0,1.0
00-0041125,Seth McGowan,IND,,RB,4300,0,False,4.146340974078898,1.7414224038864081,0.0,0.19982703759467305,0.042787700087778706,1.0,1.0
00-0040179,DJ Giddens,IND,IND,RB,4300,5,False,2.255726261241741,0.2417872243698887,0.0,0.19982703759467305,0.042787700087778706,0.0,1.0
00-0036898,Davis Mills,HOU,HOU,QB,4200,6,False,0.398926861512756,0.0,0.0,0.03717284230158471,0.0,0.0,1.0
00-0039798,Isaiah Davis,NYJ,NYJ,RB,4200,16,False,3.7055062291010867,1.457798299495729,0.0,0.17687247353181118,0.0593871811912846,0.0,1.0
00-0035537,Ty Johnson,BUF,BUF,RB,4200,17,False,5.35852499287296,3.172916939228076,0.0,0.1878497943232349,0.04933333922048922,0.0,1.0
00-0034975,Justice Hill,BAL,BAL,RB,4200,10,False,0.0,0.0,0.0,0.19280461186150996,0.06785313768143127,0.0,1.0
00-0039796,Rasheen Ali,BAL,BAL,RB,4200,15,False,0.39463430006657535,2.9045766562339765,0.0,0.19280461186150996,0.06785313768143127,0.0,1.0
00-0040663,Harold Fannin Jr.,CLE,CLE,TE,4200,16,False,0.0,6.444360952468143,0.0,0.0,0.11865784546568868,0.0,1.0
00-0040208,Tahj Brooks,CIN,CIN,RB,4100,12,False,2.2059160299395657,0.4861358117409625,0.0,0.14241329615061024,0.05285720355062777,0.0,1.0
00-0041511,Omar Cooper Jr.,NYJ,,WR,4100,0,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
00-0036407,Jerry Jeudy,CLE,CLE,WR,4100,17,False,0.29023774624553544,5.205491475461072,0.0,0.0044576845571379165,0.11429346115895175,0.0,1.0
00-0038102,Kenny Pickett,CAR,LV,QB,4000,6,False,1.0562222551134781,0.0,0.0,0.03428555995231768,0.0,0.0,1.0
00-0041149,Haynes King,CAR,,QB,4000,0,False,1.1617655259306279,0.0,0.0,0.03428555995231768,0.0,1.0,1.0
00-0038416,Tyson Bagent,CHI,CHI,QB,4000,2,False,0.43622274463490157,0.0,0.0,0.031701320320716396,0.0,0.3333333333333333,1.0
00-0028986,Case Keenum,CHI,,QB,4000,0,False,0.8768079240094189,0.0,0.0,0.031701320320716396,0.0,1.0,1.0
00-0034771,Mason Rudolph,PIT,PIT,QB,4000,5,False,0.0,0.0,0.0,0.03631837839951743,0.0,0.0,1.0
00-0040203,Will Howard,PIT,,QB,4000,0,False,1.2772139668095686,0.0,0.0,0.03631837839951743,0.0,1.0,1.0
00-0041565,Drew Allar,PIT,,QB,4000,0,False,1.2772139668095686,0.0,0.0,0.03631837839951743,0.0,1.0,1.0
00-0033662,Cooper Rush,ATL,BAL,QB,4000,4,False,0.0,0.0,0.0,0.033634793459987565,0.0,0.0,1.0
00-0041194,Jack Strand,ATL,,QB,4000,0,False,1.1662626974566923,0.0,0.0,0.033634793459987565,0.0,1.0,1.0
00-0041056,Cade Klubnik,NYJ,,QB,4000,0,False,0.9607520253229499,0.0,0.0,0.035313646064808704,0.0,1.0,1.0
00-0038108,Bailey Zappe,NYJ,,QB,4000,0,False,0.9607520253229499,0.0,0.0,0.035313646064808704,0.0,1.0,1.0
00-0033869,Mitchell Trubisky,TEN,BUF,QB,4000,4,False,0.5152223898181266,0.0,0.0,0.03281259260863164,0.0,0.0,1.0
00-0038550,Hendon Hooker,TEN,,QB,4000,0,False,0.9783496849822234,0.0,0.0,0.03281259260863164,0.0,1.0,1.0
00-0040234,Quinn Ewers,JAX,MIA,QB,4000,4,False,1.9232550757353943,0.0,0.0,0.03175904528417279,0.0,0.0,1.0
00-0039534,Carter Bradley,JAX,,QB,4000,0,False,1.4406746994040573,0.0,0.0,0.03175904528417279,0.0,1.0,1.0
00-0033319,Nick Mullens,JAX,JAX,QB,4000,4,False,2.8386010743474266,0.0,0.0,0.03175904528417279,0.0,0.0,1.0
00-0041203,Joey Aguilar,JAX,,QB,4000,0,False,1.4406746994040573,0.0,0.0,0.03175904528417279,0.0,1.0,1.0
00-0041092,Taylen Green,CLE,,QB,4000,0,False,0.7546130898810068,0.0,0.0,0.03674543140696852,0.0,1.0,1.0
00-0040704,Dillon Gabriel,CLE,CLE,QB,4000,10,False,0.17911815196867334,0.0,0.0,0.03674543140696852,0.0,0.0,1.0
00-0039376,Spencer Rattler,NO,NO,QB,4000,9,False,1.8005632054848353,0.0,0.0,0.032080726807479316,0.0,0.0,1.0
00-0037013,Zach Wilson,NO,MIA,QB,4000,4,False,1.1656099475563004,0.0,0.0,0.032080726807479316,0.0,0.0,1.0
00-0033949,Joshua Dobbs,DET,NE,QB,4000,4,False,1.3995003226592977,0.0,0.0,0.0335245130322265,0.0,0.0,1.0
00-0041453,Luke Altmyer,DET,,QB,4000,0,False,1.3618903877023552,0.0,0.0,0.0335245130322265,0.0,1.0,1.0
00-0040211,Graham Mertz,HOU,,QB,4000,0,False,0.9457757221999913,0.0,0.0,0.03201652758827989,0.0,1.0,1.0
00-0034577,Kyle Allen,BUF,DET,QB,4000,2,False,0.4014748047943466,0.0,0.0,0.037505333744794034,0.0,0.3333333333333333,1.0
00-0036679,Shane Buechele,BUF,KC,QB,4000,1,False,0.5806432438935626,0.0,0.0,0.037505333744794034,0.0,0.6000000000000001,1.0
00-0040981,Joe Fagnano,BAL,,QB,4000,0,False,1.0343190025958113,0.0,0.0,0.03849459266885654,0.0,1.0,1.0
