player_id,player_name,team,hist_team,position,salary,games_played,_no_usage_history,rush_mu,recv_mu,pass_mu,rush_price_share,recv_price_share,volume_prior_weight,absent_player_factor
00-0039139,Jahmyr Gibbs,DET,DET,RB,8000,17,False,22.241927610166737,6.033690640847804,0.0,0.36005663616124695,0.08992566126028562,0.0,1.0
00-0036900,Ja'Marr Chase,CIN,CIN,WR,7800,16,False,0.06612943811813789,10.311845993976698,0.0,0.004133317146694279,0.19504040284926236,0.0,1.0
00-0038542,Bijan Robinson,ATL,ATL,RB,7700,17,False,22.899786718737012,8.339552121627026,0.0,0.4148942866453578,0.11120648405776612,0.0,1.0
00-0036963,Amon-Ra St. Brown,DET,DET,WR,7500,17,False,0.0,12.470294927311052,0.0,0.0045478399013795705,0.16183952264120616,0.0,1.0
00-0036223,Jonathan Taylor,IND,IND,RB,7300,17,False,14.075386561722306,3.8065089425590473,0.0,0.34615234655691857,0.07248901283354753,0.0,1.0
00-0036322,Justin Jefferson,MIN,MIN,WR,7300,17,False,0.2639691505887589,10.268873889548258,0.0,0.004578065724829859,0.17346782568426306,0.0,1.0
00-0037248,James Cook III,BUF,BUF,RB,7200,17,False,11.105047696667123,2.9421373711270955,0.0,0.3875138825266918,0.07525192517230138,0.0,1.0
00-0038597,Chase Brown,CIN,CIN,RB,7100,17,False,12.427306757485749,4.650858570475625,0.0,0.3020197049709395,0.0897890428208453,0.0,1.0
00-0034857,Josh Allen,BUF,BUF,QB,7000,16,False,5.952784780995139,0.0,32.57445189,0.08897326134859179,0.0,0.0,1.0
00-0039040,De'Von Achane,MIA,MIA,RB,7000,16,False,10.47949855091559,5.323489113308845,0.0,0.35579433941249805,0.10670596261483847,0.0,1.0
00-0036554,Nico Collins,HOU,HOU,WR,7000,15,False,0.0889515873867684,7.67813116926992,0.0,0.004636922892925353,0.14827734224779748,0.0,1.0
00-0036442,Joe Burrow,CIN,CIN,QB,6900,8,False,1.8610438798833329,0.0,36.55571185,0.06915062495236954,0.0,0.0,1.0
00-0034844,Saquon Barkley,PHI,PHI,RB,6900,16,False,15.1830215563914,2.2322745455766158,0.0,0.24588207456801858,0.06609827912363651,0.0,1.0
00-0039338,Brock Bowers,LV,LV,TE,6900,12,False,0.0,4.303499201111019,0.0,0.0,0.14175408135519305,0.0,1.0
