team,component,pool_share,share_basis,raw_sum,target,scale,abs_delta
ATL,pass,1.0,exclusive,18.12,30.5,1.6829,12.38
CLE,pass,1.0,exclusive,18.05,30.01,1.6627,11.96
MIN,pass,1.0,exclusive,19.61,32.11,1.6372,12.5
NYJ,pass,1.0,exclusive,21.52,31.31,1.4552,9.79
TEN,pass,1.0,exclusive,25.14,32.41,1.2894,7.27
ATL,recv,1.0,full_season,24.71,28.52,1.1541,3.81
CHI,rush,1.0,recent,34.53,29.33,0.8494,5.2
NYJ,rush,0.9744,recent,34.65,29.46,0.8501,5.19
NO,recv,1.0,recent,45.66,39.7,0.8695,5.96
BAL,recv,1.0,full_season,27.16,30.68,1.1295,3.52
NE,rush,1.0,recent,33.94,29.57,0.871,4.38
MIN,rush,1.0,recent,30.74,26.88,0.8743,3.86
NO,rush,1.0,recent,27.14,24.04,0.8859,3.1
MIN,recv,1.0,full_season,27.66,30.77,1.1123,3.11
BAL,pass,1.0,exclusive,28.7,31.88,1.1109,3.18
BAL,rush,1.0,recent,35.02,31.26,0.8926,3.76
CLE,recv,1.0,full_season,26.2,29.0,1.1069,2.8
HOU,rush,1.0,recent,30.73,27.45,0.8932,3.28
NYJ,recv,1.0,full_season,27.22,30.03,1.1033,2.81
PHI,recv,1.0,full_season,25.93,28.56,1.1011,2.62
NO,pass,1.0,exclusive,45.15,40.97,0.9075,4.18
PHI,pass,1.0,exclusive,27.78,30.31,1.0912,2.53
TB,pass,1.0,exclusive,29.13,31.69,1.088,2.56
ATL,rush,1.0,recent,31.83,29.17,0.9164,2.66
CHI,recv,1.0,recent,29.45,31.75,1.0781,2.3
GB,rush,1.0,full_season,26.26,24.25,0.9233,2.01
GB,recv,1.0,recent,38.46,35.54,0.9241,2.92
CHI,pass,1.0,exclusive,31.26,33.53,1.0724,2.26
CIN,rush,1.0,recent,27.42,25.6,0.9337,1.82
HOU,recv,1.0,recent,37.14,34.83,0.938,2.3
TEN,recv,1.0,recent,31.88,30.47,0.9558,1.41
TEN,rush,1.0,full_season,22.98,23.92,1.041,0.94
GB,pass,1.0,exclusive,38.03,36.52,0.9604,1.51
CAR,rush,1.0,full_season,24.47,25.4,1.0379,0.93
PIT,recv,1.0,recent,35.05,33.86,0.966,1.19
TB,recv,1.0,recent,31.44,30.66,0.9752,0.78
CAR,pass,1.0,exclusive,34.31,35.14,1.0241,0.83
NE,pass,1.0,exclusive,32.48,33.16,1.021,0.68
PHI,rush,1.0,recent,29.11,29.68,1.0196,0.57
CLE,rush,1.0,full_season,25.2,24.79,0.9839,0.4
NE,recv,1.0,recent,32.45,31.95,0.9843,0.51
HOU,pass,1.0,exclusive,35.12,35.65,1.0151,0.53
CIN,pass,1.0,exclusive,34.4,34.79,1.0112,0.39
CAR,recv,1.0,recent,33.63,33.38,0.9927,0.25
TB,rush,1.0,full_season,27.31,27.47,1.0059,0.16
PIT,rush,1.0,full_season,24.26,24.35,1.0038,0.09
CIN,recv,1.0,recent,33.91,33.85,0.9983,0.06
PIT,pass,1.0,exclusive,35.49,35.53,1.0011,0.04
