team,team_attempts,team_carries,team_targets,hist_attempts,hist_carries,hist_targets,recent_attempts,recent_carries,recent_targets,team_attempts_history,team_carries_history,team_targets_history
ARI,34.20198247,28.97078187,33.71901656,37.0,34.0,37.0,37.0,34.0,37.0,37.0,34.0,37.0
ATL,30.4968195,29.1682795,28.522407,22.0,31.0,19.0,22.0,31.0,19.0,22.0,31.0,19.0
BAL,31.880306079999997,31.25590322,30.677933879999998,25.0,37.0,24.0,25.0,37.0,24.0,25.0,37.0,24.0
BUF,29.0,21.0,28.0,29.0,21.0,28.0,29.0,21.0,28.0,29.0,21.0,28.0
CAR,35.135852,25.397011000000003,33.384787,38.0,22.0,34.0,38.0,22.0,34.0,38.0,22.0,34.0
CHI,33.527018,29.329273,31.753479,29.0,39.0,26.0,29.0,39.0,26.0,29.0,39.0,26.0
CIN,34.7912975,25.603458500000002,33.852112999999996,35.0,27.0,34.0,35.0,27.0,34.0,35.0,27.0,34.0
CLE,30.00716776,24.790779340000004,29.00314636,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
DAL,35.845652470000005,24.248688870000002,33.85232656,34.0,18.0,30.0,34.0,18.0,30.0,34.0,18.0,30.0
DEN,32.717858559999996,23.61300344,31.58276756,28.0,15.0,27.0,28.0,15.0,27.0,28.0,15.0,27.0
DET,39.0,33.0,39.0,39.0,33.0,39.0,39.0,33.0,39.0,39.0,33.0,39.0
GB,36.52164407,24.251001310000003,35.5371872,42.0,21.0,40.0,42.0,21.0,40.0,42.0,21.0,40.0
HOU,35.645444999999995,27.446551,34.832037,38.0,32.0,37.0,38.0,32.0,37.0,38.0,32.0,37.0
IND,33.85401636,22.49431012,32.42820484,31.0,20.0,29.0,31.0,20.0,29.0,31.0,20.0,29.0
JAX,31.283118360000003,29.00329156,29.631410279999997,23.0,32.0,21.0,23.0,32.0,21.0,23.0,32.0,21.0
KC,32.64360926,31.53014638,31.1561734,27.0,38.0,25.0,27.0,38.0,25.0,27.0,38.0,25.0
LA,33.307532679999994,26.854583119999997,32.15804548,28.0,29.0,27.0,28.0,29.0,27.0,28.0,29.0,27.0
LAC,31.919950639999996,25.384938220000002,31.130057,27.0,21.0,27.0,27.0,21.0,27.0,27.0,21.0,27.0
LV,32.83928586,29.35654728,31.747751,30.0,37.0,29.0,30.0,37.0,29.0,30.0,37.0,29.0
MIA,32.37396801,22.879029590000002,31.44563936,27.0,18.0,27.0,27.0,18.0,27.0,27.0,18.0,27.0
MIN,32.1060105,26.880522499999998,30.766106999999998,24.0,34.0,23.0,24.0,34.0,23.0,24.0,34.0,23.0
NE,33.16216524,29.56526766,31.945189640000002,33.0,31.0,31.0,33.0,31.0,31.0,33.0,31.0,31.0
NO,40.97222723,24.04048253,39.70493424,56.0,25.0,52.0,56.0,25.0,52.0,56.0,25.0,52.0
NYG,33.658241509999996,28.219377629999997,32.7835964,29.0,37.0,29.0,29.0,37.0,29.0,29.0,37.0,29.0
NYJ,31.3114352,30.232279440000006,30.02959284,24.0,39.0,23.0,24.0,39.0,23.0,24.0,39.0,23.0
PHI,30.311218509999996,29.679476090000005,28.555371359999995,25.0,25.0,22.0,25.0,25.0,22.0,25.0,25.0,22.0
PIT,35.52735026,24.351948840000002,33.86180236,41.0,21.0,37.0,41.0,21.0,37.0,41.0,21.0,37.0
SEA,30.391796300000003,25.94326538,29.532461480000002,24.0,22.0,24.0,24.0,22.0,24.0,24.0,22.0,24.0
SF,34.314237989999995,30.87140341,33.76481264,34.0,30.0,34.0,34.0,30.0,34.0,34.0,30.0,34.0
TB,31.69486774,27.47429716,30.656623640000003,28.0,20.0,27.0,28.0,20.0,27.0,28.0,20.0,27.0
TEN,32.40964599,23.92065341,30.47466464,32.0,14.0,28.0,32.0,14.0,28.0,32.0,14.0,28.0
WAS,35.8820713,27.98116438,33.51843548,34.0,32.0,29.0,34.0,32.0,29.0,34.0,32.0,29.0
