player_id,player_name,team,position,salary,depth_rank_h,excluded,guarded
00-0039855,Jalen McMillan,TB,WR,4100,3.0,False,True
00-0035537,Ty Johnson,BUF,RB,4000,3.0,True,False
00-0038951,Sean Tucker,TB,RB,4000,3.0,True,False
00-0039373,Audric Estime,NO,RB,4000,,True,False
00-0037276,Ty Chandler,NO,RB,4000,5.0,True,False
00-0038040,Zamir White,NO,RB,4000,,True,False
00-0039244,Chris Collier,LV,RB,4000,4.0,True,False
00-0033854,Dare Ogunbowale,LV,RB,4000,,True,False
00-0037304,Connor Heyward,LV,RB,4000,,True,False
00-0040998,Roman Hemby,LV,RB,4000,,True,False
00-0039363,Isaac Guerendo,SF,RB,4000,4.0,True,False
00-0037509,Sincere McCormick,SF,RB,4000,,True,False
00-0029892,Kyle Juszczyk,SF,RB,4000,,True,False
00-0033553,James Conner,ARI,RB,4000,4.0,True,False
00-0039921,Trey Benson,ARI,RB,4000,5.0,True,False
00-0038397,Evan Hull,ARI,RB,4000,,True,False
00-0033955,Jeremy McNichols,WAS,RB,4000,4.0,True,False
00-0035567,Craig Reynolds,WAS,RB,4000,,True,False
00-0041178,Robert Henry Jr.,WAS,RB,4000,,True,False
00-0039165,Zach Charbonnet,SEA,RB,4000,4.0,True,False
00-0037745,Velus Jones Jr.,SEA,RB,4000,,True,False
00-0040067,Jacardia Wright,SEA,RB,4000,,True,False
00-0040649,Robbie Ouzts,SEA,RB,4000,,True,False
00-0041585,Grant Finley,NYG,RB,4000,,True,False
00-0040021,Phil Mafah,NYG,RB,4000,,True,False
00-0036924,Michael Carter,TEN,RB,4000,,True,False
00-0040205,Kalel Mullings,TEN,RB,4000,,True,False
00-0040179,DJ Giddens,IND,RB,4000,3.0,True,False
00-0041486,Anderson Castle,IND,RB,4000,,True,False
00-0041277,Davon Booth,IND,RB,4000,,True,False
00-0039405,Jawhar Jordan,HOU,RB,4000,,True,False
00-0041312,Noah Whittington,HOU,RB,4000,,True,False
00-0040644,Trevor Etienne,CAR,RB,4000,4.0,True,False
00-0040394,Anthony Tyus III,CAR,RB,4000,,True,False
00-0040260,Ahmani Marshall,CAR,RB,4000,,True,False
00-0031595,Michael Burton,CLE,RB,4000,,True,False
00-0038396,Eric Gray,CLE,RB,4000,,True,False
00-0038409,Lew Nichols,PIT,RB,4000,,True,False
00-0041398,Riley Nowakowski,PIT,RB,4000,,True,False
00-0041241,Kentrel Bullock,CIN,RB,4000,,True,False
00-0039266,Kendall Milton,CIN,RB,4000,,True,False
00-0036842,Kene Nwangwu,NYJ,RB,4000,4.0,True,False
00-0034959,Andrew Beck,NYJ,RB,4000,4.0,True,False
00-0041239,Chip Trayanum,NYJ,RB,4000,5.0,True,False
00-0037197,Isiah Pacheco,DET,RB,4000,4.0,True,False
00-0039652,Jabari Small,DET,RB,4000,,True,False
00-0041217,J'Mari Taylor,JAX,RB,4000,,True,False
00-0041323,Myles Montgomery,NE,RB,4000,4.0,True,False
00-0038930,Carlos Washington Jr.,MIA,RB,4000,,True,False
00-0040692,Jarquez Hunter,MIA,RB,4000,,True,False
00-0040547,Nate Carter,KC,RB,4000,,True,False
00-0040959,Jaydn Ott,KC,RB,4000,,True,False
00-0038614,Scott Matlock,LAC,RB,4000,,True,False
00-0040039,Amar Johnson,LAC,RB,4000,,True,False
00-0035125,Alec Ingold,LAC,RB,4000,,True,False
00-0041376,Gregory Desrosiers,LAC,RB,4000,,True,False
00-0040567,Brock Lampe,BUF,RB,4000,,True,False
00-0041081,Max Bredeson,MIN,RB,4000,,True,False
00-0037267,Jerome Ford,MIN,RB,4000,,True,False
00-0040888,Adam Randall,BAL,RB,4000,4.0,True,False
00-0035924,Jonathan Ward,BAL,RB,4000,,True,False
00-0037120,Tyler Goodson,DAL,RB,4000,3.0,True,False
00-0037563,Malik Davis,DAL,RB,4000,4.0,True,False
00-0038389,Israel Abanikanda,DAL,RB,4000,,True,False
00-0040876,Elijah Sarratt,BAL,WR,3400,5.0,True,False
00-0031235,Odell Beckham Jr.,NYG,WR,3300,4.0,True,False
00-0040718,Travis Hunter,JAX,WR,3100,5.0,True,False
00-0040172,Jordan Watkins,SF,WR,3100,5.0,True,False
00-0040648,Tory Horton,SEA,WR,3000,4.0,True,False
00-0040184,KeAndre Lambert-Smith,LAC,WR,3000,6.0,True,False
00-0041035,De'Zhaun Stribling,SF,WR,3000,8.0,True,False
00-0041029,Jordyn Tyson,NO,WR,3000,5.0,True,False
00-0039623,Mason Tipton,NO,WR,3000,6.0,True,False
00-0038740,Jalen Moreno-Cropper,NO,WR,3000,,True,False
00-0040633,Kyrese Rowan,NO,WR,3000,,True,False
00-0039052,Trey Palmer,NO,WR,3000,,True,False
00-0038979,Cedric Tillman,NO,WR,3000,,True,False
00-0040581,Dont'e Thornton Jr.,LV,WR,3000,6.0,True,False
00-0038590,Justin Shorter,LV,WR,3000,7.0,True,False
00-0041005,Corey Rucker,LV,WR,3000,8.0,True,False
00-0037487,Deven Thompkins,LV,WR,3000,,True,False
00-0038647,Ronnie Bell,LV,WR,3000,,True,False
00-0034775,Christian Kirk,SF,WR,3000,7.0,True,False
00-0036261,Brandon Aiyuk,SF,WR,3000,10.0,True,False
00-0039916,Ricky Pearsall,SF,WR,3000,9.0,True,False
00-0041359,Wesley Grimes,SF,WR,3000,,True,False
00-0041361,Will Pauling,SF,WR,3000,,True,False
00-0041070,Reggie Virgil,ARI,WR,3000,7.0,True,False
00-0041368,Harrison Wallace III,ARI,WR,3000,,True,False
00-0039355,Luke McCaffrey,WAS,WR,3000,7.0,True,False
00-0041176,Jaden Bradley,WAS,WR,3000,,True,False
00-0034054,River Cracraft,WAS,WR,3000,,True,False
00-0036415,Van Jefferson,WAS,WR,3000,,True,False
00-0037156,Irvin Charles,SEA,WR,3000,6.0,True,False
00-0038752,Jake Bobo,SEA,WR,3000,7.0,True,False
00-0040653,Ricky White III,SEA,WR,3000,,True,False
00-0039329,Julian Hicks,SEA,WR,3000,,True,False
00-0040895,Emmanuel Henderson Jr.,SEA,WR,3000,,True,False
00-0037837,Calvin Austin III,NYG,WR,3000,5.0,True,False
00-0035645,Gunner Olszewski,NYG,WR,3000,6.0,True,False
00-0040431,Dalen Cambre,NYG,WR,3000,,True,False
00-0038938,Jalin Hyatt,NYG,WR,3000,,True,False
00-0038576,Charlie Jones,NYG,WR,3000,,True,False
00-0036345,K.J. Osborn,TEN,WR,3000,,True,False
00-0040522,Xavier Restrepo,TEN,WR,3000,,True,False
00-0040919,Tyren Montgomery,TEN,WR,3000,,True,False
00-0035045,D.J. Montgomery,IND,WR,3000,8.0,True,False
00-0036182,Nick Westbrook-Ikhine,IND,WR,3000,,True,False
00-0041467,Lewis Bond,HOU,WR,3000,,True,False
00-0038977,Tank Dell,HOU,WR,3000,6.0,True,False
00-0040130,Jayden Higgins,HOU,WR,3000,7.0,True,False
00-0041309,Daniel Sobkowicz,HOU,WR,3000,,True,False
00-0038839,Mitch Tinsley,HOU,WR,3000,,True,False
00-0040049,Josh Kelly,HOU,WR,3000,,True,False
00-0039650,Bryce Oliver,HOU,WR,3000,,True,False
00-0041047,Chris Brazzell II,CAR,WR,3000,6.0,True,False
00-0041011,E.J. Williams Jr.,CAR,WR,3000,,True,False
00-0040265,Ja'seem Reed,CAR,WR,3000,,True,False
00-0039394,Casey Washington,CAR,WR,3000,,True,False
00-0033589,David Moore,CAR,WR,3000,,True,False
00-0036630,Tylan Wallace,CLE,WR,3000,5.0,True,False
00-0039386,Bub Means,CLE,WR,3000,,True,False
00-0039626,Cole Burgess,PIT,WR,3000,7.0,True,False
00-0036775,Brandon Smith,PIT,WR,3000,,True,False
00-0037382,Brandon Johnson,PIT,WR,3000,,True,False
00-0040534,Ke'Shawn Williams,CIN,WR,3000,6.0,True,False
00-0041248,Noah Thomas,CIN,WR,3000,,True,False
00-0040375,Jordan Moore,CIN,WR,3000,,True,False
00-0033375,Tim Patrick,NYJ,WR,3000,5.0,True,False
00-0041267,Malik McClain,NYJ,WR,3000,4.0,True,False
00-0040405,Jamaal Pritchett,NYJ,WR,3000,,True,False
00-0032385,Sterling Shepard,NYJ,WR,3000,,True,False
00-0036427,Tyler Johnson,NYJ,WR,3000,,True,False
00-0041446,Kendrick Law,DET,WR,3000,6.0,True,False
00-0038181,Lucky Jackson,DET,WR,3000,,True,False
00-0040241,Dominic Lovett,DET,WR,3000,,True,False
00-0041106,CJ Williams,JAX,WR,3000,6.0,True,False
00-0041216,Trebor Pena,JAX,WR,3000,,True,False
00-0036497,Tim Jones,JAX,WR,3000,,True,False
00-0041220,Michael Wortham,JAX,WR,3000,,True,False
00-0036841,Austin Trammell,JAX,WR,3000,,True,False
00-0040570,Jeremiah Webb,NE,WR,3000,7.0,True,False
00-0041319,Cameron Dorner,NE,WR,3000,,True,False
00-0040323,Chandler Brayboy,NE,WR,3000,,True,False
00-0041318,Kyle Dixon,NE,WR,3000,,True,False
00-0037666,Jalen Tolbert,MIA,WR,3000,5.0,True,False
00-0036387,Jalen Reagor,MIA,WR,3000,,True,False
00-0040753,Will Sheppard,MIA,WR,3000,,True,False
00-0040953,Jeff Caldwell,KC,WR,3000,7.0,True,False
00-0040120,Jimmy Holiday,KC,WR,3000,8.0,True,False
00-0040954,Omari Evans,KC,WR,3000,,True,False
00-0040298,Andrew Armstrong,KC,WR,3000,,True,False
00-0035589,Gary Jennings,LAC,WR,3000,,True,False
00-0040311,Theo Wease Jr.,LAC,WR,3000,,True,False
00-0034272,Marquez Valdes-Scantling,LAC,WR,3000,,True,False
00-0041443,Skyler Bell,BUF,WR,3000,5.0,True,False
00-0038679,Tyrell Shavers,BUF,WR,3000,6.0,True,False
00-0040361,Stephen Gosnell,BUF,WR,3000,,True,False
00-0041272,Ja'Mori Maclin,BUF,WR,3000,,True,False
00-0034487,Trent Sherfield Sr.,BUF,WR,3000,,True,False
00-0035359,David Sills V,TB,WR,3000,7.0,True,False
00-0041257,Eric Rivers Jr.,TB,WR,3000,,True,False
00-0040419,Garrett Greene,TB,WR,3000,,True,False
00-0041435,Dean Patterson IV,TB,WR,3000,,True,False
00-0040154,Tai Felton,MIN,WR,3000,4.0,True,False
00-0041342,Dillon Bell,MIN,WR,3000,,True,False
00-0039710,Jeshaun Jones,MIN,WR,3000,6.0,True,False
00-0040970,Michael Briscoe,MIN,WR,3000,,True,False
00-0041475,Trayvon Rudolph,MIN,WR,3000,,True,False
00-0040259,Gage Larvadain,BAL,WR,3000,,True,False
00-0040099,Xavier Guillory,BAL,WR,3000,,True,False
00-0040930,Camden Brown,DAL,WR,3000,6.0,True,False
00-0040900,Anthony Smith,DAL,WR,3000,,True,False
00-0040934,Jordan Hudson,DAL,WR,3000,,True,False
00-0037112,Jake Tonges,SF,TE,2500,4.0,True,False
00-0040244,Moliki Matavao,NO,TE,2500,5.0,True,False
00-0037475,Stone Smartt,NO,TE,2500,,True,False
00-0033063,Zach Wood,NO,TE,2500,,True,False
00-0035345,Chris Myarick,LV,TE,2500,,True,False
00-0040488,Carter Runyon,LV,TE,2500,4.0,True,False
00-0041016,Patrick Gurd,LV,TE,2500,,True,False
00-0036741,Jack Stoll,SF,TE,2500,,True,False
00-0041357,Khalil Dinkins,SF,TE,2500,,True,False
00-0039737,Tip Reiman,ARI,TE,2500,4.0,True,False
00-0041366,Jameson Geers,ARI,TE,2500,5.0,True,False
00-0037277,Teagan Quitoriano,ARI,TE,2500,,True,False
00-0039550,Shawn Bowman,ARI,TE,2500,,True,False
00-0039305,Jack Westover,WAS,TE,2500,,True,False
00-0031156,Tyler Ott,WAS,TE,2500,,True,False
00-0040058,Nick Kallerup,SEA,TE,2500,4.0,True,False
00-0031484,Chris Manhertz,NYG,TE,2500,,True,False
00-0040225,Thomas Fidone II,NYG,TE,2500,4.0,True,False
00-0041143,Ben Mann,NYG,TE,2500,,True,False
00-0039648,David Martin-Robinson,TEN,TE,2500,3.0,True,False
00-0036876,Kylen Granson,TEN,TE,2500,4.0,True,False
00-0040901,Jaren Kanak,TEN,TE,2500,5.0,True,False
00-0039023,Joel Wilson,TEN,TE,2500,,True,False
00-0033217,Mo Alie-Cox,IND,TE,2500,2.0,True,False
00-0038394,Will Mallory,IND,TE,2500,4.0,True,False
00-0040853,Carson Towt,IND,TE,2500,5.0,True,False
00-0033439,Pharaoh Brown,IND,TE,2500,,True,False
00-0041252,Kenny Fletcher Jr.,IND,TE,2500,,True,False
00-0036556,Brevin Jordan,HOU,TE,2500,5.0,True,False
00-0037340,Zaire Mitchell-Paden,HOU,TE,2500,,True,False
00-0039356,Ja'Tavion Sanders,CAR,TE,2500,5.0,True,False
00-0041087,Joe Royer,CLE,TE,2500,4.0,True,False
00-0039275,Messiah Swinson,CLE,TE,2500,,True,False
00-0033757,Robert Tonyan,PIT,TE,2500,3.0,True,False
00-0041263,Lake McRee,PIT,TE,2500,,True,False
00-0041116,Jack Endries,CIN,TE,2500,4.0,True,False
00-0040379,William Wagner,CIN,TE,2500,,True,False
00-0037755,Jelani Woods,NYJ,TE,2500,5.0,True,False
00-0034270,Tyler Conklin,DET,TE,2500,3.0,True,False
00-0040390,Jackson Meeks,DET,TE,2500,4.0,True,False
00-0040697,Thomas Gordon,DET,TE,2500,,True,False
00-0041084,Tanner Koziol,JAX,TE,2500,4.0,True,False
00-0039489,Hayden Rucci,LAC,TE,2500,2.0,True,False
00-0041314,Tanner Arkin,NE,TE,2500,4.0,True,False
00-0038720,Julian Hill,NE,TE,2500,5.0,True,False
00-0041579,Seydou Traore,MIA,TE,2500,3.0,True,False
00-0041077,Justin Joly,MIA,TE,2500,4.0,True,False
00-0037078,Cole Turner,MIA,TE,2500,5.0,True,False
00-0037412,Cal Adomitis,MIA,TE,2500,,True,False
00-0040094,Tre Watson,MIA,TE,2500,,True,False
00-0039824,Jared Wiley,KC,TE,2500,4.0,True,False
00-0040955,John Michael Gyllenborg,KC,TE,2500,5.0,True,False
00-0030615,James Winchester,KC,TE,2500,,True,False
00-0038145,Thomas Odukoya,KC,TE,2500,,True,False
00-0041384,Evan Svoboda,LAC,TE,2500,,True,False
00-0040331,Patrick Herbert,LAC,TE,2500,,True,False
00-0040194,Jackson Hawes,BUF,TE,2500,3.0,True,False
00-0039050,Payne Durham,TB,TE,2500,2.0,True,False
00-0037311,Ko Kieft,TB,TE,2500,3.0,True,False
00-0038817,Evan Deckers,TB,TE,2500,,True,False
00-0040566,CJ Dippre,TB,TE,2500,,True,False
00-0040215,Gavin Bartholomew,MIN,TE,2500,3.0,True,False
00-0040509,Ben Yurosek,MIN,TE,2500,4.0,True,False
00-0029714,Andrew DePaola,MIN,TE,2500,,True,False
00-0039631,Cam Grandy,MIN,TE,2500,,True,False
00-0040887,Josh Cuevas,BAL,TE,2500,4.0,True,False
00-0040986,Ty Pezza,BAL,TE,2500,,True,False
00-0032394,Nick Vannett,BAL,TE,2500,,True,False
00-0038735,Princeton Fant,DAL,TE,2500,4.0,True,False
00-0040938,DJ Rogers,DAL,TE,2500,5.0,True,False
00-0040939,Michael Trigg,DAL,TE,2500,,True,False
00-0037282,James Mitchell,DAL,TE,2500,,True,False
