week,pos,slot,stat,n,real,base,fix,ratio_base,ratio_fix,mae_base,mae_fix,dMAE,lo,hi
1,RB,RB1,car,24,14.958333333333334,13.055135416666667,14.973447916666666,0.8727667130919221,1.0010104456824513,5.688864583333333,4.989072916666667,-0.6997916666666667,-1.5398289062499997,0.179965885416666
1,RB,RB2,car,24,4.583333333333333,5.9066875,6.799854166666667,1.2887318181818181,1.4836045454545457,3.4232708333333335,3.8224583333333335,0.39918749999999986,-0.05064713541666678,0.8641622395833329
1,WR,WR1,tgt,24,7.083333333333333,6.3224374999999995,8.440260416666666,0.8925794117647058,1.1915661764705883,2.0666875,2.4849895833333333,0.41830208333333346,-0.3578526041666667,1.237985416666666
1,WR,WR2,tgt,24,4.5,4.019739583333333,5.338072916666667,0.8932754629629629,1.186238425925926,2.3111354166666667,2.33359375,0.022458333333333507,-0.5305554687499998,0.63965234375
1,WR,WR3,tgt,24,2.375,2.8292812499999997,3.644375,1.1912763157894737,1.5344736842105264,2.572510416666667,2.841583333333333,0.2690729166666667,-0.2579354166666666,0.7592531250000001
1,TE,TE1,tgt,24,4.875,4.880291666666667,6.5055625,1.00108547008547,1.334474358974359,2.421125,2.907916666666667,0.4867916666666668,-0.1489437499999997,1.1107442708333335
2,RB,RB1,car,26,12.26923076923077,10.983903846153847,11.3445,0.8952398119122257,0.9246300940438871,4.434288461538461,4.264788461538462,-0.16950000000000007,-0.34598341346153844,0.03442860576923013
2,RB,RB2,car,26,5.5,6.1450000000000005,6.622403846153846,1.1172727272727274,1.2040734265734265,3.1734999999999998,3.3816538461538457,0.20815384615384622,0.02184567307692326,0.3951161057692309
2,WR,WR1,tgt,26,6.1923076923076925,6.4557692307692305,6.703278846153847,1.0425465838509316,1.0825170807453417,2.449423076923077,2.4345865384615384,-0.014836538461538437,-0.1261576923076923,0.10418533653846167
2,WR,WR2,tgt,26,5.6923076923076925,4.818403846153846,5.160259615384616,0.8464763513513514,0.9065320945945946,2.9412884615384622,2.7822403846153847,-0.15904807692307696,-0.28337836538461536,-0.02973125
2,WR,WR3,tgt,26,2.8846153846153846,3.425576923076923,3.764317307692308,1.1875333333333333,1.3049633333333335,2.0672884615384617,2.2119903846153846,0.14470192307692303,0.007057451923076822,0.2812937499999999
2,TE,TE1,tgt,26,3.730769230769231,4.260653846153846,4.521711538461538,1.1420309278350516,1.2120051546391752,1.974134615384615,2.0837692307692306,0.10963461538461541,-0.013462499999999869,0.221717548076923
