player_id,player_name,position,team,salary,OLD,FIX_NS,FIX,stack_delta,proj_pass_att,act,slate_id,week,sub
00-0039139,Jahmyr Gibbs,RB,DET,8000,22.53305319015452,27.976052175604117,22.88766896216625,-5.088383213437865,0.0,37.6,dk_classic_wk1_main_13Sep2026,1,main
00-0036355,Justin Herbert,QB,LAC,6100,20.68664733412292,22.62114949900717,19.277346355287744,-3.343803143719427,28.5425,14.26,dk_classic_wk1_main_13Sep2026,1,main
00-0036963,Amon-Ra St. Brown,WR,DET,7500,19.62979510471524,21.008930841447683,20.144252760375984,-0.8646780810716983,0.0,28.7,dk_classic_wk1_main_13Sep2026,1,main
00-0033106,Jared Goff,QB,DET,6000,18.342062949007893,20.884447503545488,18.241974872748656,-2.642472630796832,32.5745,16.44,dk_classic_wk1_main_13Sep2026,1,main
00-0036442,Joe Burrow,QB,CIN,6900,17.99742322037352,25.32913088756784,22.60745301166208,-2.721677875905762,31.37875,15.16,dk_classic_wk1_main_13Sep2026,1,main
00-0036389,Jalen Hurts,QB,PHI,6600,17.892576087855044,26.42797685335365,22.29486703016272,-4.133109823190928,33.55225,24.72,dk_classic_wk1_main_13Sep2026,1,main
00-0040666,Omarion Hampton,RB,LAC,6800,16.20804079937417,18.97362733702894,16.89256529094068,-2.08106204608826,0.0,9.3,dk_classic_wk1_main_13Sep2026,1,main
00-0036223,Jonathan Taylor,RB,IND,7300,15.781346558821948,16.564388230854117,17.971256217107303,1.406867986253186,0.0,26.1,dk_classic_wk1_main_13Sep2026,1,main
00-0034855,Baker Mayfield,QB,TB,5900,15.61896700756827,17.101473356471907,16.30053855594098,-0.8009348005309249,26.61875,14.64,dk_classic_wk1_main_13Sep2026,1,main
00-0036900,Ja'Marr Chase,WR,CIN,7800,15.478328049566953,15.295478426614228,18.518927306601977,3.2234488799877496,0.0,3.2,dk_classic_wk1_main_13Sep2026,1,main
00-0039064,Zay Flowers,WR,BAL,6400,14.931773471549878,15.952591927520514,16.890082700087007,0.9374907725664928,0.0,29.0,dk_classic_wk1_main_13Sep2026,1,main
00-0032764,Derrick Henry,RB,BAL,6700,14.617645095604482,14.442233226050094,16.177503455503853,1.735270229453759,0.0,38.3,dk_classic_wk1_main_13Sep2026,1,main
00-0039150,Bryce Young,QB,CAR,5200,14.416641667561551,19.569046702435717,15.528486244519026,-4.040560457916687,33.33475,35.44,dk_classic_wk1_main_13Sep2026,1,main
00-0038542,Bijan Robinson,RB,ATL,7700,14.18002880890675,17.86380675550391,19.88045667095355,2.0166499154496407,0.0,31.3,dk_classic_wk1_main_13Sep2026,1,main
00-0037239,Chris Olave,WR,NO,6700,14.146314701441336,17.21710342354665,17.018301765581977,-0.1988016579646725,0.0,31.2,dk_classic_wk1_main_13Sep2026,1,main
00-0023459,Aaron Rodgers,QB,PIT,5300,14.137191689655964,18.02313372776428,15.110355080042982,-2.9127786477212965,35.3405,12.54,dk_classic_wk1_main_13Sep2026,1,main
00-0034857,Josh Allen,QB,BUF,7000,13.921668298717536,16.931564380008727,19.155491612116155,2.223927232107428,32.473,38.66,dk_classic_wk1_main_13Sep2026,1,main
00-0040743,Tyler Shough,QB,NO,5600,13.901920181910196,18.52272842482608,16.13071146888055,-2.392016955945529,29.72575,29.2,dk_classic_wk1_main_13Sep2026,1,main
