by,grp,n,OLD_bias,OLD_mae,OLD_rmse,FIX_NS_bias,FIX_NS_mae,FIX_NS_rmse,FIX_bias,FIX_mae,FIX_rmse
ALL,all,254,-3.37,6.41,8.98,-0.4,6.83,9.9,0.13,6.46,8.44
pos,DST,19,1.0,5.83,7.03,1.09,5.88,7.03,1.09,5.88,7.03
pos,QB,48,-5.83,7.94,10.07,1.24,9.86,14.97,-1.17,7.78,10.1
pos,RB,67,-3.13,6.23,8.51,-0.71,6.25,8.35,0.39,6.27,8.11
pos,TE,28,-1.15,5.25,6.84,0.82,5.43,6.78,1.7,5.54,7.08
pos,WR,92,-3.85,6.22,9.61,-1.71,6.29,8.88,-0.07,6.32,8.36
tier,<4.5k,58,-0.38,4.78,6.47,1.01,5.1,6.49,1.11,4.98,6.34
tier,4.5-6k,128,-2.9,5.67,7.9,0.73,6.69,10.51,0.98,6.21,8.16
tier,6-7.5k,60,-6.55,8.54,11.39,-3.62,8.0,10.46,-2.21,7.59,9.67
tier,7.5k+,8,-8.79,14.32,16.85,-4.61,12.82,14.78,-3.11,12.84,14.19
week,1,121,-4.13,7.49,10.11,-0.69,8.33,12.16,-0.86,7.32,9.65
week,2,133,-2.69,5.43,7.8,-0.14,5.47,7.26,1.02,5.69,7.16
