by,grp,n,OLD_bias,OLD_mae,OLD_rmse,FIX_NS_bias,FIX_NS_mae,FIX_NS_rmse,FIX_bias,FIX_mae,FIX_rmse
ALL,all,252,-3.36,6.42,9.0,-0.67,6.37,8.45,0.01,6.33,8.11
pos,DST,19,1.0,5.83,7.03,1.09,5.88,7.03,1.09,5.88,7.03
pos,QB,48,-5.83,7.94,10.07,-0.25,7.37,8.94,-1.83,6.91,8.4
pos,RB,66,-3.06,6.21,8.52,-0.67,6.22,8.38,0.44,6.3,8.16
pos,TE,28,-1.15,5.25,6.84,0.84,5.48,6.83,1.71,5.55,7.08
pos,WR,91,-3.85,6.26,9.66,-1.72,6.33,8.94,-0.06,6.38,8.41
tier,<4.5k,57,-0.33,4.81,6.51,1.07,5.18,6.57,1.15,5.06,6.4
tier,4.5-6k,127,-2.86,5.65,7.9,-0.04,5.63,7.45,0.65,5.85,7.41
tier,6-7.5k,60,-6.55,8.54,11.39,-3.13,8.2,10.6,-2.0,7.69,9.7
tier,7.5k+,8,-8.79,14.32,16.85,-4.61,12.82,14.78,-3.11,12.84,14.19
week,1,119,-4.1,7.53,10.16,-1.58,7.27,9.5,-1.26,6.99,9.02
week,2,133,-2.68,5.44,7.81,0.15,5.57,7.39,1.15,5.73,7.19
