Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5253387569,box12,0,235.1,DST Steelers  FLEX D'Andre Swift QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Gunnar Helm WR Chris Olave WR Wan'Dale Robinson WR Jalen Coker,,Jahmyr Gibbs,RB,43.97%,37.6
1,5254090048,Mattman2015,0,235.09999,DST Jets  FLEX Jalen Coker QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Kenyon Sadiq WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Ja'Marr Chase,WR,33.65%,3.2
3,5246504738,joelbad,0,234.59999,DST Steelers  FLEX Jalen Coker QB Tyler Shough RB Jahmyr Gibbs RB Chase Brown TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Chris Olave,WR,26.16%,31.2
4,5253199527,BeachNut2892,0,234.5,DST Steelers  FLEX Juwan Johnson QB Tyler Shough RB Jahmyr Gibbs RB Derrick Henry TE Brenton Strange WR Amon-Ra St. Brown WR Nico Collins WR Jalen Coker,,Jaguars ,DST,23.20%,13
5,5252409609,dukeluke,0,234.4,DST Jets  FLEX Zay Flowers QB Tyler Shough RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Juwan Johnson,TE,21.48%,14.4
6,5253081633,nmaslowski78,0,233.70001,DST Jaguars  FLEX Jalen Coker QB Tyler Shough RB D'Andre Swift RB Travis Etienne Jr. TE Pat Freiermuth WR Amon-Ra St. Brown WR Chris Olave WR Zay Flowers,,Amon-Ra St. Brown,WR,19.70%,28.7
7,5250787292,Blasters,0,233.5,DST Jaguars  FLEX D'Andre Swift QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Juwan Johnson WR Chris Olave WR Jalen Coker WR Jerry Jeudy,,Joe Burrow,QB,18.80%,15.16
8,5249004729,Beachnutt78,0,232.74,DST Falcons  FLEX D'Andre Swift QB Bryce Young RB Bijan Robinson RB Derrick Henry TE Kyle Pitts Sr. WR Chris Olave WR Parker Washington WR Jalen Coker,,Bucky Irving,RB,18.26%,21.3
9,5253591311,jebjr,0,232.3,DST Steelers  FLEX Jahmyr Gibbs QB Tyler Shough RB Travis Etienne Jr. RB Bucky Irving TE Juwan Johnson WR Chris Olave WR Zay Flowers WR Jalen Coker,,Steelers ,DST,17.77%,18
10,5251964574,phillyfan73,0,231.70001,DST Texans  FLEX D'Andre Swift QB Tyler Shough RB Jahmyr Gibbs RB David Montgomery TE Cade Otton WR Chris Olave WR Zay Flowers WR Jalen Coker,,Garrett Wilson,WR,17.01%,13.9
