Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5256909803,bebterps607,0,215.18001,DST Panthers  FLEX Jaxon Smith-Njigba QB Malik Willis RB Derrick Henry RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Tetairoa McMillan WR Jalen Coker,,Bijan Robinson,RB,42.62%,11.1
2,5263608467,Janders,0,213.86,DST Patriots  FLEX Roman Wilson QB Dak Prescott RB Derrick Henry RB Saquon Barkley TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Rashod Bateman,,Derrick Henry,RB,32.76%,17.7
3,5261480439,ThePorkU,0,212.96,DST Panthers  FLEX Ja'Marr Chase QB Dak Prescott RB Derrick Henry RB Bhayshul Tuten TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Matthew Golden,,Dalton Schultz,TE,21.84%,29
4,5261998474,jpete16,0,205.28,DST Broncos  FLEX George Kittle QB Brock Purdy RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR DeVonta Smith WR Garrett Wilson,,Justin Jefferson,WR,19.37%,8.5
4,5263680827,R-E-L-A-X,0,205.28,DST Broncos  FLEX George Kittle QB Brock Purdy RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR DeVonta Smith WR Garrett Wilson,,Aaron Jones Sr.,RB,19.23%,13.5
6,5261721882,AmbieSausage,0,204.85999,DST Panthers  FLEX Mark Andrews QB Dak Prescott RB Christian McCaffrey RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Garrett Wilson WR Kayshon Boutte,,CeeDee Lamb,WR,17.81%,38.3
7,5263424901,nickp2002,0,202.76,DST Panthers  FLEX Garrett Wilson QB Dak Prescott RB Derrick Henry RB Aaron Jones Sr. TE Jake Ferguson WR CeeDee Lamb WR DeVonta Smith WR Matthew Golden,,George Pickens,WR,17.05%,10
8,5260011839,kingsayburr,0,202.56,DST Patriots  FLEX Jake Ferguson QB Dak Prescott RB Derrick Henry RB Bucky Irving TE Dalton Schultz WR Ja'Marr Chase WR CeeDee Lamb WR Terry McLaurin,,Matthew Golden,WR,15.88%,9.8
9,5263608747,barracuda602,0,202.36,DST Panthers  FLEX Dalton Schultz QB Dak Prescott RB Derrick Henry RB Quinshon Judkins TE Jake Ferguson WR CeeDee Lamb WR Stefon Diggs WR Matthew Golden,,Buccaneers ,DST,15.78%,2
10,5261910648,jmaffit2109,0,201.88,DST Saints  FLEX CeeDee Lamb QB Brock Purdy RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Schultz WR DeVonta Smith WR Garrett Wilson WR Jalen Coker,,Christian McCaffrey,RB,14.94%,22.6
11,5261513197,jeremiah12483,0,200.48,DST Panthers  FLEX Christian McCaffrey QB Brock Purdy RB Derrick Henry RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Garrett Wilson WR KC Concepcion Jr.,,Jalen Coker,WR,14.70%,14.6
12,5259341924,dbueschgaming,0,200.16,DST Panthers  FLEX Aaron Jones Sr. QB Dak Prescott RB Derrick Henry RB Breece Hall TE Dalton Schultz WR CeeDee Lamb WR George Pickens WR Stefon Diggs,,Emeka Egbuka,WR,14.14%,10.3
