player,salary,proj_own,lo,hi
De'Von Achane,7000,72.3,52.6,94.7
Saquon Barkley,6900,72.3,52.6,89.5
Dallas Goedert,4100,68.1,52.6,84.2
Ashton Jeanty,6600,61.1,31.6,84.2
DeVonta Smith,6600,53.3,36.8,68.4
Ladd McConkey,5900,52.6,36.8,78.9
Tre Tucker,4000,48.8,21.1,68.4
Justin Jefferson,7300,47.4,15.8,68.4
Jalen Hurts,6600,38.9,21.1,63.2
Omarion Hampton,6800,36.5,21.1,57.9
Justin Herbert,6100,35.1,21.1,47.4
LA Chargers Defense,3500,32.3,15.8,57.9
Quentin Johnston,4700,31.2,10.5,47.4
Marvin Harrison Jr.,5000,26.7,5.3,57.9
MarShawn Lloyd,4800,26.3,5.3,42.1
Trey McBride,6800,25.3,10.5,42.1
Terry McLaurin,5700,20.4,5.3,31.6
T.J. Hockenson,3300,17.9,0.0,31.6
Philadelphia Defense,3200,16.5,5.3,26.3
Miami Defense,2700,15.1,5.3,26.3
Las Vegas Defense,2900,11.6,0.0,26.3
Kyler Murray,5500,10.5,0.0,26.3
Minnesota Defense,2800,10.2,0.0,26.3
Arizona Defense,2000,9.8,5.3,21.1
Michael Mayer,2900,8.4,0.0,26.3
Jayden Reed,4900,7.0,0.0,21.1
Christian Watson,5900,6.0,0.0,21.1
Michael Wilson,5300,5.6,0.0,21.1
Kirk Cousins,5000,5.3,0.0,10.5
Jacoby Brissett,5100,4.6,0.0,10.5
Jayden Daniels,6500,3.5,0.0,10.5
Tucker Kraft,4500,3.5,0.0,21.1
Stefon Diggs,5200,3.2,0.0,21.1
Washington Defense,2300,2.5,0.0,10.5
Green Bay Defense,3000,2.1,0.0,15.8
Jalen Nailor,4300,1.8,0.0,10.5
Malik Willis,5300,1.4,0.0,10.5
Caleb Douglas,3000,1.1,0.0,5.3
Greg Dulcich,3500,1.1,0.0,5.3
Jordan Love,5700,0.7,0.0,10.5
Jordan Addison,5800,0.7,0.0,5.3
Aaron Jones Sr.,5300,0.7,0.0,5.3
Malik Washington,4200,0.4,0.0,5.3
Matthew Golden,4700,0.4,0.0,5.3
Dontayvion Wicks,4100,0.4,0.0,5.3
E.J. Jenkins,2500,0.0,0.0,0.0
Carson Beck,4100,0.0,0.0,0.0
DJ Uiagalelei,4000,0.0,0.0,0.0
Jeremiyah Love,6400,0.0,0.0,0.0
Gregory Desrosiers,4000,0.0,0.0,0.0
