player,salary,proj_own,lo,hi
Bijan Robinson,8200,91.2,73.7,100.0
Dalton Schultz,3200,62.8,52.6,84.2
Garrett Wilson,6000,54.7,31.6,89.5
Ja'Marr Chase,7600,46.3,31.6,57.9
Xavier Hutchinson,3500,34.7,15.8,63.2
Chicago Defense,3000,34.7,21.1,52.6
Aaron Jones Sr.,5100,34.0,10.5,57.9
Derrick Henry,7200,30.5,15.8,52.6
Christian Watson,6200,27.0,5.3,42.1
Jalen Coker,5100,25.6,15.8,42.1
Breece Hall,6200,23.2,10.5,47.4
Harold Fannin Jr.,4100,19.6,10.5,36.8
Saquon Barkley,7000,18.6,5.3,31.6
Bucky Irving,6100,17.5,0.0,31.6
Dallas Goedert,4800,17.2,5.3,26.3
Justin Jefferson,7800,16.1,0.0,36.8
Cleveland Defense,2200,15.4,5.3,26.3
Chase Brown,6900,14.7,5.3,31.6
Chris Olave,7200,14.4,5.3,26.3
C.J. Stroud,5500,14.0,0.0,26.3
Tetairoa McMillan,6100,14.0,5.3,21.1
Tampa Bay Defense,3600,14.0,0.0,31.6
Baker Mayfield,5600,13.7,0.0,26.3
DK Metcalf,5200,13.3,5.3,31.6
Jordan Love,5900,13.0,0.0,26.3
Bryce Young,5400,12.3,0.0,26.3
Jalen Hurts,6700,11.6,5.3,21.1
Drake London,6000,10.9,0.0,26.3
David Montgomery,6500,9.8,0.0,26.3
Pittsburgh Defense,2800,9.8,0.0,26.3
Drake Maye,6100,9.8,0.0,21.1
Rashod Bateman,4400,9.8,0.0,21.1
Tee Higgins,6100,8.8,0.0,21.1
Atlanta Defense,2900,8.4,0.0,21.1
Hunter Henry,4000,8.1,0.0,21.1
Houston Defense,3000,7.0,0.0,15.8
Devaughn Vele,4200,7.0,0.0,21.1
Tyler Shough,5300,6.7,0.0,15.8
Lamar Jackson,7300,6.7,0.0,21.1
Jayden Reed,4500,6.7,0.0,15.8
T.J. Hockenson,3500,6.3,0.0,21.1
Mark Andrews,4400,6.3,0.0,15.8
Caleb Williams,6800,6.0,0.0,21.1
Juwan Johnson,3900,6.0,0.0,10.5
Matthew Golden,4700,5.3,0.0,15.8
Jaylen Warren,5400,4.9,0.0,10.5
DeVonta Smith,6800,4.9,0.0,10.5
Chuba Hubbard,5800,4.6,0.0,10.5
Joe Burrow,6600,4.6,0.0,10.5
D'Andre Swift,6300,3.9,0.0,10.5
