player,salary,proj_own,lo,hi
Jahmyr Gibbs,8800,65.3,52.6,84.2
De'Von Achane,6500,42.5,26.3,63.2
Travis Kelce,4500,41.4,10.5,57.9
Patrick Mahomes,6200,41.1,26.3,57.9
Denzel Boston,4500,40.0,21.1,57.9
Carolina Defense,3000,39.3,31.6,52.6
Jaylen Warren,5700,37.5,21.1,63.2
Kenneth Walker,7400,35.1,15.8,52.6
Jalen Coker,5500,35.1,5.3,73.7
Amon-Ra St. Brown,7900,34.7,21.1,57.9
Dalton Schultz,4200,29.8,15.8,52.6
Garrett Wilson,6300,28.8,10.5,42.1
Xavier Worthy,4400,28.4,10.5,42.1
Jaxon Smith-Njigba,8600,27.7,5.3,42.1
Sam LaPorta,4300,26.3,10.5,42.1
Jonathan Taylor,7600,19.3,5.3,42.1
Buffalo Defense,2800,16.8,0.0,31.6
Chase Brown,6600,16.8,5.3,31.6
Malik Washington,4200,16.5,0.0,31.6
AJ Barner,3100,16.1,5.3,26.3
Jared Goff,6300,15.4,5.3,31.6
Parker Washington,6000,15.1,5.3,26.3
Pittsburgh Defense,2700,14.0,0.0,31.6
Tetairoa McMillan,6000,13.3,5.3,26.3
Tennessee Defense,2400,13.0,0.0,36.8
Hunter Henry,3900,11.6,0.0,26.3
Harold Fannin Jr.,4000,10.5,0.0,21.1
Brenton Strange,3400,9.5,0.0,21.1
Gunnar Helm,2900,8.1,0.0,21.1
Ladd McConkey,5900,8.1,0.0,21.1
Josh Allen,8000,7.4,0.0,21.1
Trevor Lawrence,5700,7.0,0.0,15.8
Jameis Winston,4000,6.7,0.0,15.8
Adonai Mitchell,4300,6.0,0.0,15.8
KC Concepcion Jr.,4300,5.6,0.0,21.1
Jameson Williams,5400,5.6,0.0,15.8
Chuba Hubbard,6100,5.6,0.0,15.8
Breece Hall,6400,5.6,0.0,21.1
Sam Darnold,5400,4.6,0.0,15.8
Quinshon Judkins,5500,4.2,0.0,15.8
Bryce Young,5600,4.2,0.0,10.5
Miami Defense,2000,4.2,0.0,21.1
Drake Maye,6100,3.9,0.0,10.5
Xavier Hutchinson,4000,3.9,0.0,15.8
James Cook III,6900,3.9,0.0,15.8
Ja'Marr Chase,8100,3.9,0.0,15.8
Tee Higgins,6100,3.5,0.0,10.5
Brian Thomas Jr.,4600,3.5,0.0,10.5
Terry McLaurin,5100,3.5,0.0,10.5
Cleveland Defense,2500,3.5,0.0,15.8
