player_name,actual_ownership_pct
Aaron Jones Sr.,3.9699999999999998
Antonio Williams,0.25
Ashton Jeanty,37.09
Bam Knight,0.06
Ben Sinnott,0.02
Brenen Thompson,0.02
Brock Bowers,0.04
Caleb Douglas,2.25
Cardinals ,2.63
Carlos Washington Jr.,0.04
Chargers ,28.89
Charlie Kolar,0.54
Chig Okonkwo,1.81
Chris Bell,1.73
Chris Brooks,0.19
Christian Watson,19.43
Commanders ,2.06
DJ Herman,0.02
Dallas Goedert,25.98
Dare Ogunbowale,0.02
Darius Cooper,0.02
David Njoku,2.38
De'Von Achane,58.31999999999999
DeVonta Smith,48.93
DeeJay Dallas,0.02
Dolphins ,8.33
Dontayvion Wicks,3.2199999999999998
Dyami Brown,0.06
E.J. Jenkins,0.02
Eagles ,22.25
Fernando Mendoza,0.04
Greg Dulcich,1.94
Hollywood Brown,0.8200000000000001
Ian Thomas,0.02
J.J. McCarthy,0.02
Jack Bech,0.45
Jacoby Brissett,3.45
Jacory Croskey-Merritt,3.5999999999999996
Jalen Hurts,22.16
Jalen Nailor,4.83
Jalen Tolbert,0.11
Jauan Jennings,3.3899999999999997
Jayden Daniels,3.2
Jayden Reed,9.02
Jaylen Wright,0.1
Jeremiyah Love,2.44
Jonnu Smith,0.11
Jordan Addison,10.33
Jordan Love,5.0
Jordan Mason,6.54
Josh Jacobs,0.02
Josh Oliver,0.02
Justin Herbert,32.91
Justin Jefferson,60.52
Kaleb Johnson,0.15
Kaytron Allen,0.04
KeAndre Lambert-Smith,0.02
Keaton Mitchell,0.4
Kendrick Bourne,0.19
Kimani Vidal,0.8
Kirk Cousins,4.58
Kyler Murray,19.76
Ladd McConkey,50.86
Luke McCaffrey,0.06
Makai Lemon,5.039999999999999
Malik Benson,0.08
Malik Washington,5.74
Malik Willis,8.43
MarShawn Lloyd,10.36
Marvin Harrison Jr.,10.31
Matthew Golden,4.06
Michael Mayer,36.23
Michael Wilson,16.0
Mike Washington Jr.,1.26
Myles Price,0.02
Ollie Gordon II,0.02
Omarion Hampton,55.489999999999995
Oronde Gadsden II,4.2700000000000005
Packers ,4.98
Quentin Johnston,28.520000000000003
Rachaad White,1.3900000000000001
Raiders ,17.49
Roman Hemby,0.02
Saquon Barkley,67.47
Stefon Diggs,9.690000000000001
T.J. Hockenson,4.9799999999999995
Tai Felton,0.02
Tank Bigsby,0.5
Terry McLaurin,15.41
Theo Wease Jr.,0.02
Tre Tucker,18.150000000000002
Tre' Harris,0.58
Trey Benson,0.02
Trey McBride,19.17
Treylon Burks,0.02
Tucker Kraft,15.39
Tyler Allgeier,3.36
Vikings ,12.93
Will Sheppard,0.02
