player_name,actual_ownership_pct
AJ Dillon,0.02
Aaron Rodgers,1.54
Adonai Mitchell,2.3600000000000003
Alec Pierce,6.45
Alvin Kamara,0.02
Ameer Abdullah,0.02
Amon-Ra St. Brown,21.8
Andrei Iosivas,0.41000000000000003
Austin Hooper,0.06
Baker Mayfield,10.6
Barion Brown,0.18
Bears ,4.63
Ben Skowronek,0.02
Bengals ,1.41
Bhayshul Tuten,5.56
Bijan Robinson,16.79
Bills ,1.18
Braelon Allen,0.15
Breece Hall,11.030000000000001
Brenton Strange,5.7700000000000005
Brian Robinson Jr.,0.24
Brian Thomas Jr.,3.0999999999999996
Brock Wright,0.04
Browns ,8.36
Bryce Lance,0.25
Bryce Young,4.29
Bub Means,0.02
Buccaneers ,0.74
Bucky Irving,21.57
C.J. Stroud,1.56
Cade Otton,7.11
Caleb Williams,6.6
Calvin Ridley,0.87
Cam Ward,2.42
Carnell Tate,3.48
Casey Washington,0.02
Cedric Tillman,0.02
Chase Brown,16.44
Chimere Dike,0.21000000000000002
Chris Godwin Jr.,13.09
Chris Olave,28.240000000000002
Chris Rodriguez Jr.,1.43
Chuba Hubbard,3.1
Colbie Young,0.04
Cole Kmet,0.47
Colston Loveland,15.21
Colts ,2.12
Cooper Rush,1.5
D'Andre Swift,19.29
DJ Moore,6.57
DK Metcalf,8.88
Dalton Kincaid,2.63
Dalton Schultz,4.23
Daniel Bellinger,0.04
Daniel Jones,3.42
Darnell Washington,0.36000000000000004
Darren Waller,2.19
David Montgomery,11.48
Dawson Knox,0.36
Deion Burks,0.02
Denzel Boston,0.49
Derrick Henry,14.059999999999999
Deshaun Watson,0.29
Devaughn Vele,14.84
Devontez Walker,0.02
Drake London,6.34
Drew Ogletree,0.02
Drew Sample,0.05
Dylan Sampson,0.09000000000000001
Elic Ayomanor,0.21000000000000002
Emeka Egbuka,10.930000000000001
Erick All Jr.,0.05
Falcons ,2.06
Foster Moreau,0.02
Garrett Wilson,19.360000000000003
Geno Smith,3.09
Germie Bernard,0.24
Gunnar Helm,1.32
Harold Fannin Jr.,9.59
Isaac TeSlaa,0.63
Isaiah Davis,0.07
Ja'Kobi Lane,2.06
Ja'Marr Chase,36.71
Ja'seem Reed,0.02
Jack Strand,0.02
Jacob Saylors,0.02
Jaguars ,23.2
Jahan Dotson,0.25
Jahdae Walker,0.09
Jahmyr Gibbs,49.72
Jakobi Meyers,2.1
Jalen Coker,12.209999999999999
Jalen McMillan,0.02
Jalen Moreno-Cropper,0.02
James Cook III,5.08
Jameson Williams,9.32
Jared Goff,10.46
Jawhar Jordan,0.14
Jaylen Warren,5.699999999999999
Jaylin Noel,0.22
Jerry Jeudy,1.9900000000000002
Jets ,16.66
Jimmy Horn Jr.,0.11000000000000001
Joe Burrow,18.8
Joe Flacco,0.02
Joel Wilson,0.02
John Metchie III,0.09
Jonathan Taylor,17.03
Jonathon Brooks,0.8200000000000001
Josh Allen,3.26
Josh Downs,5.18
Josh Williams,0.02
Joshua Palmer,0.04
Justice Hill,0.11
Juwan Johnson,25.3
KC Concepcion,2.56
Kalif Raymond,0.22
Kayshon Boutte,2.78
Ke'Shawn Williams,0.02
Keenan Allen,3.15
Kendre Miller,0.11000000000000001
Kenny Fletcher Jr.,0.02
Kenny Gainwell,6.18
Kenyon Sadiq,0.8500000000000001
Keon Coleman,0.67
Khalil Shakir,3.1100000000000003
Kyle Monangai,1.12
Kyle Pitts Sr.,7.13
Kylen Granson,0.02
Lamar Jackson,8.14
Lions ,4.41
Luther Burden III,14.93
Mark Andrews,11.280000000000001
Marlin Klein,0.02
Mason Taylor,1.23
Michael Carter,0.02
Michael Pittman Jr.,8.88
Mike Gesicki,2.16
Mitchell Evans,0.04
Mo Alie-Cox,0.02
Nick Singleton,0.07
Nick Westbrook-Ikhine,0.05
Nico Collins,6.5
Noah Fant,0.13
Olamide Zaccheaus,0.25
Omar Cooper Jr.,0.33999999999999997
Panthers ,1.09
Parker Washington,11.51
Pat Freiermuth,1.27
Quinshon Judkins,3.1799999999999997
Rasheen Ali,0.02
Rashod Bateman,1.13
Ravens ,2.64
Ray Davis,0.06
Rico Dowdle,4.56
Robert Tonyan,0.04
Roman Wilson,0.04
Rome Odunze,2.79
Roschon Johnson,0.02
Saints ,0.94
Sam LaPorta,15.920000000000002
Sam Roush,0.02
Samaje Perine,0.07
Sean Tucker,0.02
Seth McGowan,0.02
Shedeur Sanders,0.02
Sione Vaki,0.05
Steelers ,17.77
Tahj Brooks,0.02
Tank Dell,0.02
Tay Martin,0.02
Ted Hurst III,0.63
Tee Higgins,14.78
Tetairoa McMillan,16.82
Texans ,6.1
Tez Johnson,0.38
Titans ,6.51
Tommy Tremble,0.24
Tony Pollard,9.940000000000001
Travis Etienne Jr.,11.22
Travis Hunter,0.59
Trevor Etienne,0.02
Trevor Lawrence,8.99
Tyjae Spears,0.45
Tyler Shough,14.8
Tyler Warren,6.710000000000001
Wan'Dale Robinson,9.66
Woody Marks,1.3
Xavier Hutchinson,0.54
Xavier Legette,0.6
Zachariah Branch,0.11
Zavier Scott,0.02
Zavion Thomas,0.32
Zay Flowers,15.290000000000001
