player_name,roster_role,actual_ownership_pct
Bo Nix,FLEX,58.0
Kenneth Walker III,FLEX,48.47
Patrick Mahomes,FLEX,48.19
Jaylen Waddle,FLEX,39.37
Travis Kelce,FLEX,34.5
Rashee Rice,FLEX,31.65
Harrison Butker,FLEX,30.18
J.K. Dobbins,FLEX,25.83
Courtland Sutton,FLEX,24.23
Bo Nix,CPT,20.06
Pat Bryant,FLEX,19.86
Wil Lutz,FLEX,19.77
Evan Engram,FLEX,18.92
RJ Harvey,FLEX,18.46
Xavier Worthy,FLEX,16.84
Broncos ,FLEX,15.75
Kenneth Walker III,CPT,12.81
Patrick Mahomes,CPT,11.44
Jaylen Waddle,CPT,11.1
Tyquan Thornton,FLEX,7.83
Rashee Rice,CPT,7.83
Chiefs ,FLEX,7.54
Marvin Mims Jr.,FLEX,7.22
J.K. Dobbins,CPT,6.47
Travis Kelce,CPT,5.58
Troy Franklin,FLEX,5.04
Broncos ,CPT,4.7
Noah Gray,FLEX,4.62
Courtland Sutton,CPT,4.41
Emmett Johnson,FLEX,3.54
RJ Harvey,CPT,3.49
Cyrus Allen,FLEX,2.86
Jonah Coleman,FLEX,2.24
Xavier Worthy,CPT,2.22
Harrison Butker,CPT,1.7
Pat Bryant,CPT,1.46
Adam Trautman,FLEX,1.24
Evan Engram,CPT,1.21
Brashard Smith,FLEX,1.11
Lil'Jordan Humphrey,FLEX,1.07
Wil Lutz,CPT,0.93
Chiefs ,CPT,0.83
Marvin Mims Jr.,CPT,0.62
Troy Franklin,CPT,0.58
Tyquan Thornton,CPT,0.47
Nate Adkins,FLEX,0.46
Cyrus Allen,CPT,0.37
Justin Fields,FLEX,0.35
Noah Gray,CPT,0.27
Emmett Johnson,CPT,0.25
Jonah Coleman,CPT,0.24
Jalen Royals,FLEX,0.17
Nikko Remigio,FLEX,0.13
Jake Briningstool,FLEX,0.12
Adam Prentice,FLEX,0.11
Justin Fields,CPT,0.09
Ben VanSumeren,FLEX,0.04
Tyler Badie,FLEX,0.04
Michael Bandy,FLEX,0.03
Nate Carter,FLEX,0.03
Jared Wiley,FLEX,0.03
Jalen Royals,CPT,0.02
Adam Trautman,CPT,0.02
Cody Schrader,FLEX,0.02
Jarrett Stidham,FLEX,0.02
Dane Key,FLEX,0.01
Jaydn Ott,FLEX,0.01
Jimmy Holiday,FLEX,0.01
Nate Carter,CPT,0.01
Sam Ehlinger,FLEX,0.01
Andrew Armstrong,FLEX,0.01
Brashard Smith,CPT,0.01
