player_name,roster_role,actual_ownership_pct
Bijan Robinson,FLEX,59.75%
Jordan Love,FLEX,58.87%
Christian Watson,FLEX,42.56%
Matthew Golden,FLEX,37.24%
Tucker Kraft,FLEX,35.70%
Drake London,FLEX,33.88%
Trey Smack,FLEX,30.40%
Michael Penix Jr.,FLEX,21.25%
Kyle Pitts Sr.,FLEX,21.07%
Bijan Robinson,CPT,21.03%
Jahan Dotson,FLEX,19.70%
Kaleb Johnson,FLEX,17.52%
Packers,FLEX,17.42%
Nick Folk,FLEX,17.10%
Skyy Moore,FLEX,15.46%
Christian Watson,CPT,14.79%
Tucker Kraft,CPT,12.91%
Jordan Love,CPT,12.39%
Jonnu Smith,FLEX,10.61%
Drake London,CPT,9.96%
Matthew Golden,CPT,9.57%
Falcons,FLEX,8.47%
MarShawn Lloyd,FLEX,7.94%
Olamide Zaccheaus,FLEX,7.36%
Brian Robinson Jr.,FLEX,7.14%
Bo Melton,FLEX,6.99%
Austin Hooper,FLEX,5.97%
Chris Brooks,FLEX,5.33%
Packers,CPT,4.43%
Kyle Pitts Sr.,CPT,3.44%
Zachariah Branch,FLEX,3.03%
Michael Penix Jr.,CPT,2.62%
Charlie Woerner,FLEX,2.41%
Trey Smack,CPT,1.97%
Kaleb Johnson,CPT,1.51%
MarShawn Lloyd,CPT,1.38%
J. Michael Sturdivant,FLEX,0.94%
Chris Blair,FLEX,0.84%
Mark Redman,FLEX,0.56%
Jahan Dotson,CPT,0.55%
Lenny Krieg,FLEX,0.49%
Skyy Moore,CPT,0.49%
Nick Folk,CPT,0.45%
Josh Whyle,FLEX,0.45%
Falcons,CPT,0.41%
Brian Robinson Jr.,CPT,0.40%
Jonnu Smith,CPT,0.30%
Chris Brooks,CPT,0.22%
Damon Bankston,FLEX,0.22%
Bo Melton,CPT,0.17%
Tua Tagovailoa,FLEX,0.15%
Nick Muse,FLEX,0.12%
Austin Hooper,CPT,0.11%
Olamide Zaccheaus,CPT,0.09%
Pierre Strong Jr.,FLEX,0.08%
Zachariah Branch,CPT,0.07%
Khalil Herbert,FLEX,0.06%
Cash Jones,FLEX,0.04%
Tyrod Taylor,FLEX,0.04%
Jack Strand,FLEX,0.03%
Dylan Drummond,FLEX,0.03%
Tua Tagovailoa,CPT,0.03%
J. Michael Sturdivant,CPT,0.03%
Chris Blair,CPT,0.03%
Josh Jacobs,FLEX,0.03%
Kedon Slovis,FLEX,0.03%
Josh Whyle,CPT,0.02%
Trey Sermon,FLEX,0.02%
Luke Musgrave,FLEX,0.02%
Tyrod Taylor,CPT,0.02%
Mark Redman,CPT,0.01%
Charlie Woerner,CPT,0.01%
Dylan Drummond,CPT,0.01%
Cooper Rush,FLEX,0.01%
Savion Williams,FLEX,0.01%
Beaux Collins,FLEX,0.01%
Thomas Yassmin,FLEX,0.01%
Josh Jacobs,CPT,0.01%
Quincy Skinner Jr.,FLEX,0.01%
Antwane Wells Jr.,FLEX,0.01%
Drake Dabney,CPT,0.01%
Jayden Reed,FLEX,0.01%
