Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
90000062,QB,Jared,Jared Estrada,Estrada,21.48,1,9200,SF@MIA 07/24/2026 01:00PM ET,SF,MIA,,
90000115,WR,Cameron,Cameron Whitfield,Whitfield,21.87,1,8700,DET@GB 07/24/2026 01:00PM ET,DET,GB,,
90000074,QB,Antonio,Antonio Monroe,Monroe,18.55,1,8500,CIN@BAL 07/24/2026 01:00PM ET,BAL,CIN,,
90000004,RB,Reggie,Reggie Marshall,Marshall,17.34,1,8500,KC@BUF 07/24/2026 01:00PM ET,BUF,KC,,
90000230,QB,Trevor,Trevor Hargrove,Hargrove,18.09,1,8500,ATL@NO 07/24/2026 08:20PM ET,ATL,NO,,
90000218,QB,Grant,Grant Coleman,Coleman,21.6,1,8500,ATL@NO 07/24/2026 08:20PM ET,NO,ATL,,
90000014,QB,Julian,Julian Marshall,Marshall,23.39,1,8500,KC@BUF 07/24/2026 01:00PM ET,KC,BUF,,
90000076,RB,Brandon,Brandon Pace,Pace,19.64,1,8400,CIN@BAL 07/24/2026 01:00PM ET,BAL,CIN,,
90000172,RB,Preston,Preston Nakamura,Nakamura,22.94,1,8300,JAX@PIT 07/24/2026 04:25PM ET,PIT,JAX,,
90000079,WR,Ryan,Ryan Rivers,Rivers,20.69,1,8300,CIN@BAL 07/24/2026 01:00PM ET,BAL,CIN,,
90000038,QB,Preston,Preston Manning,Manning,18.33,1,8300,PHI@DAL 07/24/2026 01:00PM ET,PHI,DAL,,
90000232,RB,Deshawn,Deshawn Fontaine,Fontaine,19.45,1,8200,ATL@NO 07/24/2026 08:20PM ET,ATL,NO,,
90000064,RB,Jared,Jared Castillo,Castillo,17.81,1,8100,SF@MIA 07/24/2026 01:00PM ET,SF,MIA,,
90000071,TE,Kendall,Kendall Whitfield,Whitfield,14.88,1,8000,SF@MIA 07/24/2026 01:00PM ET,SF,MIA,,
90000122,QB,Corey,Corey Denning,Denning,20.68,1,8000,LAR@SEA 07/24/2026 04:05PM ET,SEA,LAR,,
90000019,WR,Ryan,Ryan Blackwell,Blackwell,16.05,1,8000,KC@BUF 07/24/2026 01:00PM ET,KC,BUF,,
90000136,RB,Dominic,Dominic Rourke,Rourke,17.73,1,7900,LAR@SEA 07/24/2026 04:05PM ET,LAR,SEA,,
90000199,WR,Aaron,Aaron Truman,Truman,17.71,1,7900,LAC@DEN 07/24/2026 04:25PM ET,DEN,LAC,,
90000088,RB,Chris,Chris Pace,Pace,20.93,1,7900,CIN@BAL 07/24/2026 01:00PM ET,CIN,BAL,,
90000067,WR,Corey,Corey Okafor,Okafor,17.16,1,7900,SF@MIA 07/24/2026 01:00PM ET,SF,MIA,,
90000031,WR,Zach,Zach Ellison,Ellison,21.53,1,7900,PHI@DAL 07/24/2026 01:00PM ET,DAL,PHI,,
90000043,WR,Chris,Chris Pruitt,Pruitt,21.3,1,7900,PHI@DAL 07/24/2026 01:00PM ET,PHI,DAL,,
90000103,WR,Nate,Nate Monroe,Monroe,17.81,1,7900,DET@GB 07/24/2026 01:00PM ET,GB,DET,,
90000223,WR,Cameron,Cameron Pace,Pace,22.95,1,7900,ATL@NO 07/24/2026 08:20PM ET,NO,ATL,,
90000194,QB,Cole,Cole Bishop,Bishop,19.15,1,7800,LAC@DEN 07/24/2026 04:25PM ET,DEN,LAC,,
90000002,QB,Emmanuel,Emmanuel Boykin,Boykin,18.08,1,7800,KC@BUF 07/24/2026 01:00PM ET,BUF,KC,,
90000044,WR,Malik,Malik Delgado,Delgado,17.82,1,7700,PHI@DAL 07/24/2026 01:00PM ET,PHI,DAL,,
