Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
QB,Joe Burrow (43778065),Joe Burrow,43778065,QB,5500,DET@CIN 08/13/2026 07:00PM ET,CIN,18.2,
QB,Drake Maye (43778066),Drake Maye,43778066,QB,5500,IND@NE 08/13/2026 07:30PM ET,NE,20.9,
QB,Jared Goff (43778067),Jared Goff,43778067,QB,5500,DET@CIN 08/13/2026 07:00PM ET,DET,19.3,
QB,Jordan Love (43778068),Jordan Love,43778068,QB,5500,GB@PIT 08/13/2026 07:00PM ET,GB,17.6,
QB,Jacoby Brissett (43778069),Jacoby Brissett,43778069,QB,5500,ARI@LV 08/13/2026 08:00PM ET,ARI,18,
QB,Brock Purdy (43778070),Brock Purdy,43778070,QB,5500,TEN@SF 08/13/2026 09:00PM ET,SF,20.1,
QB,Justin Herbert (43778071),Justin Herbert,43778071,QB,5500,LAC@HOU 08/13/2026 08:00PM ET,LAC,19.1,
QB,Kirk Cousins (43778072),Kirk Cousins,43778072,QB,5500,ARI@LV 08/13/2026 08:00PM ET,LV,11.3,
QB,C.J. Stroud (43778073),C.J. Stroud,43778073,QB,5500,LAC@HOU 08/13/2026 08:00PM ET,HOU,15,
QB,Cam Ward (43778074),Cam Ward,43778074,QB,5500,TEN@SF 08/13/2026 09:00PM ET,TEN,11.8,
QB,Aaron Rodgers (43778075),Aaron Rodgers,43778075,QB,5500,GB@PIT 08/13/2026 07:00PM ET,PIT,14.1,
QB,Daniel Jones (43778076),Daniel Jones,43778076,QB,5500,IND@NE 08/13/2026 07:30PM ET,IND,18.7,
RB,Christian McCaffrey (43778077),Christian McCaffrey,43778077,RB/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,SF,24.8,
RB,Jahmyr Gibbs (43778079),Jahmyr Gibbs,43778079,RB/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,22.3,Q
RB,Chase Brown (43778081),Chase Brown,43778081,RB/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,CIN,17.2,
RB,Jonathan Taylor (43778083),Jonathan Taylor,43778083,RB/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,IND,22.3,
RB,Ashton Jeanty (43778085),Ashton Jeanty,43778085,RB/FLEX,5500,ARI@LV 08/13/2026 08:00PM ET,LV,14.8,
RB,Josh Jacobs (43778087),Josh Jacobs,43778087,RB/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,GB,15.4,Q
RB,Rhamondre Stevenson (43778089),Rhamondre Stevenson,43778089,RB/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,NE,13.2,
RB,Jaylen Warren (43778091),Jaylen Warren,43778091,RB/FLEX,5500,GB@PIT 08/13/2026 07:00PM ET,PIT,13.5,
RB,Tony Pollard (43778093),Tony Pollard,43778093,RB/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,TEN,11.6,
RB,Omarion Hampton (43778095),Omarion Hampton,43778095,RB/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,LAC,13.9,
RB,David Montgomery (43778097),David Montgomery,43778097,RB/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,HOU,10.1,
RB,Jeremiyah Love (43778099),Jeremiyah Love,43778099,RB/FLEX,5500,ARI@LV 08/13/2026 08:00PM ET,ARI,0,
WR,Ja'Marr Chase (43778101),Ja'Marr Chase,43778101,WR/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,CIN,21,
WR,Amon-Ra St. Brown (43778103),Amon-Ra St. Brown,43778103,WR/FLEX,5500,DET@CIN 08/13/2026 07:00PM ET,DET,19.9,
WR,A.J. Brown (43778105),A.J. Brown,43778105,WR/FLEX,5500,IND@NE 08/13/2026 07:30PM ET,NE,15.1,
WR,Nico Collins (43778107),Nico Collins,43778107,WR/FLEX,5500,LAC@HOU 08/13/2026 08:00PM ET,HOU,15.1,
WR,Mike Evans (43778109),Mike Evans,43778109,WR/FLEX,5500,TEN@SF 08/13/2026 09:00PM ET,SF,11,Q
