Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Jonathan Taylor (44191068),Jonathan Taylor,44191068,CPT,16500,IND@KC 09/20/2026 08:20PM ET,IND,26.1,
RB,Kenneth Walker III (44191069),Kenneth Walker III,44191069,CPT,15900,IND@KC 09/20/2026 08:20PM ET,KC,37.1,
QB,Patrick Mahomes (44191070),Patrick Mahomes,44191070,CPT,15000,IND@KC 09/20/2026 08:20PM ET,KC,22.7,
WR,Rashee Rice (44191071),Rashee Rice,44191071,CPT,14100,IND@KC 09/20/2026 08:20PM ET,KC,9.9,
QB,Daniel Jones (44191072),Daniel Jones,44191072,CPT,13800,IND@KC 09/20/2026 08:20PM ET,IND,10,
WR,Alec Pierce (44191073),Alec Pierce,44191073,CPT,11400,IND@KC 09/20/2026 08:20PM ET,IND,10.1,
RB,Jonathan Taylor (44191014),Jonathan Taylor,44191014,FLEX,11000,IND@KC 09/20/2026 08:20PM ET,IND,26.1,
TE,Tyler Warren (44191074),Tyler Warren,44191074,CPT,10800,IND@KC 09/20/2026 08:20PM ET,IND,10.3,
RB,Kenneth Walker III (44191015),Kenneth Walker III,44191015,FLEX,10600,IND@KC 09/20/2026 08:20PM ET,KC,37.1,
QB,Patrick Mahomes (44191016),Patrick Mahomes,44191016,FLEX,10000,IND@KC 09/20/2026 08:20PM ET,KC,22.7,
WR,Josh Downs (44191075),Josh Downs,44191075,CPT,9900,IND@KC 09/20/2026 08:20PM ET,IND,5.7,
WR,Rashee Rice (44191017),Rashee Rice,44191017,FLEX,9400,IND@KC 09/20/2026 08:20PM ET,KC,9.9,
TE,Travis Kelce (44191076),Travis Kelce,44191076,CPT,9300,IND@KC 09/20/2026 08:20PM ET,KC,10.1,
QB,Daniel Jones (44191018),Daniel Jones,44191018,FLEX,9200,IND@KC 09/20/2026 08:20PM ET,IND,10,
QB,Justin Fields (44191077),Justin Fields,44191077,CPT,9000,IND@KC 09/20/2026 08:20PM ET,KC,0,
