Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Puka Nacua (44191175),Puka Nacua,44191175,CPT,17100,NYG@LAR 09/21/2026 08:15PM ET,LAR,12.4,Q
QB,Matthew Stafford (44191176),Matthew Stafford,44191176,CPT,15000,NYG@LAR 09/21/2026 08:15PM ET,LAR,5.1,
QB,Jaxson Dart (44191177),Jaxson Dart,44191177,CPT,14700,NYG@LAR 09/21/2026 08:15PM ET,NYG,26.6,
RB,Kyren Williams (44191178),Kyren Williams,44191178,CPT,14400,NYG@LAR 09/21/2026 08:15PM ET,LAR,15.5,
RB,Cam Skattebo (44191179),Cam Skattebo,44191179,CPT,14100,NYG@LAR 09/21/2026 08:15PM ET,NYG,14.1,
WR,Malik Nabers (44191180),Malik Nabers,44191180,CPT,13500,NYG@LAR 09/21/2026 08:15PM ET,NYG,12.9,
WR,Davante Adams (44191181),Davante Adams,44191181,CPT,13200,NYG@LAR 09/21/2026 08:15PM ET,LAR,5.6,
WR,Puka Nacua (44191122),Puka Nacua,44191122,FLEX,11400,NYG@LAR 09/21/2026 08:15PM ET,LAR,12.4,Q
TE,Isaiah Likely (44191182),Isaiah Likely,44191182,CPT,11100,NYG@LAR 09/21/2026 08:15PM ET,NYG,27.8,
QB,Matthew Stafford (44191123),Matthew Stafford,44191123,FLEX,10000,NYG@LAR 09/21/2026 08:15PM ET,LAR,5.1,
QB,Jaxson Dart (44191124),Jaxson Dart,44191124,FLEX,9800,NYG@LAR 09/21/2026 08:15PM ET,NYG,26.6,
RB,Kyren Williams (44191125),Kyren Williams,44191125,FLEX,9600,NYG@LAR 09/21/2026 08:15PM ET,LAR,15.5,
RB,Cam Skattebo (44191126),Cam Skattebo,44191126,FLEX,9400,NYG@LAR 09/21/2026 08:15PM ET,NYG,14.1,
WR,Malik Nabers (44191127),Malik Nabers,44191127,FLEX,9000,NYG@LAR 09/21/2026 08:15PM ET,NYG,12.9,
QB,Ty Simpson (44191183),Ty Simpson,44191183,CPT,9000,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
QB,Jake Haener (44191184),Jake Haener,44191184,CPT,9000,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
QB,Matthew Caldwell (44191185),Matthew Caldwell,44191185,CPT,9000,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,IR
QB,Jameis Winston (44191186),Jameis Winston,44191186,CPT,9000,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
QB,Stetson Bennett IV (44191187),Stetson Bennett IV,44191187,CPT,9000,NYG@LAR 09/21/2026 08:15PM ET,LAR,1.42,
WR,Davante Adams (44191128),Davante Adams,44191128,FLEX,8800,NYG@LAR 09/21/2026 08:15PM ET,LAR,5.6,
WR,Malachi Fields (44191188),Malachi Fields,44191188,CPT,8400,NYG@LAR 09/21/2026 08:15PM ET,NYG,4.5,
K,Harrison Mevis (44191189),Harrison Mevis,44191189,CPT,7500,NYG@LAR 09/21/2026 08:15PM ET,LAR,1,
TE,Isaiah Likely (44191129),Isaiah Likely,44191129,FLEX,7400,NYG@LAR 09/21/2026 08:15PM ET,NYG,27.8,
K,Dominic Zvada (44191190),Dominic Zvada,44191190,CPT,7200,NYG@LAR 09/21/2026 08:15PM ET,NYG,4,
RB,Blake Corum (44191191),Blake Corum,44191191,CPT,6900,NYG@LAR 09/21/2026 08:15PM ET,LAR,5.4,
DST,Rams (44191192),Rams,44191192,CPT,6300,NYG@LAR 09/21/2026 08:15PM ET,LAR,2,
QB,Ty Simpson (44191130),Ty Simpson,44191130,FLEX,6000,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,
QB,Jake Haener (44191131),Jake Haener,44191131,FLEX,6000,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
QB,Matthew Caldwell (44191132),Matthew Caldwell,44191132,FLEX,6000,NYG@LAR 09/21/2026 08:15PM ET,LAR,0,IR
QB,Jameis Winston (44191133),Jameis Winston,44191133,FLEX,6000,NYG@LAR 09/21/2026 08:15PM ET,NYG,0,
QB,Stetson Bennett IV (44191134),Stetson Bennett IV,44191134,FLEX,6000,NYG@LAR 09/21/2026 08:15PM ET,LAR,1.42,
