Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134516-39280,RB,Derrick,Derrick Henry,Henry,27,2,9000,BAL@DAL,BAL,DAL,,,,,,RB/FLEX
134516-55050,RB,Christian,Christian McCaffrey,McCaffrey,15.949999809265137,2,8900,ARI@SF,SF,ARI,,,,,,RB/FLEX
134516-86631,WR,CeeDee,CeeDee Lamb,Lamb,23.600000381469727,2,8600,BAL@DAL,DAL,BAL,,,,,,WR/FLEX
134516-63115,QB,Lamar,Lamar Jackson,Jackson,21.8799991607666,2,8600,BAL@DAL,BAL,DAL,,,,,,QB
134516-85671,WR,Justin,Justin Jefferson,Jefferson,17.100000381469727,2,8400,MIN@TB,MIN,TB,,,,,,WR/FLEX
134516-31716,QB,Dak,Dak Prescott,Prescott,22.579999923706055,2,8300,BAL@DAL,DAL,BAL,,,,,,QB
134516-85607,QB,Brock,Brock Purdy,Purdy,25.290000915527344,2,8200,ARI@SF,SF,ARI,,,,,,QB
134516-87770,WR,Chris,Chris Olave,Olave,22.399999618530273,2,8100,LV@NO,NO,LV,,,,,,WR/FLEX
134516-167031,RB,Ashton,Ashton Jeanty,Jeanty,20.5,2,7800,LV@NO,LV,NO,,,,,,RB/FLEX
134516-32384,WR,Mike,Mike Evans,Evans,10.399999618530273,2,7800,ARI@SF,SF,ARI,Q,Hip,,,,WR/FLEX
134516-110246,WR,George,George Pickens,Pickens,5.650000095367432,2,7700,BAL@DAL,DAL,BAL,,,,,,WR/FLEX
134516-152664,RB,Bucky,Bucky Irving,Irving,13.899999618530273,2,7600,MIN@TB,TB,MIN,,,,,,RB/FLEX
134516-88431,QB,Tyler,Tyler Shough,Shough,25.290000915527344,2,7600,LV@NO,NO,LV,,,,,,QB
134516-112295,WR,Zay,Zay Flowers,Flowers,26.5,1,7500,BAL@DAL,BAL,DAL,Q,Hamstring,,,,WR/FLEX
134516-93541,RB,Javonte,Javonte Williams,Williams,14.100000381469727,2,7400,BAL@DAL,DAL,BAL,,,,,,RB/FLEX
134516-41535,QB,Baker,Baker Mayfield,Mayfield,12.40999984741211,2,7300,MIN@TB,TB,MIN,,,,,,QB
134516-91750,TE,Trey,Trey McBride,McBride,17.049999237060547,2,7300,ARI@SF,ARI,SF,,,,,,TE/FLEX
134516-70324,QB,Carson,Carson Wentz,Wentz,12.770000457763672,2,7100,MIN@TB,MIN,TB,,,,,,QB
134516-63484,QB,Kyler,Kyler Murray,Murray,0.6200000047683716,1,7100,MIN@TB,MIN,TB,,,,,,QB
134516-22038,QB,Kirk,Kirk Cousins,Cousins,18.510000228881836,2,6900,LV@NO,LV,NO,,,,,,QB
134516-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,8.699999809265137,2,6900,LV@NO,NO,LV,,,,,,RB/FLEX
134516-30231,QB,Jacoby,Jacoby Brissett,Brissett,11.989999771118164,2,6800,ARI@SF,ARI,SF,,,,,,QB
134516-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,10,2,6600,ARI@SF,SF,ARI,,,,,,WR/FLEX
134516-151794,TE,Brock,Brock Bowers,Bowers,12.516666412353516,12,6500,LV@NO,LV,NO,Q,Knee - meniscus,,,,TE/FLEX
