Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134515-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,27.200000762939453,2,9200,NYJ@DET,DET,NYJ,,,,,,RB/FLEX
134515-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,33.099998474121094,2,9200,SEA@WAS,SEA,WAS,,,,,,WR/FLEX
134515-62239,QB,Josh,Josh Allen,Allen,39.7400016784668,2,9100,LAC@BUF,BUF,LAC,,,,,,QB
134515-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,28.700000762939453,2,9000,NYJ@DET,DET,NYJ,,,,,,WR/FLEX
134515-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,12.600000381469727,2,8900,CIN@PIT,CIN,PIT,,,,,,WR/FLEX
134515-89675,RB,Jonathan,Jonathan Taylor,Taylor,25.399999618530273,2,8500,HOU@IND,IND,HOU,,,,,,RB/FLEX
134515-57439,QB,Patrick,Patrick Mahomes,Mahomes,27.31999969482422,2,8300,KC@MIA,KC,MIA,,,,,,QB
134515-103342,RB,Kenneth,Kenneth Walker III,Walker III,29.700000762939453,2,8300,KC@MIA,KC,MIA,,,,,,RB/FLEX
134515-91626,RB,James,James Cook III,Cook III,15.899999618530273,2,8100,LAC@BUF,BUF,LAC,,,,,,RB/FLEX
134515-63336,QB,Joe,Joe Burrow,Burrow,15.670000076293945,2,8100,CIN@PIT,CIN,PIT,,,,,,QB
134515-151761,WR,Malik,Malik Nabers,Nabers,5.25,2,8000,TEN@NYG,NYG,TEN,Q,Shoulder,,,,WR/FLEX
134515-38435,QB,Jared,Jared Goff,Goff,24.610000610351562,2,8000,NYJ@DET,DET,NYJ,,,,,,QB
134515-151966,QB,Jaxson,Jaxson Dart,Dart,13.699999809265137,2,7900,TEN@NYG,NYG,TEN,D,Knee - mcl,,,,QB
134515-138820,RB,De'Von,De'Von Achane,Achane,9.699999809265137,2,7900,KC@MIA,MIA,KC,,,,,,RB/FLEX
134515-102785,QB,Jayden,Jayden Daniels,Daniels,16.200000762939453,2,7800,SEA@WAS,WAS,SEA,D,Elbow,,,,QB
134515-111311,WR,Rashee,Rashee Rice,Rice,9.600000381469727,2,7700,KC@MIA,KC,MIA,,,,,,WR/FLEX
134515-89951,QB,Trevor,Trevor Lawrence,Lawrence,16.6299991607666,2,7700,NE@JAC,JAC,NE,,,,,,QB
134515-119606,QB,Bryce,Bryce Young,Young,29.760000228881836,2,7600,CAR@CLE,CAR,CLE,,,,,,QB
134515-89493,RB,Chase,Chase Brown,Brown,13,2,7500,CIN@PIT,CIN,PIT,,,,,,RB/FLEX
134515-91419,WR,Nico,Nico Collins,Collins,17.700000762939453,1,7400,HOU@IND,HOU,IND,Q,Hamstring,,,,WR/FLEX
134515-152316,QB,Drake,Drake Maye,Maye,10.920000076293945,2,7400,NE@JAC,NE,JAC,,,,,,QB
134515-103564,WR,Garrett,Garrett Wilson,Wilson,12.550000190734863,2,7300,NYJ@DET,NYJ,DET,,,,,,WR/FLEX
134515-174215,RB,Omarion,Omarion Hampton,Hampton,12.399999618530273,2,7200,LAC@BUF,LAC,BUF,,,,,,RB/FLEX
134515-69189,QB,Justin,Justin Herbert,Herbert,12.069999694824219,2,7200,LAC@BUF,LAC,BUF,,,,,,QB
134515-63519,QB,Daniel,Daniel Jones,Jones,11.220000267028809,2,7100,HOU@IND,IND,HOU,,,,,,QB
134515-137516,WR,Parker,Parker Washington,Washington,15.050000190734863,2,7100,NE@JAC,JAC,NE,,,,,,WR/FLEX
134515-103064,RB,Breece,Breece Hall,Hall,16.75,2,7100,NYJ@DET,NYJ,DET,,,,,,RB/FLEX
134515-129471,QB,C.J.,C.J. Stroud,Stroud,18.239999771118164,2,7000,HOU@IND,HOU,IND,,,,,,QB
134515-89981,WR,Tee,Tee Higgins,Higgins,9.699999809265137,2,7000,CIN@PIT,CIN,PIT,,,,,,WR/FLEX
134515-63589,QB,Sam,Sam Darnold,Darnold,0.5199999809265137,1,6900,SEA@WAS,SEA,WAS,Q,Lower body,,,,QB
134515-73048,WR,DK,DK Metcalf,Metcalf,5.349999904632568,2,6900,CIN@PIT,PIT,CIN,,,,,,WR/FLEX
134515-64051,QB,Drew,Drew Lock,Lock,17.09000015258789,2,6900,SEA@WAS,SEA,WAS,,,,,,QB
134515-6894,QB,Aaron,Aaron Rodgers,Rodgers,8.760000228881836,2,6900,CIN@PIT,PIT,CIN,,,,,,QB
134515-183240,RB,Cam,Cam Skattebo,Skattebo,10.800000190734863,2,6900,TEN@NYG,NYG,TEN,,,,,,RB/FLEX
134515-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,11.800000190734863,2,6800,CAR@CLE,CAR,CLE,,,,,,WR/FLEX
134515-87467,RB,Chuba,Chuba Hubbard,Hubbard,17.799999237060547,2,6700,CAR@CLE,CAR,CLE,,,,,,RB/FLEX
134515-63043,WR,DJ,DJ Moore,Moore,10.699999809265137,2,6700,LAC@BUF,BUF,LAC,Q,Shoulder - ac joint,,,,WR/FLEX
134515-29358,QB,Marcus,Marcus Mariota,Mariota,8.739999771118164,1,6700,SEA@WAS,WAS,SEA,,,,,,QB
134515-26483,QB,Geno,Geno Smith,Smith,12.4399995803833,2,6700,NYJ@DET,NYJ,DET,,,,,,QB
134515-111631,WR,Jameson,Jameson Williams,Williams,5.400000095367432,2,6600,NYJ@DET,DET,NYJ,,,,,,WR/FLEX
134515-168356,QB,Cam,Cam Ward,Ward,15.859999656677246,2,6600,TEN@NYG,TEN,NYG,,,,,,QB
134515-73273,RB,David,David Montgomery,Montgomery,15.399999618530273,2,6600,HOU@IND,HOU,IND,,,,,,RB/FLEX
134515-54879,QB,Deshaun,Deshaun Watson,Watson,17.360000610351562,2,6600,CAR@CLE,CLE,CAR,,,,,,QB
134515-184183,QB,Shedeur,Shedeur Sanders,Sanders,12.237500190734863,8,6600,CAR@CLE,CLE,CAR,,,,,,QB
134515-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,13.600000381469727,1,6500,NE@JAC,NE,JAC,,,,,,RB/FLEX
134515-87691,QB,Malik,Malik Willis,Willis,15.09000015258789,2,6500,KC@MIA,MIA,KC,,,,,,QB
134515-24849,QB,Jameis,Jameis Winston,Winston,3.5399999618530273,1,6400,TEN@NYG,NYG,TEN,,,,,,QB
134515-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,0.8299999833106995,2,6400,HOU@IND,IND,HOU,,,,,,QB
134515-91591,QB,Justin,Justin Fields,Fields,15.962222629123264,9,6400,KC@MIA,KC,MIA,,,,,,QB
134515-25079,WR,Stefon,Stefon Diggs,Diggs,16.350000381469727,2,6400,SEA@WAS,WAS,SEA,,,,,,WR/FLEX
134515-160620,RB,Bhayshul,Bhayshul Tuten,Tuten,11.25,2,6400,NE@JAC,JAC,NE,,,,,,RB/FLEX
134515-133472,WR,Ladd,Ladd McConkey,McConkey,10.850000381469727,2,6300,LAC@BUF,LAC,BUF,,,,,,WR/FLEX
134515-112057,RB,Jaylen,Jaylen Warren,Warren,8.25,2,6300,CIN@PIT,PIT,CIN,,,,,,RB/FLEX
134515-53729,QB,Mason,Mason Rudolph,Rudolph,0.30000001192092896,1,6300,CIN@PIT,PIT,CIN,,,,,,QB
134515-154450,QB,Riley,Riley Leonard,Leonard,6.4,5,6300,HOU@IND,IND,HOU,,,,,,QB
134515-105646,TE,Sam,Sam LaPorta,LaPorta,10.75,2,6200,NYJ@DET,DET,NYJ,,,,,,TE/FLEX
134515-87594,QB,Sam,Sam Hartman,Hartman,,0,6200,SEA@WAS,WAS,SEA,,,,,,QB
134515-201547,WR,Jalen,Jalen Coker,Coker,21.700000762939453,2,6200,CAR@CLE,CAR,CLE,,,,,,WR/FLEX
134515-129305,WR,Josh,Josh Downs,Downs,7.699999809265137,2,6100,HOU@IND,IND,HOU,,,,,,WR/FLEX
134515-169410,RB,Quinshon,Quinshon Judkins,Judkins,6.650000095367432,2,6100,CAR@CLE,CLE,CAR,,,,,,RB/FLEX
134515-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,KC@MIA,MIA,KC,,,,,,QB
134515-152673,QB,Athan,Athan Kaliakmanis,Kaliakmanis,,0,6000,SEA@WAS,WAS,SEA,,,,,,QB
134515-103591,QB,Graham,Graham Mertz,Mertz,,0,6000,HOU@IND,HOU,IND,IR,Knee - acl,,,,QB
134515-160938,QB,Quinn,Quinn Ewers,Ewers,8.920000076293945,4,6000,NE@JAC,JAC,NE,,,,,,QB
134515-86200,QB,Sean,Sean Clifford,Clifford,,0,6000,CIN@PIT,CIN,PIT,,,,,,QB
134515-149696,QB,Trey,Trey Lance,Lance,3.634999990463257,4,6000,LAC@BUF,LAC,BUF,,,,,,QB
134515-69833,QB,Shane,Shane Buechele,Buechele,3.9200000762939453,1,6000,LAC@BUF,BUF,LAC,,,,,,QB
134515-151757,QB,Garrett,Garrett Nussmeier,Nussmeier,,0,6000,KC@MIA,KC,MIA,,,,,,QB
134515-152820,QB,Taylen,Taylen Green,Green,,0,6000,CAR@CLE,CLE,CAR,,,,,,QB
134515-158974,WR,Xavier,Xavier Worthy,Worthy,7.150000095367432,2,6000,KC@MIA,KC,MIA,,,,,,WR/FLEX
134515-103698,QB,Dillon,Dillon Gabriel,Gabriel,7.208000183105469,10,6000,CAR@CLE,CLE,CAR,IR,Back,,,,QB
134515-120105,QB,Will,Will Howard,Howard,,0,6000,CIN@PIT,PIT,CIN,,,,,,QB
134515-151938,QB,Luke,Luke Altmyer,Altmyer,,0,6000,NYJ@DET,DET,NYJ,,,,,,QB
134515-169381,RB,Jadarian,Jadarian Price,Price,5.650000095367432,2,6000,SEA@WAS,SEA,WAS,Q,Shoulder,,,,RB/FLEX
134515-166314,QB,Cade,Cade Klubnik,Klubnik,,0,6000,NYJ@DET,NYJ,DET,,,,,,QB
134515-40407,QB,Joshua,Joshua Dobbs,Dobbs,0.5249999761581421,4,6000,NYJ@DET,DET,NYJ,,,,,,QB
134515-152061,QB,Behren,Behren Morton,Morton,,0,6000,NE@JAC,NE,JAC,,,,,,QB
134515-89628,QB,Davis,Davis Mills,Mills,11.59999974568685,6,6000,HOU@IND,HOU,IND,,,,,,QB
134515-94748,QB,Tommy,Tommy DeVito,DeVito,,0,6000,NE@JAC,NE,JAC,,,,,,QB
134515-6714,QB,Joe,Joe Flacco,Flacco,12.512307974008413,13,6000,CIN@PIT,CIN,PIT,,,,,,QB
134515-41562,QB,Nick,Nick Mullens,Mullens,-0.30000001192092896,1,6000,NE@JAC,JAC,NE,,,,,,QB
134515-187015,QB,Joey,Joey Aguilar,Aguilar,,0,6000,NE@JAC,JAC,NE,,,,,,QB
134515-139985,QB,Bailey,Bailey Zappe,Zappe,,0,6000,NYJ@DET,NYJ,DET,,,,,,QB
134515-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,7.78000020980835,4,6000,TEN@NYG,TEN,NYG,,,,,,QB
134515-86793,QB,Jake,Jake Haener,Haener,,0,6000,TEN@NYG,NYG,TEN,,,,,,QB
134515-8023,QB,Josh,Josh Johnson,Johnson,8.793333053588867,3,6000,CIN@PIT,CIN,PIT,,,,,,QB
134515-119641,QB,Brady,Brady Cook,Cook,7.091999816894531,5,6000,KC@MIA,MIA,KC,,,,,,QB
134515-154462,QB,Jalen,Jalen Milroe,Milroe,-0.5333333412806193,3,6000,SEA@WAS,SEA,WAS,,,,,,QB
134515-53095,QB,Kyle,Kyle Allen,Allen,-0.15000000596046448,2,6000,LAC@BUF,BUF,LAC,,,,,,QB
134515-92020,QB,Kenny,Kenny Pickett,Pickett,1,2,6000,CAR@CLE,CAR,CLE,,,,,,QB
134515-128944,QB,Haynes,Haynes King,King,,0,6000,CAR@CLE,CAR,CLE,,,,,,QB
134515-85983,QB,Hendon,Hendon Hooker,Hooker,,0,6000,TEN@NYG,TEN,NYG,,,,,,QB
134515-166892,QB,Drew,Drew Allar,Allar,,0,6000,CIN@PIT,PIT,CIN,,,,,,QB
134515-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,6000,LAC@BUF,LAC,BUF,,,,,,QB
134515-137530,TE,Tyler,Tyler Warren,Warren,10.100000381469727,2,5900,HOU@IND,IND,HOU,,,,,,TE/FLEX
134515-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,8.699999809265137,2,5900,SEA@WAS,WAS,SEA,,,,,,RB/FLEX
134515-86518,WR,Khalil,Khalil Shakir,Shakir,6.150000095367432,2,5900,LAC@BUF,BUF,LAC,,,,,,WR/FLEX
134515-29253,WR,Keenan,Keenan Allen,Allen,3.5999999046325684,2,5900,HOU@IND,IND,HOU,,,,,,WR/FLEX
134515-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,7.550000190734863,2,5900,NE@JAC,NE,JAC,,,,,,RB/FLEX
134515-56250,WR,Terry,Terry McLaurin,McLaurin,4.199999809265137,2,5900,SEA@WAS,WAS,SEA,,,,,,WR/FLEX
134515-94370,WR,Romeo,Romeo Doubs,Doubs,5.550000190734863,2,5800,NE@JAC,NE,JAC,,,,,,WR/FLEX
134515-185861,RB,Emanuel,Emanuel Wilson,Wilson,4.75,2,5800,SEA@WAS,SEA,WAS,,,,,,RB/FLEX
134515-55042,TE,Dalton,Dalton Schultz,Schultz,14.25,2,5800,HOU@IND,HOU,IND,,,,,,TE/FLEX
134515-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,4.949999809265137,2,5800,HOU@IND,HOU,IND,,,,,,WR/FLEX
134515-145558,TE,Dalton,Dalton Kincaid,Kincaid,18.75,2,5700,LAC@BUF,BUF,LAC,,,,,,TE/FLEX
134515-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,5.5,2,5700,NE@JAC,JAC,NE,,,,,,WR/FLEX
134515-63759,RB,Tony,Tony Pollard,Pollard,5.449999809265137,2,5700,TEN@NYG,TEN,NYG,,,,,,RB/FLEX
134515-86312,WR,Alec,Alec Pierce,Pierce,4.849999904632568,2,5700,HOU@IND,IND,HOU,D,Heel,,,,WR/FLEX
134515-138774,RB,Woody,Woody Marks,Marks,5.25,2,5700,HOU@IND,HOU,IND,,,,,,RB/FLEX
134515-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,7.300000190734863,1,5700,CIN@PIT,PIT,CIN,Q,Foot,,,,WR/FLEX
134515-167110,WR,Denzel,Denzel Boston,Boston,15.449999809265137,2,5600,CAR@CLE,CLE,CAR,,,,,,WR/FLEX
134515-87260,TE,Isaiah,Isaiah Likely,Likely,14.800000190734863,2,5600,TEN@NYG,NYG,TEN,,,,,,TE/FLEX
134515-120639,WR,Quentin,Quentin Johnston,Johnston,2.299999952316284,2,5600,LAC@BUF,LAC,BUF,,,,,,WR/FLEX
134515-70603,RB,Devin,Devin Singletary,Singletary,6.349999904632568,2,5600,TEN@NYG,NYG,TEN,,,,,,RB/FLEX
134515-33076,TE,Travis,Travis Kelce,Kelce,16.100000381469727,2,5500,KC@MIA,KC,MIA,,,,,,TE/FLEX
134515-110974,WR,Malik,Malik Washington,Washington,5.75,2,5500,KC@MIA,MIA,KC,,,,,,WR/FLEX
134515-152007,WR,Jaylin,Jaylin Noel,Noel,5.599999904632568,2,5500,HOU@IND,HOU,IND,,,,,,WR/FLEX
134515-183756,WR,Carnell,Carnell Tate,Tate,5,2,5500,TEN@NYG,TEN,NYG,,,,,,WR/FLEX
