Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source
Aaron Rodgers,QB,GB,7700,1252,QB,GB@DET,24.788,rotoguru_gid
Matt Ryan,QB,ATL,7400,1301,QB,ATL@NO,22.801333333333336,rotoguru_gid
Alex Smith,QB,KC,5000,1254,QB,KC@SDG,15.294285714285715,rotoguru_gid
Tom Brady,QB,NE,7200,1131,QB,NE@MIA,22.72,rotoguru_gid
Drew Brees,QB,NO,7600,1151,QB,NO@ATL,23.82133333333333,rotoguru_gid
Matthew Stafford,QB,DET,6000,1340,QB,DET@GB,18.66,rotoguru_gid
Andrew Luck,QB,IND,6700,1409,QB,IND@JAX,22.654285714285713,rotoguru_gid
Sam Bradford,QB,MIN,5200,1344,QB,MIN@CHI,15.319999999999999,rotoguru_gid
Landry Jones,QB,PIT,5000,1430,QB,PIT@CLE,1.977142857142857,rotoguru_gid
Carson Palmer,QB,ARI,5700,1207,QB,ARI@LA,18.434285714285714,rotoguru_gid
Brock Osweiler,QB,HOU,5000,1414,QB,HOU@TEN,11.84,rotoguru_gid
Blake Bortles,QB,JAX,5600,1442,QB,JAX@IND,19.264,rotoguru_gid
Carson Wentz,QB,PHI,5200,1514,QB,PHI@DAL,14.925333333333333,rotoguru_gid
Robert Griffin III,QB,CLE,5000,1408,QB,CLE@PIT,12.99,rotoguru_gid
Philip Rivers,QB,SDG,6300,1231,QB,SDG@KC,19.082666666666668,rotoguru_gid
Ryan Fitzpatrick,QB,NYJ,5000,1242,QB,NYJ@BUF,10.612307692307693,rotoguru_gid
Matt Moore,QB,MIA,5100,1298,QB,MIA@NE,14.18,rotoguru_gid
Trevor Siemian,QB,DEN,5300,1488,QB,DEN@LV,15.23076923076923,rotoguru_gid
Russell Wilson,QB,SEA,6800,1412,QB,SEA@SF,18.489333333333335,rotoguru_gid
Kirk Cousins,QB,WAS,6500,1415,QB,WAS@NYG,21.546666666666667,rotoguru_gid
Andy Dalton,QB,CIN,5100,1403,QB,CIN@BAL,18.013333333333332,rotoguru_gid
Colin Kaepernick,QB,SF,5100,1404,QB,SF@SEA,18.203636363636363,rotoguru_gid
Jameis Winston,QB,TB,6100,1465,QB,TB@CAR,18.50133333333333,rotoguru_gid
Cam Newton,QB,CAR,6200,1378,QB,CAR@TB,19.155714285714286,rotoguru_gid
Joe Flacco,QB,BAL,5500,1302,QB,BAL@CIN,17.486666666666668,rotoguru_gid
Matt Cassel,QB,TEN,5000,1241,QB,TEN@HOU,2.8200000000000003,rotoguru_gid
Matt Barkley,QB,CHI,5100,1417,QB,CHI@MIN,14.606666666666667,rotoguru_gid
Connor Cook,QB,LV,5000,1498,QB,LV@DEN,,rotoguru_gid
Eli Manning,QB,NYG,5900,1225,QB,NYG@WAS,16.598666666666666,rotoguru_gid
Tony Romo,QB,DAL,5300,1233,QB,DAL@PHI,,rotoguru_gid
Jared Goff,QB,LA,5000,1490,QB,LA@ARI,8.194285714285714,rotoguru_gid
E.J. Manuel,QB,BUF,5000,1421,QB,BUF@NYJ,1.04,rotoguru_gid
Cardale Jones,QB,BUF,5000,1505,QB,BUF@NYJ,,rotoguru_gid
Trevone Boykin,QB,SEA,5000,1493,QB,SEA@SF,1.304,rotoguru_gid
Dak Prescott,QB,DAL,5800,1501,QB,DAL@PHI,19.9,rotoguru_gid
Mark Sanchez,QB,DAL,5000,1339,QB,DAL@PHI,0.12,rotoguru_gid
David Fales,QB,CHI,5000,1476,QB,CHI@MIN,,rotoguru_gid
Matt McGloin,QB,LV,5000,1437,QB,LV@DEN,0.2866666666666667,rotoguru_gid
Tom Savage,QB,HOU,5400,1443,QB,HOU@TEN,9.27,rotoguru_gid
Joe Webb,QB,CAR,5000,5071,QB,CAR@TB,0.1,rotoguru_gid
Nick Foles,QB,KC,5000,1413,QB,KC@SDG,14.0,rotoguru_gid
Kellen Clemens,QB,SDG,5000,1262,QB,SDG@KC,-0.009090909090909092,rotoguru_gid
Jimmy Garoppolo,QB,NE,5000,1452,QB,NE@MIA,7.411999999999999,rotoguru_gid
Shaun Hill,QB,MIN,5000,1213,QB,MIN@CHI,5.24,rotoguru_gid
Sean Mannion,QB,LA,5000,1484,QB,LA@ARI,,rotoguru_gid
Ryan Mallett,QB,BAL,5000,1401,QB,BAL@CIN,-0.013333333333333336,rotoguru_gid
Drew Stanton,QB,ARI,5000,1290,QB,ARI@LA,3.265,rotoguru_gid
Rex Burkhead,RB,CIN,3500,2890,RB,CIN@BAL,3.2333333333333334,rotoguru_gid
Devonta Freeman,RB,ATL,7000,2930,RB,ATL@NO,17.493333333333332,rotoguru_gid
Charcandrick West,RB,KC,4100,2987,RB,KC@SDG,4.678571428571429,rotoguru_gid
Mark Ingram,RB,NO,5600,2793,RB,NO@ATL,15.0,rotoguru_gid
Shaun Draughn,RB,SF,3200,2875,RB,SF@SEA,5.533333333333333,rotoguru_gid
Jerick McKinnon,RB,MIN,4000,2935,RB,MIN@CHI,8.742857142857144,rotoguru_gid
Bilal Powell,RB,NYJ,6500,2819,RB,NYJ@BUF,11.886666666666665,rotoguru_gid
Devontae Booker,RB,DEN,3500,5468,RB,DEN@LV,8.053333333333333,rotoguru_gid
Corey Grant,RB,JAX,3000,5405,RB,JAX@IND,1.42,rotoguru_gid
DeAngelo Williams,RB,PIT,5500,2500,RB,PIT@CLE,11.242857142857144,rotoguru_gid
Isaiah Crowell,RB,CLE,4400,2969,RB,CLE@PIT,13.153333333333334,rotoguru_gid
Zach Zenner,RB,DET,3200,5397,RB,DET@GB,5.615384615384615,rotoguru_gid
Jordan Howard,RB,CHI,6800,5447,RB,CHI@MIN,16.82857142857143,rotoguru_gid
Aaron Ripkowski,RB,GB,3000,5406,RB,GB@DET,2.066666666666667,rotoguru_gid
Kenneth Dixon,RB,BAL,4200,5469,RB,BAL@CIN,7.918181818181819,rotoguru_gid
Tevin Coleman,RB,ATL,5100,2994,RB,ATL@NO,14.933333333333332,rotoguru_gid
Jonathan Stewart,RB,CAR,5100,2612,RB,CAR@TB,11.433333333333332,rotoguru_gid
Derrick Henry,RB,TEN,4900,5445,RB,TEN@HOU,6.564285714285715,rotoguru_gid
Paul Perkins,RB,NYG,3400,5472,RB,NYG@WAS,5.123076923076923,rotoguru_gid
Rashad Jennings,RB,NYG,4200,2658,RB,NYG@WAS,10.475,rotoguru_gid
Ronnie Hillman,RB,SDG,3700,2856,RB,SDG@KC,2.4714285714285715,rotoguru_gid
Kerwynn Williams,RB,ARI,3000,2918,RB,ARI@LA,1.9222222222222223,rotoguru_gid
Mike Gillislee,RB,BUF,4500,2894,RB,BUF@NYJ,8.114285714285714,rotoguru_gid
Todd Gurley,RB,LA,5300,2992,RB,LA@ARI,12.5,rotoguru_gid
Robert Turbin,RB,IND,3600,2867,RB,IND@JAX,6.928571428571429,rotoguru_gid
LeGarrette Blount,RB,NE,5700,2721,RB,NE@MIA,15.653333333333334,rotoguru_gid
Jay Ajayi,RB,MIA,5900,2998,RB,MIA@NE,15.528571428571428,rotoguru_gid
Travaris Cadet,RB,NO,3000,2869,RB,NO@ATL,5.942857142857143,rotoguru_gid
Terrell Watson,RB,PHI,0,5374,RB,PHI@DAL,,rotoguru_gid
Chris Thompson,RB,WAS,3700,2915,RB,WAS@NYG,9.22,rotoguru_gid
Frank Gore,RB,IND,4700,2467,RB,IND@JAX,14.113333333333335,rotoguru_gid
George Atkinson,RB,CLE,3000,2949,RB,CLE@PIT,0.0,rotoguru_gid
Ty Montgomery,RB,GB,5700,5392,RB,GB@DET,9.671428571428573,rotoguru_gid
Justin Forsett,RB,DEN,3800,2642,RB,DEN@LV,6.825,rotoguru_gid
Jacquizz Rodgers,RB,TB,4900,2818,RB,TB@CAR,9.766666666666667,rotoguru_gid
Jonathan Grimes,RB,HOU,3000,2881,RB,HOU@TEN,2.6666666666666665,rotoguru_gid
Tim Hightower,RB,NO,4000,2604,RB,NO@ATL,8.06,rotoguru_gid
Jeremy Langford,RB,CHI,4000,5371,RB,CHI@MIN,6.045454545454546,rotoguru_gid
Andre Williams,RB,SDG,0,2934,RB,SDG@KC,,rotoguru_gid
DeAndre Washington,RB,LV,3800,5449,RB,LV@DEN,6.038461538461538,rotoguru_gid
Terrance West,RB,BAL,4400,2929,RB,BAL@CIN,11.1,rotoguru_gid
Matt Asiata,RB,MIN,3100,2873,RB,MIN@CHI,8.4,rotoguru_gid
David Johnson,RB,ARI,9800,5395,RB,ARI@LA,27.89333333333333,rotoguru_gid
Thomas Rawls,RB,SEA,5800,5402,RB,SEA@SF,8.887500000000001,rotoguru_gid
Dion Lewis,RB,NE,4000,2816,RB,NE@MIA,7.916666666666667,rotoguru_gid
James White,RB,NE,3800,2954,RB,NE@MIA,10.313333333333334,rotoguru_gid
Alfred Blue,RB,HOU,4300,2960,RB,HOU@TEN,4.3076923076923075,rotoguru_gid
Lance Dunbar,RB,DAL,3000,2880,RB,DAL@PHI,2.533333333333333,rotoguru_gid
Alex Collins,RB,SEA,4600,5450,RB,SEA@SF,3.0,rotoguru_gid
Darren McFadden,RB,DAL,4300,2603,RB,DAL@PHI,3.35,rotoguru_gid
Darren Sproles,RB,PHI,4000,2484,RB,PHI@DAL,11.35,rotoguru_gid
Fitzgerald Toussaint,RB,PIT,4300,2990,RB,PIT@CLE,0.42,rotoguru_gid
Byron Marshall,RB,PHI,3000,5524,RB,PHI@DAL,2.4,rotoguru_gid
Brandon Wilds,RB,NYJ,3000,5522,RB,NYJ@BUF,0.8999999999999999,rotoguru_gid
Damien Williams,RB,MIA,3900,2957,RB,MIA@NE,6.3999999999999995,rotoguru_gid
Andre Ellington,RB,ARI,3500,2892,RB,ARI@LA,1.7,rotoguru_gid
Marcel Reece,RB,SEA,3000,2665,RB,SEA@SF,3.233333333333333,rotoguru_gid
Latavius Murray,RB,LV,5200,2899,RB,LV@DEN,16.284615384615385,rotoguru_gid
Rob Kelley,RB,WAS,4400,5493,RB,WAS@NYG,10.176923076923078,rotoguru_gid
DeMarco Murray,RB,TEN,6300,2831,RB,TEN@HOU,20.459999999999997,rotoguru_gid
Christine Michael,RB,GB,3500,2898,RB,GB@DET,9.885714285714286,rotoguru_gid
LeSean McCoy,RB,BUF,8900,2707,RB,BUF@NYJ,22.692857142857143,rotoguru_gid
Roosevelt Nix,RB,PIT,3000,5403,RB,PIT@CLE,0.0,rotoguru_gid
Alfred Morris,RB,DAL,3800,2871,RB,DAL@PHI,2.9153846153846152,rotoguru_gid
Mike Tolbert,RB,CAR,3000,2647,RB,CAR@TB,2.146666666666667,rotoguru_gid
Kyle Juszczyk,RB,BAL,3000,2908,RB,BAL@CIN,4.78,rotoguru_gid
Jamize Olawale,RB,LV,3000,2913,RB,LV@DEN,3.6933333333333334,rotoguru_gid
Peyton Barber,RB,TB,3000,5507,RB,TB@CAR,3.1090909090909093,rotoguru_gid
Denard Robinson,RB,JAX,3000,2901,RB,JAX@IND,1.4916666666666665,rotoguru_gid
Bralon Addison,RB,CHI,3000,5527,RB,CHI@MIN,,rotoguru_gid
Cedric Peerman,RB,CIN,3000,2692,RB,CIN@BAL,0.0,rotoguru_gid
Chase Reynolds,RB,LA,3000,2919,RB,LA@ARI,0.0,rotoguru_gid
Bobby Rainey,RB,NYG,3000,2863,RB,NYG@WAS,2.807142857142857,rotoguru_gid
Anthony Sherman,RB,KC,3000,2822,RB,KC@SDG,0.26,rotoguru_gid
Malcolm Brown,RB,LA,3000,5441,RB,LA@ARI,0.6266666666666667,rotoguru_gid
Bronson Hill,RB,JAX,3000,5529,RB,JAX@IND,,rotoguru_gid
Kenyan Drake,RB,MIA,3000,5446,RB,MIA@NE,3.2333333333333334,rotoguru_gid
Fozzy Whittaker,RB,CAR,3000,2916,RB,CAR@TB,5.013333333333334,rotoguru_gid
Knile Davis,RB,KC,3000,2891,RB,KC@SDG,0.9400000000000001,rotoguru_gid
Jalen Richard,RB,LV,3900,5490,RB,LV@DEN,7.653333333333333,rotoguru_gid
Joe Banyard,RB,JAX,0,2905,RB,JAX@IND,,rotoguru_gid
Raheem Mostert,RB,SF,0,5414,RB,SF@SEA,0.0,rotoguru_gid
Duke Johnson,RB,CLE,3500,2997,RB,CLE@PIT,9.653333333333334,rotoguru_gid
Juwan Thompson,RB,DEN,3000,2965,RB,DEN@LV,1.2142857142857142,rotoguru_gid
Jonathan Williams,RB,BUF,3000,5451,RB,BUF@NYJ,1.588888888888889,rotoguru_gid
James Develin,RB,NE,3000,2825,RB,NE@MIA,0.32,rotoguru_gid
Dwayne Washington,RB,DET,3400,5483,RB,DET@GB,4.427272727272728,rotoguru_gid
John Kuhn,RB,NO,3000,2549,RB,NO@ATL,3.7800000000000002,rotoguru_gid
Josh Ferguson,RB,IND,3000,5484,RB,IND@JAX,2.3733333333333335,rotoguru_gid
Zach Line,RB,MIN,3000,2912,RB,MIN@CHI,0.10714285714285714,rotoguru_gid
Jordan Todman,RB,IND,3000,2840,RB,IND@JAX,0.85,rotoguru_gid
Reggie Bush,RB,BUF,3000,2495,RB,BUF@NYJ,1.9749999999999999,rotoguru_gid
Joique Bell,RB,DET,3000,2719,RB,DET@GB,0.2333333333333333,rotoguru_gid
Stepfan Taylor,RB,ARI,3000,2903,RB,ARI@LA,0.08571428571428572,rotoguru_gid
Antonio Andrews,RB,TEN,3000,2940,RB,TEN@HOU,0.1,rotoguru_gid
Brandon Bolden,RB,NE,3000,2874,RB,NE@MIA,0.3,rotoguru_gid
Derek Watt,RB,SDG,3000,5504,RB,SDG@KC,0.9769230769230769,rotoguru_gid
Keith Smith,RB,DAL,3000,5492,RB,DAL@PHI,0.36666666666666664,rotoguru_gid
Joe Kerridge,RB,GB,3000,5532,RB,GB@DET,,rotoguru_gid
Jerome Felton,RB,BUF,3000,2624,RB,BUF@NYJ,1.0,rotoguru_gid
Akeem Hunt,RB,HOU,3400,5431,RB,HOU@TEN,2.4,rotoguru_gid
Tyler Ervin,RB,HOU,3000,5470,RB,HOU@TEN,0.2818181818181818,rotoguru_gid
Mack Brown,RB,WAS,3000,5526,RB,WAS@NYG,15.0,rotoguru_gid
Taiwan Jones,RB,LV,3000,2820,RB,LV@DEN,0.625,rotoguru_gid
Patrick DiMarco,RB,ATL,3000,2805,RB,ATL@NO,1.2133333333333334,rotoguru_gid
Jalston Fowler,RB,TEN,3000,5413,RB,TEN@HOU,0.18,rotoguru_gid
DuJuan Harris,RB,SF,3900,2802,RB,SF@SEA,4.266666666666667,rotoguru_gid
Julian Edelman,WR,NE,6400,3826,WR,NE@MIA,13.573333333333332,rotoguru_gid
Michael Thomas,WR,NO,6700,5459,WR,NO@ATL,16.57857142857143,rotoguru_gid
Rishard Matthews,WR,TEN,4100,5182,WR,TEN@HOU,12.806666666666667,rotoguru_gid
Davante Adams,WR,GB,5700,5263,WR,GB@DET,15.773333333333333,rotoguru_gid
Jarvis Landry,WR,MIA,5000,5335,WR,MIA@NE,14.860000000000001,rotoguru_gid
Julio Jones,WR,ATL,8400,5089,WR,ATL@NO,19.86923076923077,rotoguru_gid
DeAndre Hopkins,WR,HOU,6500,5206,WR,HOU@TEN,12.073333333333332,rotoguru_gid
Kelvin Benjamin,WR,CAR,5300,5257,WR,CAR@TB,11.986666666666668,rotoguru_gid
Golden Tate,WR,DET,6600,3995,WR,DET@GB,14.18,rotoguru_gid
Adam Humphries,WR,TB,3700,5412,WR,TB@CAR,8.328571428571427,rotoguru_gid
Geronimo Allison,WR,GB,3000,5511,WR,GB@DET,2.788888888888889,rotoguru_gid
Mike Evans,WR,TB,8000,5253,WR,TB@CAR,19.90666666666667,rotoguru_gid
Tyreek Hill,WR,KC,5600,5485,WR,KC@SDG,13.393333333333334,rotoguru_gid
Bryan Walters,WR,JAX,3000,5070,WR,JAX@IND,4.633333333333334,rotoguru_gid
Terrelle Pryor,WR,CLE,4200,1407,WR,CLE@PIT,13.735999999999999,rotoguru_gid
Anquan Boldin,WR,DET,4100,3423,WR,DET@GB,10.513333333333332,rotoguru_gid
T.Y. Hilton,WR,IND,7600,5151,WR,IND@JAX,18.42,rotoguru_gid
Larry Fitzgerald,WR,ARI,6000,3501,WR,ARI@LA,15.573333333333332,rotoguru_gid
Marqise Lee,WR,JAX,4600,5256,WR,JAX@IND,11.386666666666667,rotoguru_gid
Cobi Hamilton,WR,PIT,3000,5288,WR,PIT@CLE,3.8,rotoguru_gid
Justin Hardy,WR,ATL,3000,5387,WR,ATL@NO,3.4,rotoguru_gid
Demarcus Ayers,WR,PIT,3000,5528,WR,PIT@CLE,1.9,rotoguru_gid
Cameron Meredith,WR,CHI,5200,5417,WR,CHI@MIN,13.792307692307693,rotoguru_gid
Kenny Stills,WR,MIA,3900,5212,WR,MIA@NE,10.5,rotoguru_gid
Amari Cooper,WR,LV,5500,5376,WR,LV@DEN,15.266666666666667,rotoguru_gid
Jeremy Ross,WR,ARI,3000,5194,WR,ARI@LA,0.0,rotoguru_gid
Brandon LaFell,WR,CIN,4500,3946,WR,CIN@BAL,11.686666666666667,rotoguru_gid
Pierre Garcon,WR,WAS,5000,3754,WR,WAS@NYG,12.7,rotoguru_gid
Jarius Wright,WR,MIN,3000,5188,WR,MIN@CHI,1.7166666666666668,rotoguru_gid
Ted Ginn Jr.,WR,CAR,4500,3670,WR,CAR@TB,10.046666666666669,rotoguru_gid
Mohamed Sanu,WR,ATL,4600,5159,WR,ATL@NO,9.757142857142856,rotoguru_gid
Allen Robinson,WR,JAX,5500,5258,WR,JAX@IND,12.806666666666667,rotoguru_gid
Quincy Enunwa,WR,NYJ,3800,5420,WR,NYJ@BUF,10.586666666666668,rotoguru_gid
Tyrell Williams,WR,SDG,5700,5432,WR,SDG@KC,14.193333333333333,rotoguru_gid
Michael Floyd,WR,NE,3500,5148,WR,NE@MIA,7.585714285714286,rotoguru_gid
Marvin Jones,WR,DET,4200,5168,WR,DET@GB,11.835714285714285,rotoguru_gid
Jordy Nelson,WR,GB,8100,3751,WR,GB@DET,20.540000000000003,rotoguru_gid
Terrance Williams,WR,DAL,3500,5216,WR,DAL@PHI,7.606666666666667,rotoguru_gid
Cody Core,WR,CIN,3000,5518,WR,CIN@BAL,4.96,rotoguru_gid
Eli Rogers,WR,PIT,4000,5478,WR,PIT@CLE,9.741666666666665,rotoguru_gid
Jeremy Kerley,WR,SF,3200,5111,WR,SF@SEA,9.24,rotoguru_gid
J.J. Nelson,WR,ARI,4600,5409,WR,ARI@LA,9.4,rotoguru_gid
Chester Rogers,WR,IND,3000,5500,WR,IND@JAX,2.7,rotoguru_gid
Willie Snead,WR,NO,5400,5287,WR,NO@ATL,13.092857142857143,rotoguru_gid
Jalin Marshall,WR,NYJ,3000,5489,WR,NYJ@BUF,3.625,rotoguru_gid
Breshad Perriman,WR,BAL,3000,5379,WR,BAL@CIN,6.0600000000000005,rotoguru_gid
Corey Coleman,WR,CLE,3700,5452,WR,CLE@PIT,9.6,rotoguru_gid
Michael Crabtree,WR,LV,5600,3872,WR,LV@DEN,15.906666666666666,rotoguru_gid
