Position,Team,Salary,Id,Nickname,First Name,Last Name,Opponent,AvgPointsPerGame,id_source
QB,ARI,8300,1537,Kyler Murray,Kyler,Murray,CHI,23.0925,rotoguru_gid
QB,TB,8100,1131,Tom Brady,Tom,Brady,ATL,23.12909090909091,rotoguru_gid
QB,LAC,8200,1552,Justin Herbert,Justin,Herbert,CIN,23.227272727272727,rotoguru_gid
QB,NO,7000,1530,Taysom Hill,Taysom,Hill,DAL,5.262857142857143,rotoguru_gid
QB,LA,7800,1340,Matthew Stafford,Matthew,Stafford,JAX,21.576363636363638,rotoguru_gid
QB,NYJ,6300,1566,Zach Wilson,Zach,Wilson,PHI,10.145714285714286,rotoguru_gid
QB,DET,6400,1490,Jared Goff,Jared,Goff,MIN,13.080000000000002,rotoguru_gid
QB,MIN,7700,1415,Kirk Cousins,Kirk,Cousins,DET,20.038181818181815,rotoguru_gid
QB,PIT,6500,1232,Ben Roethlisberger,Ben,Roethlisberger,BAL,14.347999999999999,rotoguru_gid
QB,PHI,6100,1540,Gardner Minshew,Gardner,Minshew,NYJ,0.44,rotoguru_gid
QB,BAL,8500,1527,Lamar Jackson,Lamar,Jackson,PIT,23.318,rotoguru_gid
QB,CIN,7400,1550,Joe Burrow,Joe,Burrow,LAC,18.336363636363636,rotoguru_gid
QB,SF,6600,1452,Jimmy Garoppolo,Jimmy,Garoppolo,SEA,15.768,rotoguru_gid
QB,MIA,6900,1551,Tua Tagovailoa,Tua,Tagovailoa,NYG,16.105,rotoguru_gid
QB,SEA,7300,1412,Russell Wilson,Russell,Wilson,SF,16.905,rotoguru_gid
QB,WAS,7100,1487,Taylor Heinicke,Taylor,Heinicke,LV,17.33818181818182,rotoguru_gid
QB,CHI,6600,1403,Andy Dalton,Andy,Dalton,ARI,9.684000000000001,rotoguru_gid
QB,DEN,7100,1439,Teddy Bridgewater,Teddy,Bridgewater,KC,15.965454545454547,rotoguru_gid
QB,KC,8300,1523,Patrick Mahomes II,Patrick,Mahomes II,DEN,21.89090909090909,rotoguru_gid
QB,LV,7500,1441,Derek Carr,Derek,Carr,WAS,18.078181818181818,rotoguru_gid
QB,DAL,8200,1501,Dak Prescott,Dak,Prescott,NO,20.968,rotoguru_gid
QB,ATL,6800,1301,Matt Ryan,Matt,Ryan,TB,15.089090909090908,rotoguru_gid
QB,BUF,8800,1529,Josh Allen,Josh,Allen,NE,24.467272727272725,rotoguru_gid
QB,IND,7500,1514,Carson Wentz,Carson,Wentz,HOU,17.208333333333332,rotoguru_gid
QB,JAX,6700,1565,Trevor Lawrence,Trevor,Lawrence,LA,13.805454545454547,rotoguru_gid
QB,NYG,6100,1420,Mike Glennon,Mike,Glennon,MIA,10.04,rotoguru_gid
QB,HOU,6100,1574,Davis Mills,Davis,Mills,IND,10.725714285714286,rotoguru_gid
QB,HOU,7000,1400,Tyrod Taylor,Tyrod,Taylor,IND,16.887999999999998,rotoguru_gid
QB,NE,6800,1572,Mac Jones,Mac,Jones,BUF,14.761666666666665,rotoguru_gid
QB,JAX,6100,1520,C.J. Beathard,C.J.,Beathard,LA,1.32,rotoguru_gid
QB,LA,6100,1563,John Wolford,John,Wolford,JAX,-0.45000000000000007,rotoguru_gid
QB,LV,6200,1466,Marcus Mariota,Marcus,Mariota,WAS,2.1,rotoguru_gid
QB,ATL,6000,1575,Feleipe Franks,Feleipe,Franks,TB,-0.06666666666666667,rotoguru_gid
QB,IND,6000,1570,Sam Ehlinger,Sam,Ehlinger,HOU,0.5,rotoguru_gid
RB,DEN,5700,5905,Javonte Williams,Javonte,Williams,KC,9.6,rotoguru_gid
RB,IND,10500,5820,Jonathan Taylor,Jonathan,Taylor,HOU,22.175,rotoguru_gid
RB,CHI,6500,5713,David Montgomery,David,Montgomery,ARI,10.2375,rotoguru_gid
RB,LA,5300,5615,Sony Michel,Sony,Michel,JAX,4.745454545454546,rotoguru_gid
RB,MIN,8700,5720,Alexander Mattison,Alexander,Mattison,DET,6.081818181818182,rotoguru_gid
RB,WAS,6200,5827,Antonio Gibson,Antonio,Gibson,LV,12.318181818181818,rotoguru_gid
RB,LV,7000,5712,Josh Jacobs,Josh,Jacobs,WAS,12.533333333333333,rotoguru_gid
RB,TB,7700,5534,Leonard Fournette,Leonard,Fournette,ATL,15.536363636363637,rotoguru_gid
RB,BAL,6100,2930,Devonta Freeman,Devonta,Freeman,PIT,7.790000000000001,rotoguru_gid
RB,ARI,7300,5537,James Conner,James,Conner,CHI,14.52727272727273,rotoguru_gid
RB,PHI,4900,5910,Kenny Gainwell,Kenny,Gainwell,NYJ,6.5,rotoguru_gid
RB,NE,6000,5715,Damien Harris,Damien,Harris,BUF,11.200000000000001,rotoguru_gid
RB,SEA,5300,5738,Travis Homer,Travis,Homer,SF,3.09,rotoguru_gid
RB,SF,7600,5947,Elijah Mitchell,Elijah,Mitchell,SEA,13.8875,rotoguru_gid
RB,PHI,6600,5714,Miles Sanders,Miles,Sanders,NYJ,7.51111111111111,rotoguru_gid
RB,ATL,5600,5320,Mike Davis,Mike,Davis,TB,6.509090909090909,rotoguru_gid
RB,LAC,9000,5575,Austin Ekeler,Austin,Ekeler,CIN,19.745454545454546,rotoguru_gid
RB,DAL,5900,5718,Tony Pollard,Tony,Pollard,NO,9.563636363636364,rotoguru_gid
RB,PIT,8000,5904,Najee Harris,Najee,Harris,BAL,15.80909090909091,rotoguru_gid
RB,ATL,7400,5208,Cordarrelle Patterson,Cordarrelle,Patterson,TB,16.56,rotoguru_gid
RB,NYG,7200,5614,Saquon Barkley,Saquon,Barkley,MIA,9.175,rotoguru_gid
RB,KC,6300,5818,Clyde Edwards-Helaire,Clyde,Edwards-Helaire,DEN,10.516666666666666,rotoguru_gid
