player_name,actual_fpts
Saquon Barkley,9.0
Justin Jefferson,31.2
Ladd McConkey,19.2
DeVonta Smith,8.3
Omarion Hampton,9.3
De'Von Achane,10.6
Michael Mayer,9.2
Justin Herbert,14.26
Chargers ,1.0
Ashton Jeanty,35.7
Quentin Johnston,3.7
Dallas Goedert,23.7
Eagles ,3.0
Jalen Hurts,24.72
Kyler Murray,0.62
Raiders ,13.0
Tre Tucker,4.7
Christian Watson,35.7
Michael Wilson,10.6
Trey McBride,24.5
Tucker Kraft,9.5
Vikings ,8.0
Terry McLaurin,3.4
Jordan Addison,0.0
Marvin Harrison Jr.,4.3
Stefon Diggs,15.5
Malik Willis,17.7
Dolphins ,4.0
MarShawn Lloyd,3.7
Jayden Reed,5.0
Malik Washington,7.3
Jordan Love,24.48
Packers ,1.0
Kirk Cousins,15.8
Jordan Mason,11.9
Makai Lemon,2.5
T.J. Hockenson,13.6
Jalen Nailor,5.7
Oronde Gadsden II,5.2
Matthew Golden,15.5
Jacoby Brissett,16.48
Jayden Daniels,17.66
Aaron Jones Sr.,10.0
Jauan Jennings,0.0
Dontayvion Wicks,15.3
Jacory Croskey-Merritt,12.6
Cardinals ,10.0
Tyler Allgeier,9.0
David Njoku,10.8
Commanders ,3.0
Caleb Douglas,14.4
Jeremiyah Love,13.0
Greg Dulcich,3.8
Chig Okonkwo,3.6
Chris Bell,3.5
Rachaad White,4.7
Mike Washington Jr.,4.1
Hollywood Brown,0.0
Kimani Vidal,0.0
Tre' Harris,5.0
Charlie Kolar,0.0
Tank Bigsby,0.3
Keaton Mitchell,0.9
Jack Bech,11.3
Antonio Williams,16.4
Chris Brooks,2.9
Kendrick Bourne,15.5
Jalen Tolbert,0.0
Kaleb Johnson,0.0
Jonnu Smith,7.0
Jaylen Wright,-0.1
Bam Knight,0.0
Luke McCaffrey,0.0
Malik Benson,0.8
Carlos Washington Jr.,0.0
Dyami Brown,0.0
Brock Bowers,0.0
Fernando Mendoza,0.0
Kaytron Allen,1.6
Dare Ogunbowale,0.0
Darius Cooper,0.0
Tai Felton,0.0
Myles Price,0.0
E.J. Jenkins,0.0
Ben Sinnott,0.0
J.J. McCarthy,0.0
DJ Herman,0.0
Treylon Burks,0.0
Roman Hemby,0.0
Trey Benson,0.0
Ian Thomas,0.0
DeeJay Dallas,1.1
Brenen Thompson,0.0
KeAndre Lambert-Smith,0.0
Will Sheppard,0.0
Ollie Gordon II,0.0
Theo Wease Jr.,0.0
Josh Jacobs,0.0
Josh Oliver,4.2
