Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
WR,Justin Jefferson (44096027),Justin Jefferson,44096027,WR/FLEX,7300,GB@MIN 09/13/2026 04:25PM ET,MIN,12.4,,Justin Jefferson,dk,7300,justin jefferson,MIN,WR,classic,00-0036322,auto_exact,high
RB,De'Von Achane (44095929),De'Von Achane,44095929,RB/FLEX,7000,MIA@LV 09/13/2026 04:25PM ET,MIA,20.9,,De'Von Achane,dk,7000,devon achane,MIA,RB,classic,00-0039040,auto_exact,high
RB,Saquon Barkley (44095931),Saquon Barkley,44095931,RB/FLEX,6900,WAS@PHI 09/13/2026 04:25PM ET,PHI,15.4,,Saquon Barkley,dk,6900,saquon barkley,PHI,RB,classic,00-0034844,auto_exact,high
TE,Brock Bowers (44096175),Brock Bowers,44096175,TE/FLEX,6900,MIA@LV 09/13/2026 04:25PM ET,LV,15.2,D,Brock Bowers,dk,6900,brock bowers,LV,TE,classic,00-0039338,auto_exact,high
RB,Omarion Hampton (44095933),Omarion Hampton,44095933,RB/FLEX,6800,ARI@LAC 09/13/2026 04:25PM ET,LAC,13.9,,Omarion Hampton,dk,6800,omarion hampton,LAC,RB,classic,00-0040666,auto_exact,high
TE,Trey McBride (44096177),Trey McBride,44096177,TE/FLEX,6800,ARI@LAC 09/13/2026 04:25PM ET,ARI,19.1,,Trey McBride,dk,6800,trey mcbride,ARI,TE,classic,00-0037744,auto_exact,high
QB,Jalen Hurts (44095902),Jalen Hurts,44095902,QB,6600,WAS@PHI 09/13/2026 04:25PM ET,PHI,19.1,,Jalen Hurts,dk,6600,jalen hurts,PHI,QB,classic,00-0036389,auto_exact,high
RB,Ashton Jeanty (44095935),Ashton Jeanty,44095935,RB/FLEX,6600,MIA@LV 09/13/2026 04:25PM ET,LV,14.8,,Ashton Jeanty,dk,6600,ashton jeanty,LV,RB,classic,00-0040122,auto_exact,high
WR,DeVonta Smith (44096029),DeVonta Smith,44096029,WR/FLEX,6600,WAS@PHI 09/13/2026 04:25PM ET,PHI,12.4,,DeVonta Smith,dk,6600,devonta smith,PHI,WR,classic,00-0036912,auto_exact,high
QB,Jayden Daniels (44095903),Jayden Daniels,44095903,QB,6500,WAS@PHI 09/13/2026 04:25PM ET,WAS,17.0,,Jayden Daniels,dk,6500,jayden daniels,WAS,QB,classic,00-0039910,auto_exact,high
RB,Jeremiyah Love (44095937),Jeremiyah Love,44095937,RB/FLEX,6400,ARI@LAC 09/13/2026 04:25PM ET,ARI,0.0,Q,Jeremiyah Love,dk,6400,jeremiyah love,ARI,RB,classic,00-0041027,auto_exact,high
RB,Josh Jacobs (44095939),Josh Jacobs,44095939,RB/FLEX,6300,GB@MIN 09/13/2026 04:25PM ET,GB,15.4,OUT,Josh Jacobs,dk,6300,josh jacobs,GB,RB,classic,00-0035700,auto_exact,high
QB,Justin Herbert (44095904),Justin Herbert,44095904,QB,6100,ARI@LAC 09/13/2026 04:25PM ET,LAC,19.1,,Justin Herbert,dk,6100,justin herbert,LAC,QB,classic,00-0036355,auto_exact,high
WR,Ladd McConkey (44096031),Ladd McConkey,44096031,WR/FLEX,5900,ARI@LAC 09/13/2026 04:25PM ET,LAC,11.4,,Ladd McConkey,dk,5900,ladd mcconkey,LAC,WR,classic,00-0039915,auto_exact,high
WR,Christian Watson (44096033),Christian Watson,44096033,WR/FLEX,5900,GB@MIN 09/13/2026 04:25PM ET,GB,13.5,,Christian Watson,dk,5900,christian watson,GB,WR,classic,00-0038124,auto_exact,high
WR,Jordan Addison (44096035),Jordan Addison,44096035,WR/FLEX,5800,GB@MIN 09/13/2026 04:25PM ET,MIN,10.1,,Jordan Addison,dk,5800,jordan addison,MIN,WR,classic,00-0038994,auto_exact,high
QB,Jordan Love (44095905),Jordan Love,44095905,QB,5700,GB@MIN 09/13/2026 04:25PM ET,GB,17.6,,Jordan Love,dk,5700,jordan love,GB,QB,classic,00-0036264,auto_exact,high
WR,Terry McLaurin (44096037),Terry McLaurin,44096037,WR/FLEX,5700,WAS@PHI 09/13/2026 04:25PM ET,WAS,11.4,,Terry McLaurin,dk,5700,terry mclaurin,WAS,WR,classic,00-0035659,auto_exact,high
QB,Kyler Murray (44095906),Kyler Murray,44095906,QB,5500,GB@MIN 09/13/2026 04:25PM ET,MIN,16.4,,Kyler Murray,dk,5500,kyler murray,MIN,QB,classic,00-0035228,auto_fallback_team_mismatch,medium
RB,Jordan Mason (44095941),Jordan Mason,44095941,RB/FLEX,5400,GB@MIN 09/13/2026 04:25PM ET,MIN,8.3,,Jordan Mason,dk,5400,jordan mason,MIN,RB,classic,00-0037525,auto_exact,high
QB,Malik Willis (44095907),Malik Willis,44095907,QB,5300,MIA@LV 09/13/2026 04:25PM ET,MIA,13.0,,Malik Willis,dk,5300,malik willis,MIA,QB,classic,00-0038128,auto_fallback_team_mismatch,medium
RB,Jacory Croskey-Merritt (44095943),Jacory Croskey-Merritt,44095943,RB/FLEX,5300,WAS@PHI 09/13/2026 04:25PM ET,WAS,8.7,Q,Jacory Croskey-Merritt,dk,5300,jacory croskey merritt,WAS,RB,classic,00-0040242,auto_exact,high
RB,Aaron Jones Sr. (44095945),Aaron Jones Sr.,44095945,RB/FLEX,5300,GB@MIN 09/13/2026 04:25PM ET,MIN,10.0,,Aaron Jones Sr.,dk,5300,aaron jones,MIN,RB,classic,00-0033293,auto_exact,high
WR,Michael Wilson (44096039),Michael Wilson,44096039,WR/FLEX,5300,ARI@LAC 09/13/2026 04:25PM ET,ARI,13.5,,Michael Wilson,dk,5300,michael wilson,ARI,WR,classic,00-0038559,auto_exact,high
