Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Jahmyr Gibbs (43727325),Jahmyr Gibbs,43727325,RB/FLEX,8000,NO@DET 09/13/2026 01:00PM ET,DET,22.3,,Jahmyr Gibbs,dk,8000,jahmyr gibbs,DET,RB,classic,00-0039139,auto_exact,high
WR,Ja'Marr Chase (43727631),Ja'Marr Chase,43727631,WR/FLEX,7800,TB@CIN 09/13/2026 01:00PM ET,CIN,21.0,Q,Ja'Marr Chase,dk,7800,jamarr chase,CIN,WR,classic,00-0036900,auto_exact,high
RB,Bijan Robinson (43727327),Bijan Robinson,43727327,RB/FLEX,7700,ATL@PIT 09/13/2026 01:00PM ET,ATL,23.2,,Bijan Robinson,dk,7700,bijan robinson,ATL,RB,classic,00-0038542,auto_exact,high
WR,Amon-Ra St. Brown (43727633),Amon-Ra St. Brown,43727633,WR/FLEX,7500,NO@DET 09/13/2026 01:00PM ET,DET,19.9,,Amon-Ra St. Brown,dk,7500,amon ra st brown,DET,WR,classic,00-0036963,auto_exact,high
RB,Jonathan Taylor (43727329),Jonathan Taylor,43727329,RB/FLEX,7300,BAL@IND 09/13/2026 01:00PM ET,IND,22.3,,Jonathan Taylor,dk,7300,jonathan taylor,IND,RB,classic,00-0036223,auto_exact,high
WR,Justin Jefferson (43727635),Justin Jefferson,43727635,WR/FLEX,7300,GB@MIN 09/13/2026 04:25PM ET,MIN,12.4,,Justin Jefferson,dk,7300,justin jefferson,MIN,WR,classic,00-0036322,auto_exact,high
RB,James Cook III (43727331),James Cook III,43727331,RB/FLEX,7200,BUF@HOU 09/13/2026 01:00PM ET,BUF,18.8,,James Cook III,dk,7200,james cook,BUF,RB,classic,00-0037248,auto_exact,high
RB,Chase Brown (43727333),Chase Brown,43727333,RB/FLEX,7100,TB@CIN 09/13/2026 01:00PM ET,CIN,17.2,,Chase Brown,dk,7100,chase brown,CIN,RB,classic,00-0038597,auto_exact,high
QB,Josh Allen (43727234),Josh Allen,43727234,QB,7000,BUF@HOU 09/13/2026 01:00PM ET,BUF,23.3,,Josh Allen,dk,7000,josh allen,BUF,QB,classic,00-0034857,auto_exact,high
RB,De'Von Achane (43727335),De'Von Achane,43727335,RB/FLEX,7000,MIA@LV 09/13/2026 04:25PM ET,MIA,20.9,,De'Von Achane,dk,7000,devon achane,MIA,RB,classic,00-0039040,auto_exact,high
WR,Nico Collins (43727637),Nico Collins,43727637,WR/FLEX,7000,BUF@HOU 09/13/2026 01:00PM ET,HOU,15.1,,Nico Collins,dk,7000,nico collins,HOU,WR,classic,00-0036554,auto_exact,high
