Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Jahmyr Gibbs (44246810),Jahmyr Gibbs,44246810,RB/FLEX,8800,NYJ@DET 09/27/2026 01:00PM ET,DET,30.5,,Jahmyr Gibbs,dk,8800,jahmyr gibbs,DET,RB,classic,00-0039139,auto_exact,high
WR,Jaxon Smith-Njigba (44247024),Jaxon Smith-Njigba,44247024,WR/FLEX,8600,SEA@WAS 09/27/2026 01:00PM ET,SEA,37.4,,Jaxon Smith-Njigba,dk,8600,jaxon smith njigba,SEA,WR,classic,00-0038543,auto_exact,high
WR,Ja'Marr Chase (44247026),Ja'Marr Chase,44247026,WR/FLEX,8100,CIN@PIT 09/27/2026 01:00PM ET,CIN,14.9,,Ja'Marr Chase,dk,8100,jamarr chase,CIN,WR,classic,00-0036900,auto_exact,high
QB,Josh Allen (44246751),Josh Allen,44246751,QB,8000,LAC@BUF 09/27/2026 01:00PM ET,BUF,39.7,,Josh Allen,dk,8000,josh allen,BUF,QB,classic,00-0034857,auto_exact,high
WR,Amon-Ra St. Brown (44247028),Amon-Ra St. Brown,44247028,WR/FLEX,7900,NYJ@DET 09/27/2026 01:00PM ET,DET,33.5,,Amon-Ra St. Brown,dk,7900,amon ra st brown,DET,WR,classic,00-0036963,auto_exact,high
RB,Jonathan Taylor (44246812),Jonathan Taylor,44246812,RB/FLEX,7600,HOU@IND 09/27/2026 01:00PM ET,IND,27.7,,Jonathan Taylor,dk,7600,jonathan taylor,IND,RB,classic,00-0036223,auto_exact,high
RB,Kenneth Walker III (44246814),Kenneth Walker III,44246814,RB/FLEX,7400,KC@MIA 09/27/2026 01:00PM ET,KC,32.0,,Kenneth Walker III,dk,7400,kenneth walker,KC,RB,classic,00-0038134,auto_fallback_team_mismatch,medium
WR,Nico Collins (44247030),Nico Collins,44247030,WR/FLEX,7000,HOU@IND 09/27/2026 01:00PM ET,HOU,21.2,Q,Nico Collins,dk,7000,nico collins,HOU,WR,classic,00-0036554,auto_exact,high
RB,James Cook III (44246816),James Cook III,44246816,RB/FLEX,6900,LAC@BUF 09/27/2026 01:00PM ET,BUF,16.9,,James Cook III,dk,6900,james cook,BUF,RB,classic,00-0037248,auto_exact,high
RB,Omarion Hampton (44246818),Omarion Hampton,44246818,RB/FLEX,6800,LAC@BUF 09/27/2026 01:00PM ET,LAC,13.9,,Omarion Hampton,dk,6800,omarion hampton,LAC,RB,classic,00-0040666,auto_exact,high
QB,Joe Burrow (44246752),Joe Burrow,44246752,QB,6600,CIN@PIT 09/27/2026 01:00PM ET,CIN,15.7,,Joe Burrow,dk,6600,joe burrow,CIN,QB,classic,00-0036442,auto_exact,high
RB,Chase Brown (44246820),Chase Brown,44246820,RB/FLEX,6600,CIN@PIT 09/27/2026 01:00PM ET,CIN,15.0,,Chase Brown,dk,6600,chase brown,CIN,RB,classic,00-0038597,auto_exact,high
RB,De'Von Achane (44246822),De'Von Achane,44246822,RB/FLEX,6500,KC@MIA 09/27/2026 01:00PM ET,MIA,11.5,,De'Von Achane,dk,6500,devon achane,MIA,RB,classic,00-0039040,auto_exact,high
WR,Malik Nabers (44247032),Malik Nabers,44247032,WR/FLEX,6500,TEN@NYG 09/27/2026 01:00PM ET,NYG,7.0,Q,Malik Nabers,dk,6500,malik nabers,NYG,WR,classic,00-0039337,auto_exact,high
RB,Breece Hall (44246824),Breece Hall,44246824,RB/FLEX,6400,NYJ@DET 09/27/2026 01:00PM ET,NYJ,18.5,,Breece Hall,dk,6400,breece hall,NYJ,RB,classic,00-0038120,auto_exact,high
WR,Rashee Rice (44247034),Rashee Rice,44247034,WR/FLEX,6400,KC@MIA 09/27/2026 01:00PM ET,KC,11.1,,Rashee Rice,dk,6400,rashee rice,KC,WR,classic,00-0039067,auto_exact,high
QB,Jared Goff (44246753),Jared Goff,44246753,QB,6300,NYJ@DET 09/27/2026 01:00PM ET,DET,24.6,,Jared Goff,dk,6300,jared goff,DET,QB,classic,00-0033106,auto_exact,high
WR,Garrett Wilson (44247036),Garrett Wilson,44247036,WR/FLEX,6300,NYJ@DET 09/27/2026 01:00PM ET,NYJ,15.3,,Garrett Wilson,dk,6300,garrett wilson,NYJ,WR,classic,00-0037740,auto_exact,high
QB,Patrick Mahomes (44246754),Patrick Mahomes,44246754,QB,6200,KC@MIA 09/27/2026 01:00PM ET,KC,27.3,,Patrick Mahomes,dk,6200,patrick mahomes,KC,QB,classic,00-0033873,auto_exact,high
RB,Cam Skattebo (44246826),Cam Skattebo,44246826,RB/FLEX,6200,TEN@NYG 09/27/2026 01:00PM ET,NYG,11.8,,Cam Skattebo,dk,6200,cam skattebo,NYG,RB,classic,00-0040715,auto_exact,high
QB,Drake Maye (44246755),Drake Maye,44246755,QB,6100,NE@JAX 09/27/2026 01:00PM ET,NE,10.9,,Drake Maye,dk,6100,drake maye,NE,QB,classic,00-0039851,auto_exact,high
RB,Chuba Hubbard (44246828),Chuba Hubbard,44246828,RB/FLEX,6100,CAR@CLE 09/27/2026 01:00PM ET,CAR,19.1,,Chuba Hubbard,dk,6100,chuba hubbard,CAR,RB,classic,00-0036555,auto_exact,high
WR,Tee Higgins (44247038),Tee Higgins,44247038,WR/FLEX,6100,CIN@PIT 09/27/2026 01:00PM ET,CIN,11.7,,Tee Higgins,dk,6100,tee higgins,CIN,WR,classic,00-0036410,auto_exact,high
QB,Jayden Daniels (44246756),Jayden Daniels,44246756,QB,6000,SEA@WAS 09/27/2026 01:00PM ET,WAS,16.2,D,Jayden Daniels,dk,6000,jayden daniels,WAS,QB,classic,00-0039910,auto_exact,high
RB,David Montgomery (44246830),David Montgomery,44246830,RB/FLEX,6000,HOU@IND 09/27/2026 01:00PM ET,HOU,16.7,,David Montgomery,dk,6000,david montgomery,HOU,RB,classic,00-0035685,auto_fallback_team_mismatch,medium
WR,Tetairoa McMillan (44247040),Tetairoa McMillan,44247040,WR/FLEX,6000,CAR@CLE 09/27/2026 01:00PM ET,CAR,14.8,,Tetairoa McMillan,dk,6000,tetairoa mcmillan,CAR,WR,classic,00-0040124,auto_exact,high
WR,Parker Washington (44247042),Parker Washington,44247042,WR/FLEX,6000,NE@JAX 09/27/2026 01:00PM ET,JAX,18.1,,Parker Washington,dk,6000,parker washington,JAX,WR,classic,00-0038606,auto_exact,high
QB,Jaxson Dart (44246757),Jaxson Dart,44246757,QB,5900,TEN@NYG 09/27/2026 01:00PM ET,NYG,13.7,D,Jaxson Dart,dk,5900,jaxson dart,NYG,QB,classic,00-0040691,auto_exact,high
WR,Ladd McConkey (44247044),Ladd McConkey,44247044,WR/FLEX,5900,LAC@BUF 09/27/2026 01:00PM ET,LAC,12.9,,Ladd McConkey,dk,5900,ladd mcconkey,LAC,WR,classic,00-0039915,auto_exact,high
QB,Justin Herbert (44246758),Justin Herbert,44246758,QB,5800,LAC@BUF 09/27/2026 01:00PM ET,LAC,12.1,,Justin Herbert,dk,5800,justin herbert,LAC,QB,classic,00-0036355,auto_exact,high
WR,DJ Moore (44247046),DJ Moore,44247046,WR/FLEX,5800,LAC@BUF 09/27/2026 01:00PM ET,BUF,12.0,Q,DJ Moore,dk,5800,dj moore,BUF,WR,classic,00-0034827,auto_fallback_team_mismatch,medium
QB,Trevor Lawrence (44246759),Trevor Lawrence,44246759,QB,5700,NE@JAX 09/27/2026 01:00PM ET,JAX,16.6,,Trevor Lawrence,dk,5700,trevor lawrence,JAX,QB,classic,00-0036971,auto_exact,high
RB,Jaylen Warren (44246832),Jaylen Warren,44246832,RB/FLEX,5700,CIN@PIT 09/27/2026 01:00PM ET,PIT,10.5,,Jaylen Warren,dk,5700,jaylen warren,PIT,RB,classic,00-0037228,auto_exact,high
WR,Josh Downs (44247048),Josh Downs,44247048,WR/FLEX,5700,HOU@IND 09/27/2026 01:00PM ET,IND,10.0,,Josh Downs,dk,5700,josh downs,IND,WR,classic,00-0038997,auto_exact,high
QB,Bryce Young (44246760),Bryce Young,44246760,QB,5600,CAR@CLE 09/27/2026 01:00PM ET,CAR,29.8,,Bryce Young,dk,5600,bryce young,CAR,QB,classic,00-0039150,auto_exact,high
RB,Bhayshul Tuten (44246834),Bhayshul Tuten,44246834,RB/FLEX,5600,NE@JAX 09/27/2026 01:00PM ET,JAX,12.0,,Bhayshul Tuten,dk,5600,bhayshul tuten,JAX,RB,classic,00-0040719,auto_exact,high
WR,Alec Pierce (44247050),Alec Pierce,44247050,WR/FLEX,5600,HOU@IND 09/27/2026 01:00PM ET,IND,6.1,D,Alec Pierce,dk,5600,alec pierce,IND,WR,classic,00-0037664,auto_exact,high
QB,C.J. Stroud (44246761),C.J. Stroud,44246761,QB,5500,HOU@IND 09/27/2026 01:00PM ET,HOU,19.2,,C.J. Stroud,dk,5500,cj stroud,HOU,QB,classic,00-0039163,auto_exact,high
RB,Quinshon Judkins (44246836),Quinshon Judkins,44246836,RB/FLEX,5500,CAR@CLE 09/27/2026 01:00PM ET,CLE,8.4,,Quinshon Judkins,dk,5500,quinshon judkins,CLE,RB,classic,00-0040784,auto_exact,high
WR,Stefon Diggs (44247052),Stefon Diggs,44247052,WR/FLEX,5500,SEA@WAS 09/27/2026 01:00PM ET,WAS,18.6,,Stefon Diggs,dk,5500,stefon diggs,WAS,WR,classic,00-0031588,auto_fallback_team_mismatch,medium
WR,Jalen Coker (44247054),Jalen Coker,44247054,WR/FLEX,5500,CAR@CLE 09/27/2026 01:00PM ET,CAR,25.7,,Jalen Coker,dk,5500,jalen coker,CAR,WR,classic,00-0039491,auto_exact,high
TE,Dalton Kincaid (44247362),Dalton Kincaid,44247362,TE/FLEX,5500,LAC@BUF 09/27/2026 01:00PM ET,BUF,21.8,,Dalton Kincaid,dk,5500,dalton kincaid,BUF,TE,classic,00-0038933,auto_exact,high
QB,Sam Darnold (44246762),Sam Darnold,44246762,QB,5400,SEA@WAS 09/27/2026 01:00PM ET,SEA,0.5,Q,Sam Darnold,dk,5400,sam darnold,SEA,QB,classic,00-0034869,auto_exact,high
RB,Tony Pollard (44246838),Tony Pollard,44246838,RB/FLEX,5400,TEN@NYG 09/27/2026 01:00PM ET,TEN,6.0,,Tony Pollard,dk,5400,tony pollard,TEN,RB,classic,00-0035261,auto_exact,high
RB,Rhamondre Stevenson (44246840),Rhamondre Stevenson,44246840,RB/FLEX,5400,NE@JAX 09/27/2026 01:00PM ET,NE,9.6,,Rhamondre Stevenson,dk,5400,rhamondre stevenson,NE,RB,classic,00-0036875,auto_exact,high
WR,DK Metcalf (44247056),DK Metcalf,44247056,WR/FLEX,5400,CIN@PIT 09/27/2026 01:00PM ET,PIT,7.4,,DK Metcalf,dk,5400,dk metcalf,PIT,WR,classic,00-0035640,auto_exact,high
WR,Jameson Williams (44247058),Jameson Williams,44247058,WR/FLEX,5400,NYJ@DET 09/27/2026 01:00PM ET,DET,6.9,,Jameson Williams,dk,5400,jameson williams,DET,WR,classic,00-0037240,auto_exact,high
RB,Jacory Croskey-Merritt (44246842),Jacory Croskey-Merritt,44246842,RB/FLEX,5300,SEA@WAS 09/27/2026 01:00PM ET,WAS,9.2,,Jacory Croskey-Merritt,dk,5300,jacory croskey merritt,WAS,RB,classic,00-0040242,auto_exact,high
RB,Jadarian Price (44246844),Jadarian Price,44246844,RB/FLEX,5300,SEA@WAS 09/27/2026 01:00PM ET,SEA,6.9,Q,Jadarian Price,dk,5300,jadarian price,SEA,RB,classic,00-0041512,auto_exact,high
TE,Tyler Warren (44247364),Tyler Warren,44247364,TE/FLEX,5300,HOU@IND 09/27/2026 01:00PM ET,IND,12.4,,Tyler Warren,dk,5300,tyler warren,IND,TE,classic,00-0040128,auto_exact,high
QB,Drew Lock (44246763),Drew Lock,44246763,QB,5200,SEA@WAS 09/27/2026 01:00PM ET,SEA,17.1,,Drew Lock,dk,5200,drew lock,SEA,QB,classic,00-0035704,auto_exact,high
RB,TreVeyon Henderson (44246846),TreVeyon Henderson,44246846,RB/FLEX,5200,NE@JAX 09/27/2026 01:00PM ET,NE,13.6,,TreVeyon Henderson,dk,5200,treveyon henderson,NE,RB,classic,00-0040734,auto_exact,high
QB,Cam Ward (44246764),Cam Ward,44246764,QB,5100,TEN@NYG 09/27/2026 01:00PM ET,TEN,15.9,,Cam Ward,dk,5100,cam ward,TEN,QB,classic,00-0040676,auto_exact,high
RB,Rachaad White (44246848),Rachaad White,44246848,RB/FLEX,5100,SEA@WAS 09/27/2026 01:00PM ET,WAS,9.5,,Rachaad White,dk,5100,rachaad white,WAS,RB,classic,00-0037256,auto_fallback_team_mismatch,medium
WR,Terry McLaurin (44247060),Terry McLaurin,44247060,WR/FLEX,5100,SEA@WAS 09/27/2026 01:00PM ET,WAS,5.2,,Terry McLaurin,dk,5100,terry mclaurin,WAS,WR,classic,00-0035659,auto_exact,high
WR,Romeo Doubs (44247062),Romeo Doubs,44247062,WR/FLEX,5100,NE@JAX 09/27/2026 01:00PM ET,NE,6.3,,Romeo Doubs,dk,5100,romeo doubs,NE,WR,classic,00-0037816,auto_fallback_team_mismatch,medium
QB,Daniel Jones (44246765),Daniel Jones,44246765,QB,5000,HOU@IND 09/27/2026 01:00PM ET,IND,11.2,,Daniel Jones,dk,5000,daniel jones,IND,QB,classic,00-0035710,auto_exact,high
QB,Aaron Rodgers (44246766),Aaron Rodgers,44246766,QB,5000,CIN@PIT 09/27/2026 01:00PM ET,PIT,9.3,,Aaron Rodgers,dk,5000,aaron rodgers,PIT,QB,classic,00-0023459,auto_exact,high
RB,Woody Marks (44246850),Woody Marks,44246850,RB/FLEX,5000,HOU@IND 09/27/2026 01:00PM ET,HOU,6.8,,Woody Marks,dk,5000,woody marks,HOU,RB,classic,00-0040583,auto_exact,high
