Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
WR,Jaxon Smith-Njigba (43782097),Jaxon Smith-Njigba,43782097,CPT,15900,NE@SEA 09/09/2026 08:20PM ET,SEA,22.0,,CPT,Jaxon Smith-Njigba,dk,15900,jaxon smith njigba,SEA,WR,showdown,00-0038543,auto_exact,high
QB,Drake Maye (43782098),Drake Maye,43782098,CPT,15000,NE@SEA 09/09/2026 08:20PM ET,NE,20.9,,CPT,Drake Maye,dk,15000,drake maye,NE,QB,showdown,00-0039851,auto_exact,high
WR,A.J. Brown (43782099),A.J. Brown,43782099,CPT,14400,NE@SEA 09/09/2026 08:20PM ET,NE,15.1,,CPT,A.J. Brown,dk,14400,aj brown,NE,WR,showdown,00-0035676,auto_fallback_team_mismatch,medium
QB,Sam Darnold (43782100),Sam Darnold,43782100,CPT,14100,NE@SEA 09/09/2026 08:20PM ET,SEA,15.6,,CPT,Sam Darnold,dk,14100,sam darnold,SEA,QB,showdown,00-0034869,auto_exact,high
RB,Rhamondre Stevenson (43782101),Rhamondre Stevenson,43782101,CPT,12600,NE@SEA 09/09/2026 08:20PM ET,NE,13.2,,CPT,Rhamondre Stevenson,dk,12600,rhamondre stevenson,NE,RB,showdown,00-0036875,auto_exact,high
RB,Zach Charbonnet (43782102),Zach Charbonnet,43782102,CPT,12300,NE@SEA 09/09/2026 08:20PM ET,SEA,11.0,OUT,CPT,Zach Charbonnet,dk,12300,zach charbonnet,SEA,RB,showdown,00-0039165,auto_exact,high
QB,Tommy DeVito (43782103),Tommy DeVito,43782103,CPT,12000,NE@SEA 09/09/2026 08:20PM ET,NE,0.0,,CPT,Tommy DeVito,dk,12000,tommy devito,NE,QB,showdown,00-0038476,auto_exact,high
RB,TreVeyon Henderson (43782104),TreVeyon Henderson,43782104,CPT,11400,NE@SEA 09/09/2026 08:20PM ET,NE,10.9,Q,CPT,TreVeyon Henderson,dk,11400,treveyon henderson,NE,RB,showdown,00-0040734,auto_exact,high
QB,Drew Lock (43782105),Drew Lock,43782105,CPT,11100,NE@SEA 09/09/2026 08:20PM ET,SEA,0.0,,CPT,Drew Lock,dk,11100,drew lock,SEA,QB,showdown,00-0035704,auto_exact,high
RB,Jadarian Price (43782106),Jadarian Price,43782106,CPT,10800,NE@SEA 09/09/2026 08:20PM ET,SEA,0.0,,CPT,Jadarian Price,dk,10800,jadarian price,SEA,RB,showdown,00-0041512,auto_exact,high
