Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Jahmyr Gibbs (44138478),Jahmyr Gibbs,44138478,CPT,18000,DET@BUF 09/17/2026 08:15PM ET,DET,37.6,,CPT,Jahmyr Gibbs,dk,18000,jahmyr gibbs,DET,RB,showdown,00-0039139,auto_exact,high
QB,Josh Allen (44138479),Josh Allen,44138479,CPT,17100,DET@BUF 09/17/2026 08:15PM ET,BUF,38.7,,CPT,Josh Allen,dk,17100,josh allen,BUF,QB,showdown,00-0034857,auto_exact,high
WR,Amon-Ra St. Brown (44138480),Amon-Ra St. Brown,44138480,CPT,15600,DET@BUF 09/17/2026 08:15PM ET,DET,28.7,,CPT,Amon-Ra St. Brown,dk,15600,amon ra st brown,DET,WR,showdown,00-0036963,auto_exact,high
QB,Jared Goff (44138481),Jared Goff,44138481,CPT,14400,DET@BUF 09/17/2026 08:15PM ET,DET,16.4,,CPT,Jared Goff,dk,14400,jared goff,DET,QB,showdown,00-0033106,auto_exact,high
RB,James Cook III (44138482),James Cook III,44138482,CPT,14100,DET@BUF 09/17/2026 08:15PM ET,BUF,9.9,,CPT,James Cook III,dk,14100,james cook,BUF,RB,showdown,00-0037248,auto_exact,high
RB,Jahmyr Gibbs (44138432),Jahmyr Gibbs,44138432,FLEX,12000,DET@BUF 09/17/2026 08:15PM ET,DET,37.6,,FLEX,Jahmyr Gibbs,dk,12000,jahmyr gibbs,DET,RB,showdown,00-0039139,auto_exact,high
WR,DJ Moore (44138483),DJ Moore,44138483,CPT,11700,DET@BUF 09/17/2026 08:15PM ET,BUF,24.0,,CPT,DJ Moore,dk,11700,dj moore,BUF,WR,showdown,00-0034827,auto_fallback_team_mismatch,medium
QB,Josh Allen (44138433),Josh Allen,44138433,FLEX,11400,DET@BUF 09/17/2026 08:15PM ET,BUF,38.7,,FLEX,Josh Allen,dk,11400,josh allen,BUF,QB,showdown,00-0034857,auto_exact,high
WR,Jameson Williams (44138484),Jameson Williams,44138484,CPT,11100,DET@BUF 09/17/2026 08:15PM ET,DET,8.5,,CPT,Jameson Williams,dk,11100,jameson williams,DET,WR,showdown,00-0037240,auto_exact,high
WR,Amon-Ra St. Brown (44138434),Amon-Ra St. Brown,44138434,FLEX,10400,DET@BUF 09/17/2026 08:15PM ET,DET,28.7,,FLEX,Amon-Ra St. Brown,dk,10400,amon ra st brown,DET,WR,showdown,00-0036963,auto_exact,high
TE,Dalton Kincaid (44138485),Dalton Kincaid,44138485,CPT,10200,DET@BUF 09/17/2026 08:15PM ET,BUF,21.0,,CPT,Dalton Kincaid,dk,10200,dalton kincaid,BUF,TE,showdown,00-0038933,auto_exact,high
QB,Jared Goff (44138435),Jared Goff,44138435,FLEX,9600,DET@BUF 09/17/2026 08:15PM ET,DET,16.4,,FLEX,Jared Goff,dk,9600,jared goff,DET,QB,showdown,00-0033106,auto_exact,high
WR,Khalil Shakir (44138486),Khalil Shakir,44138486,CPT,9600,DET@BUF 09/17/2026 08:15PM ET,BUF,9.0,,CPT,Khalil Shakir,dk,9600,khalil shakir,BUF,WR,showdown,00-0037261,auto_exact,high
RB,James Cook III (44138436),James Cook III,44138436,FLEX,9400,DET@BUF 09/17/2026 08:15PM ET,BUF,9.9,,FLEX,James Cook III,dk,9400,james cook,BUF,RB,showdown,00-0037248,auto_exact,high
