Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
RB,Bijan Robinson (44225918),Bijan Robinson,44225918,CPT,17700,ATL@GB 09/24/2026 08:15PM ET,ATL,21.2,,CPT,Bijan Robinson,dk,17700,bijan robinson,ATL,RB,showdown,00-0038542,auto_exact,high
QB,Jordan Love (44225919),Jordan Love,44225919,CPT,15000,ATL@GB 09/24/2026 08:15PM ET,GB,19.1,,CPT,Jordan Love,dk,15000,jordan love,GB,QB,showdown,00-0036264,auto_exact,high
WR,Christian Watson (44225920),Christian Watson,44225920,CPT,14700,ATL@GB 09/24/2026 08:15PM ET,GB,24.9,,CPT,Christian Watson,dk,14700,christian watson,GB,WR,showdown,00-0038124,auto_exact,high
QB,Michael Penix Jr. (44225921),Michael Penix Jr.,44225921,CPT,13500,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,CPT,Michael Penix Jr.,dk,13500,michael penix,ATL,QB,showdown,00-0039917,auto_exact,high
WR,Drake London (44225922),Drake London,44225922,CPT,13200,ATL@GB 09/24/2026 08:15PM ET,ATL,7.2,,CPT,Drake London,dk,13200,drake london,ATL,WR,showdown,00-0037238,auto_exact,high
QB,Tua Tagovailoa (44225923),Tua Tagovailoa,44225923,CPT,12900,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,CPT,Tua Tagovailoa,dk,12900,tua tagovailoa,ATL,QB,showdown,00-0036212,auto_fallback_team_mismatch,medium
RB,Josh Jacobs (44225924),Josh Jacobs,44225924,CPT,12600,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,OUT,CPT,Josh Jacobs,dk,12600,josh jacobs,GB,RB,showdown,00-0035700,auto_exact,high
QB,Jack Strand (44225925),Jack Strand,44225925,CPT,12300,ATL@GB 09/24/2026 08:15PM ET,ATL,2.0,,CPT,Jack Strand,dk,12300,jack strand,ATL,QB,showdown,00-0041194,auto_exact,high
QB,Cooper Rush (44225926),Cooper Rush,44225926,CPT,12000,ATL@GB 09/24/2026 08:15PM ET,ATL,5.1,,CPT,Cooper Rush,dk,12000,cooper rush,ATL,QB,showdown,00-0033662,auto_fallback_team_mismatch,medium
RB,Bijan Robinson (44225865),Bijan Robinson,44225865,FLEX,11800,ATL@GB 09/24/2026 08:15PM ET,ATL,21.2,,FLEX,Bijan Robinson,dk,11800,bijan robinson,ATL,RB,showdown,00-0038542,auto_exact,high
WR,Matthew Golden (44225927),Matthew Golden,44225927,CPT,11700,ATL@GB 09/24/2026 08:15PM ET,GB,12.7,,CPT,Matthew Golden,dk,11700,matthew golden,GB,WR,showdown,00-0040667,auto_exact,high
RB,MarShawn Lloyd (44225928),MarShawn Lloyd,44225928,CPT,11100,ATL@GB 09/24/2026 08:15PM ET,GB,6.7,,CPT,MarShawn Lloyd,dk,11100,marshawn lloyd,GB,RB,showdown,00-0039811,auto_exact,high
TE,Tucker Kraft (44225929),Tucker Kraft,44225929,CPT,10500,ATL@GB 09/24/2026 08:15PM ET,GB,6.5,,CPT,Tucker Kraft,dk,10500,tucker kraft,GB,TE,showdown,00-0038996,auto_exact,high
QB,Jordan Love (44225866),Jordan Love,44225866,FLEX,10000,ATL@GB 09/24/2026 08:15PM ET,GB,19.1,,FLEX,Jordan Love,dk,10000,jordan love,GB,QB,showdown,00-0036264,auto_exact,high
TE,Kyle Pitts Sr. (44225930),Kyle Pitts Sr.,44225930,CPT,9900,ATL@GB 09/24/2026 08:15PM ET,ATL,1.3,,CPT,Kyle Pitts Sr.,dk,9900,kyle pitts,ATL,TE,showdown,00-0036970,auto_exact,high
WR,Christian Watson (44225867),Christian Watson,44225867,FLEX,9800,ATL@GB 09/24/2026 08:15PM ET,GB,24.9,,FLEX,Christian Watson,dk,9800,christian watson,GB,WR,showdown,00-0038124,auto_exact,high
WR,Jayden Reed (44225931),Jayden Reed,44225931,CPT,9300,ATL@GB 09/24/2026 08:15PM ET,GB,3.2,D,CPT,Jayden Reed,dk,9300,jayden reed,GB,WR,showdown,00-0039146,auto_exact,high
QB,Michael Penix Jr. (44225868),Michael Penix Jr.,44225868,FLEX,9000,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,FLEX,Michael Penix Jr.,dk,9000,michael penix,ATL,QB,showdown,00-0039917,auto_exact,high
QB,Tyrod Taylor (44225932),Tyrod Taylor,44225932,CPT,9000,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,CPT,Tyrod Taylor,dk,9000,tyrod taylor,GB,QB,showdown,00-0028118,auto_fallback_team_mismatch,medium
QB,Kedon Slovis (44225933),Kedon Slovis,44225933,CPT,9000,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,CPT,Kedon Slovis,dk,9000,kedon slovis,GB,QB,showdown,00-0039577,auto_fallback_team_mismatch,medium
WR,Drake London (44225869),Drake London,44225869,FLEX,8800,ATL@GB 09/24/2026 08:15PM ET,ATL,7.2,,FLEX,Drake London,dk,8800,drake london,ATL,WR,showdown,00-0037238,auto_exact,high
QB,Tua Tagovailoa (44225870),Tua Tagovailoa,44225870,FLEX,8600,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,FLEX,Tua Tagovailoa,dk,8600,tua tagovailoa,ATL,QB,showdown,00-0036212,auto_fallback_team_mismatch,medium
RB,Josh Jacobs (44225871),Josh Jacobs,44225871,FLEX,8400,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,OUT,FLEX,Josh Jacobs,dk,8400,josh jacobs,GB,RB,showdown,00-0035700,auto_exact,high
QB,Jack Strand (44225872),Jack Strand,44225872,FLEX,8200,ATL@GB 09/24/2026 08:15PM ET,ATL,2.0,,FLEX,Jack Strand,dk,8200,jack strand,ATL,QB,showdown,00-0041194,auto_exact,high
RB,Chris Brooks (44225934),Chris Brooks,44225934,CPT,8100,ATL@GB 09/24/2026 08:15PM ET,GB,3.3,,CPT,Chris Brooks,dk,8100,chris brooks,GB,RB,showdown,00-0038685,auto_exact,high
QB,Cooper Rush (44225873),Cooper Rush,44225873,FLEX,8000,ATL@GB 09/24/2026 08:15PM ET,ATL,5.1,,FLEX,Cooper Rush,dk,8000,cooper rush,ATL,QB,showdown,00-0033662,auto_fallback_team_mismatch,medium
WR,Matthew Golden (44225874),Matthew Golden,44225874,FLEX,7800,ATL@GB 09/24/2026 08:15PM ET,GB,12.7,,FLEX,Matthew Golden,dk,7800,matthew golden,GB,WR,showdown,00-0040667,auto_exact,high
K,Trey Smack (44225935),Trey Smack,44225935,CPT,7800,ATL@GB 09/24/2026 08:15PM ET,GB,10.5,,CPT,Trey Smack,dk,7800,trey smack,GB,K,showdown,00-0040899,auto_exact,high
K,Lenny Krieg (44225936),Lenny Krieg,44225936,CPT,7800,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,CPT,Lenny Krieg,dk,7800,lenny krieg,GB,K,showdown,00-0040003,auto_exact,high
DST,Packers (44225937),Packers,44225937,CPT,7500,ATL@GB 09/24/2026 08:15PM ET,GB,3.0,,CPT,Packers,dk,7500,packers,GB,DST,showdown,DST_GB,team_defense,high
RB,MarShawn Lloyd (44225875),MarShawn Lloyd,44225875,FLEX,7400,ATL@GB 09/24/2026 08:15PM ET,GB,6.7,,FLEX,MarShawn Lloyd,dk,7400,marshawn lloyd,GB,RB,showdown,00-0039811,auto_exact,high
K,Nick Folk (44225938),Nick Folk,44225938,CPT,7200,ATL@GB 09/24/2026 08:15PM ET,ATL,7.0,,CPT,Nick Folk,dk,7200,nick folk,ATL,K,showdown,00-0025565,auto_fallback_team_mismatch,medium
TE,Tucker Kraft (44225876),Tucker Kraft,44225876,FLEX,7000,ATL@GB 09/24/2026 08:15PM ET,GB,6.5,,FLEX,Tucker Kraft,dk,7000,tucker kraft,GB,TE,showdown,00-0038996,auto_exact,high
TE,Kyle Pitts Sr. (44225877),Kyle Pitts Sr.,44225877,FLEX,6600,ATL@GB 09/24/2026 08:15PM ET,ATL,1.3,,FLEX,Kyle Pitts Sr.,dk,6600,kyle pitts,ATL,TE,showdown,00-0036970,auto_exact,high
RB,Brian Robinson Jr. (44225939),Brian Robinson Jr.,44225939,CPT,6600,ATL@GB 09/24/2026 08:15PM ET,ATL,5.9,,CPT,Brian Robinson Jr.,dk,6600,brian robinson,ATL,RB,showdown,00-0037746,auto_fallback_team_mismatch,medium
WR,Jayden Reed (44225878),Jayden Reed,44225878,FLEX,6200,ATL@GB 09/24/2026 08:15PM ET,GB,3.2,D,FLEX,Jayden Reed,dk,6200,jayden reed,GB,WR,showdown,00-0039146,auto_exact,high
QB,Tyrod Taylor (44225879),Tyrod Taylor,44225879,FLEX,6000,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Tyrod Taylor,dk,6000,tyrod taylor,GB,QB,showdown,00-0028118,auto_fallback_team_mismatch,medium
QB,Kedon Slovis (44225880),Kedon Slovis,44225880,FLEX,6000,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Kedon Slovis,dk,6000,kedon slovis,GB,QB,showdown,00-0039577,auto_fallback_team_mismatch,medium
RB,Kaleb Johnson (44225940),Kaleb Johnson,44225940,CPT,6000,ATL@GB 09/24/2026 08:15PM ET,GB,1.6,,CPT,Kaleb Johnson,dk,6000,kaleb johnson,GB,RB,showdown,00-0040142,auto_fallback_team_mismatch,medium
WR,Zachariah Branch (44225941),Zachariah Branch,44225941,CPT,5700,ATL@GB 09/24/2026 08:15PM ET,ATL,1.7,,CPT,Zachariah Branch,dk,5700,zachariah branch,ATL,WR,showdown,00-0041044,auto_exact,high
RB,Chris Brooks (44225881),Chris Brooks,44225881,FLEX,5400,ATL@GB 09/24/2026 08:15PM ET,GB,3.3,,FLEX,Chris Brooks,dk,5400,chris brooks,GB,RB,showdown,00-0038685,auto_exact,high
K,Trey Smack (44225882),Trey Smack,44225882,FLEX,5200,ATL@GB 09/24/2026 08:15PM ET,GB,10.5,,FLEX,Trey Smack,dk,5200,trey smack,GB,K,showdown,00-0040899,auto_exact,high
K,Lenny Krieg (44225883),Lenny Krieg,44225883,FLEX,5200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Lenny Krieg,dk,5200,lenny krieg,GB,K,showdown,00-0040003,auto_exact,high
DST,Falcons (44225942),Falcons,44225942,CPT,5100,ATL@GB 09/24/2026 08:15PM ET,ATL,3.0,,CPT,Falcons,dk,5100,falcons,ATL,DST,showdown,DST_ATL,team_defense,high
DST,Packers (44225884),Packers,44225884,FLEX,5000,ATL@GB 09/24/2026 08:15PM ET,GB,3.0,,FLEX,Packers,dk,5000,packers,GB,DST,showdown,DST_GB,team_defense,high
K,Nick Folk (44225885),Nick Folk,44225885,FLEX,4800,ATL@GB 09/24/2026 08:15PM ET,ATL,7.0,,FLEX,Nick Folk,dk,4800,nick folk,ATL,K,showdown,00-0025565,auto_fallback_team_mismatch,medium
WR,Jahan Dotson (44225943),Jahan Dotson,44225943,CPT,4500,ATL@GB 09/24/2026 08:15PM ET,ATL,3.0,,CPT,Jahan Dotson,dk,4500,jahan dotson,ATL,WR,showdown,00-0037741,auto_fallback_team_mismatch,medium
RB,Brian Robinson Jr. (44225886),Brian Robinson Jr.,44225886,FLEX,4400,ATL@GB 09/24/2026 08:15PM ET,ATL,5.9,,FLEX,Brian Robinson Jr.,dk,4400,brian robinson,ATL,RB,showdown,00-0037746,auto_fallback_team_mismatch,medium
TE,Jonnu Smith (44225944),Jonnu Smith,44225944,CPT,4200,ATL@GB 09/24/2026 08:15PM ET,GB,3.5,,CPT,Jonnu Smith,dk,4200,jonnu smith,GB,TE,showdown,00-0033858,auto_fallback_team_mismatch,medium
RB,Kaleb Johnson (44225887),Kaleb Johnson,44225887,FLEX,4000,ATL@GB 09/24/2026 08:15PM ET,GB,1.6,,FLEX,Kaleb Johnson,dk,4000,kaleb johnson,GB,RB,showdown,00-0040142,auto_fallback_team_mismatch,medium
