Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
WR,Nico Collins (43670642),Nico Collins,43670642,WR/FLEX,8100,HOU@ARI 07/31/2026 04:00PM ET,HOU,16.6,,Nico Collins,dk,8100,nico collins,HOU,WR,00-0036554,auto_exact,high
QB,Kyler Murray (43670588),Kyler Murray,43670588,QB,7800,HOU@ARI 07/31/2026 04:00PM ET,ARI,27.7,,Kyler Murray,dk,7800,kyler murray,ARI,QB,00-0035228,auto_exact,high
RB,Breece Hall (43670600),Breece Hall,43670600,RB/FLEX,7800,CAR@NYJ 07/31/2026 02:00PM ET,NYJ,18.2,,Breece Hall,dk,7800,breece hall,NYJ,RB,00-0038120,auto_exact,high
QB,Lamar Jackson (43670589),Lamar Jackson,43670589,QB,7600,CHI@BAL 07/31/2026 12:00PM ET,BAL,25.4,,Lamar Jackson,dk,7600,lamar jackson,BAL,QB,00-0034796,auto_exact,high
RB,Chuba Hubbard (43670602),Chuba Hubbard,43670602,RB/FLEX,7400,CAR@NYJ 07/31/2026 02:00PM ET,CAR,18.1,,Chuba Hubbard,dk,7400,chuba hubbard,CAR,RB,00-0036555,auto_exact,high
RB,Derrick Henry (43670604),Derrick Henry,43670604,RB/FLEX,7000,CHI@BAL 07/31/2026 12:00PM ET,BAL,14.2,,Derrick Henry,dk,7000,derrick henry,BAL,RB,00-0032764,auto_exact,high
RB,Joe Mixon (43670606),Joe Mixon,43670606,RB/FLEX,6700,HOU@ARI 07/31/2026 04:00PM ET,HOU,15.3,,Joe Mixon,dk,6700,joe mixon,HOU,RB,,,
RB,D'Andre Swift (43670608),D'Andre Swift,43670608,RB/FLEX,6600,CHI@BAL 07/31/2026 12:00PM ET,CHI,16.0,,D'Andre Swift,dk,6600,dandre swift,CHI,RB,00-0036275,auto_exact,high
WR,Garrett Wilson (43670644),Garrett Wilson,43670644,WR/FLEX,6300,CAR@NYJ 07/31/2026 02:00PM ET,NYJ,14.9,,Garrett Wilson,dk,6300,garrett wilson,NYJ,WR,00-0037740,auto_exact,high
TE,Mark Andrews (43670710),Mark Andrews,43670710,TE/FLEX,6200,CHI@BAL 07/31/2026 12:00PM ET,BAL,14.2,,Mark Andrews,dk,6200,mark andrews,BAL,TE,00-0034753,auto_exact,high
QB,Justin Fields (43670590),Justin Fields,43670590,QB,6100,CAR@NYJ 07/31/2026 02:00PM ET,NYJ,24.2,,Justin Fields,dk,6100,justin fields,NYJ,QB,00-0036945,auto_exact,high
RB,James Conner (43670610),James Conner,43670610,RB/FLEX,5900,HOU@ARI 07/31/2026 04:00PM ET,ARI,15.2,,James Conner,dk,5900,james conner,ARI,RB,00-0033553,auto_exact,high
WR,Marvin Harrison Jr. (43670646),Marvin Harrison Jr.,43670646,WR/FLEX,5700,HOU@ARI 07/31/2026 04:00PM ET,ARI,14.1,,Marvin Harrison Jr.,dk,5700,marvin harrison,ARI,WR,00-0039849,auto_exact,high
QB,Caleb Williams (43670591),Caleb Williams,43670591,QB,5600,CHI@BAL 07/31/2026 12:00PM ET,CHI,23.1,,Caleb Williams,dk,5600,caleb williams,CHI,QB,00-0039918,auto_exact,high
QB,C.J. Stroud (43670592),C.J. Stroud,43670592,QB,5500,HOU@ARI 07/31/2026 04:00PM ET,HOU,20.7,,C.J. Stroud,dk,5500,cj stroud,HOU,QB,00-0039163,auto_exact,high
QB,Bryce Young (43670593),Bryce Young,43670593,QB,5400,CAR@NYJ 07/31/2026 02:00PM ET,CAR,19.6,,Bryce Young,dk,5400,bryce young,CAR,QB,00-0039150,auto_exact,high
WR,Tank Dell (43670648),Tank Dell,43670648,WR/FLEX,5400,HOU@ARI 07/31/2026 04:00PM ET,HOU,11.6,,Tank Dell,dk,5400,tank dell,HOU,WR,,,
WR,Tetairoa McMillan (43670650),Tetairoa McMillan,43670650,WR/FLEX,5300,CAR@NYJ 07/31/2026 02:00PM ET,CAR,12.4,,Tetairoa McMillan,dk,5300,tetairoa mcmillan,CAR,WR,00-0040124,auto_exact,high
QB,Andy Dalton (43670594),Andy Dalton,43670594,QB,5100,CAR@NYJ 07/31/2026 02:00PM ET,CAR,0.0,,Andy Dalton,dk,5100,andy dalton,CAR,QB,00-0027973,auto_exact,high
QB,Jacoby Brissett (43670595),Jacoby Brissett,43670595,QB,5000,HOU@ARI 07/31/2026 04:00PM ET,ARI,0.7,,Jacoby Brissett,dk,5000,jacoby brissett,ARI,QB,00-0033119,auto_exact,high
QB,Tyrod Taylor (43670596),Tyrod Taylor,43670596,QB,5000,CAR@NYJ 07/31/2026 02:00PM ET,NYJ,0.0,,Tyrod Taylor,dk,5000,tyrod taylor,NYJ,QB,00-0028118,auto_exact,high
QB,Cooper Rush (43670597),Cooper Rush,43670597,QB,5000,CHI@BAL 07/31/2026 12:00PM ET,BAL,0.0,,Cooper Rush,dk,5000,cooper rush,BAL,QB,00-0033662,auto_exact,high
QB,Davis Mills (43670598),Davis Mills,43670598,QB,5000,HOU@ARI 07/31/2026 04:00PM ET,HOU,0.0,,Davis Mills,dk,5000,davis mills,HOU,QB,00-0036898,auto_exact,high
