Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
RB,Bijan Robinson (43670226),Bijan Robinson,43670226,RB/FLEX,8300,ATL@PIT 07/30/2026 04:00PM ET,ATL,20.8,,Bijan Robinson,dk,8300,bijan robinson,ATL,RB,00-0038542,auto_exact,high
WR,DK Metcalf (43670272),DK Metcalf,43670272,WR/FLEX,8300,ATL@PIT 07/30/2026 04:00PM ET,PIT,20.8,,DK Metcalf,dk,8300,dk metcalf,PIT,WR,00-0035640,auto_exact,high
RB,Josh Jacobs (43670228),Josh Jacobs,43670228,RB/FLEX,7300,GB@TEN 07/30/2026 02:00PM ET,GB,17.5,,Josh Jacobs,dk,7300,josh jacobs,GB,RB,00-0035700,auto_exact,high
RB,Bucky Irving (43670230),Bucky Irving,43670230,RB/FLEX,7000,MIN@TB 07/30/2026 12:00PM ET,TB,18.3,,Bucky Irving,dk,7000,bucky irving,TB,RB,00-0039361,auto_exact,high
QB,Aaron Rodgers (43670214),Aaron Rodgers,43670214,QB,6900,ATL@PIT 07/30/2026 04:00PM ET,PIT,24.6,,Aaron Rodgers,dk,6900,aaron rodgers,PIT,QB,00-0023459,auto_exact,high
QB,Jordan Love (43670215),Jordan Love,43670215,QB,6800,GB@TEN 07/30/2026 02:00PM ET,GB,24.4,,Jordan Love,dk,6800,jordan love,GB,QB,00-0036264,auto_exact,high
WR,Christian Watson (43670274),Christian Watson,43670274,WR/FLEX,6800,GB@TEN 07/30/2026 02:00PM ET,GB,16.7,,Christian Watson,dk,6800,christian watson,GB,WR,00-0038124,auto_exact,high
WR,Mike Evans (43670276),Mike Evans,43670276,WR/FLEX,6700,MIN@TB 07/30/2026 12:00PM ET,TB,17.2,,Mike Evans,dk,6700,mike evans,TB,WR,00-0031408,auto_exact,high
WR,Justin Jefferson (43670278),Justin Jefferson,43670278,WR/FLEX,6600,MIN@TB 07/30/2026 12:00PM ET,MIN,15.3,,Justin Jefferson,dk,6600,justin jefferson,MIN,WR,00-0036322,auto_exact,high
RB,Aaron Jones Sr. (43670232),Aaron Jones Sr.,43670232,RB/FLEX,6400,MIN@TB 07/30/2026 12:00PM ET,MIN,15.2,,Aaron Jones Sr.,dk,6400,aaron jones,MIN,RB,00-0033293,auto_exact,high
RB,Jaylen Warren (43670234),Jaylen Warren,43670234,RB/FLEX,6200,ATL@PIT 07/30/2026 04:00PM ET,PIT,15.1,,Jaylen Warren,dk,6200,jaylen warren,PIT,RB,00-0037228,auto_exact,high
QB,J.J. McCarthy (43670216),J.J. McCarthy,43670216,QB,6000,MIN@TB 07/30/2026 12:00PM ET,MIN,22.9,,J.J. McCarthy,dk,6000,jj mccarthy,MIN,QB,00-0039923,auto_exact,high
QB,Baker Mayfield (43670217),Baker Mayfield,43670217,QB,5900,MIN@TB 07/30/2026 12:00PM ET,TB,23.1,,Baker Mayfield,dk,5900,baker mayfield,TB,QB,00-0034855,auto_exact,high
WR,Calvin Austin III (43670280),Calvin Austin III,43670280,WR/FLEX,5900,ATL@PIT 07/30/2026 04:00PM ET,PIT,14.9,,Calvin Austin III,dk,5900,calvin austin,PIT,WR,00-0037837,auto_exact,high
WR,Matthew Golden (43670282),Matthew Golden,43670282,WR/FLEX,5800,GB@TEN 07/30/2026 02:00PM ET,GB,15.8,,Matthew Golden,dk,5800,matthew golden,GB,WR,00-0040667,auto_exact,high
WR,Calvin Ridley (43670284),Calvin Ridley,43670284,WR/FLEX,5600,GB@TEN 07/30/2026 02:00PM ET,TEN,15.3,,Calvin Ridley,dk,5600,calvin ridley,TEN,WR,00-0034837,auto_exact,high
RB,Tony Pollard (43670236),Tony Pollard,43670236,RB/FLEX,5500,GB@TEN 07/30/2026 02:00PM ET,TEN,15.4,,Tony Pollard,dk,5500,tony pollard,TEN,RB,00-0035261,auto_exact,high
WR,Chris Godwin Jr. (43670286),Chris Godwin Jr.,43670286,WR/FLEX,5500,MIN@TB 07/30/2026 12:00PM ET,TB,14.0,,Chris Godwin Jr.,dk,5500,chris godwin,TB,WR,00-0033921,auto_exact,high
QB,Michael Penix Jr. (43670218),Michael Penix Jr.,43670218,QB,5200,ATL@PIT 07/30/2026 04:00PM ET,ATL,19.3,,Michael Penix Jr.,dk,5200,michael penix,ATL,QB,00-0039917,auto_exact,high
QB,Cam Ward (43670219),Cam Ward,43670219,QB,5100,GB@TEN 07/30/2026 02:00PM ET,TEN,19.2,,Cam Ward,dk,5100,cam ward,TEN,QB,00-0040676,auto_exact,high
QB,Kirk Cousins (43670220),Kirk Cousins,43670220,QB,5000,ATL@PIT 07/30/2026 04:00PM ET,ATL,0.0,,Kirk Cousins,dk,5000,kirk cousins,ATL,QB,00-0029604,auto_exact,high
QB,Will Levis (43670221),Will Levis,43670221,QB,5000,GB@TEN 07/30/2026 02:00PM ET,TEN,0.0,,Will Levis,dk,5000,will levis,TEN,QB,,,
QB,Mason Rudolph (43670222),Mason Rudolph,43670222,QB,5000,ATL@PIT 07/30/2026 04:00PM ET,PIT,0.0,,Mason Rudolph,dk,5000,mason rudolph,PIT,QB,00-0034771,auto_exact,high
QB,Teddy Bridgewater (43670223),Teddy Bridgewater,43670223,QB,5000,MIN@TB 07/30/2026 12:00PM ET,TB,0.0,,Teddy Bridgewater,dk,5000,teddy bridgewater,TB,QB,00-0031237,auto_exact,high
QB,Malik Willis (43670224),Malik Willis,43670224,QB,5000,GB@TEN 07/30/2026 02:00PM ET,GB,0.0,,Malik Willis,dk,5000,malik willis,GB,QB,00-0038128,auto_exact,high
QB,Carson Wentz (43670225),Carson Wentz,43670225,QB,5000,MIN@TB 07/30/2026 12:00PM ET,MIN,0.0,,Carson Wentz,dk,5000,carson wentz,MIN,QB,00-0032950,auto_exact,high
WR,Jordan Addison (43670288),Jordan Addison,43670288,WR/FLEX,4800,MIN@TB 07/30/2026 12:00PM ET,MIN,12.5,,Jordan Addison,dk,4800,jordan addison,MIN,WR,00-0038994,auto_exact,high
WR,Emeka Egbuka (43670290),Emeka Egbuka,43670290,WR/FLEX,4700,MIN@TB 07/30/2026 12:00PM ET,TB,12.2,,Emeka Egbuka,dk,4700,emeka egbuka,TB,WR,00-0040129,auto_exact,high
TE,Tucker Kraft (43670344),Tucker Kraft,43670344,TE/FLEX,4600,GB@TEN 07/30/2026 02:00PM ET,GB,11.6,,Tucker Kraft,dk,4600,tucker kraft,GB,TE,00-0038996,auto_exact,high
WR,Jayden Reed (43670292),Jayden Reed,43670292,WR/FLEX,4400,GB@TEN 07/30/2026 02:00PM ET,GB,13.1,,Jayden Reed,dk,4400,jayden reed,GB,WR,00-0039146,auto_exact,high
TE,Chig Okonkwo (43670346),Chig Okonkwo,43670346,TE/FLEX,4300,GB@TEN 07/30/2026 02:00PM ET,TEN,12.3,,Chig Okonkwo,dk,4300,chig okonkwo,TEN,TE,00-0037809,auto_exact,high
WR,Drake London (43670294),Drake London,43670294,WR/FLEX,4200,ATL@PIT 07/30/2026 04:00PM ET,ATL,10.0,,Drake London,dk,4200,drake london,ATL,WR,00-0037238,auto_exact,high
TE,T.J. Hockenson (43670348),T.J. Hockenson,43670348,TE/FLEX,4000,MIN@TB 07/30/2026 12:00PM ET,MIN,10.4,,T.J. Hockenson,dk,4000,tj hockenson,MIN,TE,00-0035229,auto_exact,high
WR,Darnell Mooney (43670296),Darnell Mooney,43670296,WR/FLEX,3900,ATL@PIT 07/30/2026 04:00PM ET,ATL,10.3,,Darnell Mooney,dk,3900,darnell mooney,ATL,WR,00-0036309,auto_exact,high
WR,Roman Wilson (43670298),Roman Wilson,43670298,WR/FLEX,3800,ATL@PIT 07/30/2026 04:00PM ET,PIT,11.9,,Roman Wilson,dk,3800,roman wilson,PIT,WR,00-0039739,auto_exact,high
