Name,Position,TeamAbbrev,Salary,ID,Roster Position,Game Info,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
Matt Ryan,QB,ATL,7000,1301,QB,ATL@CAR,26.366666666666664,rotoguru_gid,Matt Ryan,dk,7000,matt ryan,ATL,QB,00-0026143,auto_exact,high
Ben Roethlisberger,QB,PIT,7100,1232,QB,PIT@KC,18.846666666666668,rotoguru_gid,Ben Roethlisberger,dk,7100,ben roethlisberger,PIT,QB,00-0022924,auto_exact,high
Russell Wilson,QB,SEA,6600,1412,QB,SEA@NYJ,13.166666666666666,rotoguru_gid,Russell Wilson,dk,6600,russell wilson,SEA,QB,00-0029263,auto_exact,high
Blake Bortles,QB,JAX,6500,1442,QB,JAX@IND,19.34,rotoguru_gid,Blake Bortles,dk,6500,blake bortles,JAX,QB,00-0031407,auto_exact,high
Derek Carr,QB,LV,6700,1441,QB,LV@BAL,21.06,rotoguru_gid,Derek Carr,dk,6700,derek carr,LV,QB,00-0031280,auto_exact,high
Joe Flacco,QB,BAL,5900,1302,QB,BAL@LV,15.986666666666666,rotoguru_gid,Joe Flacco,dk,5900,joe flacco,BAL,QB,00-0026158,auto_exact,high
Philip Rivers,QB,SDG,6900,1231,QB,SDG@NO,18.273333333333333,rotoguru_gid,Philip Rivers,dk,6900,philip rivers,SDG,QB,00-0022942,auto_fallback_team_mismatch,medium
Brian Hoyer,QB,CHI,5000,1336,QB,CHI@DET,12.75,rotoguru_gid,Brian Hoyer,dk,5000,brian hoyer,CHI,QB,00-0026625,auto_exact,high
Case Keenum,QB,LA,5000,1435,QB,LA@ARI,9.653333333333334,rotoguru_gid,Case Keenum,dk,5000,case keenum,LA,QB,00-0028986,auto_exact,high
Alex Smith,QB,KC,5600,1254,QB,KC@PIT,16.94666666666667,rotoguru_gid,Alex Smith,dk,5600,alex smith,KC,QB,00-0023436,auto_exact,high
Andrew Luck,QB,IND,7400,1409,QB,IND@JAX,22.94,rotoguru_gid,Andrew Luck,dk,7400,andrew luck,IND,QB,00-0029668,auto_exact,high
Kirk Cousins,QB,WAS,6500,1415,QB,WAS@CLE,18.953333333333333,rotoguru_gid,Kirk Cousins,dk,6500,kirk cousins,WAS,QB,00-0029604,auto_exact,high
Dak Prescott,QB,DAL,5700,1501,QB,DAL@SF,17.36,rotoguru_gid,Dak Prescott,dk,5700,dak prescott,DAL,QB,00-0033077,auto_exact,high
Brock Osweiler,QB,HOU,5800,1414,QB,HOU@TEN,12.733333333333334,rotoguru_gid,Brock Osweiler,dk,5800,brock osweiler,HOU,QB,00-0029682,auto_exact,high
