Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
133647-138820,RB,De'Von,De'Von Achane,Achane,18.831249237060547,16,8500,MIA@LV,MIA,LV,,,,,,RB/FLEX,De'Von Achane,fd,8500,devon achane,MIA,RB,classic,00-0039040,auto_exact,high
133647-69531,QB,Jalen,Jalen Hurts,Hurts,18.834117216222428,17,8300,WAS@PHI,PHI,WAS,,,,,,QB,Jalen Hurts,fd,8300,jalen hurts,PHI,QB,classic,00-0036389,auto_exact,high
133647-85671,WR,Justin,Justin Jefferson,Jefferson,9.911764705882351,17,8100,GB@MIN,MIN,GB,,,,,,WR/FLEX,Justin Jefferson,fd,8100,justin jefferson,MIN,WR,classic,00-0036322,auto_exact,high
133647-64401,RB,Saquon,Saquon Barkley,Barkley,14.141176111557904,17,8100,WAS@PHI,PHI,WAS,,,,,,RB/FLEX,Saquon Barkley,fd,8100,saquon barkley,PHI,RB,classic,00-0034844,auto_exact,high
133647-102785,QB,Jayden,Jayden Daniels,Daniels,16.754285539899552,7,7900,WAS@PHI,WAS,PHI,,,,,,QB,Jayden Daniels,fd,7900,jayden daniels,WAS,QB,classic,00-0039910,auto_exact,high
133647-69189,QB,Justin,Justin Herbert,Herbert,18.937647202435663,17,7600,ARI@LAC,LAC,ARI,,,,,,QB,Justin Herbert,fd,7600,justin herbert,LAC,QB,classic,00-0036355,auto_exact,high
133647-91750,TE,Trey,Trey McBride,McBride,15.405881993910846,17,7600,ARI@LAC,ARI,LAC,,,,,,TE/FLEX,Trey McBride,fd,7600,trey mcbride,ARI,TE,classic,00-0037744,auto_exact,high
133647-90576,WR,DeVonta,DeVonta Smith,Smith,10.016666836208769,18,7500,WAS@PHI,PHI,WAS,,,,,,WR/FLEX,DeVonta Smith,fd,7500,devonta smith,PHI,WR,classic,00-0036912,auto_exact,high
133647-69017,QB,Jordan,Jordan Love,Love,17.510000228881836,16,7400,GB@MIN,GB,MIN,,,,,,QB,Jordan Love,fd,7400,jordan love,GB,QB,classic,00-0036264,auto_exact,high
133647-174215,RB,Omarion,Omarion Hampton,Hampton,12.259999847412107,10,7300,ARI@LAC,LAC,ARI,,,,,,RB/FLEX,Omarion Hampton,fd,7300,omarion hampton,LAC,RB,classic,00-0040666,auto_exact,high
133647-72731,RB,Josh,Josh Jacobs,Jacobs,14.087499618530272,16,7200,GB@MIN,GB,MIN,IR,Personal,,,,RB/FLEX,Josh Jacobs,fd,7200,josh jacobs,GB,RB,classic,00-0035700,auto_exact,high
133647-63484,QB,Kyler,Kyler Murray,Murray,16.155999755859376,5,7200,GB@MIN,MIN,GB,,,,,,QB,Kyler Murray,fd,7200,kyler murray,MIN,QB,classic,00-0035228,auto_fallback_team_mismatch,medium
133647-30231,QB,Jacoby,Jacoby Brissett,Brissett,17.674285888671875,14,7000,ARI@LAC,ARI,LAC,,,,,,QB,Jacoby Brissett,fd,7000,jacoby brissett,ARI,QB,classic,00-0033119,auto_exact,high
133647-167031,RB,Ashton,Ashton Jeanty,Jeanty,13.152941535500918,17,7000,MIA@LV,LV,MIA,Q,Ankle,,,,RB/FLEX,Ashton Jeanty,fd,7000,ashton jeanty,LV,RB,classic,00-0040122,auto_exact,high
133647-151794,TE,Brock,Brock Bowers,Bowers,12.516666412353516,12,6800,MIA@LV,LV,MIA,,,,,,TE/FLEX,Brock Bowers,fd,6800,brock bowers,LV,TE,classic,00-0039338,auto_exact,high
133647-22038,QB,Kirk,Kirk Cousins,Cousins,11.154000091552737,10,6700,MIA@LV,LV,MIA,,,,,,QB,Kirk Cousins,fd,6700,kirk cousins,LV,QB,classic,00-0029604,auto_fallback_team_mismatch,medium
133647-175137,QB,Fernando,Fernando Mendoza,Mendoza,,0,6700,MIA@LV,LV,MIA,,,,,,QB,Fernando Mendoza,fd,6700,fernando mendoza,LV,QB,classic,00-0041562,auto_exact,high
133647-87691,QB,Malik,Malik Willis,Willis,12.795000076293944,4,6500,MIA@LV,MIA,LV,,,,,,QB,Malik Willis,fd,6500,malik willis,MIA,QB,classic,00-0038128,auto_fallback_team_mismatch,medium
133647-133472,WR,Ladd,Ladd McConkey,McConkey,9.329412123736214,17,6500,ARI@LAC,LAC,ARI,,,,,,WR/FLEX,Ladd McConkey,fd,6500,ladd mcconkey,LAC,WR,classic,00-0039915,auto_exact,high
133647-169776,WR,Christian,Christian Watson,Watson,11.727272727272728,11,6400,GB@MIN,GB,MIN,,,,,,WR/FLEX,Christian Watson,fd,6400,christian watson,GB,WR,classic,00-0038124,auto_exact,high
133647-89612,WR,Michael,Michael Wilson,Wilson,11.211765064912685,17,6300,ARI@LAC,ARI,LAC,,,,,,WR/FLEX,Michael Wilson,fd,6300,michael wilson,ARI,WR,classic,00-0038559,auto_exact,high
133647-160303,TE,Tucker,Tucker Kraft,Kraft,13.399999618530272,8,6300,GB@MIN,GB,MIN,Q,Knee - acl,,,,TE/FLEX,Tucker Kraft,fd,6300,tucker kraft,GB,TE,classic,00-0038996,auto_exact,high
133647-152575,QB,J.J.,J.J. McCarthy,McCarthy,13.73800048828125,10,6300,GB@MIN,MIN,GB,,,,,,QB,J.J. McCarthy,fd,6300,jj mccarthy,MIN,QB,classic,00-0039923,auto_exact,high
133647-56250,WR,Terry,Terry McLaurin,McLaurin,9.519999694824218,10,6200,WAS@PHI,WAS,PHI,,,,,,WR/FLEX,Terry McLaurin,fd,6200,terry mclaurin,WAS,WR,classic,00-0035659,auto_exact,high
133647-129210,WR,Jordan,Jordan Addison,Addison,8.578571319580078,14,6100,GB@MIN,MIN,GB,,,,,,WR/FLEX,Jordan Addison,fd,6100,jordan addison,MIN,WR,classic,00-0038994,auto_exact,high
133647-89607,QB,Tanner,Tanner McKee,McKee,3.690000057220459,4,6000,WAS@PHI,PHI,WAS,,,,,,QB,Tanner McKee,fd,6000,tanner mckee,PHI,QB,classic,00-0038400,auto_exact,high
133647-160265,QB,Mark,Mark Gronowski,Gronowski,,0,6000,MIA@LV,MIA,LV,,,,,,QB,Mark Gronowski,fd,6000,mark gronowski,MIA,QB,classic,00-0041156,auto_exact,high
133647-102933,QB,Kedon,Kedon Slovis,Slovis,-0.0399999991059303,2,6000,GB@MIN,GB,MIN,,,,,,QB,Kedon Slovis,fd,6000,kedon slovis,GB,QB,classic,00-0039577,auto_fallback_team_mismatch,medium
133647-103444,QB,Jacob,Jacob Clark,Clark,,0,6000,MIA@LV,LV,MIA,,,,,,QB,Jacob Clark,fd,6000,jacob clark,LV,QB,classic,00-0040996,auto_exact,high
133647-14377,QB,Tyrod,Tyrod Taylor,Taylor,10.743333180745443,6,6000,GB@MIN,GB,MIN,,,,,,QB,Tyrod Taylor,fd,6000,tyrod taylor,GB,QB,classic,00-0028118,auto_fallback_team_mismatch,medium
133647-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,WAS@PHI,WAS,PHI,,,,,,QB,Sam Hartman,fd,6000,sam hartman,WAS,QB,classic,00-0039677,auto_exact,high
133647-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,MIA@LV,MIA,LV,,,,,,QB,Kyle McCord,fd,6000,kyle mccord,MIA,QB,classic,00-0040014,auto_exact,high
133647-208467,QB,Cam,Cam Miller,Miller,,0,6000,MIA@LV,MIA,LV,,,,,,QB,Cam Miller,fd,6000,cam miller,MIA,QB,classic,00-0040222,auto_exact,high
133647-152673,QB,Athan,Athan Kaliakmanis,Kaliakmanis,,0,6000,WAS@PHI,WAS,PHI,,,,,,QB,Athan Kaliakmanis,fd,6000,athan kaliakmanis,WAS,QB,classic,00-0041117,auto_exact,high
133647-208491,QB,Cole,Cole Payton,Payton,,0,6000,WAS@PHI,PHI,WAS,,,,,,QB,Cole Payton,fd,6000,cole payton,PHI,QB,classic,00-0040891,auto_exact,high
133647-29358,QB,Marcus,Marcus Mariota,Mariota,13.25,10,6000,WAS@PHI,WAS,PHI,Q,Knee - mcl,,,,QB,Marcus Mariota,fd,6000,marcus mariota,WAS,QB,classic,00-0032268,auto_exact,high
133647-70324,QB,Carson,Carson Wentz,Wentz,16.267999267578126,5,6000,GB@MIN,MIN,GB,,,,,,QB,Carson Wentz,fd,6000,carson wentz,MIN,QB,classic,00-0032950,auto_exact,high
133647-149696,QB,Trey,Trey Lance,Lance,3.634999990463257,4,6000,ARI@LAC,LAC,ARI,,,,,,QB,Trey Lance,fd,6000,trey lance,LAC,QB,classic,00-0037012,auto_exact,high
133647-93382,QB,Aidan,Aidan O'Connell,O'Connell,4.78000020980835,1,6000,MIA@LV,LV,MIA,,,,,,QB,Aidan O'Connell,fd,6000,aidan oconnell,LV,QB,classic,00-0038579,auto_exact,high
133647-120639,WR,Quentin,Quentin Johnston,Johnston,10.87142835344587,14,6000,ARI@LAC,LAC,ARI,,,,,,WR/FLEX,Quentin Johnston,fd,6000,quentin johnston,LAC,WR,classic,00-0038544,auto_exact,high
133647-61798,QB,Gardner,Gardner Minshew II,Minshew II,0.1700000017881393,4,6000,ARI@LAC,ARI,LAC,,,,,,QB,Gardner Minshew II,fd,6000,gardner minshew,ARI,QB,classic,00-0035289,auto_fallback_team_mismatch,medium
133647-119670,QB,Carson,Carson Beck,Beck,,0,6000,ARI@LAC,ARI,LAC,,,,,,QB,Carson Beck,fd,6000,carson beck,ARI,QB,classic,00-0041561,auto_exact,high
133647-14225,QB,Andy,Andy Dalton,Dalton,2.630000114440918,4,6000,WAS@PHI,PHI,WAS,,,,,,QB,Andy Dalton,fd,6000,andy dalton,PHI,QB,classic,00-0027973,auto_fallback_team_mismatch,medium
133647-200653,QB,Max,Max Brosmer,Brosmer,1.1742857524326868,7,6000,GB@MIN,MIN,GB,,,,,,QB,Max Brosmer,fd,6000,max brosmer,MIN,QB,classic,00-0040494,auto_exact,high
133647-129010,QB,DJ,DJ Uiagalelei,Uiagalelei,,0,6000,ARI@LAC,LAC,ARI,,,,,,QB,DJ Uiagalelei,fd,6000,dj uiagalelei,LAC,QB,classic,00-0040464,auto_exact,high
