Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
133104-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,20.02352905273437,17,9100,NO@DET,DET,NO,,,,,,RB/FLEX,Jahmyr Gibbs,fd,9100,jahmyr gibbs,DET,RB,classic,00-0039139,auto_exact,high
133104-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,17.006250381469727,16,8900,TB@CIN,CIN,TB,Q,Knee,,,,WR/FLEX,Ja'Marr Chase,fd,8900,jamarr chase,CIN,WR,classic,00-0036900,auto_exact,high
133104-62239,QB,Josh,Josh Allen,Allen,24.32000054253472,18,8900,BUF@HOU,BUF,HOU,,,,,,QB,Josh Allen,fd,8900,josh allen,BUF,QB,classic,00-0034857,auto_exact,high
133104-136855,RB,Bijan,Bijan Robinson,Robinson,20.723528693704043,17,8800,ATL@PIT,ATL,PIT,,,,,,RB/FLEX,Bijan Robinson,fd,8800,bijan robinson,ATL,RB,classic,00-0038542,auto_exact,high
133104-89675,RB,Jonathan,Jonathan Taylor,Taylor,20.84117575252757,17,8600,BAL@IND,IND,BAL,,,,,,RB/FLEX,Jonathan Taylor,fd,8600,jonathan taylor,IND,RB,classic,00-0036223,auto_exact,high
133104-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.5,17,8600,NO@DET,DET,NO,,,,,,WR/FLEX,Amon-Ra St. Brown,fd,8600,amon ra st brown,DET,WR,classic,00-0036963,auto_exact,high
133104-138820,RB,De'Von,De'Von Achane,Achane,18.831249237060547,16,8500,MIA@LV,MIA,LV,,,,,,RB/FLEX,De'Von Achane,fd,8500,devon achane,MIA,RB,classic,00-0039040,auto_exact,high
133104-63115,QB,Lamar,Lamar Jackson,Jackson,17.066153893103966,13,8400,BAL@IND,BAL,IND,,,,,,QB,Lamar Jackson,fd,8400,lamar jackson,BAL,QB,classic,00-0034796,auto_exact,high
133104-39280,RB,Derrick,Derrick Henry,Henry,17.41176470588235,17,8300,BAL@IND,BAL,IND,,,,,,RB/FLEX,Derrick Henry,fd,8300,derrick henry,BAL,RB,classic,00-0032764,auto_exact,high
133104-69531,QB,Jalen,Jalen Hurts,Hurts,18.834117216222428,17,8300,WAS@PHI,PHI,WAS,,,,,,QB,Jalen Hurts,fd,8300,jalen hurts,PHI,QB,classic,00-0036389,auto_exact,high
133104-63336,QB,Joe,Joe Burrow,Burrow,18.1825008392334,8,8200,TB@CIN,CIN,TB,,,,,,QB,Joe Burrow,fd,8200,joe burrow,CIN,QB,classic,00-0036442,auto_exact,high
133104-85671,WR,Justin,Justin Jefferson,Jefferson,9.911764705882351,17,8100,GB@MIN,MIN,GB,,,,,,WR/FLEX,Justin Jefferson,fd,8100,justin jefferson,MIN,WR,classic,00-0036322,auto_exact,high
133104-64401,RB,Saquon,Saquon Barkley,Barkley,14.141176111557904,17,8100,WAS@PHI,PHI,WAS,,,,,,RB/FLEX,Saquon Barkley,fd,8100,saquon barkley,PHI,RB,classic,00-0034844,auto_exact,high
133104-152113,QB,Caleb,Caleb Williams,Williams,19.67894704718339,19,8000,CHI@CAR,CHI,CAR,,,,,,QB,Caleb Williams,fd,8000,caleb williams,CHI,QB,classic,00-0039918,auto_exact,high
133104-152664,RB,Bucky,Bucky Irving,Irving,12.65,10,7900,TB@CIN,TB,CIN,,,,,,RB/FLEX,Bucky Irving,fd,7900,bucky irving,TB,RB,classic,00-0039361,auto_exact,high
133104-112745,WR,Drake,Drake London,London,15.241666158040363,12,7900,ATL@PIT,ATL,PIT,,,,,,WR/FLEX,Drake London,fd,7900,drake london,ATL,WR,classic,00-0037238,auto_exact,high
133104-102785,QB,Jayden,Jayden Daniels,Daniels,16.754285539899552,7,7900,WAS@PHI,WAS,PHI,,,,,,QB,Jayden Daniels,fd,7900,jayden daniels,WAS,QB,classic,00-0039910,auto_exact,high
133104-91626,RB,James,James Cook III,Cook III,17.62631546823602,19,7800,BUF@HOU,BUF,HOU,,,,,,RB/FLEX,James Cook III,fd,7800,james cook,BUF,RB,classic,00-0037248,auto_exact,high
133104-38435,QB,Jared,Jared Goff,Goff,19.00352926815257,17,7800,NO@DET,DET,NO,,,,,,QB,Jared Goff,fd,7800,jared goff,DET,QB,classic,00-0033106,auto_exact,high
133104-91419,WR,Nico,Nico Collins,Collins,12.706250190734863,16,7700,BUF@HOU,HOU,BUF,,,,,,WR/FLEX,Nico Collins,fd,7700,nico collins,HOU,WR,classic,00-0036554,auto_exact,high
133104-89951,QB,Trevor,Trevor Lawrence,Lawrence,20.808888753255207,18,7700,CLE@JAC,JAC,CLE,,,,,,QB,Trevor Lawrence,fd,7700,trevor lawrence,JAX,QB,classic,00-0036971,auto_exact,high
133104-69189,QB,Justin,Justin Herbert,Herbert,18.937647202435663,17,7600,ARI@LAC,LAC,ARI,,,,,,QB,Justin Herbert,fd,7600,justin herbert,LAC,QB,classic,00-0036355,auto_exact,high
133104-91750,TE,Trey,Trey McBride,McBride,15.405881993910846,17,7600,ARI@LAC,ARI,LAC,,,,,,TE/FLEX,Trey McBride,fd,7600,trey mcbride,ARI,TE,classic,00-0037744,auto_exact,high
133104-89493,RB,Chase,Chase Brown,Brown,15.123529770795036,17,7500,TB@CIN,CIN,TB,,,,,,RB/FLEX,Chase Brown,fd,7500,chase brown,CIN,RB,classic,00-0038597,auto_exact,high
133104-90576,WR,DeVonta,DeVonta Smith,Smith,10.016666836208769,18,7500,WAS@PHI,PHI,WAS,,,,,,WR/FLEX,DeVonta Smith,fd,7500,devonta smith,PHI,WR,classic,00-0036912,auto_exact,high
133104-41535,QB,Baker,Baker Mayfield,Mayfield,16.995294907513788,17,7500,TB@CIN,TB,CIN,,,,,,QB,Baker Mayfield,fd,7500,baker mayfield,TB,QB,classic,00-0034855,auto_exact,high
133104-69017,QB,Jordan,Jordan Love,Love,17.510000228881836,16,7400,GB@MIN,GB,MIN,,,,,,QB,Jordan Love,fd,7400,jordan love,GB,QB,classic,00-0036264,auto_exact,high
133104-87770,WR,Chris,Chris Olave,Olave,14.25,16,7400,NO@DET,NO,DET,,,,,,WR/FLEX,Chris Olave,fd,7400,chris olave,NO,WR,classic,00-0037239,auto_exact,high
133104-63519,QB,Daniel,Daniel Jones,Jones,18.495384803185097,13,7300,BAL@IND,IND,BAL,,,,,,QB,Daniel Jones,fd,7300,daniel jones,IND,QB,classic,00-0035710,auto_exact,high
133104-174215,RB,Omarion,Omarion Hampton,Hampton,12.259999847412107,10,7300,ARI@LAC,LAC,ARI,,,,,,RB/FLEX,Omarion Hampton,fd,7300,omarion hampton,LAC,RB,classic,00-0040666,auto_exact,high
133104-112295,WR,Zay,Zay Flowers,Flowers,12.31176488539752,17,7300,BAL@IND,BAL,IND,Q,Lower body,,,,WR/FLEX,Zay Flowers,fd,7300,zay flowers,BAL,WR,classic,00-0039064,auto_exact,high
133104-72731,RB,Josh,Josh Jacobs,Jacobs,14.087499618530272,16,7200,GB@MIN,GB,MIN,IR,Personal,,,,RB/FLEX,Josh Jacobs,fd,7200,josh jacobs,GB,RB,classic,00-0035700,auto_exact,high
