Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 15,Unnamed: 16,Roster Position,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
132913-12546,D,Arizona,Arizona Cardinals,Cardinals,4.529411764705882,17,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Arizona Cardinals,fd,8000,arizona cardinals,ARI,D,showdown,DST_ARI,team_defense,high
132913-137990,TE,Tip,Tip Reiman,Reiman,1.099999984105428,3,8000,12000,CAR@ARI,ARI,CAR,,Ankle,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Tip Reiman,fd,8000,tip reiman,ARI,TE,showdown,00-0039737,auto_exact,high
132913-158983,TE,Ja'Tavion,Ja'Tavion Sanders,Sanders,3.590909090909091,11,8000,12000,CAR@ARI,CAR,ARI,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Ja'Tavion Sanders,fd,8000,jatavion sanders,CAR,TE,showdown,00-0039356,auto_exact,high
132913-12553,D,Carolina,Carolina Panthers,Panthers,5.944444444444445,18,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Carolina Panthers,fd,8000,carolina panthers,CAR,D,showdown,DST_CAR,team_defense,high
132913-188171,RB,Jeremiyah,Jeremiyah Love,Love,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Jeremiyah Love,fd,8000,jeremiyah love,ARI,RB,showdown,00-0041027,auto_exact,high
132913-89613,WR,Simi,Simi Fehoko,Fehoko,0.0,1,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Simi Fehoko,fd,8000,simi fehoko,ARI,WR,showdown,00-0036646,auto_exact,high
132913-89612,WR,Michael,Michael Wilson,Wilson,11.211765064912685,17,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Michael Wilson,fd,8000,michael wilson,ARI,WR,showdown,00-0038559,auto_exact,high
132913-154124,TE,Mitchell,Mitchell Evans,Evans,2.7642857687813893,14,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Mitchell Evans,fd,8000,mitchell evans,CAR,TE,showdown,00-0040187,auto_exact,high
132913-152593,WR,Harrison,Harrison Wallace III,Wallace III,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Harrison Wallace III,fd,8000,harrison wallace,ARI,WR,showdown,00-0041368,auto_exact,high
132913-102933,QB,Kedon,Kedon Slovis,Slovis,-0.0399999991059303,2,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Kedon Slovis,fd,8000,kedon slovis,ARI,QB,showdown,00-0039577,auto_exact,high
132913-112021,K,Ryan,Ryan Fitzgerald,Fitzgerald,6.611111111111111,18,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Ryan Fitzgerald,fd,8000,ryan fitzgerald,CAR,K,showdown,00-0040279,auto_exact,high
132913-175126,WR,Chris,Chris Brazzell II,Brazzell II,,0,8000,12000,CAR@ARI,CAR,ARI,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Chris Brazzell II,fd,8000,chris brazzell,CAR,WR,showdown,00-0041047,auto_exact,high
132913-64405,WR,Dan,Dan Chisena,Chisena,1.2999999523162842,4,8000,12000,CAR@ARI,CAR,ARI,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Dan Chisena,fd,8000,dan chisena,CAR,WR,showdown,00-0035976,auto_exact,high
132913-30231,QB,Jacoby,Jacoby Brissett,Brissett,17.674285888671875,14,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Jacoby Brissett,fd,8000,jacoby brissett,ARI,QB,showdown,00-0033119,auto_exact,high
132913-114198,WR,Xavier,Xavier Legette,Legette,4.568749904632568,16,8000,12000,CAR@ARI,CAR,ARI,Q,Neck,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Xavier Legette,fd,8000,xavier legette,CAR,WR,showdown,00-0039342,auto_exact,high
132913-152603,RB,Anthony,Anthony Tyus III,Tyus III,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Anthony Tyus III,fd,8000,anthony tyus,CAR,RB,showdown,00-0040394,auto_exact,high
132913-89627,WR,Brycen,Brycen Tremayne,Tremayne,1.7692307692307692,13,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Brycen Tremayne,fd,8000,brycen tremayne,CAR,WR,showdown,00-0038840,auto_exact,high
132913-135325,TE,Rivaldo,Rivaldo Fairweather,Fairweather,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Rivaldo Fairweather,fd,8000,rivaldo fairweather,ARI,TE,showdown,00-0040046,auto_exact,high
132913-80289,WR,Kendrick,Kendrick Bourne,Bourne,5.306666564941406,15,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Kendrick Bourne,fd,8000,kendrick bourne,ARI,WR,showdown,00-0033307,auto_fallback_team_mismatch,medium
132913-112037,WR,Casey,Casey Washington,Washington,2.4799999237060546,5,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Casey Washington,fd,8000,casey washington,CAR,WR,showdown,00-0039394,auto_fallback_team_mismatch,medium
132913-138277,WR,Jalen,Jalen Brooks,Brooks,1.149999976158142,4,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Jalen Brooks,fd,8000,jalen brooks,ARI,WR,showdown,00-0038640,auto_exact,high
