Position,Team,Salary,Id,Nickname,First Name,Last Name,Opponent,AvgPointsPerGame,id_source,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
QB,MIA,7100,1551,Tua Tagovailoa,Tua,Tagovailoa,ATL,13.353333333333332,rotoguru_gid,Tua Tagovailoa,fd,7100,tua tagovailoa,MIA,QB,00-0036212,auto_exact,high
QB,CIN,7200,1550,Joe Burrow,Joe,Burrow,BAL,19.5,rotoguru_gid,Joe Burrow,fd,7200,joe burrow,CIN,QB,00-0036442,auto_exact,high
QB,LA,8100,1340,Matthew Stafford,Matthew,Stafford,DET,22.686666666666667,rotoguru_gid,Matthew Stafford,fd,8100,matthew stafford,LA,QB,00-0026498,auto_exact,high
QB,GB,7900,1252,Aaron Rodgers,Aaron,Rodgers,WAS,19.540000000000003,rotoguru_gid,Aaron Rodgers,fd,7900,aaron rodgers,GB,QB,00-0023459,auto_exact,high
QB,TB,8000,1131,Tom Brady,Tom,Brady,CHI,25.876666666666665,rotoguru_gid,Tom Brady,fd,8000,tom brady,TB,QB,00-0019596,auto_exact,high
QB,PHI,8300,1554,Jalen Hurts,Jalen,Hurts,LV,25.2,rotoguru_gid,Jalen Hurts,fd,8300,jalen hurts,PHI,QB,00-0036389,auto_exact,high
QB,BAL,8400,1527,Lamar Jackson,Lamar,Jackson,CIN,24.606666666666666,rotoguru_gid,Lamar Jackson,fd,8400,lamar jackson,BAL,QB,00-0034796,auto_exact,high
QB,ARI,8700,1537,Kyler Murray,Kyler,Murray,HOU,25.206666666666667,rotoguru_gid,Kyler Murray,fd,8700,kyler murray,ARI,QB,00-0035228,auto_exact,high
QB,NE,6800,1572,Mac Jones,Mac,Jones,NYJ,13.913333333333334,rotoguru_gid,Mac Jones,fd,6800,mac jones,NE,QB,00-0036972,auto_exact,high
QB,WAS,6900,1487,Taylor Heinicke,Taylor,Heinicke,GB,17.433333333333334,rotoguru_gid,Taylor Heinicke,fd,6900,taylor heinicke,WAS,QB,00-0031800,auto_exact,high
QB,TEN,7600,1410,Ryan Tannehill,Ryan,Tannehill,KC,16.663333333333334,rotoguru_gid,Ryan Tannehill,fd,7600,ryan tannehill,TEN,QB,00-0029701,auto_exact,high
QB,IND,6700,1514,Carson Wentz,Carson,Wentz,SF,17.033333333333335,rotoguru_gid,Carson Wentz,fd,6700,carson wentz,IND,QB,00-0032950,auto_exact,high
QB,LV,7400,1441,Derek Carr,Derek,Carr,PHI,19.44,rotoguru_gid,Derek Carr,fd,7400,derek carr,LV,QB,00-0031280,auto_exact,high
QB,ATL,7300,1301,Matt Ryan,Matt,Ryan,MIA,18.576,rotoguru_gid,Matt Ryan,fd,7300,matt ryan,ATL,QB,00-0026143,auto_exact,high
QB,NYG,7000,1539,Daniel Jones,Daniel,Jones,CAR,17.843333333333334,rotoguru_gid,Daniel Jones,fd,7000,daniel jones,NYG,QB,00-0035710,auto_exact,high
QB,NO,7500,1465,Jameis Winston,Jameis,Winston,SEA,18.656,rotoguru_gid,Jameis Winston,fd,7500,jameis winston,NO,QB,00-0031503,auto_exact,high
QB,DEN,7200,1439,Teddy Bridgewater,Teddy,Bridgewater,CLE,16.86,rotoguru_gid,Teddy Bridgewater,fd,7200,teddy bridgewater,DEN,QB,00-0031237,auto_exact,high
QB,DET,6700,1490,Jared Goff,Jared,Goff,LA,15.25,rotoguru_gid,Jared Goff,fd,6700,jared goff,DET,QB,00-0033106,auto_exact,high
QB,CLE,6000,1435,Case Keenum,Case,Keenum,DEN,0.12,rotoguru_gid,Case Keenum,fd,6000,case keenum,CLE,QB,00-0028986,auto_exact,high
QB,SEA,6800,1426,Geno Smith,Geno,Smith,NO,6.933333333333333,rotoguru_gid,Geno Smith,fd,6800,geno smith,SEA,QB,00-0030565,auto_exact,high
QB,NYJ,0,1576,Mike White,Mike,White,NE,,rotoguru_gid,Mike White,fd,0,mike white,NYJ,QB,00-0034401,auto_exact,high
QB,KC,8800,1523,Patrick Mahomes II,Patrick,Mahomes II,TEN,26.98,rotoguru_gid,Patrick Mahomes II,fd,8800,patrick mahomes,KC,QB,00-0033873,auto_exact,high
QB,SF,7200,1452,Jimmy Garoppolo,Jimmy,Garoppolo,IND,14.9,rotoguru_gid,Jimmy Garoppolo,fd,7200,jimmy garoppolo,SF,QB,00-0031345,auto_exact,high
QB,CHI,6500,1567,Justin Fields,Justin,Fields,TB,7.746666666666666,rotoguru_gid,Justin Fields,fd,6500,justin fields,CHI,QB,00-0036945,auto_exact,high
QB,KC,6000,1309,Chad Henne,Chad,Henne,TEN,,rotoguru_gid,Chad Henne,fd,6000,chad henne,KC,QB,00-0026197,auto_exact,high
QB,CAR,7700,1524,Sam Darnold,Sam,Darnold,NYG,20.486666666666665,rotoguru_gid,Sam Darnold,fd,7700,sam darnold,CAR,QB,00-0034869,auto_exact,high
QB,HOU,6400,1574,Davis Mills,Davis,Mills,ARI,10.056,rotoguru_gid,Davis Mills,fd,6400,davis mills,HOU,QB,00-0036898,auto_exact,high
QB,NE,6000,1336,Brian Hoyer,Brian,Hoyer,NYJ,,rotoguru_gid,Brian Hoyer,fd,6000,brian hoyer,NE,QB,00-0026625,auto_exact,high
QB,CAR,6000,1558,P.J. Walker,P.J.,Walker,NYG,0.0,rotoguru_gid,P.J. Walker,fd,6000,pj walker,CAR,QB,00-0033275,auto_exact,high
QB,NYJ,6400,1566,Zach Wilson,Zach,Wilson,NE,11.576,rotoguru_gid,Zach Wilson,fd,6400,zach wilson,NYJ,QB,00-0037013,auto_exact,high
QB,BAL,6100,1562,Tyler Huntley,Tyler,Huntley,CIN,1.0,rotoguru_gid,Tyler Huntley,fd,6100,tyler huntley,BAL,QB,00-0035993,auto_exact,high
QB,TB,6000,1381,Blaine Gabbert,Blaine,Gabbert,CHI,0.62,rotoguru_gid,Blaine Gabbert,fd,6000,blaine gabbert,TB,QB,00-0027948,auto_exact,high
QB,LV,6100,1466,Marcus Mariota,Marcus,Mariota,PHI,3.1,rotoguru_gid,Marcus Mariota,fd,6100,marcus mariota,LV,QB,00-0032268,auto_exact,high
QB,CIN,6100,1504,Brandon Allen,Brandon,Allen,BAL,3.98,rotoguru_gid,Brandon Allen,fd,6100,brandon allen,CIN,QB,00-0032434,auto_exact,high
QB,TEN,6000,1560,Logan Woodside,Logan,Woodside,KC,,rotoguru_gid,Logan Woodside,fd,6000,logan woodside,TEN,QB,00-0034438,auto_exact,high
QB,ARI,6000,1361,Colt McCoy,Colt,McCoy,HOU,-0.25,rotoguru_gid,Colt McCoy,fd,6000,colt mccoy,ARI,QB,00-0027688,auto_exact,high
RB,NO,9200,5562,Alvin Kamara,Alvin,Kamara,SEA,15.919999999999998,rotoguru_gid,Alvin Kamara,fd,9200,alvin kamara,NO,RB,00-0033906,auto_exact,high
RB,DET,7100,5822,D'Andre Swift,D'Andre,Swift,LA,15.316666666666665,rotoguru_gid,D'Andre Swift,fd,7100,dandre swift,DET,RB,00-0036275,auto_exact,high
RB,NE,6800,5715,Damien Harris,Damien,Harris,NYJ,9.4,rotoguru_gid,Damien Harris,fd,6800,damien harris,NE,RB,00-0035657,auto_exact,high
RB,CLE,5700,5746,D'Ernest Johnson,D'Ernest,Johnson,DEN,0.3833333333333333,rotoguru_gid,D'Ernest Johnson,fd,5700,dernest johnson,CLE,RB,00-0035628,auto_exact,high
RB,NE,5000,2874,Brandon Bolden,Brandon,Bolden,NYJ,3.016666666666666,rotoguru_gid,Brandon Bolden,fd,5000,brandon bolden,NE,RB,00-0029239,auto_exact,high
RB,SF,5800,5947,Elijah Mitchell,Elijah,Mitchell,IND,9.966666666666669,rotoguru_gid,Elijah Mitchell,fd,5800,elijah mitchell,SF,RB,00-0036567,auto_exact,high
RB,IND,8800,5820,Jonathan Taylor,Jonathan,Taylor,SF,17.616666666666667,rotoguru_gid,Jonathan Taylor,fd,8800,jonathan taylor,IND,RB,00-0036223,auto_exact,high
RB,TB,7000,5534,Leonard Fournette,Leonard,Fournette,CHI,14.15,rotoguru_gid,Leonard Fournette,fd,7000,leonard fournette,TB,RB,00-0033856,auto_exact,high
RB,CHI,6000,5912,Khalil Herbert,Khalil,Herbert,TB,4.4,rotoguru_gid,Khalil Herbert,fd,6000,khalil herbert,CHI,RB,00-0036906,auto_exact,high
RB,MIA,5600,5789,Myles Gaskin,Myles,Gaskin,ATL,9.2,rotoguru_gid,Myles Gaskin,fd,5600,myles gaskin,MIA,RB,00-0035311,auto_exact,high
RB,LV,5500,5446,Kenyan Drake,Kenyan,Drake,PHI,7.716666666666666,rotoguru_gid,Kenyan Drake,fd,5500,kenyan drake,LV,RB,00-0033118,auto_exact,high
RB,TEN,11000,5445,Derrick Henry,Derrick,Henry,KC,27.01666666666667,rotoguru_gid,Derrick Henry,fd,11000,derrick henry,TEN,RB,00-0032764,auto_exact,high
RB,NE,4900,5850,J.J. Taylor,J.J.,Taylor,NYJ,0.1,rotoguru_gid,J.J. Taylor,fd,4900,jj taylor,NE,RB,00-0036096,auto_exact,high
RB,LV,6900,5712,Josh Jacobs,Josh,Jacobs,PHI,13.525,rotoguru_gid,Josh Jacobs,fd,6900,josh jacobs,LV,RB,00-0035700,auto_exact,high
RB,DEN,5700,5905,Javonte Williams,Javonte,Williams,CLE,8.333333333333334,rotoguru_gid,Javonte Williams,fd,5700,javonte williams,DEN,RB,00-0036997,auto_exact,high
RB,CIN,5400,5538,Samaje Perine,Samaje,Perine,BAL,4.720000000000001,rotoguru_gid,Samaje Perine,fd,5400,samaje perine,CIN,RB,00-0033526,auto_exact,high
RB,NYG,5800,5468,Devontae Booker,Devontae,Booker,CAR,6.660000000000001,rotoguru_gid,Devontae Booker,fd,5800,devontae booker,NYG,RB,00-0032972,auto_exact,high
RB,ATL,8000,5208,Cordarrelle Patterson,Cordarrelle,Patterson,MIA,17.86,rotoguru_gid,Cordarrelle Patterson,fd,8000,cordarrelle patterson,ATL,RB,00-0030578,auto_exact,high
RB,NYJ,5600,5907,Michael Carter,Michael,Carter,NE,7.880000000000001,rotoguru_gid,Michael Carter,fd,5600,michael carter,NYJ,RB,00-0036924,auto_exact,high
RB,ARI,6500,5537,James Conner,James,Conner,HOU,10.516666666666667,rotoguru_gid,James Conner,fd,6500,james conner,ARI,RB,00-0033553,auto_exact,high
RB,PHI,5200,5910,Kenny Gainwell,Kenny,Gainwell,LV,7.3,rotoguru_gid,Kenny Gainwell,fd,5200,kenny gainwell,PHI,RB,00-0036919,auto_exact,high
RB,CIN,7200,5535,Joe Mixon,Joe,Mixon,BAL,14.583333333333334,rotoguru_gid,Joe Mixon,fd,7200,joe mixon,CIN,RB,00-0033897,auto_exact,high
RB,BAL,5700,2930,Devonta Freeman,Devonta,Freeman,CIN,4.08,rotoguru_gid,Devonta Freeman,fd,5700,devonta freeman,BAL,RB,00-0031285,auto_exact,high
RB,DEN,5900,2991,Melvin Gordon,Melvin,Gordon,CLE,10.616666666666667,rotoguru_gid,Melvin Gordon,fd,5900,melvin gordon,DEN,RB,00-0032144,auto_exact,high
RB,NYJ,5100,5742,Ty Johnson,Ty,Johnson,NE,4.720000000000001,rotoguru_gid,Ty Johnson,fd,5100,ty johnson,NYJ,RB,00-0035537,auto_exact,high
RB,ARI,6200,5619,Chase Edmonds,Chase,Edmonds,HOU,9.816666666666666,rotoguru_gid,Chase Edmonds,fd,6200,chase edmonds,ARI,RB,00-0034681,auto_exact,high
RB,PHI,4500,5624,Boston Scott,Boston,Scott,LV,0.25,rotoguru_gid,Boston Scott,fd,4500,boston scott,PHI,RB,00-0034414,auto_exact,high
RB,LA,8000,5716,Darrell Henderson,Darrell,Henderson,DET,17.02,rotoguru_gid,Darrell Henderson,fd,8000,darrell henderson,LA,RB,00-0035664,auto_exact,high
RB,HOU,5000,5395,David Johnson,David,Johnson,ARI,5.266666666666667,rotoguru_gid,David Johnson,fd,5000,david johnson,HOU,RB,00-0032187,auto_exact,high
RB,CAR,7300,5911,Chuba Hubbard,Chuba,Hubbard,NYG,8.133333333333333,rotoguru_gid,Chuba Hubbard,fd,7300,chuba hubbard,CAR,RB,00-0036555,auto_exact,high
RB,WAS,5700,5586,J.D. McKissic,J.D.,McKissic,GB,9.0,rotoguru_gid,J.D. McKissic,fd,5700,jd mckissic,WAS,RB,00-0032602,auto_exact,high
RB,CLE,4600,5961,Johnny Stanton,Johnny,Stanton,DEN,1.1,rotoguru_gid,Johnny Stanton,fd,4600,johnny stanton,CLE,RB,00-0034311,auto_exact,high
RB,WAS,6600,5827,Antonio Gibson,Antonio,Gibson,GB,12.266666666666666,rotoguru_gid,Antonio Gibson,fd,6600,antonio gibson,WAS,RB,00-0036328,auto_exact,high
RB,KC,6700,5708,Darrel Williams,Darrel,Williams,TEN,8.716666666666667,rotoguru_gid,Darrel Williams,fd,6700,darrel williams,KC,RB,00-0034301,auto_exact,high
RB,GB,8500,5543,Aaron Jones,Aaron,Jones,WAS,16.6,rotoguru_gid,Aaron Jones,fd,8500,aaron jones,GB,RB,00-0033293,auto_exact,high
RB,MIA,5100,5886,Salvon Ahmed,Salvon,Ahmed,ATL,2.5166666666666666,rotoguru_gid,Salvon Ahmed,fd,5100,salvon ahmed,MIA,RB,00-0036020,auto_exact,high
RB,DET,5300,5541,Jamaal Williams,Jamaal,Williams,LA,9.233333333333333,rotoguru_gid,Jamaal Williams,fd,5300,jamaal williams,DET,RB,00-0033948,auto_exact,high
RB,CLE,5300,5952,Demetric Felton,Demetric,Felton,DEN,3.1666666666666665,rotoguru_gid,Demetric Felton,fd,5300,demetric felton,CLE,RB,00-0036654,auto_exact,high
RB,SEA,6500,5450,Alex Collins,Alex,Collins,NO,8.52,rotoguru_gid,Alex Collins,fd,6500,alex collins,SEA,RB,00-0032426,auto_exact,high
RB,BAL,5500,5909,Ty'Son Williams,Ty'Son,Williams,CIN,8.125,rotoguru_gid,Ty'Son Williams,fd,5500,tyson williams,BAL,RB,00-0036457,auto_exact,high
RB,TB,5100,5617,Ronald Jones,Ronald,Jones,CHI,3.433333333333333,rotoguru_gid,Ronald Jones,fd,5100,ronald jones,TB,RB,00-0034816,auto_exact,high
RB,NE,4500,5778,Jakob Johnson,Jakob,Johnson,NYJ,0.0,rotoguru_gid,Jakob Johnson,fd,4500,jakob johnson,NE,RB,00-0035726,auto_exact,high
RB,HOU,5400,2793,Mark Ingram,Mark,Ingram,ARI,6.183333333333334,rotoguru_gid,Mark Ingram,fd,5400,mark ingram,HOU,RB,00-0027966,auto_fallback_team_mismatch,medium
RB,LV,4700,5490,Jalen Richard,Jalen,Richard,PHI,0.8500000000000001,rotoguru_gid,Jalen Richard,fd,4700,jalen richard,LV,RB,00-0033025,auto_exact,high
RB,LV,4600,5764,Alec Ingold,Alec,Ingold,PHI,1.8,rotoguru_gid,Alec Ingold,fd,4600,alec ingold,LV,RB,00-0035125,auto_exact,high
RB,PHI,5900,5714,Miles Sanders,Miles,Sanders,LV,8.35,rotoguru_gid,Miles Sanders,fd,5900,miles sanders,PHI,RB,00-0035243,auto_exact,high
RB,SF,5000,5865,JaMycal Hasty,JaMycal,Hasty,IND,8.100000000000001,rotoguru_gid,JaMycal Hasty,fd,5000,jamycal hasty,SF,RB,00-0035806,auto_exact,high
RB,TEN,5200,5826,Darrynton Evans,Darrynton,Evans,KC,0.0,rotoguru_gid,Darrynton Evans,fd,5200,darrynton evans,TEN,RB,00-0036297,auto_exact,high
RB,KC,5000,2935,Jerick McKinnon,Jerick,McKinnon,TEN,1.0666666666666669,rotoguru_gid,Jerick McKinnon,fd,5000,jerick mckinnon,KC,RB,00-0031376,auto_exact,high
RB,TB,4500,5823,Ke'Shawn Vaughn,Ke'Shawn,Vaughn,CHI,0.0,rotoguru_gid,Ke'Shawn Vaughn,fd,4500,keshawn vaughn,TB,RB,00-0036450,auto_exact,high
RB,NYG,5000,5588,Elijhaa Penny,Elijhaa,Penny,CAR,1.6,rotoguru_gid,Elijhaa Penny,fd,5000,elijhaa penny,NYG,RB,00-0032813,auto_exact,high
RB,CAR,4900,5620,Royce Freeman,Royce,Freeman,NYG,0.9666666666666668,rotoguru_gid,Royce Freeman,fd,4900,royce freeman,CAR,RB,00-0034838,auto_fallback_team_mismatch,medium
RB,IND,5300,5623,Nyheim Hines,Nyheim,Hines,SF,5.816666666666666,rotoguru_gid,Nyheim Hines,fd,5300,nyheim hines,IND,RB,00-0034367,auto_exact,high
RB,TB,4900,2889,Giovani Bernard,Giovani,Bernard,CHI,6.459999999999999,rotoguru_gid,Giovani Bernard,fd,4900,giovani bernard,TB,RB,00-0030456,auto_exact,high
RB,TEN,5500,5542,Jeremy McNichols,Jeremy,McNichols,KC,5.716666666666666,rotoguru_gid,Jeremy McNichols,fd,5500,jeremy mcnichols,TEN,RB,00-0033955,auto_exact,high
RB,MIA,5200,5441,Malcolm Brown,Malcolm,Brown,ATL,3.266666666666666,rotoguru_gid,Malcolm Brown,fd,5200,malcolm brown,MIA,RB,00-0031806,auto_exact,high
RB,SEA,5200,5738,Travis Homer,Travis,Homer,NO,2.9,rotoguru_gid,Travis Homer,fd,5200,travis homer,SEA,RB,00-0035594,auto_exact,high
RB,CHI,6100,2957,Damien Williams,Damien,Williams,TB,7.359999999999999,rotoguru_gid,Damien Williams,fd,6100,damien williams,CHI,RB,00-0030874,auto_exact,high
RB,CLE,4500,5627,John Kelly,John,Kelly,DEN,,rotoguru_gid,John Kelly,fd,4500,john kelly,CLE,RB,00-0034808,auto_exact,high
RB,KC,0,5963,Derrick Gore,Derrick,Gore,TEN,,rotoguru_gid,Derrick Gore,fd,0,derrick gore,KC,RB,00-0035715,auto_exact,high
RB,ATL,4500,5492,Keith Smith,Keith,Smith,MIA,1.02,rotoguru_gid,Keith Smith,fd,4500,keith smith,ATL,RB,00-0030968,auto_exact,high
RB,ATL,6300,5320,Mike Davis,Mike,Davis,MIA,9.64,rotoguru_gid,Mike Davis,fd,6300,mike davis,ATL,RB,00-0032063,auto_exact,high
RB,CHI,4700,5815,Ryan Nall,Ryan,Nall,TB,0.0,rotoguru_gid,Ryan Nall,fd,4700,ryan nall,CHI,RB,00-0034597,auto_exact,high
RB,NO,4500,5813,Devine Ozigbo,Devine,Ozigbo,SEA,0.0,rotoguru_gid,Devine Ozigbo,fd,4500,devine ozigbo,NO,RB,00-0035184,auto_exact,high
RB,BAL,5200,2888,Le'Veon Bell,Le'Veon,Bell,CIN,4.45,rotoguru_gid,Le'Veon Bell,fd,5200,leveon bell,BAL,RB,00-0030496,auto_fallback_team_mismatch,medium
RB,SEA,5000,5618,Rashaad Penny,Rashaad,Penny,NO,0.8,rotoguru_gid,Rashaad Penny,fd,5000,rashaad penny,SEA,RB,00-0034750,auto_exact,high
RB,HOU,4900,5630,Phillip Lindsay,Phillip,Lindsay,ARI,4.3500000000000005,rotoguru_gid,Phillip Lindsay,fd,4900,phillip lindsay,HOU,RB,00-0034109,auto_fallback_team_mismatch,medium
RB,ARI,4500,5915,Eno Benjamin,Eno,Benjamin,HOU,0.0,rotoguru_gid,Eno Benjamin,fd,4500,eno benjamin,ARI,RB,00-0036383,auto_exact,high
RB,ARI,4500,5903,Jonathan Ward,Jonathan,Ward,HOU,0.2333333333333333,rotoguru_gid,Jonathan Ward,fd,4500,jonathan ward,ARI,RB,00-0035924,auto_exact,high
RB,IND,4900,5548,Marlon Mack,Marlon,Mack,SF,2.875,rotoguru_gid,Marlon Mack,fd,4900,marlon mack,IND,RB,00-0033951,auto_exact,high
RB,LA,5300,5615,Sony Michel,Sony,Michel,DET,4.75,rotoguru_gid,Sony Michel,fd,5300,sony michel,LA,RB,00-0034845,auto_exact,high
RB,NO,4800,5392,Ty Montgomery,Ty,Montgomery,SEA,1.64,rotoguru_gid,Ty Montgomery,fd,4800,ty montgomery,NO,RB,00-0032200,auto_fallback_name_only_position_mismatch,low
RB,NO,4500,5644,Alex Armah,Alex,Armah,SEA,0.175,rotoguru_gid,Alex Armah,fd,4500,alex armah,NO,RB,00-0033296,auto_fallback_team_mismatch,medium
RB,GB,4600,5914,Kylin Hill,Kylin,Hill,WAS,0.5333333333333333,rotoguru_gid,Kylin Hill,fd,4600,kylin hill,GB,RB,00-0036669,auto_exact,high
RB,ATL,4800,5547,Wayne Gallman,Wayne,Gallman,MIA,1.0333333333333334,rotoguru_gid,Wayne Gallman,fd,4800,wayne gallman,ATL,RB,00-0033950,auto_fallback_team_mismatch,medium
RB,SEA,4500,5663,Nick Bellore,Nick,Bellore,NO,0.0,rotoguru_gid,Nick Bellore,fd,4500,nick bellore,SEA,RB,00-0028292,auto_fallback_name_only_position_mismatch,low
RB,HOU,4500,2890,Rex Burkhead,Rex,Burkhead,ARI,0.4,rotoguru_gid,Rex Burkhead,fd,4500,rex burkhead,HOU,RB,00-0030288,auto_exact,high
RB,SF,5500,5908,Trey Sermon,Trey,Sermon,IND,5.2,rotoguru_gid,Trey Sermon,fd,5500,trey sermon,SF,RB,00-0036984,auto_exact,high
