Id,Position,First Name,Last Name,Nickname,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
200000,QB,Spencer,Rattler,Spencer Rattler,0.0,,6200,SYNTHETIC NO@LA 08/03/2026 05:56PM ET,NO,LA,,,Spencer Rattler,fd,6200,spencer rattler,NO,QB,00-0039376,auto_exact,high
200001,QB,Tyler,Shough,Tyler Shough,0.0,,5500,SYNTHETIC NO@LA 08/03/2026 05:56PM ET,NO,LA,,,Tyler Shough,fd,5500,tyler shough,NO,QB,00-0040743,auto_exact,high
200002,RB,Evan,Hull,Evan Hull,0.0,,3700,SYNTHETIC NO@LA 08/03/2026 05:56PM ET,NO,LA,,,Evan Hull,fd,3700,evan hull,NO,RB,00-0038397,auto_exact,high
200003,RB,Audric,Estimé,Audric Estimé,0.0,,5500,SYNTHETIC NO@LA 08/03/2026 05:56PM ET,NO,LA,,,Audric Estimé,fd,5500,audric estimé,NO,RB,00-0039373,auto_exact,high
200004,RB,Alvin,Kamara,Alvin Kamara,0.0,,5300,SYNTHETIC NO@LA 08/03/2026 05:56PM ET,NO,LA,,,Alvin Kamara,fd,5300,alvin kamara,NO,RB,00-0033906,auto_exact,high
200005,RB,Devin,Neal,Devin Neal,0.0,,5200,SYNTHETIC NO@LA 08/03/2026 05:56PM ET,NO,LA,,,Devin Neal,fd,5200,devin neal,NO,RB,00-0040202,auto_exact,high
200006,WR,Kevin,Austin Jr.,Kevin Austin Jr.,0.0,,7800,SYNTHETIC NO@LA 08/03/2026 05:56PM ET,NO,LA,,,Kevin Austin Jr.,fd,7800,kevin austin,NO,WR,00-0037231,auto_exact,high
200007,WR,Dante,Pettis,Dante Pettis,0.0,,7400,SYNTHETIC NO@LA 08/03/2026 05:56PM ET,NO,LA,,,Dante Pettis,fd,7400,dante pettis,NO,WR,00-0034860,auto_exact,high
200008,WR,Ronnie,Bell,Ronnie Bell,0.0,,6200,SYNTHETIC NO@LA 08/03/2026 05:56PM ET,NO,LA,,,Ronnie Bell,fd,6200,ronnie bell,NO,WR,00-0038647,auto_exact,high
200009,WR,Chris,Olave,Chris Olave,0.0,,8800,SYNTHETIC NO@LA 08/03/2026 05:56PM ET,NO,LA,,,Chris Olave,fd,8800,chris olave,NO,WR,00-0037239,auto_exact,high
