team,opponent,home_team,kickoff_utc,indoor,wind_mph,gust_mph,precip_mm_hr,precip_prob,temp_f,pass_eff_factor,pass_vol_factor,rush_vol_factor,kicker_factor,note,fetched_utc
GB,ATL,GB,2026-09-25T00:15:00+00:00,False,3.4,8.6,0.0,0.0,58.4,1.0,1.0,1.0,1.0,,2026-09-24T23:00:41.795444+00:00
ATL,GB,GB,2026-09-25T00:15:00+00:00,False,3.4,8.6,0.0,0.0,58.4,1.0,1.0,1.0,1.0,,2026-09-24T23:00:41.795444+00:00
BUF,LAC,BUF,2026-09-27T17:00:00+00:00,False,10.8,20.7,0.0,0.0,60.8,0.9883,0.9961,1.0041,0.9904,,2026-09-24T23:00:41.795444+00:00
LAC,BUF,BUF,2026-09-27T17:00:00+00:00,False,10.8,20.7,0.0,0.0,60.8,0.9883,0.9961,1.0041,0.9904,,2026-09-24T23:00:41.795444+00:00
CLE,CAR,CLE,2026-09-27T17:00:00+00:00,False,9.2,14.6,0.0,0.0,67.3,0.9947,1.0,1.0,0.9999,,2026-09-24T23:00:41.795444+00:00
CAR,CLE,CLE,2026-09-27T17:00:00+00:00,False,9.2,14.6,0.0,0.0,67.3,0.9947,1.0,1.0,0.9999,,2026-09-24T23:00:41.795444+00:00
DET,NYJ,DET,2026-09-27T17:00:00+00:00,True,,,,,,1.0,1.0,1.0,1.0,indoor/retractable -- neutral,2026-09-24T23:00:41.795444+00:00
NYJ,DET,DET,2026-09-27T17:00:00+00:00,True,,,,,,1.0,1.0,1.0,1.0,indoor/retractable -- neutral,2026-09-24T23:00:41.795444+00:00
IND,HOU,IND,2026-09-27T17:00:00+00:00,True,,,,,,1.0,1.0,1.0,1.0,indoor/retractable -- neutral,2026-09-24T23:00:41.795444+00:00
HOU,IND,IND,2026-09-27T17:00:00+00:00,True,,,,,,1.0,1.0,1.0,1.0,indoor/retractable -- neutral,2026-09-24T23:00:41.795444+00:00
JAX,NE,JAX,2026-09-27T17:00:00+00:00,False,6.4,7.2,0.0,0.0,87.1,0.999,1.0,1.0,1.0,,2026-09-24T23:00:41.795444+00:00
NE,JAX,JAX,2026-09-27T17:00:00+00:00,False,6.4,7.2,0.0,0.0,87.1,0.999,1.0,1.0,1.0,,2026-09-24T23:00:41.795444+00:00
MIA,KC,MIA,2026-09-27T17:00:00+00:00,False,9.5,6.7,0.15,6.0,84.9,0.9963,1.0,1.0,0.9995,,2026-09-24T23:00:41.795444+00:00
KC,MIA,MIA,2026-09-27T17:00:00+00:00,False,9.5,6.7,0.15,6.0,84.9,0.9963,1.0,1.0,0.9995,,2026-09-24T23:00:41.795444+00:00
NYG,TEN,NYG,2026-09-27T17:00:00+00:00,False,17.4,33.3,0.05,64.0,59.1,0.9526,0.9759,1.0296,0.9509,,2026-09-24T23:00:41.795444+00:00
TEN,NYG,NYG,2026-09-27T17:00:00+00:00,False,17.4,33.3,0.05,64.0,59.1,0.9526,0.9759,1.0296,0.9509,,2026-09-24T23:00:41.795444+00:00
PIT,CIN,PIT,2026-09-27T17:00:00+00:00,False,6.9,19.6,0.0,0.0,63.0,0.9979,1.0,1.0,1.0,,2026-09-24T23:00:41.795444+00:00
CIN,PIT,PIT,2026-09-27T17:00:00+00:00,False,6.9,19.6,0.0,0.0,63.0,0.9979,1.0,1.0,1.0,,2026-09-24T23:00:41.795444+00:00
WAS,SEA,WAS,2026-09-27T17:00:00+00:00,False,10.0,18.5,0.0,20.0,69.9,0.9915,0.9978,1.0022,0.9948,,2026-09-24T23:00:41.795444+00:00
SEA,WAS,WAS,2026-09-27T17:00:00+00:00,False,10.0,18.5,0.0,20.0,69.9,0.9915,0.9978,1.0022,0.9948,,2026-09-24T23:00:41.795444+00:00
SF,ARI,SF,2026-09-27T20:05:00+00:00,False,9.9,11.7,0.0,0.0,71.8,0.9943,0.9997,1.0003,0.9992,,2026-09-24T23:00:41.795444+00:00
ARI,SF,SF,2026-09-27T20:05:00+00:00,False,9.9,11.7,0.0,0.0,71.8,0.9943,0.9997,1.0003,0.9992,,2026-09-24T23:00:41.795444+00:00
TB,MIN,TB,2026-09-27T20:05:00+00:00,False,5.5,4.9,0.0,0.0,83.0,1.0,1.0,1.0,1.0,,2026-09-24T23:00:41.795444+00:00
MIN,TB,TB,2026-09-27T20:05:00+00:00,False,5.5,4.9,0.0,0.0,83.0,1.0,1.0,1.0,1.0,,2026-09-24T23:00:41.795444+00:00
DAL,BAL,DAL,2026-09-27T20:25:00+00:00,True,,,,,,1.0,1.0,1.0,1.0,indoor/retractable -- neutral,2026-09-24T23:00:41.795444+00:00
BAL,DAL,DAL,2026-09-27T20:25:00+00:00,True,,,,,,1.0,1.0,1.0,1.0,indoor/retractable -- neutral,2026-09-24T23:00:41.795444+00:00
NO,LV,NO,2026-09-27T20:25:00+00:00,True,,,,,,1.0,1.0,1.0,1.0,indoor/retractable -- neutral,2026-09-24T23:00:41.795444+00:00
LV,NO,NO,2026-09-27T20:25:00+00:00,True,,,,,,1.0,1.0,1.0,1.0,indoor/retractable -- neutral,2026-09-24T23:00:41.795444+00:00
DEN,LA,DEN,2026-09-28T00:20:00+00:00,False,9.0,11.3,0.0,0.0,77.6,0.9966,1.0,1.0,1.0,,2026-09-24T23:00:41.795444+00:00
LA,DEN,DEN,2026-09-28T00:20:00+00:00,False,9.0,11.3,0.0,0.0,77.6,0.9966,1.0,1.0,1.0,,2026-09-24T23:00:41.795444+00:00
CHI,PHI,CHI,2026-09-29T00:15:00+00:00,False,,,,,,1.0,1.0,1.0,1.0,forecast failed (ReadTimeout) -- neutral,2026-09-24T23:00:41.795444+00:00
PHI,CHI,CHI,2026-09-29T00:15:00+00:00,False,,,,,,1.0,1.0,1.0,1.0,forecast failed (ReadTimeout) -- neutral,2026-09-24T23:00:41.795444+00:00
