site,season,week,status,detail,n_lineups,n_field,pool_size,our_best_score,our_median_score,field_median_score,field_pool_fingerprint,field_pool_n,median_percentile,max_percentile,beat_rate_p44,beat_rate_p50,top_rate_p90,top_rate_p99,lam,sigma_recal,anchor,engine,dst_model,arm,volume_prior,field_pinned
dk,2018,1,SKIP,"week 1 not backtestable -- no prior-week usage data. For the legacy engine, --salary-anchor-cold-start makes it buildable; for the stat-line engine, --volume-prior (Session 10.3b).",,,,,,,,,,,,,,,,,,,,,,
dk,2018,2,OK,,3.0,2000.0,237.0,153.18,134.74,128.22,ea479b74b392,217.0,59.9,83.7,0.6667,0.6667,0.0,0.0,-0.095,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,2,OK,,3.0,2000.0,237.0,153.18,134.74,128.22,ea479b74b392,217.0,59.9,83.7,0.6667,0.6667,0.0,0.0,-0.03,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,2,OK,,3.0,2000.0,237.0,153.18,134.74,128.22,ea479b74b392,217.0,59.9,83.7,0.6667,0.6667,0.0,0.0,-0.014,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,2,OK,,3.0,2000.0,237.0,153.18,134.74,128.22,ea479b74b392,217.0,59.9,83.7,0.6667,0.6667,0.0,0.0,-0.005,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,2,OK,,3.0,2000.0,237.0,153.18,134.74,128.22,ea479b74b392,217.0,59.9,83.7,0.6667,0.6667,0.0,0.0,-0.003,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,2,OK,,3.0,2000.0,237.0,153.18,134.74,128.22,ea479b74b392,217.0,59.9,83.7,0.6667,0.6667,0.0,0.0,0.0,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,2,OK,,3.0,2000.0,237.0,153.18,134.74,128.22,ea479b74b392,217.0,59.9,83.7,0.6667,0.6667,0.0,0.0,0.039,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,2,OK,,3.0,2000.0,237.0,153.18,134.74,128.22,ea479b74b392,217.0,59.9,83.7,1.0,1.0,0.0,0.0,0.063,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,2,OK,,3.0,2000.0,237.0,150.68,135.14,128.22,ea479b74b392,217.0,60.6,81.5,1.0,1.0,0.0,0.0,0.104,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,2,OK,,3.0,2000.0,237.0,151.98,135.14,128.22,ea479b74b392,217.0,60.6,82.6,0.6667,0.6667,0.0,0.0,0.139,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,2,OK,,3.0,2000.0,237.0,154.84,122.98,128.22,ea479b74b392,217.0,41.9,85.3,0.3333,0.3333,0.0,0.0,0.188,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,3,OK,,3.0,2000.0,261.0,195.66,118.54,115.64,5983f65d1ae2,252.0,54.5,99.8,0.6667,0.6667,1.0,1.0,-0.095,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,3,OK,,3.0,2000.0,261.0,203.46,111.94,115.64,5983f65d1ae2,252.0,44.1,100.0,0.6667,0.3333,1.0,1.0,-0.03,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,3,OK,,3.0,2000.0,261.0,203.46,118.26,115.64,5983f65d1ae2,252.0,54.1,100.0,1.0,0.6667,1.0,1.0,-0.014,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,3,OK,,3.0,2000.0,261.0,203.46,118.26,115.64,5983f65d1ae2,252.0,54.1,100.0,1.0,0.6667,1.0,1.0,-0.005,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,3,OK,,3.0,2000.0,261.0,203.46,118.26,115.64,5983f65d1ae2,252.0,54.1,100.0,1.0,0.6667,1.0,1.0,-0.003,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,3,OK,,3.0,2000.0,261.0,203.46,118.26,115.64,5983f65d1ae2,252.0,54.1,100.0,1.0,0.6667,1.0,1.0,0.0,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,3,OK,,3.0,2000.0,261.0,203.46,119.06,115.64,5983f65d1ae2,252.0,55.2,100.0,1.0,0.6667,1.0,1.0,0.039,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,3,OK,,3.0,2000.0,261.0,162.86,153.16,115.64,5983f65d1ae2,252.0,93.2,96.5,1.0,0.6667,1.0,0.0,0.063,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,3,OK,,3.0,2000.0,261.0,162.86,154.96,115.64,5983f65d1ae2,252.0,93.9,96.5,1.0,0.6667,1.0,0.0,0.104,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,3,OK,,3.0,2000.0,261.0,195.86,129.16,115.64,5983f65d1ae2,252.0,70.2,99.8,0.6667,0.6667,1.0,1.0,0.139,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,3,OK,,3.0,2000.0,261.0,170.06,125.24,115.64,5983f65d1ae2,252.0,64.5,98.0,1.0,0.6667,1.0,0.0,0.188,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,4,OK,,3.0,2000.0,242.0,202.8,151.96,123.78,c4eb82507edb,233.0,82.8,99.8,0.6667,0.6667,1.0,1.0,-0.095,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,4,OK,,3.0,2000.0,242.0,218.8,144.28,123.78,c4eb82507edb,233.0,75.2,100.0,1.0,1.0,1.0,1.0,-0.03,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
dk,2018,4,OK,,3.0,2000.0,242.0,216.36,187.08,123.78,c4eb82507edb,233.0,98.4,100.0,0.6667,0.6667,1.0,1.0,-0.014,True,anchor OFF,statline,distributional,stat-line MC engine (Session 10.3a) | anchor OFF | DISTRIBUTIONAL DST (Session 10.4) | volume prior off,False,True
