player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,chalk_score,estimated_ownership_pct
00-0033908,Cooper Kupp,WR,LA,7800,5552,30.399999999999995,30.8375,1.1442766672050886,1.192156862745098,41.76879076867328,ARI,28.5,53.5,87.78188662843684,17.565522176502572
00-0034857,Josh Allen,QB,BUF,8000,1529,23.69333333333333,25.79,1.101740950175876,1.3908496732026143,37.91304236885397,HOU,33.25,47.5,88.60876796958536,17.589161476139783
00-0030506,Travis Kelce,TE,KC,8100,4582,22.3,21.48125,1.347518949485227,1.2758169934640522,37.63409050390751,PHI,30.5,53.5,88.02814688976287,12.82097350123474
00-0032764,Derrick Henry,RB,TEN,8800,5445,25.933333333333337,26.06875,1.375,1.0457516339869282,37.38711873638344,NYJ,25.0,44.5,80.63578368829128,11.12370236931895
00-0036389,Jalen Hurts,QB,PHI,6900,1554,23.7,22.98875,1.3489469700342849,0.962091503267974,30.2965730820461,KC,23.0,53.5,67.07645241772603,4.186207461816656
00-0035228,Kyler Murray,QB,ARI,7800,1537,28.4,26.845,1.0240883387506123,1.0457516339869282,29.58209687543926,LA,25.0,53.5,71.8165617203279,5.741970651624919
00-0033873,Patrick Mahomes II,QB,KC,8100,1523,26.73333333333333,25.845,0.8377933122578923,1.2758169934640522,28.099726412719534,PHI,30.5,53.5,94.48229773078292,26.019637408328023
00-0029263,Russell Wilson,QB,SEA,7100,1412,22.33333333333333,21.32375,1.242441782804221,1.035294117647059,28.077893126385423,SF,24.75,52.0,70.06772009029345,5.110069620603661
00-0031381,Davante Adams,WR,GB,7900,5263,20.633333333333336,22.58125,1.2013122643243457,1.077124183006536,27.959024954080935,PIT,25.75,45.0,81.5846921750347,11.62074329935914
00-0029604,Kirk Cousins,QB,MIN,6400,1415,24.14,24.39375,1.0629146444632442,1.0666666666666669,27.51319126704959,CLE,25.5,52.0,68.88558868955684,4.722811450003991
00-0036251,Zack Moss,RB,BUF,5300,5824,16.75,16.975,1.0963855421686748,1.3908496732026143,25.7137522639578,HOU,33.25,47.5,79.92226911375012,10.60696161824797
00-0035689,Dawson Knox,TE,BUF,3600,4750,10.9,11.575,1.5592719272614772,1.3908496732026143,24.37091065710759,HOU,33.25,47.5,83.88820367224407,9.72875730581304
00-0031800,Taylor Heinicke,QB,WAS,5900,1487,17.333333333333332,18.26125,1.329355714858186,1.0143790849673202,23.999125170717765,ATL,24.25,47.5,58.40323155518594,2.3480388774118355
00-0026498,Matthew Stafford,QB,LA,7000,1340,23.69333333333333,24.38125,0.8352998797809341,1.192156862745098,23.93653897719796,ARI,28.5,53.5,68.41035998574314,4.57552915745337
00-0034869,Sam Darnold,QB,CAR,6000,1524,21.07333333333333,21.7225,1.1117146800837083,0.9830065359477124,23.384131133750287,DAL,23.5,51.5,57.434656053225616,2.2012134123173275
00-0034827,D.J. Moore,WR,CAR,6600,5633,19.266666666666666,19.6625,1.149623754435019,0.9830065359477124,21.99668551944488,DAL,23.5,51.5,71.81925886460188,6.060321365334306
00-0035719,Deebo Samuel,WR,SF,6500,5726,19.4,17.46875,1.0204024797117028,1.1398692810457516,21.441490550075404,SEA,27.25,52.0,78.36500848253719,9.375933470822208
00-0034855,Baker Mayfield,QB,CLE,6200,1528,15.7,16.04625,1.2175074580346408,1.1084967320261438,21.42241772967851,MIN,26.5,52.0,59.90168706189854,2.5947170998618674
00-0033906,Alvin Kamara,RB,NO,8400,5562,15.300000000000002,15.8125,1.245481927710843,1.0562091503267974,20.464082112764785,NYG,25.25,43.0,75.09932279909708,7.690461445824012
00-0034837,Calvin Ridley,WR,ATL,7000,5631,14.5,14.725,1.431237015211349,0.9725490196078432,20.33984242911532,WAS,23.25,47.5,70.09183573321368,5.401092711958659
00-0033923,Kareem Hunt,RB,CLE,6000,5560,16.96666666666667,18.275,1.0361445783132532,1.1084967320261438,20.23863506312833,MIN,26.5,52.0,77.1568358033173,8.821115370738976
00-0035664,Darrell Henderson,RB,LA,5600,5716,16.450000000000003,16.575000000000003,1.0180722891566265,1.192156862745098,20.0412520670919,ARI,28.5,53.5,79.84399842967906,10.55175816113123
00-0032211,Tyler Lockett,WR,SEA,7100,5386,21.633333333333336,19.54375,0.9339579028278294,1.035294117647059,19.90749582777574,SF,24.75,52.0,71.93107412756052,6.105665924292802
00-0033594,Chris Carson,RB,SEA,6300,5565,14.666666666666666,14.98125,1.2906626506024097,1.035294117647059,19.808002155681557,SF,24.75,52.0,72.98076356855432,6.677498929182926
00-0031345,Jimmy Garoppolo,QB,SF,5600,1452,16.333333333333332,16.225,1.033705864018879,1.1398692810457516,19.181572129353896,SEA,27.25,52.0,55.30681953189973,1.9100950233782303
00-0031235,Odell Beckham Jr.,WR,CLE,5800,5323,13.7,13.7,1.262803767468544,1.1084967320261438,19.177449737179813,MIN,26.5,52.0,75.57919605176451,7.786763526477192
00-0026143,Matt Ryan,QB,ATL,5400,1301,13.093333333333334,13.767499999999998,1.4604390222182644,0.9725490196078432,19.07587269409151,WAS,23.25,47.5,54.332600689081616,1.7899811130464354
00-0034775,Christian Kirk,WR,ARI,5300,5636,16.966666666666665,16.581249999999997,1.0605056339361802,1.0457516339869282,18.602747519906657,LA,25.0,53.5,70.46808182493726,5.53828208631399
00-0023459,Aaron Rodgers,QB,GB,6800,1252,15.72,17.034999999999997,1.0500912774388886,1.077124183006536,18.524241561456797,PIT,25.75,45.0,53.90489485564929,1.7396628780322103
00-0026189,DeSean Jackson,WR,LA,3800,3770,12.55,13.958333333333334,1.1442766672050886,1.192156862745098,18.08076797103486,ARI,28.5,53.5,70.23530277750515,5.45299913210785
00-0031237,Teddy Bridgewater,QB,DEN,5700,1439,17.826666666666668,16.908749999999998,1.0721759650919451,0.9411764705882352,17.52587241762549,BAL,22.5,44.0,37.95918973506,0.6008826257086661
00-0031503,Jameis Winston,QB,NO,5600,1465,17.16,15.92625,0.9995102186205976,1.0562091503267974,17.4644420499577,NYG,25.25,43.0,47.09932279909707,1.1051560452577711
00-0034791,Nick Chubb,RB,CLE,7000,5622,15.766666666666667,14.45,1.0361445783132532,1.1084967320261438,17.35287082972413,MIN,26.5,52.0,76.24379232505645,8.300192904790267
