player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct
00-0026143,Matt Ryan,QB,ATL,7500,1301,18.2038,18.2038,1.5538241484460822,1.2258592471358427,34.673997218915176,NE,26.75,56.5,17.222101077944803,statline_mc,14.47333012614702,57.783632554194305,35.67975,537.6452655864005,2.682,0.81325,6.664365954591615,0.05975,0.0,0.0,0.0,0.0,83.10002586318376,15.26978179631211
00-0033077,Dak Prescott,QB,DAL,7300,1501,20.3367,20.3367,1.2222075039237648,1.2487725040916529,31.0390378248492,SF,27.25,48.0,15.90476969184791,statline_mc,12.74953642606228,52.77689797805541,34.64675,358.1322182302028,2.90125,3.3595,27.172490956410876,0.2675,0.0,0.0,0.0,0.0,82.09168498642184,14.277046450379801
00-0033045,Ezekiel Elliott,RB,DAL,9000,5444,18.2897,18.2897,1.3077641628660914,1.2487725040916529,29.868897420547377,SF,27.25,48.0,29.783294370676554,statline_mc,5.6783117405016155,62.250826165872056,0.0,0.0,0.0,23.11825,148.60960549701792,0.923,3.765,2.926,38.55686870845583,0.202,88.02239478844984,19.079306502473802
00-0019596,Tom Brady,QB,NE,8000,1131,22.9378,22.9378,0.9238167491560394,1.3633387888707036,28.889609797433636,ATL,29.75,56.5,15.169890926813618,statline_mc,11.183805617988536,48.51258816518212,39.438,407.9145396176239,2.5975,1.33475,6.480282127286802,0.06375,0.0,0.0,0.0,0.0,80.15776542092331,12.550056069785231
00-0032950,Carson Wentz,QB,PHI,6700,1514,20.3541,20.3541,0.9870144466789498,1.2258592471358427,24.62731328164983,WAS,26.75,48.5,13.514602486709014,statline_mc,9.625784564048407,43.065670218004406,31.5405,286.5714025082885,2.13525,5.64575,29.617071813182918,0.22475,0.0,0.0,0.0,0.0,72.96844691581533,7.77129823115262
00-0033106,Jared Goff,QB,LA,5800,1490,17.5551,17.5551,1.2523933960332847,1.111292962356792,24.43279200620405,ARI,24.25,45.5,12.844273072399842,statline_mc,9.311222187043732,41.436231522423505,31.72625,349.0064193738334,1.973,2.137,11.000352312507179,0.11425,0.0,0.0,0.0,0.0,65.45874822190612,4.710483955304611
00-0028118,Tyrod Taylor,QB,BUF,5100,1400,16.3893,16.3893,1.2827077387475263,1.1342062193126021,23.84399354796017,TB,24.75,46.5,13.265020050921883,statline_mc,9.108249949494697,41.6235328217289,28.4065,284.4094696801746,1.87775,5.21825,30.52114760753184,0.2605,0.0,0.0,0.0,0.0,65.7487391697918,4.802436451549432
00-0029263,Russell Wilson,QB,SEA,6400,1412,20.8393,20.8393,1.149632912256195,0.9852700490998363,23.604642642997852,NYG,21.5,39.0,13.003168740808066,statline_mc,9.037028610126661,40.71543122496626,36.487,284.9426749434257,1.85825,5.78825,29.879356452608256,0.27125,0.0,0.0,0.0,0.0,62.75960170697012,3.9347508062303493
00-0031285,Devonta Freeman,RB,ATL,7300,2930,14.8146,14.8146,1.2762606003992891,1.2258592471358427,23.17766227439907,NE,26.75,56.5,22.54498589372755,statline_mc,3.8354172582078894,51.18588681092175,0.0,0.0,0.0,15.01725,103.94216891631748,1.01875,2.952,2.28575,26.301953827673213,0.12025,84.50031557829723,15.086480895348537
00-0032268,Marcus Mariota,QB,TEN,6900,1466,15.9436,15.9436,1.3183313731235844,1.099836333878887,23.11744664710223,CLE,24.0,42.5,12.587713433099943,statline_mc,8.973824529638799,40.1235495499419,29.098,319.65499105368724,1.473,3.217,21.987470049547422,0.2755,0.0,0.0,0.0,0.0,64.69093495409285,4.475432979123552
