player_id,name,position,team,opponent,game_info,salary,implied_total,over_under,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,chalk_score,estimated_ownership_pct
90000115,Cameron Whitfield,WR,DET,GB,DET@GB 07/24/2026 01:00PM ET,9800,23.25,47.5,24.53,28.81,1.058,1.0391,29.32,85.22,22.83
90000062,Jared Estrada,QB,SF,MIA,SF@MIA 07/24/2026 01:00PM ET,8900,25.0,44.0,21.48,21.65,1.149,1.1173,27.68,90.94,17.51
90000076,Brandon Pace,RB,BAL,CIN,CIN@BAL 07/24/2026 01:00PM ET,9100,26.0,49.0,21.24,24.63,1.004,1.162,26.76,91.58,29.91
90000232,Deshawn Fontaine,RB,ATL,NO,ATL@NO 07/24/2026 08:20PM ET,8500,25.75,46.0,21.1,21.43,1.049,1.1508,25.67,85.83,20.38
90000064,Jared Castillo,RB,SF,MIA,SF@MIA 07/24/2026 01:00PM ET,8600,25.0,44.0,19.91,21.7,1.088,1.1173,25.29,88.08,23.68
90000004,Reggie Marshall,RB,BUF,KC,KC@BUF 07/24/2026 01:00PM ET,8600,25.5,48.5,19.15,20.18,1.112,1.1397,24.92,87.83,23.29
90000230,Trevor Hargrove,QB,ATL,NO,ATL@NO 07/24/2026 08:20PM ET,8500,25.75,46.0,18.09,19.98,1.112,1.1508,24.36,90.19,16.65
90000079,Ryan Rivers,WR,BAL,CIN,CIN@BAL 07/24/2026 01:00PM ET,8000,26.0,49.0,22.45,19.08,0.999,1.162,24.1,88.28,28.0
90000103,Nate Monroe,WR,GB,DET,DET@GB 07/24/2026 01:00PM ET,8300,24.25,47.5,21.63,18.67,1.099,1.0838,24.0,86.09,24.2
90000014,Julian Marshall,QB,KC,BUF,KC@BUF 07/24/2026 01:00PM ET,8600,23.0,48.5,23.39,21.59,1.038,1.0279,24.0,76.81,6.82
90000074,Antonio Monroe,QB,BAL,CIN,CIN@BAL 07/24/2026 01:00PM ET,8300,26.0,49.0,18.56,20.79,1.039,1.162,23.75,84.56,11.44
90000088,Chris Pace,RB,CIN,BAL,CIN@BAL 07/24/2026 01:00PM ET,8200,23.0,49.0,23.1,22.91,1.004,1.0279,23.74,73.12,8.74
90000172,Preston Nakamura,RB,PIT,JAX,JAX@PIT 07/24/2026 04:25PM ET,7700,21.5,40.0,25.02,22.26,1.041,0.9609,23.65,72.58,8.43
90000218,Grant Coleman,QB,NO,ATL,ATL@NO 07/24/2026 08:20PM ET,8300,20.25,46.0,21.61,23.91,1.133,0.905,23.34,64.69,3.04
90000071,Kendall Whitfield,TE,SF,MIA,SF@MIA 07/24/2026 01:00PM ET,8500,25.0,44.0,17.08,18.82,1.147,1.1173,23.0,90.94,23.55
90000136,Dominic Rourke,RB,LAR,SEA,LAR@SEA 07/24/2026 04:05PM ET,7500,23.75,43.0,18.61,19.81,1.114,1.0615,22.72,79.0,12.93
90000223,Cameron Pace,WR,NO,ATL,ATL@NO 07/24/2026 08:20PM ET,8600,20.25,46.0,26.05,22.92,1.021,0.905,22.62,65.97,6.33
90000235,Chris Estrada,WR,ATL,NO,ATL@NO 07/24/2026 08:20PM ET,8000,25.75,46.0,23.86,20.32,0.889,1.1508,22.6,84.78,22.17
90000019,Ryan Blackwell,WR,KC,BUF,KC@BUF 07/24/2026 01:00PM ET,7700,23.0,48.5,18.95,21.37,1.083,1.0279,22.44,75.66,12.07
90000043,Chris Pruitt,WR,PHI,DAL,PHI@DAL 07/24/2026 01:00PM ET,8100,24.5,45.5,24.23,19.12,0.941,1.095,22.33,78.72,14.8
90000038,Preston Manning,QB,PHI,DAL,PHI@DAL 07/24/2026 01:00PM ET,7700,24.5,45.5,18.34,18.73,1.089,1.095,22.1,80.56,8.76
90000176,Levi Halsey,WR,PIT,JAX,JAX@PIT 07/24/2026 04:25PM ET,8000,21.5,40.0,21.42,22.08,1.053,0.9609,22.01,67.66,7.08
90000067,Corey Okafor,WR,SF,MIA,SF@MIA 07/24/2026 01:00PM ET,7600,25.0,44.0,19.21,17.66,1.037,1.1173,21.36,79.84,15.95
90000139,DeAndre Nakamura,WR,LAR,SEA,LAR@SEA 07/24/2026 04:05PM ET,7700,23.75,43.0,19.73,20.37,1.003,1.0615,21.35,75.41,11.87
90000017,Tyler Brooks,RB,KC,BUF,KC@BUF 07/24/2026 01:00PM ET,7800,23.0,48.5,18.09,18.99,1.119,1.0279,21.33,72.04,8.13
90000104,Antonio Osei,WR,GB,DET,DET@GB 07/24/2026 01:00PM ET,7600,24.25,47.5,17.74,17.93,1.099,1.0838,21.24,76.78,13.01
90000211,Tyler Delgado,WR,LAC,DEN,LAC@DEN 07/24/2026 04:25PM ET,7600,22.0,42.5,20.66,23.53,0.971,0.9832,21.09,69.97,8.26
90000031,Zach Ellison,WR,DAL,PHI,PHI@DAL 07/24/2026 01:00PM ET,7700,21.0,45.5,23.67,21.13,1.001,0.9385,21.04,64.97,5.92
90000122,Corey Denning,QB,SEA,LAR,LAR@SEA 07/24/2026 04:05PM ET,8100,19.25,43.0,20.68,25.73,1.042,0.8603,20.8,56.94,1.81
90000199,Aaron Truman,WR,DEN,LAC,LAC@DEN 07/24/2026 04:25PM ET,7700,20.5,42.5,20.18,22.19,1.052,0.9162,20.42,61.47,4.69
90000194,Cole Bishop,QB,DEN,LAC,LAC@DEN 07/24/2026 04:25PM ET,7100,20.5,42.5,19.19,18.98,1.14,0.9162,19.93,62.56,2.64
90000160,Cameron Pruitt,RB,MIN,HOU,MIN@HOU 07/24/2026 04:05PM ET,7300,19.75,41.5,21.02,18.72,1.111,0.8827,19.49,59.42,3.5
90000116,Levi Truman,WR,DET,GB,DET@GB 07/24/2026 01:00PM ET,7300,23.25,47.5,17.98,17.2,1.058,1.0391,19.34,68.03,7.26
90000098,Emmanuel Whitfield,QB,GB,DET,DET@GB 07/24/2026 01:00PM ET,7000,24.25,47.5,19.53,17.55,0.961,1.0838,19.31,71.06,4.65
90000175,Reggie Osei,WR,PIT,JAX,JAX@PIT 07/24/2026 04:25PM ET,7600,21.5,40.0,20.39,17.26,1.053,0.9609,19.05,58.47,3.84
90000028,Aaron Monroe,RB,DAL,PHI,PHI@DAL 07/24/2026 01:00PM ET,7000,21.0,45.5,19.01,21.53,0.984,0.9385,18.72,63.17,4.5
90000112,Zach Pruitt,RB,DET,GB,DET@GB 07/24/2026 01:00PM ET,7000,23.25,47.5,18.93,20.73,0.908,1.0391,18.71,69.92,7.06
90000002,Emmanuel Boykin,QB,BUF,KC,KC@BUF 07/24/2026 01:00PM ET,7500,25.5,48.5,18.09,16.65,0.94,1.1397,18.61,72.44,5.1
90000044,Malik Delgado,WR,PHI,DAL,PHI@DAL 07/24/2026 01:00PM ET,7000,24.5,45.5,19.31,16.77,0.941,1.095,18.59,72.16,9.56
90000007,Brandon Hargrove,WR,BUF,KC,KC@BUF 07/24/2026 01:00PM ET,7100,25.5,48.5,17.7,20.46,0.852,1.1397,18.53,72.78,9.96
90000077,Jordan Winslow,RB,BAL,CIN,CIN@BAL 07/24/2026 01:00PM ET,7000,26.0,49.0,13.91,17.8,1.004,1.162,18.5,77.17,11.44
90000068,Antonio Nakamura,WR,SF,MIA,SF@MIA 07/24/2026 01:00PM ET,6800,25.0,44.0,15.23,16.34,1.037,1.1173,18.29,74.16,10.92
90000187,Elijah Vance,WR,JAX,PIT,JAX@PIT 07/24/2026 04:25PM ET,6800,18.5,40.0,19.6,18.65,1.144,0.8268,18.09,53.59,2.77
90000055,Miles Pace,WR,MIA,SF,SF@MIA 07/24/2026 01:00PM ET,7100,19.0,44.0,20.7,20.44,1.034,0.8492,18.06,51.09,2.35
90000148,Brandon Grant,RB,HOU,MIN,MIN@HOU 07/24/2026 04:05PM ET,7100,21.75,41.5,18.92,19.32,0.966,0.9721,17.95,62.17,4.21
90000208,Levi Osei,RB,LAC,DEN,LAC@DEN 07/24/2026 04:25PM ET,7100,22.0,42.5,19.96,19.61,0.922,0.9832,17.94,62.67,4.35
90000040,Devon Manning,RB,PHI,DAL,PHI@DAL 07/24/2026 01:00PM ET,6700,24.5,45.5,16.59,15.41,0.99,1.095,17.34,69.67,6.94
90000023,Chris Fontaine,TE,KC,BUF,KC@BUF 07/24/2026 01:00PM ET,6800,23.0,48.5,17.46,19.22,0.918,1.0279,17.31,82.44,13.36
90000184,Devon Fontaine,RB,JAX,PIT,JAX@PIT 07/24/2026 04:25PM ET,7000,18.5,40.0,20.06,23.16,0.964,0.8268,17.22,49.67,1.83
90000151,Ryan Monroe,WR,HOU,MIN,MIN@HOU 07/24/2026 04:05PM ET,6500,21.75,41.5,21.64,14.98,0.947,0.9721,16.86,59.22,4.03
90000080,Preston Kessler,WR,BAL,CIN,CIN@BAL 07/24/2026 01:00PM ET,6500,26.0,49.0,14.03,14.91,0.999,1.162,16.8,72.41,9.72
90000140,Malik Boykin,WR,LAR,SEA,LAR@SEA 07/24/2026 04:05PM ET,6700,23.75,43.0,16.05,15.26,1.003,1.0615,16.67,63.16,5.25
90000091,Antonio Bishop,WR,CIN,BAL,CIN@BAL 07/24/2026 01:00PM ET,6700,23.0,49.0,17.46,15.28,0.99,1.0279,16.66,59.47,4.1
90000016,Trevor Rivers,RB,KC,BUF,KC@BUF 07/24/2026 01:00PM ET,6700,23.0,48.5,13.42,13.92,1.119,1.0279,15.72,58.79,3.36
90000045,Levi Rourke,WR,PHI,DAL,PHI@DAL 07/24/2026 01:00PM ET,6400,24.5,45.5,15.51,14.82,0.941,1.095,15.63,62.97,5.18
90000050,Omar Pruitt,QB,MIA,SF,SF@MIA 07/24/2026 01:00PM ET,6600,19.0,44.0,20.06,20.06,0.915,0.8492,15.59,47.56,0.97
90000008,Malik Pace,WR,BUF,KC,KC@BUF 07/24/2026 01:00PM ET,6200,25.5,48.5,16.25,15.85,0.852,1.1397,15.58,67.91,7.2
90000206,Omar Denning,QB,LAC,DEN,LAC@DEN 07/24/2026 04:25PM ET,6400,22.0,42.5,16.5,15.69,0.982,0.9832,15.54,58.19,1.97
90000220,Levi Bishop,RB,NO,ATL,ATL@NO 07/24/2026 08:20PM ET,6300,20.25,46.0,16.75,13.29,1.121,0.905,15.24,51.08,2.01
90000196,Miles Manning,RB,DEN,LAC,LAC@DEN 07/24/2026 04:25PM ET,6600,20.5,42.5,18.0,18.07,0.915,0.9162,15.12,47.67,1.6
