player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_status
00-0036355,Justin Herbert,QB,LAC,6100,44095904,16.0596,16.0596,1.03997979360612,1.2686768676867688,21.188983431157396,ARI,28.19,47.17,16.0,1.0,8.1282,statline_mc+recal_10_4b,8.042316766525104,36.24889062615626,26.73825,257.6711634044119,1.7445,3.79425,26.82386894980916,0.18075,0.0,0.0,0.0,0.0,94.91892610313664,37.90581956044336,,classic,True,ACTIVE
00-0040666,Omarion Hampton,RB,LAC,6800,44095933,11.5779,11.5779,1.1940378460178651,1.2686768676867688,17.538751108847507,ARI,28.19,47.17,9.0,1.0,9.1833,statline_mc+recal_10_4b,4.1686613164021065,36.52834847946856,0.0,0.0,0.0,9.55075,61.85030517170518,0.43075,4.0605,3.3855,35.26970591676989,0.18775,95.94114832535884,85.95627114814847,,classic,True,ACTIVE
00-0036389,Jalen Hurts,QB,PHI,6600,44095902,12.8024,12.8024,1.1995381395684492,1.1264626462646266,17.299001189367825,WAS,25.03,44.17,16.0,1.0,7.9849,statline_mc+recal_10_4b,6.106229425852624,30.843498221058464,20.5445,198.0467408212202,1.482,3.40175,18.55631556519018,0.27925,0.0,0.0,0.0,0.0,85.4806840333156,19.31620735552473,,classic,True,ACTIVE
00-0034351,Dallas Goedert,TE,PHI,4100,44096181,10.6779,10.6779,1.1948200778488207,1.1264626462646266,14.371662783828716,WAS,25.03,44.17,15.0,1.0,7.6363,statline_mc+recal_10_4b,3.2027056105348217,29.543672767039983,0.0,0.0,0.0,0.0,0.0,0.0,5.88675,4.181,56.06412783828717,0.69075,85.56783000281452,16.392434338604478,,classic,True,ACTIVE
00-0034844,Saquon Barkley,RB,PHI,6900,44095931,10.3133,10.3133,1.1589505966171607,1.1264626462646266,13.46409808113405,WAS,25.03,44.17,16.0,1.0,8.7282,statline_mc+recal_10_4b,2.2434881232351227,30.074014494793506,0.0,0.0,0.0,13.147,69.48321602926225,0.45075,1.84875,1.391,13.837764782078242,0.06875,84.33253588516745,29.919495408082877,,classic,True,ACTIVE
00-0040122,Ashton Jeanty,RB,LV,6600,44095935,11.6989,11.6989,1.131898595170816,0.9761476147614764,12.926152788038053,MIA,21.69,40.39,17.0,1.0,8.2506,statline_mc+recal_10_4b,2.785262246882204,28.16105957162458,0.0,0.0,0.0,13.24475,53.32301284773492,0.311,3.27725,2.461,19.05851503264559,0.15175,72.88086124401913,10.56396791520086,,classic,True,ACTIVE
00-0037744,Trey McBride,TE,ARI,6800,44096177,18.3555,18.3555,0.7860774817983541,0.8537353735373537,12.318390689406366,LAC,18.97,47.17,17.0,1.0,6.7522,statline_mc+recal_10_4b,4.116561613129381,23.55800203401565,0.0,0.0,0.0,0.0,0.0,0.0,8.269,6.02775,41.10140689406367,0.3255,78.29838634018199,10.688897377373916,,classic,True,ACTIVE
00-0036912,DeVonta Smith,WR,PHI,6600,44096029,9.197,9.197,1.1341729570755004,1.1264626462646266,11.750078357485895,WAS,25.03,44.17,17.0,1.0,8.5897,statline_mc+recal_10_4b,2.2605335007309044,26.59691340722,0.0,0.0,0.0,0.0,0.0,0.0,5.26125,3.5105,60.09828357485898,0.2875,85.96267287146883,29.15008546171928,,classic,True,ACTIVE
00-0036322,Justin Jefferson,WR,MIN,7300,44096027,10.578,10.578,1.0154804383117852,1.0724572457245725,11.52004472854712,GB,23.83,46.06,17.0,1.0,8.1999,statline_mc+recal_10_4b,2.44133793802078,24.792201832308248,0.0,0.0,0.0,0.23325,1.5956640299358729,0.01,6.69675,4.02475,55.08978325553532,0.2205,88.04035196958773,32.9395565439698,,classic,True,ACTIVE
00-0039040,De'Von Achane,RB,MIA,7000,44095929,12.0112,12.0112,1.0448500756652517,0.8411341134113413,10.556191890431776,LV,18.69,40.39,16.0,1.0,7.6714,statline_mc+recal_10_4b,2.1890504281118184,22.62522282781623,0.0,0.0,0.0,8.50225,40.38202950779853,0.2505,3.16125,2.4565,16.307389396519238,0.103,64.48181818181818,4.922908862232779,,classic,True,ACTIVE
00-0033293,Aaron Jones Sr.,RB,MIN,5300,44095945,9.8756,9.8756,0.9773539928486292,1.0724572457245725,10.35128048944112,GB,23.83,46.06,12.0,1.0,7.664,statline_mc+recal_10_4b,2.2765692638116053,22.027661026821225,0.0,0.0,0.0,10.6285,44.570039998809634,0.235,2.85725,2.0615,16.05276489560156,0.08075,81.59617224880382,23.33023030671033,,classic,True,ACTIVE
00-0029604,Kirk Cousins,QB,LV,5000,44095909,8.8115,8.8115,1.1138774626542542,0.9761476147614764,9.580823251648406,MIA,21.69,40.39,10.0,1.0,7.5413,statline_mc+recal_10_4b,2.6860306313004854,18.22455040626984,19.28125,138.60495521800402,0.82025,1.7945,6.218750429282447,0.085,0.0,0.0,0.0,0.0,63.94382420698209,4.147880050053566,,classic,True,ACTIVE
00-0036264,Jordan Love,QB,GB,5700,44095905,13.837,13.837,0.6821101248466479,1.0,9.43837175452729,MIN,22.22,46.06,15.0,1.0,7.4288,statline_mc+recal_10_4b,2.9878284990728723,17.49663933795561,24.94775,132.12631310565928,0.8785,2.8495,8.285692303009212,0.061,0.0,0.0,0.0,0.0,76.02294878610668,9.829538502625368,,classic,True,ACTIVE
00-0035228,Kyler Murray,QB,MIN,5500,44095906,9.4371,9.4371,0.9209785667893484,1.0724572457245725,9.321089342800848,GB,23.83,46.06,5.0,1.0,7.4598,statline_mc+recal_10_4b,2.796934957254149,17.209078421882506,17.99775,111.00001942562685,0.71975,3.48575,17.118385657757738,0.138,0.0,0.0,0.0,0.0,78.14061669324828,11.434715856342532,,classic,True,QUESTIONABLE
00-0038996,Tucker Kraft,TE,GB,4500,44096179,11.3205,11.3205,0.8011177937742371,1.0,9.0690534665967,MIN,22.22,46.06,8.0,1.0,6.5147,statline_mc+recal_10_4b,2.098954642284712,18.965952795175987,0.0,0.0,0.0,0.0,0.0,0.0,4.89225,3.3905,36.055534665966974,0.3125,82.38460455952715,13.593222896192644,,classic,True,ACTIVE
00-0038559,Michael Wilson,WR,ARI,5300,44096039,11.8338,11.8338,0.890901076427422,0.8537353735373537,9.000745945294199,LAC,18.97,47.17,17.0,1.0,7.3786,statline_mc+recal_10_4b,2.114914677715188,19.14481475795755,0.0,0.0,0.0,0.0,0.0,0.0,5.99675,3.6905,36.21245945294199,0.242,77.61076882742347,17.83511686588991,,classic,True,ACTIVE
DST_LV,Raiders,DST,LV,2900,44096280,8.643579453,8.643579453,1.158965418649725,1.2191389805869346,8.643579453,MIA,21.69,40.39,,,5.8429,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.73086124401914,17.44284845317148,,classic,True,ACTIVE
DST_LAC,Chargers,DST,LAC,3500,44096277,8.617226489999998,8.617226489999998,1.1554319088391154,1.2011443092867586,8.617226489999998,ARI,28.19,47.17,,,5.9307,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.39114832535884,31.071226747524456,,classic,True,ACTIVE
00-0038563,Tre Tucker,WR,LV,4000,44096063,8.9924,8.9924,0.9705645898263214,0.9761476147614764,8.519552339586745,MIA,21.69,40.39,17.0,1.0,7.3679,statline_mc+recal_10_4b,1.519185900654078,18.85063323050955,0.0,0.0,0.0,0.87875,4.716133343774631,0.026,4.72825,2.905,33.97689005209281,0.2285,67.48771055908762,9.832520946159446,,classic,True,ACTIVE
00-0038124,Christian Watson,WR,GB,5900,44096033,11.0364,11.0364,0.7706412812484694,1.0,8.505111561431223,MIN,22.22,46.06,10.0,1.0,7.3441,statline_mc+recal_10_4b,1.5429245180760325,19.108703354892896,0.0,0.0,0.0,0.0555,0.2939101535818704,0.00125,4.87575,3.06325,36.65470546073034,0.249,81.4821065740316,22.396285544511247,,classic,True,ACTIVE
00-0033119,Jacoby Brissett,QB,ARI,5100,44095908,12.6885,12.6885,0.7715955834596233,0.8537353735373537,8.358427178545272,LAC,18.97,47.17,14.0,1.0,7.3652,statline_mc+recal_10_4b,2.317287774480685,16.117783360580923,25.8985,119.20058797656118,0.8055,2.1925,6.241536594828251,0.057,0.0,0.0,0.0,0.0,65.99991139464822,4.804056873649816,,classic,True,ACTIVE
00-0040189,Oronde Gadsden II,TE,LAC,3500,44096187,5.13,5.13,1.2735605346637373,1.2686768676867688,8.288674827333482,ARI,28.19,47.17,15.0,1.0,6.8857,statline_mc+recal_10_4b,1.0749151364425529,19.41619737896371,0.0,0.0,0.0,0.0,0.0,0.0,3.04,2.10375,43.54174827333482,0.25275,91.65095224692747,23.44484468377956,,classic,True,ACTIVE
00-0040727,Tre' Harris,WR,LAC,3800,44096065,6.6173,6.6173,0.980121153333867,1.2686768676867688,8.228320004529273,ARI,28.19,47.17,16.0,1.0,7.5896,statline_mc+recal_10_4b,1.2816722732512174,19.115886077800543,0.0,0.0,0.0,0.218,1.747972765517842,0.01,3.98175,2.61425,38.75772727977488,0.20325,88.30553188700269,33.45740311066925,,classic,True,ACTIVE
DST_GB,Packers,DST,GB,3000,44096279,8.10980919,8.10980919,1.0873953845354598,0.9561774044133368,8.10980919,MIN,22.22,46.06,,,6.245,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.20813397129187,19.248142881005265,,classic,True,ACTIVE
DST_PHI,Eagles,DST,PHI,3200,44096278,8.04924648,8.04924648,1.07927489615083,1.190475838410126,8.04924648,WAS,25.03,44.17,,,5.7975,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.83253588516746,17.56148309390089,,classic,True,ACTIVE
DST_MIA,Dolphins,DST,MIA,2700,44096282,7.9349139045,7.9349139045,1.063944730916603,1.0505167149455883,7.9349139045,LV,18.69,40.39,,,6.0095,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05681818181818,4.698892595935278,,classic,True,ACTIVE
00-0039910,Jayden Daniels,QB,WAS,6500,44095903,10.3004,10.3004,0.8913906328931228,0.8613861386138615,7.908979534402686,PHI,19.14,44.17,7.0,1.0,7.3886,statline_mc+recal_10_4b,2.1601647078700696,15.530256645375278,16.92,89.05247445137218,0.5665,4.986,17.941305563477986,0.14475,0.0,0.0,0.0,0.0,62.27848662059188,3.6826945085804295,,classic,True,ACTIVE
00-0038128,Malik Willis,QB,MIA,5300,44095907,9.5186,9.5186,0.9867215125929134,0.8411341134113413,7.900106512428557,LV,18.69,40.39,4.0,1.0,7.3647,statline_mc+recal_10_4b,2.2233677872685584,15.379623038190562,12.264,96.7836818352985,0.552,3.607,13.977592390166167,0.1445,0.0,0.0,0.0,0.0,50.95959595959596,1.6407484301745607,,classic,True,ACTIVE
00-0039066,Michael Mayer,TE,LV,2900,44096199,6.2533,6.2533,1.2240159775667112,0.9761476147614764,7.471600742110466,MIA,21.69,40.39,13.0,1.0,6.3524,statline_mc+recal_10_4b,1.323922168954372,16.215160755812214,0.0,0.0,0.0,0.0,0.0,0.0,4.01575,2.72525,33.01850742110466,0.21,67.05929261656814,5.518369378831669,,classic,True,ACTIVE
