player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status,estimated_ownership_pct_heuristic_x,estimated_ownership_pct_heuristic_y
00-0034796,Lamar Jackson,QB,BAL,7500,44265589,19.8296,19.8296,1.0,1.2743585518925156,25.27006412908782,DAL,28.36,53.33,2.0,1.0,8.3171,statline_mc+recal_10_4b,13.234142359331354,42.17743705387694,34.98775,387.5169568939642,1.86775,3.97325,23.741477384532207,0.23625,0.0,0.0,0.0,0.0,27.732826014211792,-2.462761885123971,22.4,15.4,95.71957385337666,26.171217782300964,,classic,True,,ACTIVE,29.977371337751784,30.663881458141695
00-0037834,Brock Purdy,QB,SF,6500,44265591,17.5101,17.5101,1.0,1.2658208888156617,22.164628356508203,ARI,28.17,47.89,2.0,1.0,8.3263,statline_mc+recal_10_4b,10.940778041281307,40.18128347431502,32.8205,332.70719120657026,2.42175,3.19525,19.02404459344656,0.2055,0.0,0.0,0.0,0.0,26.735442107607465,-4.570813751099262,25.3,48.4,87.86655832430479,30.179535666119968,,classic,True,,ACTIVE,17.10743437249102,17.499210779378004
00-0033077,Dak Prescott,QB,DAL,6700,44265590,19.0492,19.0492,1.0,1.122028668573911,21.3737083129283,BAL,24.97,53.33,2.0,1.0,8.208,statline_mc+recal_10_4b,10.35668358909755,38.070058994051045,36.115,286.677846738996,2.455,2.87975,14.724040731449032,0.13525,0.0,0.0,0.0,0.0,23.74601794270474,-2.3723096297764386,22.6,3.2,86.94835680751173,14.803640107080357,,classic,True,,ACTIVE,16.021431665402126,16.38833758445389
00-0032764,Derrick Henry,RB,BAL,7700,44265617,16.2474,16.2474,1.0,1.2743585518925156,20.704959881145445,DAL,28.36,53.33,2.0,1.0,9.9979,statline_mc+recal_10_4b,6.169882712635372,45.876714586083295,0.0,0.0,0.0,15.1175,94.43231700314794,0.92225,2.5955,1.99425,20.889589233236517,0.09175,20.519190623638444,0.1857692575070011,28.0,41.8,96.78468684447107,68.65531340715275,,classic,True,,ACTIVE,82.80525118722778,82.77943044756474
00-0033280,Christian McCaffrey,RB,SF,8300,44265615,15.2806,15.2806,1.0,1.2658208888156617,19.342462926193832,ARI,28.17,47.89,2.0,1.0,9.1039,statline_mc+recal_10_4b,5.718623721155398,38.16816044591012,0.0,0.0,0.0,10.073,55.38721659939263,0.513,5.3025,3.99325,37.97270864795386,0.1815,18.17524252473465,1.1672204014591865,18.2,62.1,88.19798221955848,49.81029248157054,,classic,True,,ACTIVE,37.93529587025911,37.92346670019245
00-0036322,Justin Jefferson,WR,MIN,7500,44265711,18.891,18.891,1.0,0.983628656591226,18.581758994481028,TB,21.89,42.5,2.0,1.0,8.8439,statline_mc+recal_10_4b,5.349520664627519,35.593664616115625,0.0,0.0,0.0,0.02425,0.1747488340722653,0.00125,7.844,5.036,63.20483873493943,0.45,14.61795875690117,3.963800237579857,19.9,6.7,78.1343485915493,20.98746749750366,,classic,True,,ACTIVE,11.311431803327272,11.806607018704364
00-0040122,Ashton Jeanty,RB,LV,7100,44265619,19.8138,19.8138,1.0,0.9126312478468614,18.08269170005648,NO,20.31,43.67,2.0,1.0,8.6182,statline_mc+recal_10_4b,5.301387491058705,34.32588392549673,0.0,0.0,0.0,15.562,54.92871728601506,0.31825,5.16525,3.914,27.173631101534934,0.2075,15.810484838755,2.272206861301475,23.0,23.5,71.70662271501348,31.35008272378288,,classic,True,,ACTIVE,8.471160122875954,8.468518604167409
00-0036358,CeeDee Lamb,WR,DAL,7800,44265709,15.9251,15.9251,1.0,1.122028668573911,17.868465061438783,BAL,24.97,53.33,2.0,1.0,9.6242,statline_mc+recal_10_4b,5.094589412958221,38.576384085434725,0.0,0.0,0.0,0.35325,1.977762776675811,0.01,8.153,5.3645,80.94795878995883,0.578,17.897072156663462,-0.0286070952246788,26.9,29.8,89.57335680751173,40.97482133215393,,classic,True,,ACTIVE,22.169039859092265,23.139523461680955
00-0037239,Chris Olave,WR,NO,7200,44265713,17.0131,17.0131,1.0,1.0496832077647802,17.858377869969914,LV,23.36,43.67,2.0,1.0,9.3325,statline_mc+recal_10_4b,5.090984250727248,36.864262529632576,0.0,0.0,0.0,0.035,0.1486061553252088,0.00125,8.576,5.73925,80.75755625830283,0.4175,17.052616241362806,0.8057616286071081,26.9,48.4,80.61208920187794,41.09646421186846,,classic,True,,ACTIVE,13.086266558793184,13.65913787821592
00-0037744,Trey McBride,TE,ARI,6700,44265869,19.2437,19.2437,1.0,0.8861195572397886,17.05221570009198,SF,19.72,47.89,2.0,1.0,7.3533,statline_mc+recal_10_4b,3.784703460594844,31.69957913375348,0.0,0.0,0.0,0.0,0.0,0.0,9.3955,6.49825,55.38352751288882,0.47875,15.32835275128888,1.7238629488031003,21.3,28.4,75.101570964247,32.668988423369996,,classic,True,,ACTIVE,5.873237173325665,6.000569529887621
