player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status,estimated_ownership_pct_heuristic_x,estimated_ownership_pct_heuristic_y
00-0034857,Josh Allen,QB,BUF,8000,44246751,20.9565,20.9565,1.0253168422659948,1.2911791179117913,27.74357695336985,LAC,28.69,50.11,2.0,1.0,8.4636,statline_mc+recal_10_4b,9.892571846993008,48.78043862894432,28.31375,325.4455253354569,2.133,7.3855,41.724858211786994,0.64525,0.0,0.0,0.0,0.0,30.31105683459698,-2.5674798812271327,39.7,15.1,98.11213680387408,26.400537935396112,,classic,True,,ACTIVE,22.587815416626214,22.861208428796008
00-0038134,Kenneth Walker III,RB,KC,7400,44246814,15.6299,15.6299,1.1706662691906395,1.2902790279027905,23.608762467682244,MIA,28.67,46.0,2.0,1.0,11.0128,statline_mc+recal_10_4b,0.1557948788218235,54.89519684526638,0.0,0.0,0.0,16.82825,134.668935664659,0.70925,6.26725,4.40375,52.25511562793421,0.30675,30.78265512925932,-7.173892661577078,32.0,38.9,93.79222119272237,53.86142268306921,,classic,True,,ACTIVE,32.12750144036776,32.14989600798135
00-0039139,Jahmyr Gibbs,RB,DET,8800,44246810,22.1912,22.1912,0.8590450638445869,1.2178217821782178,23.215586038933747,NYJ,27.06,47.5,2.0,1.0,9.5266,statline_mc+recal_10_4b,7.421013811212458,45.77059794847615,0.0,0.0,0.0,17.15275,79.78298518342243,0.58325,5.61325,4.3455,36.30048115984145,0.183,21.44959663432639,1.7659894046073568,30.5,61.1,95.15708915936658,51.8202112496666,,classic,True,,ACTIVE,36.3717113612068,36.39706436759643
00-0038543,Jaxon Smith-Njigba,WR,SEA,8600,44247024,20.0529,20.0529,1.0870384262732349,1.0625562556255626,23.16187295296054,WAS,23.61,40.17,2.0,1.0,10.5316,statline_mc+recal_10_4b,4.857603394922721,50.30446508711695,0.0,0.0,0.0,0.02925,0.1241881153051264,0.00075,10.18325,6.81475,111.69756604943836,0.8185,23.887175416474346,-0.7253024635138061,37.4,23.9,82.52727440828403,36.392332696922544,,classic,True,,ACTIVE,8.689965517533292,8.844881777305439
00-0033873,Patrick Mahomes,QB,KC,6200,44246754,16.1337,16.1337,1.0778928080622996,1.2902790279027905,22.438414956295745,MIA,28.67,46.0,2.0,1.0,8.3865,statline_mc+recal_10_4b,5.607019030587722,41.238541167744486,35.62775,367.6347886879301,2.652,2.98475,17.999202844142907,0.20325,0.0,0.0,0.0,0.0,29.158561831931497,-6.720146875635752,27.3,43.5,93.69180822487893,23.058922950014615,,classic,True,,ACTIVE,16.472179457887965,16.67155149435673
00-0036963,Amon-Ra St. Brown,WR,DET,7900,44247028,18.4299,18.4299,0.9563390847711928,1.2178217821782178,21.46441005301261,NYJ,27.06,47.5,2.0,1.0,10.4628,statline_mc+recal_10_4b,4.240942373574731,46.15708562285533,0.0,0.0,0.0,0.0365,0.3090026469696948,0.00225,10.659,6.9325,100.27833647003683,0.8535,22.99598391170065,-1.5315738586880414,33.5,47.0,95.0152122516906,42.8931948123201,,classic,True,,ACTIVE,18.115239588462007,18.43818047427549
00-0033106,Jared Goff,QB,DET,6300,44246753,16.3415,16.3415,0.9158650175599328,1.2178217821782178,18.226688783473435,NYJ,27.06,47.5,2.0,1.0,8.0236,statline_mc+recal_10_4b,6.4689625488829,32.820936265971284,30.5295,237.54785259534617,1.97875,2.26825,10.2421560197264,0.10325,0.0,0.0,0.0,0.0,19.04512970578649,-0.8184409223130551,24.6,13.0,90.41360850484261,11.787031805208217,,classic,True,,ACTIVE,13.033405840664228,13.191156469305712
00-0036223,Jonathan Taylor,RB,IND,7600,44246812,23.4294,23.4294,0.8646097282257664,0.8987398739873987,18.20599487399491,HOU,19.97,42.61,2.0,1.0,8.6288,statline_mc+recal_10_4b,6.5826077161574,35.56568088281641,0.0,0.0,0.0,17.51125,56.46167355515742,0.62275,3.552,2.76875,17.33624674175406,0.08025,14.810542029691147,3.3954528443037635,27.7,22.8,78.89981574292453,21.964263937832545,,classic,True,,ACTIVE,8.296696015595456,8.302479251501167
00-0039150,Bryce Young,QB,CAR,5600,44246760,16.9794,16.9794,1.037825622232402,1.00990099009901,17.79610750257512,CLE,22.44,42.06,2.0,1.0,8.1517,statline_mc+recal_10_4b,4.501477347611761,33.646398132044844,34.4415,300.78305843158495,2.142,1.683,7.565646672409844,0.08675,0.0,0.0,0.0,0.0,22.283887004504383,-4.487779501929268,29.8,4.2,74.50136198547216,10.307417731049805,,classic,True,,ACTIVE,4.182573405833429,4.233197440116991
00-0039163,C.J. Stroud,QB,HOU,5500,44246761,14.1694,14.1694,1.1937944724385403,1.018901890189019,17.235023051845232,IND,22.64,42.61,2.0,1.0,8.0817,statline_mc+recal_10_4b,4.4097331215337245,31.97112338860526,37.7925,316.2615789741684,1.5845,2.44275,13.443597072749816,0.12225,0.0,0.0,0.0,0.0,21.61832286624172,-4.383299814396484,19.2,5.3,77.60413513922518,8.817726226222554,,classic,True,,ACTIVE,5.220292100460926,5.2834762267443685
