player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status,estimated_ownership_pct_heuristic_x,estimated_ownership_pct_heuristic_y
00-0034857,Josh Allen,QB,BUF,8000,44220217,22.6118,22.6118,1.0,1.288442813272414,29.13395256648237,LAC,28.67,50.11,2.0,1.0,8.5216,statline_mc+recal_10_4b,16.08762397034723,50.466831853548896,34.26325,373.0851107649107,2.46375,7.48875,40.24950212708577,0.61975,0.0,0.0,0.0,0.0,33.45110464330501,-4.317152076822637,39.7,10.5,97.9787234042553,23.662790721914494,,classic,True,,ACTIVE,14.536314619418192,14.656296174243383
00-0034796,Lamar Jackson,QB,BAL,7500,44220218,19.9565,19.9565,1.0,1.2731630589468952,25.407903363944428,DAL,28.33,53.28,2.0,1.0,8.3634,statline_mc+recal_10_4b,13.335936634272958,43.746869019116446,34.86175,391.87039021574,1.862,3.94975,24.263088657130897,0.2525,0.0,0.0,0.0,0.0,28.044124474342688,-2.63622111039826,22.4,,96.61295369211514,4.550938862943372,,classic,True,,ACTIVE,13.185200094039237,13.294029659811759
00-0039139,Jahmyr Gibbs,RB,DET,8800,44220302,19.8508,19.8508,1.0,1.2282226050483107,24.3811744471993,NYJ,27.33,48.11,2.0,1.0,10.2936,statline_mc+recal_10_4b,7.387444976912407,51.547258703776826,0.0,0.0,0.0,17.517,96.42078265986562,0.72675,5.50025,4.27525,42.35103500541295,0.23025,25.042681766527856,-0.6615073193285568,30.5,63.2,94.38992416115381,49.13635148343022,,classic,True,,ACTIVE,23.51453419535328,23.48464223453723
00-0038543,Jaxon Smith-Njigba,WR,SEA,8600,44220610,21.0583,21.0583,1.0,1.072279230020223,22.580406587023656,WAS,23.86,40.17,2.0,1.0,10.2101,statline_mc+recal_10_4b,6.778637314202254,46.239022387580654,0.0,0.0,0.0,0.02475,0.0722761650308708,0.00075,10.17525,6.80625,96.8906595782918,0.71625,21.653793574332266,0.9266130126913908,37.4,19.3,80.80322533010103,31.021740716617867,,classic,True,,ACTIVE,5.429251177871678,5.5566821500975765
00-0037834,Brock Purdy,QB,SF,6500,44220221,17.7361,17.7361,1.0,1.265972586323122,22.453367308727096,ARI,28.17,47.89,2.0,1.0,8.3477,statline_mc+recal_10_4b,11.15401175749496,40.62451965226517,33.00225,339.52659970609415,2.494,3.18625,19.38221054289348,0.19725,0.0,0.0,0.0,0.0,27.38753504253312,-4.934167733806021,25.3,,92.05605220811728,4.472788696509234,,classic,True,,ACTIVE,9.521972592483346,9.600566177347206
00-0038134,Kenneth Walker III,RB,KC,7400,44220310,17.49,17.49,1.0,1.2569844955434049,21.984618296323458,MIA,27.97,45.39,2.0,1.0,10.4214,statline_mc+recal_10_4b,6.59370557974233,47.73254760953178,0.0,0.0,0.0,16.5625,110.73720379786523,0.55175,6.1705,4.30275,43.13038978737397,0.249,25.77600935852392,-3.791391062200464,32.0,39.3,90.2004738065439,40.71427249054242,,classic,True,,ACTIVE,16.066873138085594,16.046448734255605
00-0036963,Amon-Ra St. Brown,WR,DET,7900,44220614,17.6848,17.6848,1.0,1.2282226050483107,21.720822229563165,NYJ,27.33,48.11,2.0,1.0,10.6295,statline_mc+recal_10_4b,6.471421864845875,47.13292139148847,0.0,0.0,0.0,0.03125,0.2135662820226405,0.002,10.7815,7.023,106.4999301737352,0.892,23.980849645575784,-2.260027416012619,33.5,42.5,94.12907627087358,39.218989247926245,,classic,True,,ACTIVE,11.889727649079935,12.16879367571703
00-0033077,Dak Prescott,QB,DAL,6700,44220219,19.0957,19.0957,1.0,1.1208149202306943,21.402692630849685,BAL,24.94,53.28,2.0,1.0,8.1991,statline_mc+recal_10_4b,10.378088507882492,38.16567702895827,36.048,284.2148497014716,2.512,2.91725,14.921326286312478,0.12175,0.0,0.0,0.0,0.0,23.81147661669011,-2.408783985840426,22.6,,91.98323797604147,3.506376185787026,,classic,True,,ACTIVE,9.472577219609873,9.550763099096288
00-0033873,Patrick Mahomes,QB,KC,6200,44220223,16.7417,16.7417,1.0,1.2569844955434049,21.044021436544146,MIA,27.97,45.39,2.0,1.0,8.2673,statline_mc+recal_10_4b,10.11320983088785,38.59932406620284,35.6885,333.512997687298,2.3585,2.9325,15.546700073980649,0.18275,0.0,0.0,0.0,0.0,26.009439914889988,-4.965418478345843,27.3,46.3,89.3204027355623,18.497736563417256,,classic,True,,ACTIVE,7.831848009374552,7.89649144382967
00-0033106,Jared Goff,QB,DET,6300,44220222,17.0975,17.0975,1.0,1.2282226050483107,20.99948619143737,NYJ,27.33,48.11,2.0,1.0,8.267,statline_mc+recal_10_4b,10.0803205523765,38.55634354111214,36.19425,315.30945693627933,2.6045,2.22725,10.601340080181467,0.10775,0.0,0.0,0.0,0.0,25.30726228546932,-4.307776094031947,24.6,14.7,89.48627748971928,9.07688593951009,,classic,True,,ACTIVE,7.92519317930364,7.990607077175155
