player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available
00-0038543,Jaxon Smith-Njigba,WR,SEA,15900,43782097,28.26285,28.26285,0.9485844937589668,1.07893549842129,28.92590280452213,NE,23.92,44.33,17.0,1.0,14.9622,statline_mc+recal_10_4b,7.0165148719091714,60.10374357287694,0.0,0.0,0.0,0.0395,0.21365847506604904,0.0015,8.754,6.19575,92.81569355508147,0.49475,CPT,showdown,88.00373134328359,14.969436829119445,True
00-0034869,Sam Darnold,QB,SEA,14100,43782100,26.623649999999998,26.623649999999998,0.9019268239878764,1.07893549842129,25.907971967802187,NE,23.92,44.33,17.0,1.0,11.94045,statline_mc+recal_10_4b,9.362871580074778,46.911623034106235,31.292,253.88481636557384,1.5425,1.86725,6.483386572451681,0.05925,0.0,0.0,0.0,0.0,CPT,showdown,86.9589552238806,13.962272023134881,True
00-0038543,Jaxon Smith-Njigba,WR,SEA,10600,43782034,18.8419,18.8419,0.9485844937589668,1.07893549842129,19.283935203014753,NE,23.92,44.33,17.0,1.0,9.9748,statline_mc+recal_10_4b,4.677676581272781,40.069162381917955,0.0,0.0,0.0,0.0395,0.21365847506604904,0.0015,8.754,6.19575,92.81569355508147,0.49475,FLEX,showdown,88.00373134328359,71.97118944666025,True
00-0039851,Drake Maye,QB,NE,15000,43782098,24.27195,24.27195,0.858627408529985,0.92106450157871,19.19550330618286,SEA,20.42,44.33,17.0,1.0,11.56995,statline_mc+recal_10_4b,6.480617166199027,34.74865418313968,23.812,167.91135027862182,1.11925,3.5715,12.87548192977033,0.1235,0.0,0.0,0.0,0.0,CPT,showdown,73.74999999999999,5.787855375722215,True
00-0034869,Sam Darnold,QB,SEA,9400,43782037,17.7491,17.7491,0.9019268239878764,1.07893549842129,17.271981311868124,NE,23.92,44.33,17.0,1.0,7.9603,statline_mc+recal_10_4b,6.241914386716518,31.274415356070822,31.292,253.88481636557384,1.5425,1.86725,6.483386572451681,0.05925,0.0,0.0,0.0,0.0,FLEX,showdown,86.9589552238806,67.12886639316247,True
00-0039851,Drake Maye,QB,NE,10000,43782035,16.1813,16.1813,0.858627408529985,0.92106450157871,12.797002204121908,SEA,20.42,44.33,17.0,1.0,7.7133,statline_mc+recal_10_4b,4.320411444132684,23.165769455426453,23.812,167.91135027862182,1.11925,3.5715,12.87548192977033,0.1235,0.0,0.0,0.0,0.0,FLEX,showdown,74.27238805970148,28.813470595170035,True
00-0031492,Jason Myers,K,SEA,8100,43782112,12.232499999999998,12.232499999999998,1.0,1.0,12.232499999999998,NE,0.0,0.0,,,7.3818,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,55.13059701492537,1.6727488466737044,True
00-0040200,Andy Borregales,K,NE,7500,43782114,11.9931,11.9931,1.0,1.0,11.9931,SEA,0.0,0.0,,,7.2894000000000005,kicker_session_13_1,3.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,55.05597014925373,1.664447380644227,True
00-0039165,Zach Charbonnet,RB,SEA,12300,43782102,12.73725,12.73725,0.854146857548446,1.07893549842129,11.738291973893952,NE,23.92,44.33,16.0,1.0,10.387649999999999,statline_mc+recal_10_4b,2.1910834789462976,25.149598562574184,0.0,0.0,0.0,6.16175,22.421124002640106,0.303,2.56925,2.00025,13.726655823319575,0.05,CPT,showdown,78.89925373134328,8.15837823595084,True
DST_SEA,Seahawks,DST,SEA,6600,43782117,11.35632436875,11.35632436875,1.1352299121754659,1.121939275220372,11.35632436875,NE,23.92,44.33,,,8.8497,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,77.18283582089552,7.276263994635427,True
00-0039793,AJ Barner,TE,SEA,6900,43782116,9.0903,9.0903,1.1031128814811666,1.07893549842129,10.819163039894013,NE,23.92,44.33,17.0,1.0,9.5421,statline_mc+recal_10_4b,1.7653399625549508,23.463016882947226,0.0,0.0,0.0,0.0,0.0,0.0,3.35775,2.43725,29.90525359929342,0.27525,CPT,showdown,75.83955223880596,6.6529828576827015,True
DST_NE,Patriots,DST,NE,5100,43782121,8.650767141,8.650767141,0.8647700878245342,0.9577759197324414,8.650767141,SEA,20.42,44.33,,,8.6136,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CPT,showdown,64.72014925373134,3.170127385520022,True
00-0035676,A.J. Brown,WR,NE,14400,43782099,10.9332,10.9332,0.8534011212238135,0.92106450157871,8.593957137028973,SEA,20.42,44.33,15.0,0.8,9.69495,statline_mc+recal_10_4b,1.1435230521567548,19.182971590774812,0.0,0.0,0.0,0.0,0.0,0.0,3.72525,2.3845,23.48554758019315,0.1485,CPT,showdown,54.683395522388054,1.6236145319067845,True
00-0040734,TreVeyon Henderson,RB,NE,11400,43782104,11.00865,11.00865,0.841558302419949,0.92106450157871,8.533086316628022,SEA,20.42,44.33,17.0,1.0,10.3836,statline_mc+recal_10_4b,0.6164189775449221,21.7771004729887,0.0,0.0,0.0,8.365,32.96628139849878,0.26125,0.4875,0.38675,2.268460712354703,0.0105,CPT,showdown,62.481343283582085,2.730590921252424,True
00-0033908,Cooper Kupp,WR,SEA,7800,43782113,8.1843,8.1843,0.9485844937589668,1.07893549842129,8.376340236260964,NE,23.92,44.33,16.0,1.0,9.96195,statline_mc+recal_10_4b,0.6258014905872663,18.50311394479018,0.0,0.0,0.0,0.0,0.0,0.0,3.07575,1.98775,26.627268241739753,0.1315,CPT,showdown,73.67537313432835,5.759131586803975,True
00-0036875,Rhamondre Stevenson,RB,NE,12600,43782101,10.6371,10.6371,0.841558302419949,0.92106450157871,8.245164500623659,SEA,20.42,44.33,14.0,1.0,9.4017,statline_mc+recal_10_4b,1.041072246519643,18.55430017331418,0.0,0.0,0.0,4.983,17.178502522546108,0.17025,1.77275,1.43575,9.859260814944948,0.0485,CPT,showdown,61.809701492537314,2.6110225364872988,True
00-0031492,Jason Myers,K,SEA,5400,43782049,8.155,8.155,1.0,1.0,8.155,NE,0.0,0.0,,,4.9212,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,55.13059701492537,8.042368294473597,True
00-0040200,Andy Borregales,K,NE,5000,43782051,7.9954,7.9954,1.0,1.0,7.9954,SEA,0.0,0.0,,,4.8596,kicker_session_13_1,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,55.05597014925373,8.00245587885551,True
00-0039165,Zach Charbonnet,RB,SEA,8200,43782039,8.4915,8.4915,0.854146857548446,1.07893549842129,7.825527982595968,NE,23.92,44.33,16.0,1.0,6.9251,statline_mc+recal_10_4b,1.4607223192975316,16.766399041716124,0.0,0.0,0.0,6.16175,22.421124002640106,0.303,2.56925,2.00025,13.726655823319575,0.05,FLEX,showdown,79.42164179104476,40.614558613865206,True
00-0033090,Hunter Henry,TE,NE,7200,43782115,7.661999999999999,7.661999999999999,1.103693481759647,0.92106450157871,7.789010294622509,SEA,20.42,44.33,17.0,1.0,8.7744,statline_mc+recal_10_4b,0.05427615812002298,17.78575196980417,0.0,0.0,0.0,0.0,0.0,0.0,2.66925,1.8285,22.25423529748338,0.178,CPT,showdown,63.152985074626855,2.855634784852206,True
DST_SEA,Seahawks,DST,SEA,4400,43782054,7.5708829125,7.5708829125,1.1352299121754659,1.121939275220372,7.5708829125,NE,23.92,44.33,,,5.8998,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,77.18283582089552,34.98337181283418,True
00-0039793,AJ Barner,TE,SEA,4600,43782053,6.0602,6.0602,1.1031128814811666,1.07893549842129,7.212775359929342,NE,23.92,44.33,17.0,1.0,6.3614,statline_mc+recal_10_4b,1.1768933083699673,15.64201125529815,0.0,0.0,0.0,0.0,0.0,0.0,3.35775,2.43725,29.90525359929342,0.27525,FLEX,showdown,75.83955223880596,31.98671366876204,True
DST_NE,Patriots,DST,NE,3400,43782058,5.767178094,5.767178094,0.8647700878245342,0.9577759197324414,5.767178094,SEA,20.42,44.33,,,5.7424,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLEX,showdown,64.72014925373134,15.241577972357716,True
00-0035676,A.J. Brown,WR,NE,9600,43782036,7.2888,7.2888,0.8534011212238135,0.92106450157871,5.729304758019315,SEA,20.42,44.33,15.0,0.8,6.4633,statline_mc+recal_10_4b,0.7623487014378365,12.788647727183207,0.0,0.0,0.0,0.0,0.0,0.0,3.72525,2.3845,23.48554758019315,0.1485,FLEX,showdown,57.86473880597015,9.650403454251501,True
00-0040734,TreVeyon Henderson,RB,NE,7600,43782041,7.3391,7.3391,0.841558302419949,0.92106450157871,5.688724211085348,SEA,20.42,44.33,17.0,1.0,6.9224,statline_mc+recal_10_4b,0.4109459850299481,14.518066981992467,0.0,0.0,0.0,8.365,32.96628139849878,0.26125,0.4875,0.38675,2.268460712354703,0.0105,FLEX,showdown,66.13805970149254,16.752616408679273,True
00-0041512,Jadarian Price,RB,SEA,10800,43782106,6.147749999999999,6.147749999999999,0.854146857548446,1.07893549842129,5.665572176081942,NE,23.92,44.33,0.0,0.0,8.458950000000002,statline_mc+recal_10_4b,0.5089060331050613,13.242280365781287,0.0,0.0,0.0,3.061,11.680491245000601,0.08225,1.44675,1.093,7.9149899288790095,0.03625,CPT,showdown,23.5401119402985,0.20360691135975525,True
